Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2427,Tena,ECU,Ecuador,-0.97959267284,-77.80998986989998,-5,501.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,21.68,86.55,0.0,0.0,0.0,406.64,1.44,336.0,957.27,
2014,1,1,1,21.12,89.12,0.0,0.0,0.0,405.75,1.51,347.0,956.8,
2014,1,1,2,20.56,91.69,0.0,0.0,0.0,404.85,1.57,358.0,956.33,
2014,1,1,3,20.54,84.5,0.0,0.0,0.0,409.0,1.5,9.0,955.86,
2014,1,1,4,20.92,84.69,0.0,0.0,0.0,410.77,1.26,8.0,956.3,
2014,1,1,5,21.31,84.89,0.0,0.0,0.0,412.53,1.02,7.0,956.74,
2014,1,1,6,21.69,85.08,0.0,0.0,0.0,414.3,0.77,7.0,957.18,
2014,1,1,7,22.68,82.55,6.0,0.0,6.0,414.1,0.75,11.0,957.37,
2014,1,1,8,23.68,80.02,58.0,0.0,58.0,413.9,0.74,15.0,957.56,
2014,1,1,9,24.67,77.49,259.0,26.04,243.0,413.7,0.72,19.0,957.74,
2014,1,1,10,24.87,76.97,536.0,150.13,420.0,411.83,0.82,15.0,956.93,
2014,1,1,11,25.07,76.46,650.0,176.42,495.0,409.97,0.93,12.0,956.11,
2014,1,1,12,25.27,75.94,668.0,153.49,526.0,408.1,1.03,9.0,955.29,
2014,1,1,13,25.65,75.31,545.0,73.7,478.0,407.63,1.1,13.0,954.32,
2014,1,1,14,26.03,74.68,552.0,121.47,451.0,407.17,1.17,17.0,953.35,
2014,1,1,15,26.42,74.05,475.0,159.1,364.0,406.7,1.24,21.0,952.37,
2014,1,1,16,25.7,77.97,97.0,0.0,97.0,406.68,1.1,36.0,953.07,
2014,1,1,17,24.99,81.9,255.0,600.96,74.0,406.67,0.97,52.0,953.76,
2014,1,1,18,24.27,85.82,0.0,0.0,0.0,406.65,0.83,67.0,954.45,
2014,1,1,19,23.29,84.71,0.0,0.0,0.0,404.65,0.73,29.0,955.42,
2014,1,1,20,22.31,83.59,0.0,0.0,0.0,402.65,0.63,352.0,956.39,
2014,1,1,21,21.33,82.48,0.0,0.0,0.0,400.65,0.52,314.0,957.37,
2014,1,1,22,21.12,82.74,0.0,0.0,0.0,403.53,0.53,318.0,957.02,
2014,1,1,23,20.91,83.01,0.0,0.0,0.0,406.42,0.53,322.0,956.68,
2014,1,2,0,20.7,83.27,0.0,0.0,0.0,409.3,0.54,326.0,956.33,
2014,1,2,1,20.5,83.48,0.0,0.0,0.0,411.5,0.74,324.0,955.92,
2014,1,2,2,20.3,83.7,0.0,0.0,0.0,413.7,0.94,322.0,955.51,
2014,1,2,3,20.1,83.91,0.0,0.0,0.0,415.9,1.14,320.0,955.11,
2014,1,2,4,20.22,83.4,0.0,0.0,0.0,414.4,1.04,320.0,955.55,
2014,1,2,5,20.34,82.88,0.0,0.0,0.0,412.9,0.93,320.0,955.99,
2014,1,2,6,20.46,82.37,0.0,0.0,0.0,411.4,0.83,320.0,956.43,
