Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,444,Tulcan,ECU,Ecuador,0.82199703823,-77.73200047999998,-5,2938.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,8.77,100.0,0.0,0.0,0.0,396.87,0.37,167.0,708.34,
2009,1,1,1,7.96,100.0,0.0,0.0,0.0,399.5,0.14,160.0,708.04,
2009,1,1,2,7.16,100.0,0.0,0.0,0.0,402.12,-0.1,153.0,707.73,
2009,1,1,3,8.5,100.0,0.0,0.0,0.0,397.35,0.66,146.0,707.43,
2009,1,1,4,8.7,100.0,0.0,0.0,0.0,396.35,0.78,146.0,707.78,
2009,1,1,5,8.9,100.0,0.0,0.0,0.0,395.35,0.9,147.0,708.13,
2009,1,1,6,9.1,100.0,0.0,0.0,0.0,394.35,1.02,148.0,708.48,
2009,1,1,7,10.9,100.0,115.0,311.54,60.0,389.58,1.15,137.0,708.53,
2009,1,1,8,12.7,100.0,146.0,12.38,141.0,384.82,1.29,126.0,708.57,
2009,1,1,9,14.5,100.0,238.0,21.55,225.0,380.05,1.42,115.0,708.62,
2009,1,1,10,15.22,100.0,347.0,31.53,323.0,386.33,1.33,111.0,707.97,
2009,1,1,11,15.94,100.0,305.0,19.61,288.0,392.62,1.24,107.0,707.32,
2009,1,1,12,16.67,100.0,476.0,42.72,437.0,398.9,1.14,103.0,706.67,
2009,1,1,13,16.36,100.0,410.0,30.12,383.0,398.75,1.02,103.0,706.25,
2009,1,1,14,16.06,100.0,548.0,125.82,445.0,398.6,0.89,102.0,705.83,
2009,1,1,15,15.75,100.0,207.0,10.22,200.0,398.45,0.76,102.0,705.41,
2009,1,1,16,14.43,100.0,284.0,95.33,236.0,393.8,0.79,102.0,705.85,
2009,1,1,17,13.1,100.0,159.0,121.65,124.0,389.15,0.82,103.0,706.29,
2009,1,1,18,11.78,100.0,0.0,0.0,0.0,384.5,0.86,104.0,706.74,
2009,1,1,19,11.37,100.0,0.0,0.0,0.0,391.43,1.07,110.0,707.13,
2009,1,1,20,10.97,100.0,0.0,0.0,0.0,398.37,1.28,116.0,707.53,
2009,1,1,21,10.56,100.0,0.0,0.0,0.0,405.3,1.49,121.0,707.92,
2009,1,1,22,10.27,100.0,0.0,0.0,0.0,403.6,1.42,124.0,707.78,
2009,1,1,23,9.98,100.0,0.0,0.0,0.0,401.9,1.34,126.0,707.64,
2009,1,2,0,9.68,100.0,0.0,0.0,0.0,400.2,1.27,129.0,707.5,
2009,1,2,1,9.5,100.0,0.0,0.0,0.0,401.62,1.24,132.0,707.18,
2009,1,2,2,9.32,100.0,0.0,0.0,0.0,403.03,1.2,135.0,706.85,
2009,1,2,3,9.13,100.0,0.0,0.0,0.0,404.45,1.17,139.0,706.53,
2009,1,2,4,9.3,100.0,0.0,0.0,0.0,402.82,1.2,140.0,706.92,
2009,1,2,5,9.47,100.0,0.0,0.0,0.0,401.18,1.24,142.0,707.32,
