Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5082,Alexandria,EGY,Egypt,31.2000193471,29.949995889,2,0.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,12.69,70.7,0.0,0.0,0.0,303.18,3.24,288.0,1021.37,
2012,1,1,1,12.65,68.68,0.0,0.0,0.0,298.38,3.69,268.0,1021.2,
2012,1,1,2,12.61,66.65,0.0,0.0,0.0,293.57,4.14,241.0,1015.1,
2012,1,1,3,12.58,64.62,0.0,0.0,0.0,288.77,4.59,245.0,1014.9,
2012,1,1,4,12.54,62.6,0.0,0.0,0.0,283.96,5.05,248.0,1014.7,
2012,1,1,5,12.5,60.57,0.0,0.0,0.0,279.16,5.5,250.0,1015.23,
2012,1,1,6,12.46,58.54,0.0,0.0,0.0,274.35,5.95,251.0,1015.77,
2012,1,1,7,12.43,56.52,0.0,0.0,0.0,269.55,6.4,253.0,1016.3,
2012,1,1,8,12.39,54.49,83.0,24.02,78.0,264.74,6.86,255.0,1016.57,
2012,1,1,9,12.35,52.46,339.0,605.93,116.0,259.94,7.31,258.0,1016.83,
2012,1,1,10,15.94,56.71,472.0,658.46,150.0,296.55,7.68,261.0,1017.1,
2012,1,1,11,16.41,54.2,436.0,282.48,277.0,300.48,7.7,264.0,1016.73,
2012,1,1,12,16.88,51.7,567.0,639.77,193.0,304.42,7.71,267.0,1016.37,
2012,1,1,13,17.35,49.19,459.0,372.75,253.0,308.35,7.72,271.0,1016.0,
2012,1,1,14,16.47,52.29,77.0,0.0,77.0,311.25,7.01,274.0,1016.37,
2012,1,1,15,15.58,55.39,134.0,14.7,129.0,314.15,6.3,277.0,1016.73,
2012,1,1,16,14.7,58.49,58.0,11.5,56.0,317.05,5.59,280.0,1017.1,
2012,1,1,17,14.08,61.85,0.0,0.0,0.0,313.83,5.57,280.0,1017.67,
2012,1,1,18,13.47,65.2,0.0,0.0,0.0,310.62,5.55,280.0,1018.23,
2012,1,1,19,12.85,68.56,0.0,0.0,0.0,307.4,5.53,281.0,1018.8,
2012,1,1,20,12.59,70.73,0.0,0.0,0.0,306.3,5.43,280.0,1019.03,
2012,1,1,21,12.34,72.9,0.0,0.0,0.0,305.2,5.33,280.0,1019.27,
2012,1,1,22,12.08,75.07,0.0,0.0,0.0,304.1,5.23,279.0,1019.5,
2012,1,1,23,11.95,77.74,0.0,0.0,0.0,301.18,4.51,280.0,1019.53,
2012,1,2,0,11.83,80.4,0.0,0.0,0.0,298.27,3.8,280.0,1019.57,
2012,1,2,1,11.7,83.07,0.0,0.0,0.0,295.35,3.09,281.0,1019.6,
2012,1,2,2,11.41,85.42,0.0,0.0,0.0,295.42,2.91,284.0,1019.63,
2012,1,2,3,11.12,87.77,0.0,0.0,0.0,295.48,2.74,287.0,1019.67,
2012,1,2,4,10.83,90.12,0.0,0.0,0.0,295.55,2.57,291.0,1019.7,
2012,1,2,5,11.17,88.72,0.0,0.0,0.0,296.5,2.58,291.0,1020.13,
2012,1,2,6,11.52,87.31,0.0,0.0,0.0,297.45,2.6,291.0,1020.57,
2012,1,2,7,11.87,85.91,0.0,0.0,0.0,298.4,2.62,292.0,1021.0,
2012,1,2,8,13.1,80.37,31.0,0.0,31.0,304.25,3.0,294.0,1021.17,
2012,1,2,9,14.33,74.84,107.0,0.0,107.0,310.1,3.38,296.0,1021.33,
2012,1,2,10,15.56,69.3,153.0,0.0,153.0,315.95,3.77,298.0,1021.5,
2012,1,2,11,15.76,66.26,232.0,10.64,226.0,320.03,3.99,301.0,1021.03,
2012,1,2,12,15.96,63.21,159.0,0.0,159.0,324.12,4.21,303.0,1020.57,
2012,1,2,13,16.15,60.17,209.0,5.41,206.0,328.2,4.43,306.0,1020.1,
2012,1,2,14,15.27,61.56,184.0,8.49,180.0,324.52,4.03,309.0,1020.47,
2012,1,2,15,14.39,62.96,220.0,166.54,163.0,320.83,3.64,313.0,1020.83,
2012,1,2,16,13.51,64.35,74.0,39.72,67.0,317.15,3.24,316.0,1021.2,
2012,1,2,17,12.68,67.6,0.0,0.0,0.0,311.77,2.98,315.0,1021.67,
2012,1,2,18,11.85,70.84,0.0,0.0,0.0,306.38,2.73,314.0,1022.13,
2012,1,2,19,11.01,74.09,0.0,0.0,0.0,301.0,2.47,313.0,1022.6,
2012,1,2,20,10.67,75.49,0.0,0.0,0.0,297.35,2.55,310.0,1022.73,
2012,1,2,21,10.32,76.88,0.0,0.0,0.0,293.7,2.63,307.0,1022.87,
2012,1,2,22,9.98,78.28,0.0,0.0,0.0,290.05,2.7,304.0,1023.0,
2012,1,2,23,9.94,78.63,0.0,0.0,0.0,288.23,2.63,303.0,1022.87,
2012,1,3,0,9.91,78.97,0.0,0.0,0.0,286.42,2.55,302.0,1022.73,
2012,1,3,1,9.88,79.32,0.0,0.0,0.0,284.6,2.47,301.0,1022.6,
2012,1,3,2,9.9,78.38,0.0,0.0,0.0,285.93,2.42,300.0,1022.67,
2012,1,3,3,9.92,77.45,0.0,0.0,0.0,287.27,2.38,298.0,1022.73,
2012,1,3,4,9.95,76.51,0.0,0.0,0.0,288.6,2.33,297.0,1022.8,
2012,1,3,5,10.29,76.21,0.0,0.0,0.0,286.45,2.16,298.0,1023.17,
2012,1,3,6,10.64,75.92,0.0,0.0,0.0,284.3,1.99,299.0,1023.53,
2012,1,3,7,10.99,75.62,0.0,0.0,0.0,282.15,1.82,300.0,1023.9,
2012,1,3,8,12.78,68.81,55.0,0.0,55.0,288.92,2.19,310.0,1023.97,
2012,1,3,9,14.57,62.0,93.0,0.0,93.0,295.68,2.57,321.0,1024.03,
2012,1,3,10,16.35,55.19,439.0,510.25,189.0,302.45,2.94,331.0,1024.1,
2012,1,3,11,16.42,53.87,333.0,88.55,283.0,309.92,3.03,336.0,1023.67,
2012,1,3,12,16.49,52.54,608.0,800.43,138.0,317.38,3.11,341.0,1023.23,
2012,1,3,13,16.55,51.22,569.0,782.37,134.0,324.85,3.2,346.0,1022.8,
2012,1,3,14,15.78,54.38,472.0,748.06,118.0,325.32,3.17,351.0,1023.03,
2012,1,3,15,15.0,57.55,316.0,618.28,103.0,325.78,3.14,356.0,1023.27,
2012,1,3,16,14.23,60.71,136.0,414.32,62.0,326.25,3.1,1.0,1023.5,
2012,1,3,17,13.45,66.1,0.0,0.0,0.0,317.88,2.81,4.0,1023.87,
2012,1,3,18,12.68,71.48,0.0,0.0,0.0,309.52,2.52,7.0,1024.23,
2012,1,3,19,11.9,76.87,0.0,0.0,0.0,301.15,2.23,10.0,1024.6,
2012,1,3,20,11.62,79.38,0.0,0.0,0.0,297.8,2.18,11.0,1024.5,
2012,1,3,21,11.33,81.9,0.0,0.0,0.0,294.45,2.13,13.0,1024.4,
2012,1,3,22,11.05,84.41,0.0,0.0,0.0,291.1,2.08,14.0,1024.3,
2012,1,3,23,10.89,85.77,0.0,0.0,0.0,288.93,2.12,14.0,1024.07,
2012,1,4,0,10.73,87.14,0.0,0.0,0.0,286.77,2.16,13.0,1023.83,
2012,1,4,1,10.57,88.5,0.0,0.0,0.0,284.6,2.19,13.0,1023.6,
2012,1,4,2,10.63,88.15,0.0,0.0,0.0,285.33,2.42,15.0,1023.33,
2012,1,4,3,10.69,87.79,0.0,0.0,0.0,286.07,2.64,17.0,1023.07,
2012,1,4,4,10.75,87.44,0.0,0.0,0.0,286.8,2.87,18.0,1022.8,
2012,1,4,5,10.97,88.01,0.0,0.0,0.0,285.77,2.82,18.0,1022.97,
2012,1,4,6,11.2,88.59,0.0,0.0,0.0,284.73,2.77,18.0,1023.13,
2012,1,4,7,11.43,89.16,0.0,0.0,0.0,283.7,2.72,18.0,1023.3,
2012,1,4,8,12.87,82.88,65.0,4.82,64.0,290.47,2.74,22.0,1023.07,
2012,1,4,9,14.3,76.59,128.0,5.43,126.0,297.23,2.77,26.0,1022.83,
2012,1,4,10,15.73,70.31,197.0,10.19,192.0,304.0,2.8,30.0,1022.6,
2012,1,4,11,15.82,67.77,84.0,0.0,84.0,312.25,2.53,27.0,1021.63,
2012,1,4,12,15.9,65.22,469.0,310.88,286.0,320.5,2.26,25.0,1020.67,
2012,1,4,13,15.98,62.68,569.0,770.86,139.0,328.75,1.99,22.0,1019.7,
2012,1,4,14,15.24,65.72,343.0,229.31,234.0,324.68,1.91,25.0,1019.73,
2012,1,4,15,14.49,68.76,264.0,320.04,153.0,320.62,1.83,29.0,1019.77,
2012,1,4,16,13.75,71.8,122.0,270.65,73.0,316.55,1.75,32.0,1019.8,
2012,1,4,17,12.8,76.43,0.0,0.0,0.0,310.33,1.86,31.0,1020.07,
2012,1,4,18,11.85,81.05,0.0,0.0,0.0,304.12,1.96,29.0,1020.33,
2012,1,4,19,10.9,85.68,0.0,0.0,0.0,297.9,2.07,28.0,1020.6,
2012,1,4,20,10.49,86.92,0.0,0.0,0.0,295.7,1.59,29.0,1020.3,
2012,1,4,21,10.08,88.16,0.0,0.0,0.0,293.5,1.11,29.0,1020.0,
2012,1,4,22,9.67,89.4,0.0,0.0,0.0,291.3,0.63,29.0,1019.7,
2012,1,4,23,9.73,89.18,0.0,0.0,0.0,289.88,1.09,17.0,1019.47,
2012,1,5,0,9.8,88.95,0.0,0.0,0.0,288.47,1.54,6.0,1019.23,
2012,1,5,1,9.86,88.73,0.0,0.0,0.0,287.05,1.99,354.0,1019.0,
2012,1,5,2,9.35,90.08,0.0,0.0,0.0,283.97,1.97,326.0,1018.77,
2012,1,5,3,8.84,91.44,0.0,0.0,0.0,280.88,1.95,298.0,1018.53,
2012,1,5,4,8.34,92.79,0.0,0.0,0.0,277.8,1.93,270.0,1018.3,
2012,1,5,5,8.77,93.3,0.0,0.0,0.0,278.22,2.22,266.0,1018.47,
2012,1,5,6,9.21,93.82,0.0,0.0,0.0,278.63,2.5,262.0,1018.63,
2012,1,5,7,9.64,94.33,0.0,0.0,0.0,279.05,2.79,257.0,1018.8,
2012,1,5,8,11.45,87.48,168.0,472.51,70.0,286.83,3.47,258.0,1018.6,
2012,1,5,9,13.26,80.62,346.0,650.91,106.0,294.62,4.15,259.0,1018.4,
2012,1,5,10,15.07,73.77,479.0,683.87,143.0,302.4,4.83,259.0,1018.2,
2012,1,5,11,15.43,68.38,577.0,762.09,145.0,308.12,4.91,263.0,1017.37,
2012,1,5,12,15.79,63.0,357.0,98.27,299.0,313.83,5.0,267.0,1016.53,
2012,1,5,13,16.15,57.61,67.0,0.0,67.0,319.55,5.09,270.0,1015.7,
2012,1,5,14,15.35,54.32,315.0,159.15,239.0,311.55,4.07,274.0,1015.83,
2012,1,5,15,14.54,51.03,267.0,320.69,155.0,303.55,3.06,277.0,1015.97,
2012,1,5,16,13.74,47.74,152.0,544.8,52.0,295.55,2.04,281.0,1016.1,
2012,1,5,17,12.96,50.45,0.0,0.0,0.0,289.15,2.23,275.0,1016.37,
2012,1,5,18,12.18,53.16,0.0,0.0,0.0,282.75,2.43,270.0,1016.63,
2012,1,5,19,11.4,55.87,0.0,0.0,0.0,276.35,2.62,264.0,1016.9,
2012,1,5,20,11.39,55.6,0.0,0.0,0.0,280.98,2.69,259.0,1016.7,
2012,1,5,21,11.39,55.32,0.0,0.0,0.0,285.62,2.77,253.0,1016.5,
2012,1,5,22,11.38,55.05,0.0,0.0,0.0,290.25,2.84,248.0,1016.3,
2012,1,5,23,11.06,57.03,0.0,0.0,0.0,285.22,3.06,246.0,1016.13,
2012,1,6,0,10.75,59.0,0.0,0.0,0.0,280.18,3.27,244.0,1015.97,
2012,1,6,1,10.43,60.98,0.0,0.0,0.0,275.15,3.49,242.0,1015.8,
2012,1,6,2,9.75,63.46,0.0,0.0,0.0,270.47,3.52,240.0,1015.73,
2012,1,6,3,9.06,65.95,0.0,0.0,0.0,265.78,3.54,238.0,1015.67,
2012,1,6,4,8.38,68.43,0.0,0.0,0.0,261.1,3.57,235.0,1015.6,
2012,1,6,5,8.68,68.8,0.0,0.0,0.0,259.32,3.86,233.0,1015.83,
2012,1,6,6,8.98,69.16,0.0,0.0,0.0,257.53,4.14,230.0,1016.07,
2012,1,6,7,9.28,69.53,0.0,0.0,0.0,255.75,4.43,228.0,1016.3,
2012,1,6,8,11.31,63.3,172.0,515.77,65.0,261.28,4.69,227.0,1016.07,
2012,1,6,9,13.33,57.08,356.0,709.76,94.0,266.82,4.94,226.0,1015.83,
2012,1,6,10,15.35,50.85,500.0,788.37,112.0,272.35,5.2,226.0,1015.6,
2012,1,6,11,15.96,47.56,590.0,818.49,125.0,278.7,5.22,226.0,1014.63,
2012,1,6,12,16.57,44.28,619.0,829.59,128.0,285.05,5.24,227.0,1013.67,
2012,1,6,13,17.17,40.99,555.0,692.48,166.0,291.4,5.26,228.0,1012.7,
2012,1,6,14,16.28,41.79,450.0,602.28,161.0,287.98,4.64,227.0,1013.0,
2012,1,6,15,15.4,42.59,184.0,65.39,161.0,284.57,4.03,226.0,1013.3,
2012,1,6,16,14.51,43.39,142.0,413.7,65.0,281.15,3.42,224.0,1013.6,
2012,1,6,17,13.58,46.63,0.0,0.0,0.0,278.35,3.4,218.0,1013.73,
2012,1,6,18,12.65,49.86,0.0,0.0,0.0,275.55,3.37,212.0,1013.87,
2012,1,6,19,11.71,53.1,0.0,0.0,0.0,272.75,3.35,205.0,1014.0,
2012,1,6,20,11.37,54.75,0.0,0.0,0.0,269.62,3.59,203.0,1013.77,
2012,1,6,21,11.02,56.4,0.0,0.0,0.0,266.48,3.82,201.0,1013.53,
2012,1,6,22,10.68,58.05,0.0,0.0,0.0,263.35,4.06,199.0,1013.3,
2012,1,6,23,10.55,59.47,0.0,0.0,0.0,262.02,4.1,200.0,1013.07,
2012,1,7,0,10.42,60.89,0.0,0.0,0.0,260.68,4.14,201.0,1012.83,
2012,1,7,1,10.29,62.31,0.0,0.0,0.0,259.35,4.18,202.0,1012.6,
2012,1,7,2,9.8,63.88,0.0,0.0,0.0,258.02,4.12,202.0,1012.8,
2012,1,7,3,9.3,65.44,0.0,0.0,0.0,256.68,4.06,202.0,1013.0,
2012,1,7,4,8.81,67.01,0.0,0.0,0.0,255.35,4.0,202.0,1013.2,
2012,1,7,5,9.03,67.13,0.0,0.0,0.0,254.5,4.11,197.0,1013.3,
2012,1,7,6,9.25,67.24,0.0,0.0,0.0,253.65,4.21,193.0,1013.4,
2012,1,7,7,9.47,67.36,0.0,0.0,0.0,252.8,4.32,189.0,1013.5,
2012,1,7,8,11.64,60.83,175.0,544.3,62.0,258.87,5.02,191.0,1013.33,
2012,1,7,9,13.81,54.29,353.0,687.1,99.0,264.93,5.72,194.0,1013.17,
2012,1,7,10,15.98,47.76,499.0,774.69,117.0,271.0,6.43,196.0,1013.0,
2012,1,7,11,16.65,43.9,583.0,776.14,141.0,277.62,7.22,201.0,1011.87,
2012,1,7,12,17.31,40.03,615.0,801.87,139.0,284.23,8.01,206.0,1010.73,
2012,1,7,13,17.97,36.17,515.0,524.96,219.0,290.85,8.8,211.0,1009.6,
2012,1,7,14,17.34,35.47,321.0,163.83,242.0,290.38,8.03,213.0,1009.67,
2012,1,7,15,16.7,34.77,153.0,22.58,145.0,289.92,7.26,216.0,1009.73,
2012,1,7,16,16.07,34.07,36.0,0.0,36.0,289.45,6.5,219.0,1009.8,
2012,1,7,17,15.19,35.95,0.0,0.0,0.0,286.55,6.48,221.0,1010.07,
2012,1,7,18,14.31,37.83,0.0,0.0,0.0,283.65,6.47,223.0,1010.33,
2012,1,7,19,13.42,39.71,0.0,0.0,0.0,280.75,6.46,225.0,1010.6,
2012,1,7,20,12.94,40.81,0.0,0.0,0.0,282.38,6.32,231.0,1010.8,
2012,1,7,21,12.46,41.9,0.0,0.0,0.0,284.02,6.18,236.0,1011.0,
2012,1,7,22,11.98,43.0,0.0,0.0,0.0,285.65,6.04,242.0,1011.2,
2012,1,7,23,11.53,45.95,0.0,0.0,0.0,279.78,6.01,242.0,1011.23,
2012,1,8,0,11.08,48.9,0.0,0.0,0.0,273.92,5.98,242.0,1011.27,
2012,1,8,1,10.63,51.85,0.0,0.0,0.0,268.05,5.94,242.0,1011.3,
2012,1,8,2,10.19,54.87,0.0,0.0,0.0,265.15,5.99,242.0,1011.63,
2012,1,8,3,9.74,57.89,0.0,0.0,0.0,262.25,6.03,242.0,1011.97,
2012,1,8,4,9.3,60.91,0.0,0.0,0.0,259.35,6.07,242.0,1012.3,
2012,1,8,5,9.51,61.9,0.0,0.0,0.0,259.23,6.18,242.0,1012.97,
2012,1,8,6,9.72,62.88,0.0,0.0,0.0,259.12,6.29,242.0,1013.63,
2012,1,8,7,9.93,63.87,0.0,0.0,0.0,259.0,6.4,242.0,1014.3,
2012,1,8,8,11.42,60.79,170.0,490.73,68.0,266.13,6.87,244.0,1014.63,
2012,1,8,9,12.91,57.72,348.0,650.82,107.0,273.27,7.34,247.0,1014.97,
2012,1,8,10,14.4,54.64,495.0,748.77,125.0,280.4,7.81,249.0,1015.3,
2012,1,8,11,15.01,51.81,582.0,763.65,146.0,285.62,7.84,252.0,1014.83,
2012,1,8,12,15.62,48.98,614.0,789.3,144.0,290.83,7.87,255.0,1014.37,
2012,1,8,13,16.22,46.15,572.0,745.52,150.0,296.05,7.9,257.0,1013.9,
