Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2511,Beni Suef,EGY,Egypt,29.0803812856,31.0900296618,2,31.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,11.14,81.0,0.0,0.0,0.0,281.36,4.51,350.0,1026.05,
2006,1,1,1,11.05,81.43,0.0,0.0,0.0,284.03,4.28,352.0,1026.12,
2006,1,1,2,10.96,81.87,0.0,0.0,0.0,286.69,4.06,60.0,1014.16,
2006,1,1,3,10.87,82.3,0.0,0.0,0.0,289.35,3.83,72.0,1013.97,
2006,1,1,4,10.78,82.74,0.0,0.0,0.0,292.01,3.61,83.0,1013.77,
2006,1,1,5,10.69,83.18,0.0,0.0,0.0,294.67,3.38,86.0,1013.93,
2006,1,1,6,10.6,83.61,0.0,0.0,0.0,297.33,3.16,89.0,1014.1,
2006,1,1,7,10.51,84.05,6.0,0.0,6.0,300.0,2.93,92.0,1014.26,
2006,1,1,8,10.42,84.48,185.15,390.84,90.35,302.66,2.71,91.0,1014.16,
2006,1,1,9,10.32,84.92,187.0,27.27,176.0,305.32,2.48,90.0,1014.06,
2006,1,1,10,18.19,62.08,515.95,697.61,150.6,315.9,1.64,90.0,1013.97,
2006,1,1,11,19.59,57.05,539.0,461.84,264.0,324.1,1.49,43.0,1013.2,
2006,1,1,12,20.99,52.03,558.0,466.06,272.0,332.3,1.33,356.0,1012.44,
2006,1,1,13,22.39,47.0,557.0,585.7,219.0,340.5,1.17,310.0,1011.67,
2006,1,1,14,20.84,53.87,362.0,229.39,250.0,339.83,1.73,319.0,1011.71,
2006,1,1,15,19.29,60.75,304.0,450.18,145.0,339.17,2.29,328.0,1011.74,
2006,1,1,16,17.74,67.62,88.0,60.73,77.0,338.5,2.84,337.0,1011.77,
2006,1,1,17,16.35,71.06,0.0,0.0,0.0,337.12,2.76,349.0,1011.97,
