Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2522,El Arish,EGY,Egypt,31.1248818146,33.8005618884,2,26.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,12.35,57.4,0.0,0.0,0.0,290.08,2.0,261.0,1012.94,
2008,1,1,1,12.13,54.07,0.0,0.0,0.0,289.25,2.23,235.0,1012.87,
2008,1,1,2,11.91,50.73,0.0,0.0,0.0,288.42,2.46,171.0,1009.28,
2008,1,1,3,11.69,47.39,0.0,0.0,0.0,287.59,2.69,175.0,1009.08,
2008,1,1,4,11.47,44.05,0.0,0.0,0.0,286.77,2.92,179.0,1008.88,
2008,1,1,5,11.25,40.71,0.0,0.0,0.0,285.94,3.15,183.0,1009.05,
2008,1,1,6,11.03,37.38,0.0,0.0,0.0,285.11,3.38,186.0,1009.22,
2008,1,1,7,10.81,34.04,5.0,0.0,5.0,284.28,3.61,190.0,1009.38,
2008,1,1,8,10.59,30.7,24.0,0.0,24.0,283.46,3.83,202.0,1009.48,
2008,1,1,9,10.37,27.36,108.0,0.0,108.0,282.63,4.06,213.0,1009.58,
2008,1,1,10,18.43,19.43,545.0,833.17,117.0,301.1,3.5,225.0,1009.68,
2008,1,1,11,18.87,19.42,563.0,621.31,206.0,302.87,3.79,237.0,1009.35,
2008,1,1,12,19.32,19.42,524.0,454.9,259.0,304.63,4.08,249.0,1009.02,
2008,1,1,13,19.76,19.41,590.0,936.62,87.0,306.4,4.37,262.0,1008.68,
2008,1,1,14,18.77,22.09,466.0,865.89,84.0,303.63,3.82,272.0,1008.82,
2008,1,1,15,17.78,24.77,226.0,288.6,139.0,300.87,3.26,283.0,1008.95,
2008,1,1,16,16.79,27.45,81.0,235.42,51.0,298.1,2.7,294.0,1009.08,
2008,1,1,17,15.64,32.53,0.0,0.0,0.0,297.45,2.33,286.0,1009.55,
2008,1,1,18,14.5,37.6,0.0,0.0,0.0,296.8,1.95,279.0,1010.01,
2008,1,1,19,13.36,42.68,0.0,0.0,0.0,296.15,1.57,272.0,1010.48,
2008,1,1,20,12.66,44.35,0.0,0.0,0.0,294.17,1.8,258.0,1010.75,
2008,1,1,21,11.97,46.02,0.0,0.0,0.0,292.18,2.03,244.0,1011.01,
2008,1,1,22,11.28,47.69,0.0,0.0,0.0,290.2,2.26,231.0,1011.28,
2008,1,1,23,10.85,47.94,0.0,0.0,0.0,285.92,2.51,227.0,1011.24,
2008,1,2,0,10.43,48.19,0.0,0.0,0.0,281.63,2.76,223.0,1011.21,
2008,1,2,1,10.01,48.44,0.0,0.0,0.0,277.35,3.01,219.0,1011.18,
2008,1,2,2,9.63,50.36,0.0,0.0,0.0,273.75,3.16,218.0,1011.31,
2008,1,2,3,9.25,52.27,0.0,0.0,0.0,270.15,3.31,218.0,1011.44,
2008,1,2,4,8.86,54.19,0.0,0.0,0.0,266.55,3.46,218.0,1011.58,
2008,1,2,5,9.29,53.24,0.0,0.0,0.0,264.72,3.41,220.0,1012.14,
2008,1,2,6,9.72,52.29,0.0,0.0,0.0,262.88,3.35,221.0,1012.71,
2008,1,2,7,10.15,51.34,37.0,155.95,26.0,261.05,3.3,223.0,1013.27,
2008,1,2,8,12.27,45.58,225.0,549.8,86.0,264.55,3.52,234.0,1013.37,
2008,1,2,9,14.38,39.82,356.0,465.17,168.0,268.05,3.75,245.0,1013.47,
2008,1,2,10,16.5,34.06,531.0,758.42,141.0,271.55,3.97,256.0,1013.57,
2008,1,2,11,16.88,32.3,592.0,731.5,171.0,271.18,4.0,263.0,1013.04,
2008,1,2,12,17.27,30.55,612.0,779.24,157.0,270.82,4.03,270.0,1012.51,
2008,1,2,13,17.65,28.79,531.0,644.08,184.0,270.45,4.06,277.0,1011.97,
2008,1,2,14,16.8,32.26,425.0,620.53,150.0,267.68,3.54,288.0,1012.07,
2008,1,2,15,15.95,35.74,198.0,167.95,147.0,264.92,3.03,298.0,1012.17,
2008,1,2,16,15.11,39.21,76.0,169.56,54.0,262.15,2.51,309.0,1012.27,
2008,1,2,17,14.29,44.64,0.0,0.0,0.0,261.88,2.13,317.0,1012.71,
2008,1,2,18,13.48,50.06,0.0,0.0,0.0,261.62,1.75,325.0,1013.14,
2008,1,2,19,12.67,55.49,0.0,0.0,0.0,261.35,1.37,333.0,1013.57,
2008,1,2,20,12.76,55.94,0.0,0.0,0.0,261.92,0.96,283.0,1013.57,
2008,1,2,21,12.86,56.39,0.0,0.0,0.0,262.48,0.56,232.0,1013.57,
2008,1,2,22,12.96,56.84,0.0,0.0,0.0,263.05,0.15,182.0,1013.57,
2008,1,2,23,12.62,58.56,0.0,0.0,0.0,261.72,0.6,180.0,1013.5,
2008,1,3,0,12.28,60.27,0.0,0.0,0.0,260.38,1.04,178.0,1013.44,
2008,1,3,1,11.94,61.99,0.0,0.0,0.0,259.05,1.49,176.0,1013.37,
2008,1,3,2,10.51,65.84,0.0,0.0,0.0,256.95,1.82,178.0,1013.24,
2008,1,3,3,9.07,69.7,0.0,0.0,0.0,254.85,2.14,180.0,1013.1,
2008,1,3,4,7.63,73.55,0.0,0.0,0.0,252.75,2.47,182.0,1012.97,
2008,1,3,5,8.34,69.74,0.0,0.0,0.0,252.85,2.44,188.0,1013.44,
2008,1,3,6,9.05,65.94,0.0,0.0,0.0,252.95,2.41,194.0,1013.9,
2008,1,3,7,9.75,62.13,24.0,28.54,22.0,253.05,2.39,200.0,1014.37,
2008,1,3,8,11.99,56.73,47.0,0.0,47.0,260.77,2.71,223.0,1014.57,
2008,1,3,9,14.23,51.32,412.0,771.57,100.0,268.48,3.04,247.0,1014.77,
2008,1,3,10,16.48,45.92,522.0,716.71,153.0,276.2,3.37,270.0,1014.97,
2008,1,3,11,16.74,43.08,596.0,745.77,166.0,278.28,3.85,276.0,1014.57,
