Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2518,Sohag,EGY,Egypt,26.5504065135,31.7000182686,2,77.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,12.49,63.56,0.0,0.0,0.0,277.87,4.0,344.0,1019.48,
2005,1,1,1,12.81,63.93,0.0,0.0,0.0,280.93,3.65,346.0,1019.64,
2005,1,1,2,13.14,64.3,0.0,0.0,0.0,283.99,3.31,62.0,1008.25,
2005,1,1,3,13.46,64.67,0.0,0.0,0.0,287.05,2.96,62.0,1008.25,
2005,1,1,4,13.79,65.04,0.0,0.0,0.0,290.11,2.62,62.0,1008.25,
2005,1,1,5,14.12,65.4,0.0,0.0,0.0,293.17,2.27,66.0,1008.48,
2005,1,1,6,14.44,65.77,0.0,0.0,0.0,296.23,1.92,71.0,1008.71,
2005,1,1,7,14.77,66.14,1.0,12.38,0.0,299.29,1.58,76.0,1008.94,
2005,1,1,8,15.09,66.51,180.0,404.18,69.0,302.35,1.23,87.0,1008.84,
2005,1,1,9,15.42,66.88,384.0,648.56,100.0,305.41,0.88,98.0,1008.74,
2005,1,1,10,22.93,34.33,550.0,768.67,120.0,313.95,1.46,109.0,1008.64,
2005,1,1,11,24.19,31.91,646.0,779.85,154.0,316.18,1.45,131.0,1007.82,
2005,1,1,12,25.44,29.5,705.0,883.43,133.0,318.42,1.44,154.0,1006.99,
2005,1,1,13,26.7,27.08,671.0,866.74,144.0,320.65,1.43,176.0,1006.16,
2005,1,1,14,26.43,26.56,583.0,894.73,122.0,316.47,1.23,181.0,1006.0,
2005,1,1,15,26.17,26.04,437.0,913.62,94.0,312.28,1.03,185.0,1005.83,
2005,1,1,16,25.9,25.52,232.0,767.18,80.0,308.1,0.83,190.0,1005.67,
2005,1,1,17,22.97,34.06,0.0,0.0,0.0,305.17,0.88,237.0,1006.1,
2005,1,1,18,20.04,42.6,0.0,0.0,0.0,302.23,0.94,285.0,1006.53,
2005,1,1,19,17.11,51.14,0.0,0.0,0.0,299.3,0.99,333.0,1006.96,
2005,1,1,20,16.38,53.74,0.0,0.0,0.0,299.78,1.53,338.0,1006.96,
2005,1,1,21,15.65,56.35,0.0,0.0,0.0,300.27,2.06,342.0,1006.96,
2005,1,1,22,14.92,58.95,0.0,0.0,0.0,300.75,2.59,346.0,1006.96,
