Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
786630,Ilopango/S_Salvador,SLV,El Salvador,13.7,-89.12,-6.0,621,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,20.9,79.43,0.0,0.0,0.0,407.98,1.79,74.0,941.41,
2008,1,1,1,20.19,81.02,0.0,0.0,0.0,408.95,1.72,69.0,941.25,
2008,1,1,2,20.79,84.8,0.0,0.0,0.0,405.55,2.25,64.0,941.1,
2008,1,1,3,20.68,84.72,0.0,0.0,0.0,405.53,2.41,60.0,941.44,
2008,1,1,4,20.58,84.65,0.0,0.0,0.0,405.52,2.57,56.0,941.78,
2008,1,1,5,20.47,84.57,0.0,0.0,0.0,405.5,2.73,52.0,942.12,
2008,1,1,6,22.29,80.34,0.0,0.0,0.0,404.73,3.02,47.0,942.68,
2008,1,1,7,24.1,76.1,68.0,136.41,49.0,403.97,3.3,43.0,943.24,
2008,1,1,8,25.91,71.87,323.0,718.48,68.0,403.2,3.59,39.0,943.79,
2008,1,1,9,27.67,66.33,405.0,314.78,235.0,404.65,3.92,44.0,943.21,
2008,1,1,10,29.42,60.8,247.0,14.66,237.0,406.1,4.26,48.0,942.62,
2008,1,1,11,31.18,55.26,615.0,312.45,374.0,407.55,4.59,53.0,942.03,
2008,1,1,12,31.24,53.92,851.0,939.27,98.0,409.82,4.73,63.0,941.16,
2008,1,1,13,31.3,52.58,616.0,319.02,370.0,412.08,4.87,73.0,940.29,
2008,1,1,14,31.36,51.24,453.0,174.57,334.0,414.35,5.01,83.0,939.43,
2008,1,1,15,29.54,54.25,441.0,441.18,203.0,414.3,4.74,80.0,939.74,
2008,1,1,16,27.73,57.26,239.0,287.98,137.0,414.25,4.48,77.0,940.05,
2008,1,1,17,25.91,60.27,91.0,288.87,51.0,414.2,4.22,74.0,940.36,
2008,1,1,18,24.95,62.41,0.0,0.0,0.0,416.23,4.14,68.0,941.1,
2008,1,1,19,23.98,64.56,0.0,0.0,0.0,418.27,4.06,62.0,941.84,
2008,1,1,20,23.02,66.7,0.0,0.0,0.0,420.3,3.99,56.0,942.59,
2008,1,1,21,22.79,66.44,0.0,0.0,0.0,416.33,4.29,52.0,942.49,
