Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,229,Evinayong,GNQ,Equatorial Guinea,1.44999908525,10.5667025515,1,677.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,20.77,0.5,0.0,0.0,0.0,398.77,1.41,225.0,936.04,
2011,1,1,1,20.7,0.5,0.0,0.0,0.0,399.3,1.43,214.0,930.48,
2011,1,1,2,20.63,0.5,0.0,0.0,0.0,399.82,1.46,234.0,930.08,
2011,1,1,3,20.56,0.5,0.0,0.0,0.0,400.35,1.49,254.0,929.68,
2011,1,1,4,20.49,0.5,0.0,0.0,0.0,400.88,1.51,250.0,930.05,
2011,1,1,5,20.43,0.5,0.0,0.0,0.0,401.4,1.54,246.0,930.42,
2011,1,1,6,20.36,0.5,0.0,0.0,0.0,401.93,1.57,242.0,930.79,
2011,1,1,7,20.29,0.5,66.0,29.46,61.0,402.46,1.59,291.0,931.12,
2011,1,1,8,20.22,0.5,167.0,25.18,157.0,402.99,1.62,339.0,931.46,
2011,1,1,9,25.28,78.84,447.0,271.41,285.0,419.3,1.17,27.0,931.8,
2011,1,1,10,26.37,72.61,704.0,566.71,276.0,416.3,1.84,23.0,930.82,
2011,1,1,11,27.45,66.38,727.0,380.75,399.0,413.3,2.51,20.0,929.83,
2011,1,1,12,28.54,60.15,826.0,495.43,376.0,410.3,3.19,16.0,928.85,
2011,1,1,13,28.36,59.54,915.0,761.86,235.0,408.8,2.87,14.0,928.23,
2011,1,1,14,28.18,58.92,829.0,757.98,211.0,407.3,2.56,11.0,927.62,
2011,1,1,15,28.01,58.31,575.0,410.65,295.0,405.8,2.25,9.0,927.0,
2011,1,1,16,26.46,67.54,417.0,432.93,200.0,403.4,2.36,331.0,927.62,
2011,1,1,17,24.9,76.77,207.0,314.92,117.0,401.0,2.47,294.0,928.23,
2011,1,1,18,23.35,86.0,12.0,0.0,12.0,398.6,2.58,257.0,928.85,
2011,1,1,19,22.65,89.35,0.0,0.0,0.0,394.83,2.64,253.0,929.62,
2011,1,1,20,21.95,92.71,0.0,0.0,0.0,391.07,2.71,250.0,930.39,
2011,1,1,21,21.25,96.06,0.0,0.0,0.0,387.3,2.77,246.0,931.15,
2011,1,1,22,21.14,97.29,0.0,0.0,0.0,386.32,2.69,243.0,930.97,
2011,1,1,23,21.03,98.53,0.0,0.0,0.0,385.33,2.62,240.0,930.79,
2011,1,2,0,20.92,99.76,0.0,0.0,0.0,384.35,2.54,236.0,930.6,
2011,1,2,1,20.81,99.65,0.0,0.0,0.0,390.68,2.4,242.0,930.2,
2011,1,2,2,20.7,99.53,0.0,0.0,0.0,397.02,2.25,247.0,929.8,
2011,1,2,3,20.59,99.42,0.0,0.0,0.0,403.35,2.11,252.0,929.4,
2011,1,2,4,20.71,99.1,0.0,0.0,0.0,407.43,2.09,251.0,929.77,
2011,1,2,5,20.83,98.78,0.0,0.0,0.0,411.52,2.06,250.0,930.14,
2011,1,2,6,20.95,98.46,0.0,0.0,0.0,415.6,2.04,249.0,930.51,
2011,1,2,7,22.19,96.2,78.0,71.38,66.0,414.52,1.56,264.0,930.85,
2011,1,2,8,23.42,93.93,316.0,391.56,161.0,413.43,1.08,280.0,931.18,
2011,1,2,9,24.66,91.67,530.0,511.79,225.0,412.35,0.59,296.0,931.52,
2011,1,2,10,25.13,88.52,745.0,692.93,222.0,408.93,0.59,298.0,930.69,
2011,1,2,11,25.61,85.38,829.0,615.23,299.0,405.52,0.58,301.0,929.86,
2011,1,2,12,26.08,82.23,671.0,222.27,469.0,402.1,0.58,304.0,929.03,
2011,1,2,13,25.77,86.71,338.0,4.48,334.0,404.35,0.92,303.0,928.73,
2011,1,2,14,25.47,91.18,822.0,731.02,225.0,406.6,1.26,301.0,928.42,
2011,1,2,15,25.17,95.66,646.0,618.87,223.0,408.85,1.6,300.0,928.11,
2011,1,2,16,24.12,97.02,444.0,530.73,177.0,409.62,1.7,299.0,928.73,
2011,1,2,17,23.06,98.39,223.0,403.19,107.0,410.38,1.8,297.0,929.34,
2011,1,2,18,22.01,99.75,13.0,0.0,13.0,411.15,1.9,296.0,929.96,
2011,1,2,19,21.65,99.68,0.0,0.0,0.0,408.9,1.86,295.0,930.82,
2011,1,2,20,21.29,99.61,0.0,0.0,0.0,406.65,1.81,293.0,931.68,
2011,1,2,21,20.92,99.54,0.0,0.0,0.0,404.4,1.77,292.0,932.54,
2011,1,2,22,20.75,99.63,0.0,0.0,0.0,401.98,1.68,269.0,932.26,
2011,1,2,23,20.57,99.71,0.0,0.0,0.0,399.57,1.6,246.0,931.98,
2011,1,3,0,20.4,99.8,0.0,0.0,0.0,397.15,1.52,222.0,931.71,
2011,1,3,1,20.48,99.78,0.0,0.0,0.0,404.9,1.52,213.0,931.03,
2011,1,3,2,20.55,99.75,0.0,0.0,0.0,412.65,1.52,204.0,930.35,
2011,1,3,3,20.63,99.73,0.0,0.0,0.0,420.4,1.52,195.0,929.68,
2011,1,3,4,20.66,99.75,0.0,0.0,0.0,419.03,1.44,181.0,930.02,
