Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2489,Mongomo,GNQ,Equatorial Guinea,1.63368450816,11.3165596096,1,640.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,22.34,94.1,0.0,0.0,0.0,408.47,1.74,248.0,939.11,
2005,1,1,1,22.23,93.97,0.0,0.0,0.0,410.92,1.73,285.0,938.55,
2005,1,1,2,22.11,93.83,0.0,0.0,0.0,413.37,1.71,285.0,938.55,
2005,1,1,3,22.0,93.7,0.0,0.0,0.0,415.82,1.7,285.0,938.55,
2005,1,1,4,21.88,93.56,0.0,0.0,0.0,418.27,1.68,281.0,938.98,
2005,1,1,5,21.77,93.43,0.0,0.0,0.0,420.72,1.66,276.0,939.42,
2005,1,1,6,21.66,93.29,0.0,0.0,0.0,423.17,1.65,271.0,939.85,
2005,1,1,7,21.54,93.16,38.0,33.27,32.0,425.62,1.63,278.0,940.16,
2005,1,1,8,21.43,93.02,215.0,172.1,145.0,428.07,1.62,285.0,940.47,
2005,1,1,9,25.95,75.89,407.0,267.93,245.0,417.1,1.66,292.0,940.78,
2005,1,1,10,27.19,71.48,604.0,389.17,308.0,416.05,1.31,298.0,939.79,
2005,1,1,11,28.42,67.08,782.0,545.17,311.0,415.0,0.97,304.0,938.8,
2005,1,1,12,29.65,62.67,720.0,302.97,445.0,413.95,0.63,310.0,937.81,
2005,1,1,13,29.7,65.07,870.0,612.07,326.0,414.4,0.63,303.0,937.32,
2005,1,1,14,29.74,67.47,866.0,792.77,225.0,414.85,0.63,295.0,936.82,
2005,1,1,15,29.79,69.87,713.0,724.19,226.0,415.3,0.62,288.0,936.33,
2005,1,1,16,28.12,76.86,460.0,436.91,246.0,411.63,0.5,231.0,936.95,
2005,1,1,17,26.45,83.85,209.0,161.18,165.0,407.97,0.37,175.0,937.56,
2005,1,1,18,24.78,90.84,50.0,0.0,50.0,404.3,0.25,119.0,938.18,
2005,1,1,19,24.04,92.94,0.0,0.0,0.0,402.27,0.35,97.0,939.02,
2005,1,1,20,23.31,95.03,0.0,0.0,0.0,400.23,0.45,74.0,939.85,
2005,1,1,21,22.58,97.13,0.0,0.0,0.0,398.2,0.55,52.0,940.68,
2005,1,1,22,22.19,97.83,0.0,0.0,0.0,396.77,0.8,357.0,940.71,
2005,1,1,23,21.81,98.52,0.0,0.0,0.0,395.33,1.06,301.0,940.74,
2005,1,2,0,21.43,99.22,0.0,0.0,0.0,393.9,1.31,246.0,940.78,
2005,1,2,1,21.01,99.38,0.0,0.0,0.0,404.98,1.4,251.0,940.13,
2005,1,2,2,20.59,99.53,0.0,0.0,0.0,416.07,1.49,257.0,939.48,
2005,1,2,3,20.18,99.69,0.0,0.0,0.0,427.15,1.59,263.0,938.83,
2005,1,2,4,20.3,99.42,0.0,0.0,0.0,424.27,1.6,262.0,939.2,
2005,1,2,5,20.42,99.14,0.0,0.0,0.0,421.38,1.6,260.0,939.57,
2005,1,2,6,20.54,98.87,0.0,0.0,0.0,418.5,1.61,259.0,939.94,
2005,1,2,7,21.9,96.57,26.0,5.59,25.0,421.1,1.57,262.0,940.28,
2005,1,2,8,23.26,94.27,207.0,152.92,145.0,423.7,1.52,264.0,940.62,
2005,1,2,9,24.61,91.97,477.0,475.37,190.0,426.3,1.48,267.0,940.96,
2005,1,2,10,25.03,91.02,676.0,585.41,231.0,425.28,1.23,275.0,940.13,
2005,1,2,11,25.44,90.07,745.0,457.18,350.0,424.27,0.99,284.0,939.29,
2005,1,2,12,25.85,89.12,823.0,498.79,370.0,423.25,0.74,293.0,938.46,
2005,1,2,13,26.19,84.49,907.0,705.81,279.0,416.87,0.81,285.0,938.4,
2005,1,2,14,26.53,79.87,877.0,823.53,210.0,410.48,0.88,276.0,938.34,
2005,1,2,15,26.87,75.24,718.0,738.71,220.0,404.1,0.95,268.0,938.27,
2005,1,2,16,25.72,80.99,529.0,709.84,180.0,400.2,1.13,274.0,938.21,
2005,1,2,17,24.57,86.74,291.0,552.89,139.0,396.3,1.3,281.0,938.15,
2005,1,2,18,23.43,92.49,50.0,0.0,50.0,392.4,1.48,287.0,938.09,
2005,1,2,19,22.75,93.59,0.0,0.0,0.0,389.2,1.58,273.0,938.89,
2005,1,2,20,22.08,94.69,0.0,0.0,0.0,386.0,1.68,260.0,939.69,
2005,1,2,21,21.41,95.79,0.0,0.0,0.0,382.8,1.78,246.0,940.5,
2005,1,2,22,20.86,96.83,0.0,0.0,0.0,381.65,1.69,237.0,940.31,
2005,1,2,23,20.31,97.86,0.0,0.0,0.0,380.5,1.6,227.0,940.13,
2005,1,3,0,19.77,98.9,0.0,0.0,0.0,379.35,1.5,218.0,939.94,
2005,1,3,1,19.39,99.13,0.0,0.0,0.0,378.77,1.39,232.0,939.35,
2005,1,3,2,19.01,99.35,0.0,0.0,0.0,378.18,1.28,246.0,938.77,
2005,1,3,3,18.63,99.58,0.0,0.0,0.0,377.6,1.17,260.0,938.18,
2005,1,3,4,18.82,99.31,0.0,0.0,0.0,378.57,1.09,276.0,938.46,
2005,1,3,5,19.01,99.05,0.0,0.0,0.0,379.53,1.01,292.0,938.74,
2005,1,3,6,19.2,98.78,0.0,0.0,0.0,380.5,0.92,307.0,939.02,
2005,1,3,7,21.33,91.84,17.0,0.0,17.0,392.52,0.98,308.0,939.23,
2005,1,3,8,23.45,84.9,230.0,227.62,138.0,404.53,1.03,308.0,939.45,
2005,1,3,9,25.57,77.96,424.0,316.81,233.0,416.55,1.09,308.0,939.66,
2005,1,3,10,27.06,72.32,603.0,389.6,307.0,414.92,0.88,327.0,938.64,
2005,1,3,11,28.54,66.67,665.0,299.74,406.0,413.28,0.67,345.0,937.63,
2005,1,3,12,30.03,61.03,916.0,727.35,255.0,411.65,0.46,3.0,936.61,
2005,1,3,13,29.59,65.24,934.0,779.08,240.0,414.9,0.47,341.0,936.11,
2005,1,3,14,29.15,69.45,744.0,457.27,373.0,418.15,0.49,318.0,935.62,
2005,1,3,15,28.71,73.66,740.0,812.32,191.0,421.4,0.51,296.0,935.12,
2005,1,3,16,27.1,80.24,531.0,709.16,181.0,414.85,0.68,300.0,935.74,
2005,1,3,17,25.5,86.81,288.0,520.15,144.0,408.3,0.84,304.0,936.36,
2005,1,3,18,23.9,93.39,52.0,0.0,52.0,401.75,1.01,308.0,936.98,
2005,1,3,19,23.13,94.99,0.0,0.0,0.0,399.45,1.1,299.0,937.59,
2005,1,3,20,22.36,96.6,0.0,0.0,0.0,397.15,1.2,291.0,938.21,
2005,1,3,21,21.6,98.2,0.0,0.0,0.0,394.85,1.3,282.0,938.83,
2005,1,3,22,21.29,98.66,0.0,0.0,0.0,393.0,1.24,279.0,938.71,
2005,1,3,23,20.98,99.12,0.0,0.0,0.0,391.15,1.19,275.0,938.58,
2005,1,4,0,20.68,99.58,0.0,0.0,0.0,389.3,1.13,272.0,938.46,
2005,1,4,1,20.38,99.58,0.0,0.0,0.0,391.28,1.09,269.0,938.15,
2005,1,4,2,20.08,99.57,0.0,0.0,0.0,393.27,1.05,266.0,937.84,
2005,1,4,3,19.79,99.57,0.0,0.0,0.0,395.25,1.01,263.0,937.53,
2005,1,4,4,19.88,99.4,0.0,0.0,0.0,397.25,0.97,268.0,937.75,
2005,1,4,5,19.98,99.22,0.0,0.0,0.0,399.25,0.93,273.0,937.97,
2005,1,4,6,20.07,99.05,0.0,0.0,0.0,401.25,0.9,278.0,938.18,
2005,1,4,7,22.03,92.88,34.0,28.47,29.0,410.17,0.86,296.0,938.4,
2005,1,4,8,23.99,86.7,172.0,74.45,142.0,419.08,0.82,314.0,938.61,
2005,1,4,9,25.94,80.53,415.0,293.98,238.0,428.0,0.79,332.0,938.83,
2005,1,4,10,26.66,79.86,571.0,319.99,328.0,422.17,0.7,343.0,937.87,
2005,1,4,11,27.37,79.2,665.0,299.69,406.0,416.33,0.62,354.0,936.92,
2005,1,4,12,28.09,78.53,855.0,569.6,337.0,410.5,0.54,6.0,935.96,
2005,1,4,13,28.91,73.48,728.0,311.71,450.0,413.65,0.68,359.0,935.4,
2005,1,4,14,29.72,68.44,775.0,525.35,348.0,416.8,0.82,352.0,934.85,
2005,1,4,15,30.54,63.39,682.0,605.1,272.0,419.95,0.97,345.0,934.29,
2005,1,4,16,28.79,73.16,539.0,738.76,173.0,416.3,1.02,349.0,934.94,
2005,1,4,17,27.04,82.92,308.0,645.69,128.0,412.65,1.08,354.0,935.59,
2005,1,4,18,25.29,92.69,53.0,0.0,53.0,409.0,1.13,358.0,936.24,
2005,1,4,19,24.52,93.94,0.0,0.0,0.0,405.22,1.22,343.0,937.04,
2005,1,4,20,23.75,95.2,0.0,0.0,0.0,401.43,1.31,328.0,937.84,
2005,1,4,21,22.98,96.45,0.0,0.0,0.0,397.65,1.39,313.0,938.64,
2005,1,4,22,22.58,97.32,0.0,0.0,0.0,395.42,1.5,298.0,938.64,
2005,1,4,23,22.19,98.2,0.0,0.0,0.0,393.18,1.61,283.0,938.64,
2005,1,5,0,21.8,99.07,0.0,0.0,0.0,390.95,1.72,267.0,938.64,
