Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2842,Jijiga,ETH,Ethiopia,9.35042278944,42.7899873441,3,1662.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,17.13,60.18,0.0,0.0,0.0,365.16,3.19,8.0,830.54,
2014,1,1,1,17.2,60.2,0.0,0.0,0.0,360.04,3.05,7.0,830.34,
2014,1,1,2,17.27,60.21,0.0,0.0,0.0,354.91,2.91,6.0,830.15,
2014,1,1,3,17.34,60.23,0.0,0.0,0.0,349.79,2.77,12.0,829.61,
2014,1,1,4,17.42,60.24,0.0,0.0,0.0,344.66,2.63,11.0,829.88,
2014,1,1,5,17.49,60.25,0.0,0.0,0.0,339.54,2.49,11.0,830.15,
2014,1,1,6,17.56,60.27,0.0,0.0,0.0,334.42,2.35,16.0,830.75,
2014,1,1,7,17.63,60.28,37.0,231.05,22.0,329.29,2.21,20.0,831.35,
2014,1,1,8,17.7,60.3,272.0,671.79,75.0,324.17,2.06,24.0,831.95,
2014,1,1,9,17.77,60.31,512.0,828.54,100.0,319.04,1.92,24.0,831.03,
2014,1,1,10,17.85,60.33,729.0,965.23,89.0,313.92,1.78,24.0,830.1,
2014,1,1,11,25.12,31.03,855.0,925.14,134.0,349.9,2.36,24.0,829.17,
2014,1,1,12,25.54,29.46,713.0,363.88,408.0,353.68,2.85,22.0,828.08,
2014,1,1,13,25.95,27.89,613.0,201.06,445.0,357.47,3.34,19.0,826.99,
2014,1,1,14,26.36,26.32,587.0,241.02,401.0,361.25,3.83,17.0,825.9,
2014,1,1,15,25.54,28.31,604.0,540.78,252.0,362.63,3.6,23.0,826.34,
2014,1,1,16,24.71,30.29,475.0,727.0,125.0,364.02,3.37,29.0,826.77,
2014,1,1,17,23.89,32.28,236.0,542.18,87.0,365.4,3.13,36.0,827.21,
2014,1,1,18,22.61,36.12,12.0,0.0,12.0,370.32,2.97,34.0,828.24,
2014,1,1,19,21.33,39.97,0.0,0.0,0.0,375.23,2.82,33.0,829.28,
2014,1,1,20,20.06,43.81,0.0,0.0,0.0,380.15,2.66,32.0,830.32,
2014,1,1,21,19.04,49.01,0.0,0.0,0.0,375.83,2.39,28.0,830.43,
2014,1,1,22,18.02,54.22,0.0,0.0,0.0,371.52,2.12,23.0,830.54,
2014,1,1,23,17.01,59.42,0.0,0.0,0.0,367.2,1.85,19.0,830.64,
2014,1,2,0,16.33,63.7,0.0,0.0,0.0,358.83,2.01,16.0,830.32,
2014,1,2,1,15.64,67.97,0.0,0.0,0.0,350.47,2.17,14.0,829.99,
2014,1,2,2,14.96,72.25,0.0,0.0,0.0,342.1,2.33,11.0,829.66,
2014,1,2,3,14.57,74.41,0.0,0.0,0.0,338.45,2.34,15.0,829.94,
2014,1,2,4,14.18,76.56,0.0,0.0,0.0,334.8,2.36,19.0,830.21,
2014,1,2,5,13.8,78.72,0.0,0.0,0.0,331.15,2.37,23.0,830.48,
2014,1,2,6,15.85,69.34,0.0,0.0,0.0,331.15,2.57,27.0,831.05,
2014,1,2,7,17.9,59.97,35.0,220.56,21.0,331.15,2.76,30.0,831.63,
2014,1,2,8,19.95,50.59,225.0,349.23,123.0,331.15,2.95,33.0,832.2,
2014,1,2,9,21.68,43.63,492.0,725.15,132.0,336.12,2.74,35.0,831.46,
2014,1,2,10,23.4,36.68,709.0,879.76,126.0,341.08,2.53,36.0,830.73,
2014,1,2,11,25.13,29.72,661.0,365.65,376.0,346.05,2.32,37.0,829.99,
2014,1,2,12,25.54,28.02,765.0,473.31,368.0,347.18,2.56,38.0,828.95,
2014,1,2,13,25.95,26.32,916.0,907.22,157.0,348.32,2.8,38.0,827.92,
2014,1,2,14,26.35,24.62,808.0,787.68,199.0,349.45,3.03,39.0,826.88,
2014,1,2,15,25.24,27.11,713.0,957.59,88.0,346.0,3.11,38.0,827.4,
2014,1,2,16,24.13,29.6,477.0,728.15,125.0,342.55,3.19,38.0,827.92,
2014,1,2,17,23.02,32.09,232.0,491.16,96.0,339.1,3.27,37.0,828.44,
2014,1,2,18,21.25,38.33,13.0,0.0,13.0,337.48,3.1,35.0,829.28,
2014,1,2,19,19.48,44.57,0.0,0.0,0.0,335.87,2.93,33.0,830.13,
2014,1,2,20,17.71,50.81,0.0,0.0,0.0,334.25,2.76,31.0,830.97,
