Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4267,Nagele,ETH,Ethiopia,5.31661216117,39.5833096911,3,1547.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,18.18,46.1,0.0,0.0,0.0,321.29,3.1,70.0,842.12,
2012,1,1,1,18.08,45.56,0.0,0.0,0.0,318.82,3.18,57.0,842.01,
2012,1,1,2,17.98,45.03,0.0,0.0,0.0,316.35,3.27,44.0,841.9,
2012,1,1,3,17.88,44.49,0.0,0.0,0.0,313.88,3.35,34.0,841.84,
2012,1,1,4,17.79,43.96,0.0,0.0,0.0,311.41,3.43,31.0,842.28,
2012,1,1,5,17.69,43.43,0.0,0.0,0.0,308.94,3.51,27.0,842.73,
2012,1,1,6,17.59,42.89,0.0,0.0,0.0,306.47,3.6,36.0,843.11,
2012,1,1,7,17.49,42.36,101.0,519.66,34.0,304.0,3.68,46.0,843.5,
2012,1,1,8,17.39,41.82,353.0,804.77,66.0,301.53,3.76,56.0,843.89,
2012,1,1,9,17.29,41.29,594.0,918.31,82.0,299.06,3.85,58.0,843.2,
2012,1,1,10,17.2,40.76,786.0,954.03,101.0,296.59,3.93,61.0,842.51,
2012,1,1,11,24.42,19.35,923.0,989.04,105.0,320.45,4.74,63.0,841.81,
2012,1,1,12,25.04,17.86,992.0,1021.33,96.0,322.38,4.61,63.0,840.76,
2012,1,1,13,25.66,16.38,976.0,1017.03,96.0,324.32,4.48,63.0,839.71,
2012,1,1,14,26.28,14.89,882.0,993.93,95.0,326.25,4.34,63.0,838.66,
2012,1,1,15,25.37,15.81,718.0,945.74,92.0,324.55,3.78,69.0,838.74,
2012,1,1,16,24.46,16.74,501.0,873.16,78.0,322.85,3.22,75.0,838.83,
2012,1,1,17,23.56,17.66,247.0,662.98,67.0,321.15,2.66,81.0,838.91,
2012,1,1,18,21.57,21.29,0.0,0.0,0.0,317.8,2.74,86.0,839.49,
2012,1,1,19,19.58,24.93,0.0,0.0,0.0,314.45,2.82,90.0,840.07,
2012,1,1,20,17.59,28.56,0.0,0.0,0.0,311.1,2.9,95.0,840.65,
2012,1,1,21,16.56,33.95,0.0,0.0,0.0,308.8,2.83,88.0,840.74,
2012,1,1,22,15.53,39.35,0.0,0.0,0.0,306.5,2.77,81.0,840.82,
2012,1,1,23,14.5,44.74,0.0,0.0,0.0,304.2,2.7,74.0,840.9,
2012,1,2,0,13.99,45.6,0.0,0.0,0.0,302.47,2.7,59.0,840.82,
2012,1,2,1,13.48,46.45,0.0,0.0,0.0,300.73,2.7,44.0,840.74,
2012,1,2,2,12.98,47.31,0.0,0.0,0.0,299.0,2.7,29.0,840.65,
2012,1,2,3,12.53,50.98,0.0,0.0,0.0,299.9,2.68,21.0,841.15,
2012,1,2,4,12.08,54.64,0.0,0.0,0.0,300.8,2.65,13.0,841.65,
2012,1,2,5,11.64,58.31,0.0,0.0,0.0,301.7,2.62,4.0,842.15,
2012,1,2,6,14.23,50.24,0.0,0.0,0.0,305.62,3.33,15.0,842.64,
2012,1,2,7,16.82,42.16,99.0,502.33,35.0,309.53,4.04,26.0,843.14,
2012,1,2,8,19.41,34.09,348.0,776.62,72.0,313.45,4.74,36.0,843.64,
2012,1,2,9,21.06,30.95,587.0,885.59,94.0,321.13,4.57,46.0,842.87,
2012,1,2,10,22.71,27.8,786.0,953.19,102.0,328.82,4.39,56.0,842.09,
2012,1,2,11,24.36,24.66,923.0,988.95,105.0,336.5,4.21,66.0,841.32,
2012,1,2,12,24.94,23.12,992.0,1021.81,95.0,339.4,3.86,66.0,840.24,
2012,1,2,13,25.52,21.57,977.0,1016.99,96.0,342.3,3.52,67.0,839.16,
2012,1,2,14,26.11,20.03,883.0,993.42,95.0,345.2,3.17,68.0,838.08,
2012,1,2,15,25.34,20.72,723.0,962.87,84.0,342.28,2.86,74.0,838.11,
2012,1,2,16,24.56,21.4,506.0,888.2,74.0,339.37,2.56,80.0,838.14,
2012,1,2,17,23.79,22.09,251.0,691.03,62.0,336.45,2.25,86.0,838.16,
2012,1,2,18,21.8,26.57,0.0,0.0,0.0,333.22,2.45,90.0,838.74,
2012,1,2,19,19.81,31.06,0.0,0.0,0.0,329.98,2.64,94.0,839.33,
2012,1,2,20,17.83,35.54,0.0,0.0,0.0,326.75,2.84,98.0,839.91,
2012,1,2,21,16.98,40.66,0.0,0.0,0.0,324.35,2.73,92.0,839.96,
2012,1,2,22,16.13,45.79,0.0,0.0,0.0,321.95,2.62,87.0,840.02,
2012,1,2,23,15.29,50.91,0.0,0.0,0.0,319.55,2.51,81.0,840.07,
2012,1,3,0,14.85,53.3,0.0,0.0,0.0,317.45,2.49,63.0,840.02,
2012,1,3,1,14.4,55.68,0.0,0.0,0.0,315.35,2.47,44.0,839.96,
2012,1,3,2,13.96,58.07,0.0,0.0,0.0,313.25,2.46,26.0,839.91,
2012,1,3,3,13.48,61.77,0.0,0.0,0.0,313.57,2.4,10.0,840.27,
2012,1,3,4,13.0,65.46,0.0,0.0,0.0,313.88,2.35,354.0,840.63,
2012,1,3,5,12.52,69.16,0.0,0.0,0.0,314.2,2.3,337.0,840.98,
2012,1,3,6,15.02,60.03,0.0,0.0,0.0,317.25,2.46,351.0,841.65,
2012,1,3,7,17.52,50.91,94.0,444.74,38.0,320.3,2.61,4.0,842.31,
2012,1,3,8,20.02,41.78,345.0,762.29,75.0,323.35,2.76,17.0,842.98,
2012,1,3,9,21.62,36.58,586.0,885.08,94.0,330.77,2.96,34.0,842.23,
2012,1,3,10,23.21,31.38,785.0,953.65,101.0,338.18,3.15,51.0,841.48,
2012,1,3,11,24.81,26.18,928.0,1006.93,95.0,345.6,3.35,68.0,840.74,
2012,1,3,12,25.38,24.53,993.0,1021.09,96.0,348.1,3.2,68.0,839.69,
2012,1,3,13,25.95,22.87,978.0,1018.03,95.0,350.6,3.04,69.0,838.63,
2012,1,3,14,26.52,21.22,885.0,994.11,95.0,353.1,2.88,70.0,837.58,
2012,1,3,15,25.83,22.01,725.0,963.33,84.0,349.9,2.69,73.0,837.56,
2012,1,3,16,25.14,22.79,506.0,874.41,79.0,346.7,2.5,77.0,837.53,
2012,1,3,17,24.45,23.58,252.0,682.34,64.0,343.5,2.3,80.0,837.5,
2012,1,3,18,22.56,27.44,0.0,0.0,0.0,340.0,2.61,83.0,838.14,
2012,1,3,19,20.67,31.29,0.0,0.0,0.0,336.5,2.91,86.0,838.77,
2012,1,3,20,18.79,35.15,0.0,0.0,0.0,333.0,3.21,89.0,839.41,
2012,1,3,21,17.94,39.24,0.0,0.0,0.0,330.43,3.15,84.0,839.46,
2012,1,3,22,17.09,43.32,0.0,0.0,0.0,327.87,3.09,80.0,839.52,
2012,1,3,23,16.25,47.41,0.0,0.0,0.0,325.3,3.03,75.0,839.57,
2012,1,4,0,15.81,50.81,0.0,0.0,0.0,323.35,2.95,61.0,839.55,
2012,1,4,1,15.37,54.2,0.0,0.0,0.0,321.4,2.87,47.0,839.52,
2012,1,4,2,14.93,57.6,0.0,0.0,0.0,319.45,2.79,33.0,839.49,
2012,1,4,3,14.47,60.49,0.0,0.0,0.0,319.33,2.72,21.0,839.82,
2012,1,4,4,14.01,63.39,0.0,0.0,0.0,319.22,2.65,8.0,840.16,
2012,1,4,5,13.55,66.28,0.0,0.0,0.0,319.1,2.58,356.0,840.49,
2012,1,4,6,15.96,57.08,0.0,0.0,0.0,321.85,2.86,13.0,841.07,
2012,1,4,7,18.38,47.87,94.0,457.96,37.0,324.6,3.15,31.0,841.65,
2012,1,4,8,20.79,38.67,347.0,787.43,69.0,327.35,3.43,48.0,842.23,
2012,1,4,9,22.32,33.79,588.0,900.68,88.0,334.05,3.51,56.0,841.4,
2012,1,4,10,23.84,28.9,789.0,969.39,94.0,340.75,3.59,64.0,840.57,
2012,1,4,11,25.36,24.02,924.0,989.77,105.0,347.45,3.67,72.0,839.74,
