Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2782,Dieppe,FRA,French Republic,49.9337337434,1.08333410503,1,6.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,5.11,89.38,0.0,0.0,0.0,291.15,6.22,350.0,1014.28,
2014,1,1,1,5.14,88.99,0.0,0.0,0.0,287.15,6.43,212.0,1007.22,
2014,1,1,2,5.18,88.61,0.0,0.0,0.0,283.16,6.63,208.0,1007.15,
2014,1,1,3,5.21,88.22,0.0,0.0,0.0,279.16,6.84,204.0,1007.08,
2014,1,1,4,5.24,87.83,0.0,0.0,0.0,275.16,7.04,200.0,1006.58,
2014,1,1,5,5.27,87.45,0.0,0.0,0.0,271.16,7.25,195.0,1006.08,
2014,1,1,6,5.3,87.06,0.0,0.0,0.0,267.17,7.45,191.0,1005.58,
2014,1,1,7,5.33,86.68,0.0,0.0,0.0,263.17,7.66,187.0,1005.02,
2014,1,1,8,5.36,86.29,0.0,0.0,0.0,259.17,7.86,184.0,1004.45,
2014,1,1,9,6.16,88.33,0.0,0.0,0.0,287.15,8.43,181.0,1003.89,
2014,1,1,10,6.55,90.13,34.0,0.0,34.0,298.95,9.17,179.0,1002.59,
2014,1,1,11,6.95,91.93,60.0,0.0,60.0,310.75,9.92,177.0,1001.29,
2014,1,1,12,7.34,93.73,147.0,71.36,127.0,322.55,10.66,176.0,999.99,
2014,1,1,13,7.6,92.35,111.0,10.25,108.0,326.62,11.16,179.0,998.56,
2014,1,1,14,7.86,90.96,62.0,0.0,62.0,330.68,11.66,181.0,997.12,
2014,1,1,15,8.12,89.58,65.0,5.05,64.0,334.75,12.15,184.0,995.69,
2014,1,1,16,8.16,90.16,54.0,184.32,36.0,336.72,12.16,184.0,994.76,
2014,1,1,17,8.19,90.75,0.0,0.0,0.0,338.68,12.17,185.0,993.83,
2014,1,1,18,8.23,91.33,0.0,0.0,0.0,340.65,12.18,185.0,992.89,
2014,1,1,19,8.47,92.01,0.0,0.0,0.0,343.85,11.77,186.0,992.26,
2014,1,1,20,8.72,92.69,0.0,0.0,0.0,347.05,11.37,187.0,991.63,
2014,1,1,21,8.97,93.37,0.0,0.0,0.0,350.25,10.97,188.0,990.99,
2014,1,1,22,8.92,93.56,0.0,0.0,0.0,350.73,10.18,194.0,990.83,
2014,1,1,23,8.86,93.74,0.0,0.0,0.0,351.22,9.4,201.0,990.66,
2014,1,2,0,8.81,93.93,0.0,0.0,0.0,351.7,8.62,208.0,990.5,
2014,1,2,1,8.66,93.18,0.0,0.0,0.0,349.18,8.43,210.0,990.79,
2014,1,2,2,8.52,92.42,0.0,0.0,0.0,346.67,8.24,211.0,991.09,
2014,1,2,3,8.38,91.67,0.0,0.0,0.0,344.15,8.06,213.0,991.39,
2014,1,2,4,7.99,91.93,0.0,0.0,0.0,338.17,8.25,222.0,992.39,
2014,1,2,5,7.61,92.19,0.0,0.0,0.0,332.18,8.45,231.0,993.39,
2014,1,2,6,7.22,92.45,0.0,0.0,0.0,326.2,8.65,239.0,994.39,
2014,1,2,7,7.16,91.82,0.0,0.0,0.0,316.5,8.06,241.0,995.86,
2014,1,2,8,7.09,91.19,0.0,0.0,0.0,306.8,7.48,243.0,997.32,
2014,1,2,9,7.03,90.56,0.0,0.0,0.0,297.1,6.9,244.0,998.79,
2014,1,2,10,7.53,89.8,92.0,261.69,55.0,290.02,6.8,241.0,999.46,
2014,1,2,11,8.03,89.05,200.0,588.49,65.0,282.93,6.69,238.0,1000.12,
2014,1,2,12,8.54,88.29,254.0,621.75,79.0,275.85,6.59,235.0,1000.79,
2014,1,2,13,8.61,84.77,269.0,646.19,79.0,278.65,6.4,227.0,1001.22,
2014,1,2,14,8.67,81.26,230.0,540.85,86.0,281.45,6.22,220.0,1001.65,
2014,1,2,15,8.74,77.74,171.0,584.99,54.0,284.25,6.03,213.0,1002.09,
2014,1,2,16,8.32,79.58,58.0,220.4,36.0,284.05,6.11,208.0,1002.05,
2014,1,2,17,7.9,81.42,0.0,0.0,0.0,283.85,6.2,202.0,1002.02,
2014,1,2,18,7.47,83.26,0.0,0.0,0.0,283.65,6.29,197.0,1001.99,
2014,1,2,19,7.39,85.08,0.0,0.0,0.0,281.13,6.71,195.0,1001.79,
2014,1,2,20,7.31,86.9,0.0,0.0,0.0,278.62,7.14,193.0,1001.59,
2014,1,2,21,7.23,88.72,0.0,0.0,0.0,276.1,7.56,191.0,1001.39,
2014,1,2,22,7.37,87.51,0.0,0.0,0.0,282.32,8.26,189.0,1000.65,
2014,1,2,23,7.5,86.3,0.0,0.0,0.0,288.53,8.97,187.0,999.92,
2014,1,3,0,7.64,85.09,0.0,0.0,0.0,294.75,9.67,186.0,999.19,
2014,1,3,1,8.2,84.17,0.0,0.0,0.0,304.02,9.72,190.0,998.79,
2014,1,3,2,8.77,83.24,0.0,0.0,0.0,313.28,9.77,195.0,998.39,
2014,1,3,3,9.34,82.32,0.0,0.0,0.0,322.55,9.82,200.0,997.99,
2014,1,3,4,9.4,84.87,0.0,0.0,0.0,331.35,9.14,206.0,998.22,
2014,1,3,5,9.47,87.43,0.0,0.0,0.0,340.15,8.47,212.0,998.46,
2014,1,3,6,9.53,89.98,0.0,0.0,0.0,348.95,7.79,219.0,998.69,
2014,1,3,7,9.39,88.47,0.0,0.0,0.0,348.38,8.19,219.0,999.32,
2014,1,3,8,9.24,86.95,0.0,0.0,0.0,347.82,8.58,220.0,999.96,
2014,1,3,9,9.1,85.44,0.0,0.0,0.0,347.25,8.98,221.0,1000.59,
2014,1,3,10,9.38,83.68,29.0,0.0,29.0,339.95,8.84,221.0,1001.09,
2014,1,3,11,9.66,81.93,160.0,260.43,100.0,332.65,8.7,221.0,1001.59,
2014,1,3,12,9.95,80.17,156.0,91.95,130.0,325.35,8.57,221.0,1002.09,
2014,1,3,13,9.7,78.65,243.0,439.72,113.0,316.27,9.06,223.0,1002.09,
2014,1,3,14,9.45,77.13,48.0,0.0,48.0,307.18,9.56,225.0,1002.09,
2014,1,3,15,9.2,75.61,109.0,103.9,88.0,298.1,10.06,226.0,1002.09,
2014,1,3,16,8.75,73.45,8.0,0.0,8.0,289.87,9.5,228.0,1003.05,
2014,1,3,17,8.3,71.29,0.0,0.0,0.0,281.63,8.95,230.0,1004.02,
2014,1,3,18,7.86,69.13,0.0,0.0,0.0,273.4,8.4,232.0,1004.98,
2014,1,3,19,7.79,68.19,0.0,0.0,0.0,269.85,8.58,228.0,1005.65,
2014,1,3,20,7.73,67.25,0.0,0.0,0.0,266.3,8.77,224.0,1006.32,
2014,1,3,21,7.67,66.31,0.0,0.0,0.0,262.75,8.95,220.0,1006.98,
2014,1,3,22,7.54,67.83,0.0,0.0,0.0,263.63,8.6,214.0,1006.68,
2014,1,3,23,7.41,69.35,0.0,0.0,0.0,264.52,8.24,208.0,1006.38,
2014,1,4,0,7.28,70.87,0.0,0.0,0.0,265.4,7.89,201.0,1006.08,
2014,1,4,1,7.35,72.28,0.0,0.0,0.0,269.62,8.06,196.0,1005.22,
2014,1,4,2,7.42,73.7,0.0,0.0,0.0,273.83,8.24,191.0,1004.35,
2014,1,4,3,7.5,75.11,0.0,0.0,0.0,278.05,8.41,186.0,1003.49,
2014,1,4,4,7.51,74.19,0.0,0.0,0.0,283.62,8.53,181.0,1002.09,
2014,1,4,5,7.53,73.28,0.0,0.0,0.0,289.18,8.64,177.0,1000.69,
2014,1,4,6,7.54,72.36,0.0,0.0,0.0,294.75,8.76,172.0,999.29,
2014,1,4,7,7.44,74.31,0.0,0.0,0.0,297.82,8.85,171.0,998.16,
2014,1,4,8,7.35,76.25,0.0,0.0,0.0,300.88,8.94,171.0,997.02,
2014,1,4,9,7.25,78.2,0.0,0.0,0.0,303.95,9.03,170.0,995.89,
2014,1,4,10,7.83,79.49,33.0,0.0,33.0,306.08,8.69,175.0,994.69,
2014,1,4,11,8.41,80.78,170.0,323.97,95.0,308.22,8.35,181.0,993.49,
2014,1,4,12,8.99,82.07,149.0,73.89,128.0,310.35,8.01,186.0,992.29,
2014,1,4,13,8.99,82.99,131.0,26.9,123.0,306.07,7.83,192.0,992.03,
2014,1,4,14,8.98,83.92,160.0,129.56,125.0,301.78,7.64,199.0,991.76,
2014,1,4,15,8.98,84.84,18.0,0.0,18.0,297.5,7.45,205.0,991.49,
2014,1,4,16,8.14,87.16,25.0,0.0,25.0,302.45,6.91,218.0,992.23,
2014,1,4,17,7.29,89.47,0.0,0.0,0.0,307.4,6.37,231.0,992.96,
2014,1,4,18,6.45,91.79,0.0,0.0,0.0,312.35,5.83,244.0,993.69,
2014,1,4,19,6.14,90.43,0.0,0.0,0.0,313.03,5.84,252.0,994.83,
2014,1,4,20,5.84,89.06,0.0,0.0,0.0,313.72,5.85,259.0,995.96,
2014,1,4,21,5.54,87.7,0.0,0.0,0.0,314.4,5.86,267.0,997.09,
2014,1,4,22,5.31,87.01,0.0,0.0,0.0,306.75,5.42,265.0,997.99,
2014,1,4,23,5.07,86.32,0.0,0.0,0.0,299.1,4.97,262.0,998.89,
2014,1,5,0,4.84,85.63,0.0,0.0,0.0,291.45,4.52,260.0,999.79,
2014,1,5,1,4.39,83.61,0.0,0.0,0.0,275.42,4.61,247.0,1000.52,
2014,1,5,2,3.95,81.58,0.0,0.0,0.0,259.38,4.69,234.0,1001.25,
2014,1,5,3,3.51,79.56,0.0,0.0,0.0,243.35,4.77,220.0,1001.99,
2014,1,5,4,3.57,80.84,0.0,0.0,0.0,248.92,4.27,222.0,1002.42,
2014,1,5,5,3.64,82.11,0.0,0.0,0.0,254.48,3.76,224.0,1002.85,
2014,1,5,6,3.7,83.39,0.0,0.0,0.0,260.05,3.26,226.0,1003.29,
2014,1,5,7,3.82,84.62,0.0,0.0,0.0,256.85,3.49,223.0,1004.12,
2014,1,5,8,3.95,85.85,0.0,0.0,0.0,253.65,3.72,220.0,1004.95,
2014,1,5,9,4.07,87.08,0.0,0.0,0.0,250.45,3.96,217.0,1005.78,
2014,1,5,10,4.99,85.68,75.0,104.3,60.0,255.25,4.33,212.0,1005.78,
2014,1,5,11,5.91,84.27,154.0,219.12,103.0,260.05,4.69,207.0,1005.78,
2014,1,5,12,6.83,82.87,161.0,101.48,132.0,264.85,5.06,202.0,1005.78,
2014,1,5,13,7.0,82.19,106.0,6.68,104.0,282.92,5.51,198.0,1005.82,
2014,1,5,14,7.16,81.51,113.0,22.04,107.0,300.98,5.95,193.0,1005.85,
2014,1,5,15,7.33,80.83,73.0,9.68,71.0,319.05,6.4,188.0,1005.88,
2014,1,5,16,7.38,82.95,25.0,0.0,25.0,323.03,7.59,185.0,1005.08,
2014,1,5,17,7.42,85.07,0.0,0.0,0.0,327.02,8.77,181.0,1004.29,
2014,1,5,18,7.47,87.19,0.0,0.0,0.0,331.0,9.96,178.0,1003.49,
2014,1,5,19,8.01,89.26,0.0,0.0,0.0,337.33,9.71,182.0,1003.09,
2014,1,5,20,8.55,91.32,0.0,0.0,0.0,343.67,9.47,186.0,1002.69,
2014,1,5,21,9.09,93.39,0.0,0.0,0.0,350.0,9.23,190.0,1002.29,
2014,1,5,22,9.67,93.9,0.0,0.0,0.0,355.18,9.18,194.0,1001.82,
2014,1,5,23,10.25,94.4,0.0,0.0,0.0,360.37,9.14,199.0,1001.35,
2014,1,6,0,10.84,94.91,0.0,0.0,0.0,365.55,9.09,203.0,1000.89,
2014,1,6,1,10.96,94.1,0.0,0.0,0.0,366.12,9.65,205.0,1000.69,
2014,1,6,2,11.09,93.3,0.0,0.0,0.0,366.68,10.2,207.0,1000.49,
2014,1,6,3,11.22,92.49,0.0,0.0,0.0,367.25,10.76,209.0,1000.29,
2014,1,6,4,11.25,91.44,0.0,0.0,0.0,366.48,10.61,209.0,1000.32,
2014,1,6,5,11.29,90.39,0.0,0.0,0.0,365.72,10.46,209.0,1000.35,
2014,1,6,6,11.32,89.34,0.0,0.0,0.0,364.95,10.32,208.0,1000.39,
2014,1,6,7,11.28,89.57,0.0,0.0,0.0,365.05,10.08,206.0,1000.59,
2014,1,6,8,11.24,89.81,0.0,0.0,0.0,365.15,9.85,204.0,1000.79,
2014,1,6,9,11.2,90.04,0.0,0.0,0.0,365.25,9.61,202.0,1000.99,
2014,1,6,10,11.36,89.47,65.0,55.22,57.0,365.5,9.43,203.0,1000.89,
2014,1,6,11,11.52,88.9,98.0,25.63,92.0,365.75,9.24,204.0,1000.79,
2014,1,6,12,11.68,88.33,48.0,0.0,48.0,366.0,9.05,206.0,1000.69,
2014,1,6,13,11.66,86.45,157.0,66.4,137.0,360.42,9.05,207.0,1000.79,
2014,1,6,14,11.64,84.57,72.0,0.0,72.0,354.83,9.06,209.0,1000.89,
2014,1,6,15,11.62,82.69,30.0,0.0,30.0,349.25,9.06,210.0,1000.99,
2014,1,6,16,11.12,83.57,43.0,45.65,38.0,348.88,9.04,213.0,1001.29,
2014,1,6,17,10.62,84.45,0.0,0.0,0.0,348.52,9.02,215.0,1001.59,
2014,1,6,18,10.12,85.33,0.0,0.0,0.0,348.15,8.99,217.0,1001.89,
2014,1,6,19,9.76,83.3,0.0,0.0,0.0,341.32,8.91,219.0,1002.65,
2014,1,6,20,9.4,81.26,0.0,0.0,0.0,334.48,8.84,220.0,1003.42,
2014,1,6,21,9.03,79.23,0.0,0.0,0.0,327.65,8.76,222.0,1004.19,
2014,1,6,22,8.78,79.09,0.0,0.0,0.0,312.35,8.9,220.0,1004.75,
2014,1,6,23,8.52,78.96,0.0,0.0,0.0,297.05,9.04,218.0,1005.32,
2014,1,7,0,8.27,78.82,0.0,0.0,0.0,281.75,9.19,216.0,1005.88,
2014,1,7,1,8.18,78.27,0.0,0.0,0.0,274.77,8.93,214.0,1006.48,
2014,1,7,2,8.09,77.73,0.0,0.0,0.0,267.78,8.68,212.0,1007.08,
2014,1,7,3,8.01,77.18,0.0,0.0,0.0,260.8,8.43,209.0,1007.68,
2014,1,7,4,8.0,77.7,0.0,0.0,0.0,263.55,8.39,208.0,1007.72,
2014,1,7,5,7.99,78.23,0.0,0.0,0.0,266.3,8.34,206.0,1007.75,
2014,1,7,6,7.98,78.75,0.0,0.0,0.0,269.05,8.3,204.0,1007.78,
2014,1,7,7,8.24,79.36,0.0,0.0,0.0,272.45,8.2,204.0,1008.15,
2014,1,7,8,8.49,79.96,0.0,0.0,0.0,275.85,8.09,204.0,1008.52,
2014,1,7,9,8.75,80.57,0.0,0.0,0.0,279.25,7.99,203.0,1008.88,
