Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2783,Rouen,FRA,French Republic,49.4304052929,1.07997513694,1,13.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,5.58,89.38,0.0,0.0,0.0,291.15,5.39,350.0,1013.44,
2014,1,1,1,5.6,88.99,0.0,0.0,0.0,287.15,5.36,212.0,1006.38,
2014,1,1,2,5.62,88.61,0.0,0.0,0.0,283.16,5.34,208.0,1006.31,
2014,1,1,3,5.64,88.22,0.0,0.0,0.0,279.16,5.31,204.0,1006.25,
2014,1,1,4,5.66,87.83,0.0,0.0,0.0,275.16,5.28,200.0,1005.75,
2014,1,1,5,5.68,87.45,0.0,0.0,0.0,271.16,5.26,195.0,1005.25,
2014,1,1,6,5.7,87.06,0.0,0.0,0.0,267.17,5.23,191.0,1004.75,
2014,1,1,7,5.72,86.68,0.0,0.0,0.0,263.17,5.2,187.0,1004.18,
2014,1,1,8,5.74,86.29,0.0,0.0,0.0,259.17,5.18,184.0,1003.62,
2014,1,1,9,6.91,88.33,0.0,0.0,0.0,287.15,6.32,181.0,1003.05,
2014,1,1,10,7.29,90.13,71.0,74.55,60.0,298.95,7.02,179.0,1001.75,
2014,1,1,11,7.68,91.93,66.0,0.0,66.0,310.75,7.71,177.0,1000.46,
2014,1,1,12,8.06,93.73,97.0,3.47,96.0,322.55,8.41,176.0,999.16,
2014,1,1,13,8.21,92.35,112.0,9.97,109.0,326.62,8.92,179.0,997.73,
2014,1,1,14,8.37,90.96,108.0,14.67,104.0,330.68,9.43,181.0,996.3,
2014,1,1,15,8.52,89.58,56.0,0.0,56.0,334.75,9.93,184.0,994.87,
2014,1,1,16,8.7,90.16,35.0,19.21,33.0,336.72,9.94,184.0,993.93,
2014,1,1,17,8.89,90.75,0.0,0.0,0.0,338.68,9.95,185.0,993.0,
2014,1,1,18,9.07,91.33,0.0,0.0,0.0,340.65,9.96,185.0,992.07,
2014,1,1,19,9.35,92.01,0.0,0.0,0.0,343.85,9.85,186.0,991.44,
2014,1,1,20,9.63,92.69,0.0,0.0,0.0,347.05,9.75,187.0,990.8,
2014,1,1,21,9.91,93.37,0.0,0.0,0.0,350.25,9.64,188.0,990.17,
2014,1,1,22,9.91,93.56,0.0,0.0,0.0,350.73,8.8,194.0,990.01,
2014,1,1,23,9.91,93.74,0.0,0.0,0.0,351.22,7.95,201.0,989.84,
2014,1,2,0,9.91,93.93,0.0,0.0,0.0,351.7,7.1,208.0,989.67,
2014,1,2,1,9.7,93.18,0.0,0.0,0.0,349.18,6.98,210.0,989.97,
2014,1,2,2,9.49,92.42,0.0,0.0,0.0,346.67,6.86,211.0,990.27,
2014,1,2,3,9.28,91.67,0.0,0.0,0.0,344.15,6.73,213.0,990.57,
2014,1,2,4,8.78,91.93,0.0,0.0,0.0,338.17,6.84,222.0,991.57,
2014,1,2,5,8.28,92.19,0.0,0.0,0.0,332.18,6.95,231.0,992.57,
2014,1,2,6,7.79,92.45,0.0,0.0,0.0,326.2,7.06,239.0,993.57,
2014,1,2,7,7.57,91.82,0.0,0.0,0.0,316.5,6.4,241.0,995.03,
2014,1,2,8,7.35,91.19,0.0,0.0,0.0,306.8,5.73,243.0,996.5,
2014,1,2,9,7.13,90.56,0.0,0.0,0.0,297.1,5.06,244.0,997.96,
2014,1,2,10,7.79,89.8,115.0,465.89,46.0,290.02,5.3,241.0,998.63,
2014,1,2,11,8.46,89.05,203.0,544.18,74.0,282.93,5.53,238.0,999.29,
2014,1,2,12,9.12,88.29,233.0,407.34,115.0,275.85,5.77,235.0,999.96,
2014,1,2,13,9.24,84.77,254.0,472.87,111.0,278.65,5.37,227.0,1000.39,
2014,1,2,14,9.35,81.26,257.0,718.02,60.0,281.45,4.97,220.0,1000.82,
2014,1,2,15,9.47,77.74,180.0,607.34,54.0,284.25,4.58,213.0,1001.26,
2014,1,2,16,9.05,79.58,77.0,461.15,28.0,284.05,4.6,208.0,1001.22,
2014,1,2,17,8.63,81.42,0.0,0.0,0.0,283.85,4.62,202.0,1001.19,
2014,1,2,18,8.21,83.26,0.0,0.0,0.0,283.65,4.63,197.0,1001.16,
2014,1,2,19,8.11,85.08,0.0,0.0,0.0,281.13,4.91,195.0,1000.96,
2014,1,2,20,8.01,86.9,0.0,0.0,0.0,278.62,5.2,193.0,1000.76,
2014,1,2,21,7.91,88.72,0.0,0.0,0.0,276.1,5.48,191.0,1000.56,
2014,1,2,22,8.16,87.51,0.0,0.0,0.0,282.32,5.87,189.0,999.82,
2014,1,2,23,8.42,86.3,0.0,0.0,0.0,288.53,6.27,187.0,999.09,
2014,1,3,0,8.67,85.09,0.0,0.0,0.0,294.75,6.66,186.0,998.36,
2014,1,3,1,9.37,84.17,0.0,0.0,0.0,304.02,7.03,190.0,997.96,
2014,1,3,2,10.07,83.24,0.0,0.0,0.0,313.28,7.41,195.0,997.56,
2014,1,3,3,10.77,82.32,0.0,0.0,0.0,322.55,7.78,200.0,997.16,
2014,1,3,4,10.75,84.87,0.0,0.0,0.0,331.35,7.35,206.0,997.39,
2014,1,3,5,10.73,87.43,0.0,0.0,0.0,340.15,6.91,212.0,997.63,
2014,1,3,6,10.71,89.98,0.0,0.0,0.0,348.95,6.48,219.0,997.86,
2014,1,3,7,10.46,88.47,0.0,0.0,0.0,348.38,6.63,219.0,998.49,
2014,1,3,8,10.22,86.95,0.0,0.0,0.0,347.82,6.77,220.0,999.13,
2014,1,3,9,9.98,85.44,0.0,0.0,0.0,347.25,6.91,221.0,999.76,
2014,1,3,10,10.21,83.68,108.0,369.69,53.0,339.95,7.4,221.0,1000.26,
2014,1,3,11,10.45,81.93,195.0,470.53,83.0,332.65,7.89,221.0,1000.76,
2014,1,3,12,10.68,80.17,259.0,587.66,88.0,325.35,8.37,221.0,1001.26,
