Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,271,Tchibanga,GAB,Gabon,-2.85699595718,11.0269984937,1,230.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,23.12,98.24,0.0,0.0,0.0,411.44,1.24,38.0,985.78,
2008,1,1,1,23.16,97.79,0.0,0.0,0.0,410.97,1.34,258.0,984.06,
2008,1,1,2,23.2,97.35,0.0,0.0,0.0,410.49,1.44,260.0,983.6,
2008,1,1,3,23.24,96.91,0.0,0.0,0.0,410.01,1.54,262.0,983.15,
2008,1,1,4,23.28,96.46,0.0,0.0,0.0,409.53,1.64,265.0,983.31,
2008,1,1,5,23.32,96.02,0.0,0.0,0.0,409.06,1.73,268.0,983.47,
2008,1,1,6,23.36,95.57,0.0,0.0,0.0,408.58,1.83,272.0,983.64,
2008,1,1,7,23.4,95.13,78.0,24.49,73.0,408.1,1.93,272.0,983.86,
2008,1,1,8,23.44,94.68,86.0,0.0,86.0,407.62,2.03,272.0,984.09,
2008,1,1,9,26.94,84.71,55.0,0.0,55.0,417.15,3.46,272.0,984.32,
2008,1,1,10,27.21,83.1,81.0,0.0,81.0,423.68,3.31,269.0,983.47,
2008,1,1,11,27.48,81.48,84.0,0.0,84.0,430.22,3.17,265.0,982.63,
2008,1,1,12,27.75,79.87,89.0,0.0,89.0,436.75,3.02,262.0,981.79,
2008,1,1,13,27.11,81.6,87.0,0.0,87.0,437.28,2.59,271.0,981.89,
2008,1,1,14,26.47,83.33,87.0,0.0,87.0,437.82,2.16,279.0,981.98,
2008,1,1,15,25.83,85.06,74.0,0.0,74.0,438.35,1.72,288.0,982.08,
2008,1,1,16,25.28,87.18,68.0,0.0,68.0,432.52,1.25,307.0,982.4,
2008,1,1,17,24.73,89.3,109.0,9.68,106.0,426.68,0.77,326.0,982.73,
2008,1,1,18,24.17,91.42,21.0,0.0,21.0,420.85,0.29,344.0,983.05,
2008,1,1,19,23.87,92.62,0.0,0.0,0.0,418.55,0.36,15.0,983.9,
2008,1,1,20,23.56,93.81,0.0,0.0,0.0,416.25,0.43,46.0,984.74,
2008,1,1,21,23.26,95.01,0.0,0.0,0.0,413.95,0.5,76.0,985.58,
2008,1,1,22,23.22,95.88,0.0,0.0,0.0,413.42,0.65,78.0,985.61,
2008,1,1,23,23.17,96.75,0.0,0.0,0.0,412.88,0.8,80.0,985.65,
2008,1,2,0,23.13,97.62,0.0,0.0,0.0,412.35,0.95,82.0,985.68,
2008,1,2,1,22.96,97.87,0.0,0.0,0.0,413.37,0.74,66.0,984.93,
2008,1,2,2,22.78,98.11,0.0,0.0,0.0,414.38,0.52,50.0,984.19,
2008,1,2,3,22.6,98.36,0.0,0.0,0.0,415.4,0.3,35.0,983.44,
