Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2826,Rustavi,GEO,Georgia,41.5703682648,45.050004434,4,399.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,0.62,61.57,0.0,0.0,0.0,251.55,4.89,290.0,976.38,
2012,1,1,1,0.79,61.48,0.0,0.0,0.0,247.86,4.39,290.0,977.02,
2012,1,1,2,0.97,61.38,0.0,0.0,0.0,244.18,3.89,290.0,977.65,
2012,1,1,3,1.15,61.29,0.0,0.0,0.0,240.49,3.39,290.0,978.29,
2012,1,1,4,1.32,61.19,0.0,0.0,0.0,236.81,2.89,244.0,970.12,
2012,1,1,5,1.5,61.1,0.0,0.0,0.0,233.12,2.39,241.0,970.25,
2012,1,1,6,1.68,61.0,0.0,0.0,0.0,229.44,1.9,238.0,970.37,
2012,1,1,7,1.85,60.91,0.0,0.0,0.0,225.76,1.4,234.0,970.66,
2012,1,1,8,2.03,60.81,0.0,0.0,0.0,222.07,0.9,230.0,970.95,
2012,1,1,9,2.2,60.72,33.0,334.85,15.0,218.39,0.4,226.0,971.23,
2012,1,1,10,2.38,60.62,137.0,237.83,89.0,214.7,-0.1,228.0,970.31,
2012,1,1,11,2.56,60.53,313.0,741.05,77.0,211.02,-0.6,229.0,969.39,
2012,1,1,12,8.5,50.93,415.0,876.87,68.0,219.8,0.23,231.0,968.47,
2012,1,1,13,8.6,51.35,449.0,854.45,83.0,218.75,0.43,216.0,967.83,
2012,1,1,14,8.71,51.76,428.0,825.89,86.0,217.7,0.62,202.0,967.2,
2012,1,1,15,8.81,52.18,351.0,751.5,85.0,216.65,0.81,187.0,966.56,
2012,1,1,16,7.75,56.33,232.0,654.71,67.0,216.88,0.71,189.0,966.85,
2012,1,1,17,6.69,60.49,83.0,407.88,36.0,217.12,0.61,190.0,967.13,
2012,1,1,18,5.63,64.64,0.0,0.0,0.0,217.35,0.51,191.0,967.42,
2012,1,1,19,4.14,69.52,0.0,0.0,0.0,219.1,0.63,201.0,967.36,
2012,1,1,20,2.66,74.4,0.0,0.0,0.0,220.85,0.75,210.0,967.29,
2012,1,1,21,1.18,79.28,0.0,0.0,0.0,222.6,0.87,220.0,967.23,
2012,1,1,22,0.68,80.48,0.0,0.0,0.0,222.32,0.89,224.0,967.13,
2012,1,1,23,0.18,81.67,0.0,0.0,0.0,222.03,0.91,228.0,967.04,
2012,1,2,0,-0.32,82.87,0.0,0.0,0.0,221.75,0.94,232.0,966.94,
2012,1,2,1,-0.32,82.54,0.0,0.0,0.0,220.18,0.87,238.0,967.04,
2012,1,2,2,-0.31,82.21,0.0,0.0,0.0,218.62,0.8,244.0,967.13,
2012,1,2,3,-0.3,81.88,0.0,0.0,0.0,217.05,0.73,250.0,967.23,
2012,1,2,4,0.04,80.12,0.0,0.0,0.0,216.92,1.12,256.0,967.51,
2012,1,2,5,0.38,78.35,0.0,0.0,0.0,216.78,1.51,262.0,967.8,
2012,1,2,6,0.72,76.59,0.0,0.0,0.0,216.65,1.9,269.0,968.09,
2012,1,2,7,1.66,74.62,0.0,0.0,0.0,217.35,1.92,266.0,968.66,
2012,1,2,8,2.59,72.65,0.0,0.0,0.0,218.05,1.94,264.0,969.23,
2012,1,2,9,3.53,70.68,32.0,316.73,15.0,218.75,1.96,261.0,969.8,
2012,1,2,10,5.31,67.14,179.0,603.86,57.0,219.38,3.09,264.0,968.94,
2012,1,2,11,7.1,63.59,321.0,811.87,62.0,220.02,4.22,267.0,968.09,
2012,1,2,12,8.89,60.05,408.0,816.86,84.0,220.65,5.35,271.0,967.23,
2012,1,2,13,8.69,60.19,443.0,807.68,96.0,221.83,6.4,275.0,967.13,
2012,1,2,14,8.49,60.32,271.0,146.73,210.0,223.02,7.44,279.0,967.04,
2012,1,2,15,8.29,60.46,353.0,753.08,85.0,224.2,8.48,283.0,966.94,
2012,1,2,16,6.81,63.64,219.0,519.37,87.0,233.32,8.21,285.0,968.25,
2012,1,2,17,5.34,66.82,67.0,170.2,47.0,242.43,7.94,287.0,969.55,
2012,1,2,18,3.86,70.0,0.0,0.0,0.0,251.55,7.67,289.0,970.85,
2012,1,2,19,3.32,68.27,0.0,0.0,0.0,261.22,7.24,289.0,971.68,
2012,1,2,20,2.78,66.55,0.0,0.0,0.0,270.88,6.8,290.0,972.5,
2012,1,2,21,2.25,64.82,0.0,0.0,0.0,280.55,6.37,290.0,973.33,
2012,1,2,22,1.72,64.25,0.0,0.0,0.0,280.52,6.16,290.0,973.65,
2012,1,2,23,1.2,63.69,0.0,0.0,0.0,280.48,5.94,291.0,973.97,
2012,1,3,0,0.68,63.12,0.0,0.0,0.0,280.45,5.72,291.0,974.28,
2012,1,3,1,0.52,62.86,0.0,0.0,0.0,278.68,6.04,292.0,974.54,
2012,1,3,2,0.37,62.6,0.0,0.0,0.0,276.92,6.35,293.0,974.79,
2012,1,3,3,0.22,62.34,0.0,0.0,0.0,275.15,6.66,294.0,975.05,
2012,1,3,4,-0.02,65.36,0.0,0.0,0.0,267.48,6.17,293.0,975.08,
2012,1,3,5,-0.26,68.38,0.0,0.0,0.0,259.82,5.69,293.0,975.11,
2012,1,3,6,-0.5,71.4,0.0,0.0,0.0,252.15,5.2,292.0,975.14,
2012,1,3,7,0.31,69.34,0.0,0.0,0.0,251.62,4.59,285.0,975.49,
2012,1,3,8,1.13,67.29,0.0,0.0,0.0,251.08,3.99,277.0,975.84,
2012,1,3,9,1.94,65.23,14.0,18.62,13.0,250.55,3.38,270.0,976.19,
2012,1,3,10,2.86,59.52,131.0,197.67,91.0,249.18,3.36,274.0,975.43,
2012,1,3,11,3.78,53.81,195.0,125.12,155.0,247.82,3.34,279.0,974.67,
2012,1,3,12,4.71,48.1,138.0,2.51,137.0,246.45,3.32,284.0,973.9,
2012,1,3,13,4.64,46.99,104.0,0.0,104.0,246.92,3.22,285.0,973.55,
2012,1,3,14,4.58,45.87,69.0,0.0,69.0,247.38,3.12,285.0,973.2,
2012,1,3,15,4.52,44.76,162.0,25.15,153.0,247.85,3.02,286.0,972.85,
2012,1,3,16,3.73,47.8,222.0,530.44,86.0,245.15,2.76,284.0,973.84,
2012,1,3,17,2.94,50.85,83.0,342.02,42.0,242.45,2.5,283.0,974.82,
2012,1,3,18,2.15,53.89,0.0,0.0,0.0,239.75,2.23,282.0,975.81,
2012,1,3,19,1.64,56.63,0.0,0.0,0.0,234.17,2.31,281.0,976.26,
2012,1,3,20,1.13,59.38,0.0,0.0,0.0,228.58,2.39,281.0,976.7,
2012,1,3,21,0.62,62.12,0.0,0.0,0.0,223.0,2.47,281.0,977.15,
2012,1,3,22,0.3,64.09,0.0,0.0,0.0,219.9,2.57,280.0,977.27,
2012,1,3,23,-0.02,66.05,0.0,0.0,0.0,216.8,2.66,279.0,977.4,
2012,1,4,0,-0.33,68.02,0.0,0.0,0.0,213.7,2.76,278.0,977.53,
2012,1,4,1,-0.38,68.82,0.0,0.0,0.0,212.9,2.55,277.0,977.94,
2012,1,4,2,-0.43,69.63,0.0,0.0,0.0,212.1,2.34,277.0,978.35,
2012,1,4,3,-0.47,70.43,0.0,0.0,0.0,211.3,2.14,276.0,978.77,
2012,1,4,4,-0.45,70.23,0.0,0.0,0.0,208.87,2.11,274.0,978.93,
2012,1,4,5,-0.42,70.04,0.0,0.0,0.0,206.43,2.08,272.0,979.08,
2012,1,4,6,-0.39,69.84,0.0,0.0,0.0,204.0,2.06,270.0,979.24,
2012,1,4,7,0.18,67.79,0.0,0.0,0.0,204.62,1.94,266.0,979.59,
2012,1,4,8,0.74,65.75,0.0,0.0,0.0,205.23,1.82,261.0,979.94,
2012,1,4,9,1.31,63.7,26.0,148.61,18.0,205.85,1.7,257.0,980.29,
2012,1,4,10,2.49,59.65,53.0,0.0,53.0,209.77,1.67,256.0,979.08,
2012,1,4,11,3.67,55.59,151.0,34.32,140.0,213.68,1.64,256.0,977.88,
2012,1,4,12,4.85,51.54,265.0,162.98,200.0,217.6,1.61,255.0,976.67,
2012,1,4,13,5.23,52.02,289.0,161.84,219.0,221.35,1.63,263.0,975.81,
2012,1,4,14,5.61,52.49,276.0,152.64,212.0,225.1,1.65,271.0,974.95,
2012,1,4,15,5.99,52.97,175.0,38.89,161.0,228.85,1.67,279.0,974.09,
2012,1,4,16,5.13,55.13,218.0,479.27,94.0,228.8,1.66,284.0,974.57,
2012,1,4,17,4.28,57.28,85.0,351.5,42.0,228.75,1.64,288.0,975.05,
2012,1,4,18,3.42,59.44,0.0,0.0,0.0,228.7,1.63,293.0,975.52,
2012,1,4,19,2.53,64.05,0.0,0.0,0.0,231.95,1.23,293.0,975.71,
2012,1,4,20,1.64,68.65,0.0,0.0,0.0,235.2,0.84,292.0,975.91,
2012,1,4,21,0.75,73.26,0.0,0.0,0.0,238.45,0.44,292.0,976.1,
2012,1,4,22,0.4,74.97,0.0,0.0,0.0,236.42,0.47,255.0,976.06,
2012,1,4,23,0.05,76.67,0.0,0.0,0.0,234.38,0.51,218.0,976.03,
2012,1,5,0,-0.29,78.38,0.0,0.0,0.0,232.35,0.54,182.0,976.0,
2012,1,5,1,-0.42,78.36,0.0,0.0,0.0,229.8,0.9,178.0,976.06,
2012,1,5,2,-0.54,78.34,0.0,0.0,0.0,227.25,1.26,174.0,976.13,
2012,1,5,3,-0.66,78.32,0.0,0.0,0.0,224.7,1.63,171.0,976.19,
2012,1,5,4,-0.95,76.72,0.0,0.0,0.0,218.95,1.5,182.0,976.73,
2012,1,5,5,-1.24,75.11,0.0,0.0,0.0,213.2,1.37,194.0,977.27,
2012,1,5,6,-1.52,73.51,0.0,0.0,0.0,207.45,1.24,205.0,977.81,
2012,1,5,7,-0.7,71.75,0.0,0.0,0.0,206.68,1.04,193.0,977.97,
2012,1,5,8,0.12,69.98,0.0,0.0,0.0,205.92,0.84,181.0,978.13,
2012,1,5,9,0.94,68.22,15.0,18.49,14.0,205.15,0.63,169.0,978.29,
2012,1,5,10,2.77,63.4,46.0,0.0,46.0,207.43,0.73,158.0,977.43,
2012,1,5,11,4.6,58.57,82.0,0.0,82.0,209.72,0.82,146.0,976.57,
2012,1,5,12,6.43,53.75,115.0,0.0,115.0,212.0,0.91,134.0,975.71,
2012,1,5,13,6.48,54.54,168.0,6.91,165.0,212.68,1.07,131.0,974.95,
2012,1,5,14,6.54,55.33,270.0,137.68,212.0,213.37,1.23,128.0,974.19,
2012,1,5,15,6.59,56.12,302.0,408.56,154.0,214.05,1.39,124.0,973.43,
2012,1,5,16,4.56,61.48,212.0,421.2,102.0,210.75,1.25,121.0,973.55,
2012,1,5,17,2.52,66.83,89.0,368.36,43.0,207.45,1.11,118.0,973.68,
2012,1,5,18,0.49,72.19,0.0,0.0,0.0,204.15,0.97,115.0,973.81,
2012,1,5,19,0.01,73.84,0.0,0.0,0.0,203.25,0.79,119.0,973.62,
2012,1,5,20,-0.47,75.49,0.0,0.0,0.0,202.35,0.62,123.0,973.43,
2012,1,5,21,-0.95,77.14,0.0,0.0,0.0,201.45,0.44,128.0,973.24,
2012,1,5,22,-1.18,77.5,0.0,0.0,0.0,201.03,0.46,127.0,972.98,
2012,1,5,23,-1.4,77.87,0.0,0.0,0.0,200.62,0.47,127.0,972.73,
2012,1,6,0,-1.62,78.23,0.0,0.0,0.0,200.2,0.48,126.0,972.47,
2012,1,6,1,-1.67,78.17,0.0,0.0,0.0,202.63,0.45,125.0,972.31,
2012,1,6,2,-1.71,78.11,0.0,0.0,0.0,205.07,0.41,124.0,972.15,
2012,1,6,3,-1.75,78.05,0.0,0.0,0.0,207.5,0.37,122.0,972.0,
2012,1,6,4,-1.9,73.63,0.0,0.0,0.0,199.3,0.41,134.0,972.03,
2012,1,6,5,-2.05,69.2,0.0,0.0,0.0,191.1,0.46,146.0,972.06,
2012,1,6,6,-2.2,64.78,0.0,0.0,0.0,182.9,0.5,158.0,972.09,
2012,1,6,7,-1.29,63.21,0.0,0.0,0.0,182.38,0.42,167.0,971.93,
2012,1,6,8,-0.39,61.65,0.0,0.0,0.0,181.87,0.34,177.0,971.77,
2012,1,6,9,0.52,60.08,33.0,330.69,15.0,181.35,0.26,186.0,971.61,
2012,1,6,10,2.71,55.41,149.0,308.8,86.0,186.3,0.27,177.0,970.57,
2012,1,6,11,4.91,50.73,290.0,552.13,112.0,191.25,0.27,167.0,969.52,
2012,1,6,12,7.11,46.06,407.0,774.62,96.0,196.2,0.28,157.0,968.47,
2012,1,6,13,7.37,47.41,453.0,825.85,93.0,199.7,0.2,147.0,967.61,
2012,1,6,14,7.64,48.75,444.0,862.22,79.0,203.2,0.13,137.0,966.75,
2012,1,6,15,7.91,50.1,377.0,861.26,63.0,206.7,0.06,128.0,965.89,
2012,1,6,16,6.44,50.31,191.0,276.85,118.0,204.55,0.32,155.0,966.27,
2012,1,6,17,4.98,50.53,58.0,62.74,50.0,202.4,0.59,182.0,966.66,
2012,1,6,18,3.51,50.74,0.0,0.0,0.0,200.25,0.86,209.0,967.04,
2012,1,6,19,2.32,55.4,0.0,0.0,0.0,199.8,1.09,220.0,967.23,
2012,1,6,20,1.14,60.06,0.0,0.0,0.0,199.35,1.33,231.0,967.42,
2012,1,6,21,-0.04,64.72,0.0,0.0,0.0,198.9,1.57,242.0,967.61,
2012,1,6,22,-0.31,65.27,0.0,0.0,0.0,200.58,1.27,248.0,967.8,
2012,1,6,23,-0.58,65.81,0.0,0.0,0.0,202.27,0.97,254.0,967.99,
2012,1,7,0,-0.84,66.36,0.0,0.0,0.0,203.95,0.66,260.0,968.18,
2012,1,7,1,-0.79,66.78,0.0,0.0,0.0,204.63,0.8,259.0,968.63,
2012,1,7,2,-0.74,67.21,0.0,0.0,0.0,205.32,0.94,259.0,969.07,
2012,1,7,3,-0.69,67.63,0.0,0.0,0.0,206.0,1.08,259.0,969.52,
2012,1,7,4,-0.54,66.53,0.0,0.0,0.0,206.18,1.05,257.0,970.03,
2012,1,7,5,-0.39,65.42,0.0,0.0,0.0,206.37,1.03,256.0,970.53,
2012,1,7,6,-0.23,64.32,0.0,0.0,0.0,206.55,1.01,254.0,971.04,
