Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
103840,Berlin,DEU,Germany,52.47,13.4,1.0,49,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,3.45,85.31,0.0,0.0,0.0,272.52,4.67,216.0,1008.9,
2016,1,1,1,2.74,86.92,0.0,0.0,0.0,273.7,4.21,227.0,1019.94,
2016,1,1,2,2.02,88.54,0.0,0.0,0.0,274.88,3.75,231.0,1020.04,
2016,1,1,3,1.3,90.16,0.0,0.0,0.0,276.05,3.29,234.0,1020.14,
2016,1,1,4,0.58,91.78,0.0,0.0,0.0,277.23,2.83,238.0,1020.04,
2016,1,1,5,-0.14,93.4,0.0,0.0,0.0,278.41,2.38,242.0,1019.94,
2016,1,1,6,-0.85,95.02,0.0,0.0,0.0,279.59,1.92,246.0,1019.84,
2016,1,1,7,-1.57,96.64,0.0,0.0,0.0,280.77,1.46,248.0,1020.17,
2016,1,1,8,-2.29,98.26,0.0,0.0,0.0,281.95,1.0,249.0,1020.5,
2016,1,1,9,-0.22,94.53,30.0,169.3,15.0,268.15,1.66,251.0,1020.84,
2016,1,1,10,0.97,93.21,54.0,152.46,27.0,265.1,1.67,254.0,1020.74,
2016,1,1,11,2.15,91.9,18.0,38.73,9.0,262.05,1.69,258.0,1020.64,
2016,1,1,12,3.33,90.58,14.0,27.92,7.0,259.0,1.71,261.0,1020.54,
2016,1,1,13,2.53,92.96,10.0,21.66,5.0,254.28,1.52,264.0,1020.67,
2016,1,1,14,1.73,95.33,8.0,22.97,4.0,249.57,1.32,268.0,1020.8,
2016,1,1,15,0.93,97.71,8.0,47.39,4.0,244.85,1.13,271.0,1020.94,
2016,1,1,16,0.35,97.85,0.0,0.0,0.0,246.17,1.03,263.0,1020.87,
2016,1,1,17,-0.23,97.99,0.0,0.0,0.0,247.48,0.94,255.0,1020.8,
2016,1,1,18,-0.81,98.13,0.0,0.0,0.0,248.8,0.84,248.0,1020.74,
2016,1,1,19,-1.17,98.61,0.0,0.0,0.0,251.0,1.14,211.0,1020.6,
2016,1,1,20,-1.53,99.09,0.0,0.0,0.0,253.2,1.45,174.0,1020.47,
2016,1,1,21,-1.89,99.57,0.0,0.0,0.0,255.4,1.75,137.0,1020.34,
2016,1,1,22,-1.82,99.52,0.0,0.0,0.0,257.48,2.06,130.0,1020.17,
2016,1,1,23,-1.75,99.48,0.0,0.0,0.0,259.57,2.38,123.0,1020.01,
2016,1,2,0,-1.69,99.43,0.0,0.0,0.0,261.65,2.69,115.0,1019.84,
2016,1,2,1,-1.38,99.43,0.0,0.0,0.0,273.5,3.26,110.0,1019.51,
2016,1,2,2,-1.08,99.44,0.0,0.0,0.0,285.35,3.84,105.0,1019.18,
2016,1,2,3,-0.77,99.44,0.0,0.0,0.0,297.2,4.41,100.0,1018.85,
2016,1,2,4,-0.85,98.2,0.0,0.0,0.0,296.65,4.91,100.0,1018.68,
2016,1,2,5,-0.93,96.96,0.0,0.0,0.0,296.1,5.42,100.0,1018.52,
2016,1,2,6,-1.0,95.72,0.0,0.0,0.0,295.55,5.92,99.0,1018.35,
2016,1,2,7,-0.99,92.82,0.0,0.0,0.0,294.75,6.19,99.0,1018.45,
2016,1,2,8,-0.98,89.91,0.0,0.0,0.0,293.95,6.47,98.0,1018.55,
2016,1,2,9,-0.97,87.01,0.0,0.0,0.0,293.15,6.74,97.0,1018.65,
2016,1,2,10,-0.78,83.1,69.35,107.33,50.25,293.6,6.83,98.0,1018.42,
2016,1,2,11,-0.59,79.19,0.0,0.0,0.0,294.05,6.91,99.0,1018.18,
2016,1,2,12,-0.4,75.28,0.0,0.0,0.0,294.5,6.99,100.0,1017.95,
2016,1,2,13,-0.98,73.81,0.0,0.0,0.0,288.32,7.31,99.0,1018.15,
2016,1,2,14,-1.56,72.34,0.0,0.0,0.0,282.13,7.63,98.0,1018.35,
2016,1,2,15,-2.14,70.87,32.0,184.93,16.0,275.95,7.94,97.0,1018.55,
2016,1,2,16,-2.51,68.07,0.0,0.0,0.0,278.57,7.99,99.0,1018.52,
2016,1,2,17,-2.89,65.28,0.0,0.0,0.0,281.18,8.04,101.0,1018.48,
2016,1,2,18,-3.26,62.48,0.0,0.0,0.0,283.8,8.08,102.0,1018.45,
2016,1,2,19,-3.41,61.4,0.0,0.0,0.0,281.58,7.98,103.0,1018.42,
2016,1,2,20,-3.57,60.32,0.0,0.0,0.0,279.37,7.88,104.0,1018.38,
2016,1,2,21,-3.72,59.24,0.0,0.0,0.0,277.15,7.78,105.0,1018.35,
2016,1,2,22,-3.74,58.96,0.0,0.0,0.0,274.08,7.73,105.0,1018.08,
2016,1,2,23,-3.75,58.68,0.0,0.0,0.0,271.02,7.69,105.0,1017.82,
2016,1,3,0,-3.77,58.4,0.0,0.0,0.0,267.95,7.64,106.0,1017.55,
2016,1,3,1,-4.38,58.7,0.0,0.0,0.0,263.22,7.63,106.0,1017.49,
2016,1,3,2,-4.98,59.01,0.0,0.0,0.0,258.48,7.62,105.0,1017.42,
2016,1,3,3,-5.59,59.31,0.0,0.0,0.0,253.75,7.61,105.0,1017.35,
2016,1,3,4,-5.73,59.9,0.0,0.0,0.0,250.95,7.46,106.0,1016.82,
2016,1,3,5,-5.87,60.49,0.0,0.0,0.0,248.15,7.3,108.0,1016.29,
2016,1,3,6,-6.01,61.08,0.0,0.0,0.0,245.35,7.14,109.0,1015.76,
2016,1,3,7,-5.79,61.03,0.0,0.0,0.0,243.82,7.03,111.0,1015.43,
2016,1,3,8,-5.58,60.98,0.0,0.0,0.0,242.28,6.91,112.0,1015.1,
2016,1,3,9,-5.36,60.93,0.0,0.0,0.0,240.75,6.8,113.0,1014.77,
2016,1,3,10,-4.74,59.8,62.0,173.24,31.0,238.38,6.82,115.0,1013.87,
2016,1,3,11,-4.13,58.67,38.0,80.91,19.0,236.02,6.84,117.0,1012.98,
2016,1,3,12,-3.52,57.54,156.0,307.37,78.0,233.65,6.86,119.0,1012.08,
2016,1,3,13,-4.06,60.18,328.0,699.59,164.0,228.77,6.76,117.0,1011.45,
2016,1,3,14,-4.61,62.81,236.0,662.39,118.0,223.88,6.67,115.0,1010.82,
2016,1,3,15,-5.15,65.45,84.0,473.23,42.0,219.0,6.58,113.0,1010.19,
2016,1,3,16,-5.32,65.93,0.0,0.0,0.0,217.72,6.6,114.0,1009.56,
2016,1,3,17,-5.48,66.4,0.0,0.0,0.0,216.43,6.62,116.0,1008.93,
