Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2553,Cottbus,DEU,Germany,51.7704174999,14.3299674059,1,71.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,4.79,83.24,0.0,0.0,0.0,276.0,4.87,223.0,1008.96,
2016,1,1,1,4.16,85.0,0.0,0.0,0.0,279.96,4.46,228.0,1017.46,
2016,1,1,2,3.54,86.75,0.0,0.0,0.0,283.91,4.05,234.0,1017.52,
2016,1,1,3,2.91,88.5,0.0,0.0,0.0,287.86,3.63,240.0,1017.59,
2016,1,1,4,2.29,90.26,0.0,0.0,0.0,291.81,3.22,247.0,1017.46,
2016,1,1,5,1.66,92.01,0.0,0.0,0.0,295.76,2.81,254.0,1017.33,
2016,1,1,6,1.04,93.77,0.0,0.0,0.0,299.71,2.39,261.0,1017.19,
2016,1,1,7,0.41,95.52,0.0,0.0,0.0,303.66,1.98,263.0,1017.46,
2016,1,1,8,-0.22,97.27,0.0,0.0,0.0,307.61,1.57,266.0,1017.72,
2016,1,1,9,1.45,92.77,6.0,28.79,3.0,291.35,2.03,268.0,1017.99,
2016,1,1,10,2.16,90.76,0.0,0.0,0.0,287.97,2.11,271.0,1017.89,
2016,1,1,11,2.87,88.76,10.0,20.31,5.0,284.58,2.2,273.0,1017.79,
2016,1,1,12,3.58,86.75,0.0,0.0,0.0,281.2,2.29,276.0,1017.69,
2016,1,1,13,2.98,89.89,0.0,0.0,0.0,268.4,2.06,278.0,1017.79,
2016,1,1,14,2.38,93.03,0.0,0.0,0.0,255.6,1.84,280.0,1017.89,
2016,1,1,15,1.78,96.17,4.0,22.98,2.0,242.8,1.61,282.0,1017.99,
2016,1,1,16,1.38,96.9,0.0,0.0,0.0,242.85,1.41,280.0,1017.95,
2016,1,1,17,0.98,97.63,0.0,0.0,0.0,242.9,1.21,278.0,1017.92,
2016,1,1,18,0.59,98.36,0.0,0.0,0.0,242.95,1.01,275.0,1017.89,
2016,1,1,19,0.56,98.53,0.0,0.0,0.0,245.73,0.92,264.0,1017.69,
2016,1,1,20,0.54,98.69,0.0,0.0,0.0,248.52,0.83,253.0,1017.49,
2016,1,1,21,0.51,98.86,0.0,0.0,0.0,251.3,0.74,242.0,1017.29,
2016,1,1,22,0.47,98.94,0.0,0.0,0.0,255.87,1.21,211.0,1017.06,
2016,1,1,23,0.43,99.03,0.0,0.0,0.0,260.43,1.68,180.0,1016.83,
2016,1,2,0,0.38,99.11,0.0,0.0,0.0,265.0,2.15,149.0,1016.6,
2016,1,2,1,0.44,99.09,0.0,0.0,0.0,273.02,2.63,137.0,1016.27,
2016,1,2,2,0.5,99.07,0.0,0.0,0.0,281.03,3.12,125.0,1015.94,
2016,1,2,3,0.56,99.05,0.0,0.0,0.0,289.05,3.6,113.0,1015.61,
2016,1,2,4,0.17,98.3,0.0,0.0,0.0,288.9,4.09,112.0,1015.41,
2016,1,2,5,-0.23,97.55,0.0,0.0,0.0,288.75,4.57,110.0,1015.21,
2016,1,2,6,-0.62,96.8,0.0,0.0,0.0,288.6,5.06,108.0,1015.01,
2016,1,2,7,-1.01,93.96,0.0,0.0,0.0,291.2,5.38,107.0,1015.05,
2016,1,2,8,-1.41,91.11,0.0,0.0,0.0,293.8,5.7,106.0,1015.08,
2016,1,2,9,-1.81,88.27,0.0,0.0,0.0,296.4,6.01,105.0,1015.11,
2016,1,2,10,-1.69,84.55,69.6,92.46,51.75,294.82,6.14,107.0,1014.85,
2016,1,2,11,-1.57,80.83,0.0,0.0,0.0,293.23,6.26,108.0,1014.58,
2016,1,2,12,-1.45,77.11,0.0,0.0,0.0,291.65,6.39,110.0,1014.32,
2016,1,2,13,-2.34,75.84,0.0,0.0,0.0,288.35,6.74,106.0,1014.52,
2016,1,2,14,-3.24,74.57,0.0,0.0,0.0,285.05,7.1,103.0,1014.72,
2016,1,2,15,-4.14,73.3,40.0,224.33,20.0,281.75,7.46,99.0,1014.91,
2016,1,2,16,-4.44,71.07,0.0,0.0,0.0,283.7,7.52,102.0,1014.85,
2016,1,2,17,-4.74,68.85,0.0,0.0,0.0,285.65,7.57,105.0,1014.78,
2016,1,2,18,-5.04,66.62,0.0,0.0,0.0,287.6,7.63,108.0,1014.72,
2016,1,2,19,-5.07,65.79,0.0,0.0,0.0,285.08,7.53,110.0,1014.65,
2016,1,2,20,-5.09,64.96,0.0,0.0,0.0,282.57,7.43,112.0,1014.58,
2016,1,2,21,-5.12,64.13,0.0,0.0,0.0,280.05,7.34,114.0,1014.52,
2016,1,2,22,-5.11,64.04,0.0,0.0,0.0,277.25,7.33,114.0,1014.29,
2016,1,2,23,-5.1,63.96,0.0,0.0,0.0,274.45,7.32,115.0,1014.05,
2016,1,3,0,-5.09,63.87,0.0,0.0,0.0,271.65,7.31,116.0,1013.82,
2016,1,3,1,-5.8,64.32,0.0,0.0,0.0,267.33,7.24,115.0,1013.82,
2016,1,3,2,-6.51,64.78,0.0,0.0,0.0,263.02,7.17,114.0,1013.82,
2016,1,3,3,-7.22,65.23,0.0,0.0,0.0,258.7,7.1,113.0,1013.82,
2016,1,3,4,-7.32,65.66,0.0,0.0,0.0,256.35,6.9,116.0,1013.29,
2016,1,3,5,-7.41,66.09,0.0,0.0,0.0,254.0,6.69,118.0,1012.77,
2016,1,3,6,-7.51,66.52,0.0,0.0,0.0,251.65,6.48,120.0,1012.24,
2016,1,3,7,-7.2,66.15,0.0,0.0,0.0,249.3,6.4,124.0,1011.94,
2016,1,3,8,-6.9,65.78,0.0,0.0,0.0,246.95,6.33,129.0,1011.64,
2016,1,3,9,-6.59,65.41,2.0,9.48,1.0,244.6,6.25,133.0,1011.34,
2016,1,3,10,-5.76,63.84,62.0,159.75,31.0,239.03,6.23,133.0,1010.52,
2016,1,3,11,-4.94,62.26,42.0,84.47,21.0,233.47,6.22,134.0,1009.69,
2016,1,3,12,-4.11,60.69,52.0,97.94,26.0,227.9,6.21,135.0,1008.86,
2016,1,3,13,-4.82,63.24,344.0,706.49,172.0,229.47,6.12,131.0,1008.27,
2016,1,3,14,-5.53,65.78,192.0,521.5,96.0,231.03,6.04,127.0,1007.67,
2016,1,3,15,-6.25,68.33,70.0,382.94,35.0,232.6,5.96,123.0,1007.08,
2016,1,3,16,-6.39,69.07,0.0,0.0,0.0,227.18,5.99,125.0,1006.45,
2016,1,3,17,-6.53,69.81,0.0,0.0,0.0,221.77,6.02,127.0,1005.82,
2016,1,3,18,-6.67,70.55,0.0,0.0,0.0,216.35,6.06,129.0,1005.2,
2016,1,3,19,-6.68,70.63,0.0,0.0,0.0,213.48,6.05,129.0,1004.2,
2016,1,3,20,-6.68,70.7,0.0,0.0,0.0,210.62,6.05,129.0,1003.21,
2016,1,3,21,-6.69,70.78,0.0,0.0,0.0,207.75,6.04,130.0,1002.22,
2016,1,3,22,-6.62,70.16,0.0,0.0,0.0,209.07,6.06,130.0,1001.06,
2016,1,3,23,-6.55,69.53,0.0,0.0,0.0,210.38,6.09,130.0,999.91,
2016,1,4,0,-6.48,68.91,0.0,0.0,0.0,211.7,6.11,130.0,998.75,
2016,1,4,1,-6.95,68.71,0.0,0.0,0.0,214.82,5.97,129.0,997.4,
2016,1,4,2,-7.42,68.5,0.0,0.0,0.0,217.93,5.83,127.0,996.04,
2016,1,4,3,-7.89,68.3,0.0,0.0,0.0,221.05,5.68,125.0,994.68,
2016,1,4,4,-7.53,67.37,0.0,0.0,0.0,226.78,5.71,127.0,993.76,
2016,1,4,5,-7.18,66.44,0.0,0.0,0.0,232.52,5.75,129.0,992.83,
2016,1,4,6,-6.82,65.51,0.0,0.0,0.0,238.25,5.78,131.0,991.91,
2016,1,4,7,-6.13,64.17,0.0,0.0,0.0,242.78,5.87,133.0,991.28,
2016,1,4,8,-5.45,62.83,0.0,0.0,0.0,247.32,5.96,135.0,990.65,
2016,1,4,9,-4.77,61.49,14.0,65.84,7.0,251.85,6.06,137.0,990.02,
2016,1,4,10,-3.9,59.6,62.0,158.84,31.0,257.75,5.76,139.0,989.43,
2016,1,4,11,-3.02,57.7,102.0,203.97,51.0,263.65,5.47,141.0,988.83,
2016,1,4,12,-2.15,55.81,24.0,44.91,12.0,269.55,5.17,144.0,988.24,
2016,1,4,13,-2.53,60.65,26.0,52.97,13.0,276.15,4.83,138.0,988.44,
2016,1,4,14,-2.92,65.5,130.0,348.93,65.0,282.75,4.49,133.0,988.64,
2016,1,4,15,-3.31,70.34,26.0,138.67,13.0,289.35,4.15,128.0,988.83,
2016,1,4,16,-3.3,70.08,0.0,0.0,0.0,289.8,4.21,126.0,988.77,
2016,1,4,17,-3.29,69.82,0.0,0.0,0.0,290.25,4.27,123.0,988.7,
2016,1,4,18,-3.27,69.56,0.0,0.0,0.0,290.7,4.33,121.0,988.64,
2016,1,4,19,-3.31,69.39,0.0,0.0,0.0,293.42,4.27,119.0,988.8,
2016,1,4,20,-3.34,69.21,0.0,0.0,0.0,296.13,4.21,118.0,988.97,
2016,1,4,21,-3.38,69.04,0.0,0.0,0.0,298.85,4.15,117.0,989.13,
2016,1,4,22,-3.43,69.64,0.0,0.0,0.0,298.9,4.17,115.0,989.03,
2016,1,4,23,-3.48,70.23,0.0,0.0,0.0,298.95,4.19,113.0,988.93,
2016,1,5,0,-3.53,70.83,0.0,0.0,0.0,299.0,4.21,111.0,988.83,
2016,1,5,1,-4.19,69.68,0.0,0.0,0.0,294.17,4.34,110.0,989.43,
2016,1,5,2,-4.86,68.52,0.0,0.0,0.0,289.33,4.47,110.0,990.02,
2016,1,5,3,-5.53,67.37,0.0,0.0,0.0,284.5,4.61,110.0,990.62,
2016,1,5,4,-5.52,67.14,0.0,0.0,0.0,279.82,4.67,108.0,990.52,
2016,1,5,5,-5.5,66.92,0.0,0.0,0.0,275.13,4.73,107.0,990.42,
2016,1,5,6,-5.49,66.69,0.0,0.0,0.0,270.45,4.79,106.0,990.32,
2016,1,5,7,-5.35,66.56,0.0,0.0,0.0,268.38,4.73,104.0,990.65,
2016,1,5,8,-5.21,66.43,0.0,0.0,0.0,266.32,4.68,102.0,990.98,
2016,1,5,9,-5.07,66.3,8.0,37.29,4.0,264.25,4.62,100.0,991.31,
2016,1,5,10,-4.69,66.76,14.0,35.64,7.0,267.57,4.51,97.0,991.31,
2016,1,5,11,-4.31,67.23,0.0,0.0,0.0,270.88,4.41,94.0,991.31,
2016,1,5,12,-3.93,67.69,0.0,0.0,0.0,274.2,4.3,90.0,991.31,
2016,1,5,13,-4.14,71.42,34.0,68.68,17.0,277.9,4.42,90.0,991.71,
2016,1,5,14,-4.35,75.15,0.0,0.0,0.0,281.6,4.54,90.0,992.11,
2016,1,5,15,-4.57,78.88,0.0,0.0,0.0,285.3,4.66,90.0,992.5,
2016,1,5,16,-4.53,80.23,0.0,0.0,0.0,287.0,4.56,90.0,992.73,
2016,1,5,17,-4.49,81.57,0.0,0.0,0.0,288.7,4.46,90.0,992.97,
2016,1,5,18,-4.45,82.92,0.0,0.0,0.0,290.4,4.36,91.0,993.2,
2016,1,5,19,-4.48,83.62,0.0,0.0,0.0,291.37,4.3,89.0,993.46,
2016,1,5,20,-4.5,84.33,0.0,0.0,0.0,292.33,4.25,87.0,993.73,
2016,1,5,21,-4.52,85.03,0.0,0.0,0.0,293.3,4.19,86.0,993.99,
2016,1,5,22,-4.51,85.32,0.0,0.0,0.0,293.52,4.17,87.0,994.16,
2016,1,5,23,-4.5,85.62,0.0,0.0,0.0,293.73,4.16,88.0,994.32,
2016,1,6,0,-4.49,85.91,0.0,0.0,0.0,293.95,4.14,89.0,994.49,
2016,1,6,1,-4.9,86.59,0.0,0.0,0.0,289.67,3.93,94.0,994.55,
2016,1,6,2,-5.32,87.27,0.0,0.0,0.0,285.38,3.72,98.0,994.62,
2016,1,6,3,-5.74,87.95,0.0,0.0,0.0,281.1,3.52,102.0,994.68,
2016,1,6,4,-5.62,87.98,0.0,0.0,0.0,278.03,3.55,101.0,994.68,
2016,1,6,5,-5.5,88.02,0.0,0.0,0.0,274.97,3.59,100.0,994.68,
2016,1,6,6,-5.38,88.05,0.0,0.0,0.0,271.9,3.63,99.0,994.68,
2016,1,6,7,-5.09,87.76,0.0,0.0,0.0,275.8,3.6,102.0,994.92,
2016,1,6,8,-4.8,87.48,0.0,0.0,0.0,279.7,3.58,106.0,995.15,
2016,1,6,9,-4.51,87.19,0.0,0.0,0.0,283.6,3.56,109.0,995.38,
2016,1,6,10,-4.06,86.8,0.0,0.0,0.0,286.52,3.44,105.0,995.41,
2016,1,6,11,-3.62,86.4,0.0,0.0,0.0,289.43,3.32,101.0,995.45,
2016,1,6,12,-3.17,86.01,0.0,0.0,0.0,292.35,3.2,97.0,995.48,
2016,1,6,13,-3.45,86.69,0.0,0.0,0.0,289.35,3.1,82.0,995.68,
2016,1,6,14,-3.74,87.37,12.0,31.41,6.0,286.35,3.01,67.0,995.87,
2016,1,6,15,-4.03,88.05,0.0,0.0,0.0,283.35,2.91,51.0,996.07,
2016,1,6,16,-4.15,88.66,0.0,0.0,0.0,281.75,2.92,52.0,996.21,
2016,1,6,17,-4.27,89.27,0.0,0.0,0.0,280.15,2.93,53.0,996.34,
2016,1,6,18,-4.38,89.88,0.0,0.0,0.0,278.55,2.94,54.0,996.47,
2016,1,6,19,-4.41,90.26,0.0,0.0,0.0,278.63,2.81,56.0,996.6,
2016,1,6,20,-4.44,90.64,0.0,0.0,0.0,278.72,2.68,57.0,996.73,
2016,1,6,21,-4.47,91.02,0.0,0.0,0.0,278.8,2.55,59.0,996.87,
2016,1,6,22,-4.37,91.28,0.0,0.0,0.0,282.02,2.38,58.0,996.83,
2016,1,6,23,-4.27,91.54,0.0,0.0,0.0,285.23,2.21,57.0,996.8,
2016,1,7,0,-4.18,91.8,0.0,0.0,0.0,288.45,2.04,55.0,996.77,
2016,1,7,1,-4.72,91.69,0.0,0.0,0.0,289.65,1.99,60.0,996.97,
2016,1,7,2,-5.27,91.58,0.0,0.0,0.0,290.85,1.93,66.0,997.16,
2016,1,7,3,-5.81,91.47,0.0,0.0,0.0,292.05,1.88,71.0,997.36,
2016,1,7,4,-5.73,91.46,0.0,0.0,0.0,298.97,2.01,81.0,997.26,
