Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2548,Wurzburg,DEU,Germany,49.8004343863,9.95002803411,1,182.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,-1.18,92.05,0.0,0.0,0.0,262.75,1.4,122.0,1009.53,
2016,1,1,1,-0.52,93.14,0.0,0.0,0.0,272.75,1.35,196.0,1005.39,
2016,1,1,2,0.14,94.22,0.0,0.0,0.0,282.75,1.29,194.0,1005.55,
2016,1,1,3,0.8,95.31,0.0,0.0,0.0,292.75,1.24,193.0,1005.72,
2016,1,1,4,1.45,96.4,0.0,0.0,0.0,302.75,1.18,190.0,1005.62,
2016,1,1,5,2.11,97.49,0.0,0.0,0.0,312.75,1.13,186.0,1005.52,
2016,1,1,6,2.77,98.57,0.0,0.0,0.0,322.75,1.07,183.0,1005.42,
2016,1,1,7,3.43,99.66,0.0,0.0,0.0,332.75,1.01,187.0,1005.68,
2016,1,1,8,4.08,100.0,0.0,0.0,0.0,342.75,0.96,191.0,1005.95,
2016,1,1,9,4.73,96.42,4.0,20.5,2.0,315.2,1.26,196.0,1006.21,
2016,1,1,10,5.43,93.98,0.0,0.0,0.0,311.95,1.3,195.0,1005.85,
2016,1,1,11,6.14,91.53,0.0,0.0,0.0,308.7,1.34,195.0,1005.49,
2016,1,1,12,6.84,89.09,0.0,0.0,0.0,305.45,1.38,194.0,1005.13,
2016,1,1,13,6.13,91.11,0.0,0.0,0.0,301.17,1.37,168.0,1004.9,
2016,1,1,14,5.42,93.12,0.0,0.0,0.0,296.88,1.35,141.0,1004.67,
2016,1,1,15,4.71,95.14,0.0,0.0,0.0,292.6,1.34,114.0,1004.44,
2016,1,1,16,3.96,95.97,1.0,0.0,1.0,288.3,1.99,114.0,1004.09,
2016,1,1,17,3.21,96.79,0.0,0.0,0.0,284.0,2.63,114.0,1003.73,
2016,1,1,18,2.46,97.62,0.0,0.0,0.0,279.7,3.28,114.0,1003.37,
2016,1,1,19,1.92,97.13,0.0,0.0,0.0,278.5,3.59,114.0,1002.75,
2016,1,1,20,1.39,96.63,0.0,0.0,0.0,277.3,3.89,115.0,1002.13,
2016,1,1,21,0.85,96.14,0.0,0.0,0.0,276.1,4.19,115.0,1001.51,
2016,1,1,22,0.65,95.79,0.0,0.0,0.0,279.95,4.23,114.0,1000.82,
2016,1,1,23,0.44,95.45,0.0,0.0,0.0,283.8,4.26,114.0,1000.14,
2016,1,2,0,0.23,95.1,0.0,0.0,0.0,287.65,4.29,113.0,999.45,
2016,1,2,1,0.41,94.78,0.0,0.0,0.0,282.58,4.21,112.0,998.61,
2016,1,2,2,0.58,94.46,0.0,0.0,0.0,277.52,4.12,111.0,997.76,
2016,1,2,3,0.76,94.14,0.0,0.0,0.0,272.45,4.04,110.0,996.91,
2016,1,2,4,0.71,93.23,0.0,0.0,0.0,274.42,4.12,110.0,996.32,
2016,1,2,5,0.66,92.32,0.0,0.0,0.0,276.38,4.2,110.0,995.74,
2016,1,2,6,0.61,91.41,0.0,0.0,0.0,278.35,4.28,110.0,995.15,
2016,1,2,7,0.85,90.67,0.0,0.0,0.0,283.12,4.11,113.0,995.02,
2016,1,2,8,1.09,89.93,0.0,0.0,0.0,287.88,3.94,116.0,994.89,
2016,1,2,9,1.32,89.19,2.0,10.2,1.0,292.65,3.78,119.0,994.76,
2016,1,2,10,1.68,88.26,76.1,105.57,55.05,297.37,3.65,119.0,994.33,
2016,1,2,11,2.03,87.34,0.0,0.0,0.0,302.08,3.52,119.0,993.91,
2016,1,2,12,2.39,86.41,2.0,3.38,1.0,306.8,3.39,118.0,993.48,
2016,1,2,13,2.59,88.7,2.0,3.51,1.0,310.32,3.31,117.0,993.29,
2016,1,2,14,2.79,90.99,0.0,0.0,0.0,313.83,3.23,116.0,993.09,
2016,1,2,15,2.99,93.28,4.0,13.67,2.0,317.35,3.14,115.0,992.9,
2016,1,2,16,2.82,94.39,1.0,0.0,1.0,318.35,3.12,117.0,992.83,
2016,1,2,17,2.65,95.49,0.0,0.0,0.0,319.35,3.09,120.0,992.77,
2016,1,2,18,2.49,96.6,0.0,0.0,0.0,320.35,3.06,122.0,992.7,
2016,1,2,19,2.42,97.12,0.0,0.0,0.0,321.37,2.85,124.0,992.67,
2016,1,2,20,2.36,97.64,0.0,0.0,0.0,322.38,2.63,127.0,992.64,
2016,1,2,21,2.29,98.16,0.0,0.0,0.0,323.4,2.41,129.0,992.6,
2016,1,2,22,2.49,97.85,0.0,0.0,0.0,324.5,1.89,137.0,992.34,
2016,1,2,23,2.68,97.54,0.0,0.0,0.0,325.6,1.36,144.0,992.08,
2016,1,3,0,2.87,97.23,0.0,0.0,0.0,326.7,0.83,152.0,991.82,
2016,1,3,1,2.74,97.1,0.0,0.0,0.0,326.73,1.1,155.0,991.89,
2016,1,3,2,2.61,96.98,0.0,0.0,0.0,326.77,1.38,158.0,991.95,
2016,1,3,3,2.48,96.85,0.0,0.0,0.0,326.8,1.66,161.0,992.02,
2016,1,3,4,2.7,97.24,0.0,0.0,0.0,327.63,1.72,166.0,991.49,
2016,1,3,5,2.93,97.62,0.0,0.0,0.0,328.47,1.78,171.0,990.97,
2016,1,3,6,3.15,98.01,0.0,0.0,0.0,329.3,1.85,176.0,990.45,
2016,1,3,7,3.55,98.26,0.0,0.0,0.0,330.28,2.17,182.0,990.22,
2016,1,3,8,3.94,98.52,0.0,0.0,0.0,331.27,2.48,189.0,989.99,
2016,1,3,9,4.33,98.77,6.0,30.44,3.0,332.25,2.8,195.0,989.77,
