Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2813,Pirgos,GRC,Greece,37.6837321157,21.4499979235,2,20.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,11.13,80.71,0.0,0.0,0.0,326.66,1.96,214.0,1016.79,
2009,1,1,1,10.76,77.75,0.0,0.0,0.0,322.79,1.81,212.0,1016.59,
2009,1,1,2,10.4,74.79,0.0,0.0,0.0,318.91,1.66,45.0,1028.39,
2009,1,1,3,10.03,71.83,0.0,0.0,0.0,315.04,1.51,46.0,1027.93,
2009,1,1,4,9.66,68.87,0.0,0.0,0.0,311.17,1.36,48.0,1027.46,
2009,1,1,5,9.3,65.91,0.0,0.0,0.0,307.3,1.21,48.0,1027.29,
2009,1,1,6,8.93,62.95,0.0,0.0,0.0,303.43,1.05,48.0,1027.13,
2009,1,1,7,8.57,59.99,0.0,0.0,0.0,299.56,0.9,48.0,1026.96,
2009,1,1,8,8.2,57.04,20.0,106.99,15.0,295.69,0.75,10.0,1026.89,
2009,1,1,9,7.83,54.08,173.0,513.23,65.0,291.82,0.6,333.0,1026.83,
2009,1,1,10,11.18,64.63,280.0,413.39,138.0,308.15,0.83,295.0,1026.76,
2009,1,1,11,11.71,63.07,422.0,702.71,115.0,303.98,1.68,292.0,1026.06,
2009,1,1,12,12.23,61.5,485.0,770.34,112.0,299.82,2.53,289.0,1025.37,
2009,1,1,13,12.76,59.94,487.0,796.28,103.0,295.65,3.38,286.0,1024.67,
2009,1,1,14,12.58,64.92,424.0,749.18,101.0,301.65,2.85,287.0,1024.27,
2009,1,1,15,12.41,69.91,313.0,690.86,82.0,307.65,2.31,288.0,1023.87,
2009,1,1,16,12.24,74.89,136.0,277.04,81.0,313.65,1.78,290.0,1023.47,
2009,1,1,17,11.99,77.38,0.0,0.0,0.0,320.13,2.05,288.0,1023.5,
2009,1,1,18,11.75,79.86,0.0,0.0,0.0,326.62,2.31,287.0,1023.54,
2009,1,1,19,11.5,82.35,0.0,0.0,0.0,333.1,2.58,286.0,1023.57,
2009,1,1,20,11.4,82.47,0.0,0.0,0.0,337.62,2.67,284.0,1023.4,
2009,1,1,21,11.3,82.58,0.0,0.0,0.0,342.13,2.76,282.0,1023.24,
2009,1,1,22,11.19,82.7,0.0,0.0,0.0,346.65,2.86,280.0,1023.07,
2009,1,1,23,11.32,82.66,0.0,0.0,0.0,346.67,2.87,277.0,1022.7,
2009,1,2,0,11.46,82.63,0.0,0.0,0.0,346.68,2.88,274.0,1022.34,
2009,1,2,1,11.59,82.59,0.0,0.0,0.0,346.7,2.9,271.0,1021.97,
2009,1,2,2,11.49,83.29,0.0,0.0,0.0,342.9,2.9,266.0,1021.51,
2009,1,2,3,11.4,83.99,0.0,0.0,0.0,339.1,2.9,262.0,1021.04,
2009,1,2,4,11.31,84.69,0.0,0.0,0.0,335.3,2.9,258.0,1020.58,
2009,1,2,5,11.4,85.66,0.0,0.0,0.0,338.92,2.81,253.0,1020.38,
2009,1,2,6,11.5,86.63,0.0,0.0,0.0,342.53,2.73,248.0,1020.18,
2009,1,2,7,11.59,87.6,0.0,0.0,0.0,346.15,2.65,243.0,1019.98,
2009,1,2,8,12.49,88.53,14.75,87.19,10.7,348.38,2.87,242.0,1019.98,
2009,1,2,9,13.38,89.45,137.95,350.69,64.15,350.62,3.09,240.0,1019.98,
2009,1,2,10,14.27,90.38,239.75,393.33,104.5,352.85,3.31,239.0,1019.98,
2009,1,2,11,14.62,91.25,340.3,429.6,152.3,352.12,3.49,240.0,1019.35,
2009,1,2,12,14.98,92.11,57.0,0.0,57.0,351.38,3.67,241.0,1018.71,
2009,1,2,13,15.33,92.98,345.15,427.09,138.55,350.65,3.85,241.0,1018.08,
2009,1,2,14,15.18,93.86,192.0,23.1,182.0,348.72,3.57,243.0,1017.75,
2009,1,2,15,15.04,94.73,229.6,363.06,107.45,346.78,3.3,246.0,1017.42,
2009,1,2,16,14.9,95.61,105.0,94.63,86.0,344.85,3.02,248.0,1017.08,
2009,1,2,17,14.41,96.02,0.7,0.0,0.7,345.58,2.65,245.0,1017.15,
2009,1,2,18,13.92,96.44,0.0,0.0,0.0,346.32,2.28,243.0,1017.22,
2009,1,2,19,13.43,96.85,0.0,0.0,0.0,347.05,1.9,240.0,1017.28,
2009,1,2,20,13.12,97.38,0.0,0.0,0.0,350.9,1.87,236.0,1017.25,
2009,1,2,21,12.8,97.91,0.0,0.0,0.0,354.75,1.84,231.0,1017.22,
2009,1,2,22,12.48,98.44,0.0,0.0,0.0,358.6,1.81,227.0,1017.18,
2009,1,2,23,12.44,98.61,0.0,0.0,0.0,359.75,1.86,224.0,1016.89,
2009,1,3,0,12.39,98.79,0.0,0.0,0.0,360.9,1.92,221.0,1016.59,
2009,1,3,1,12.35,98.96,0.0,0.0,0.0,362.05,1.97,218.0,1016.29,
2009,1,3,2,12.2,98.55,0.0,0.0,0.0,359.38,2.09,223.0,1015.75,
2009,1,3,3,12.05,98.13,0.0,0.0,0.0,356.72,2.21,228.0,1015.22,
2009,1,3,4,11.9,97.72,0.0,0.0,0.0,354.05,2.33,232.0,1014.69,
2009,1,3,5,11.85,98.11,0.0,0.0,0.0,352.47,2.22,230.0,1014.56,
2009,1,3,6,11.81,98.5,0.0,0.0,0.0,350.88,2.1,228.0,1014.42,
2009,1,3,7,11.76,98.89,0.0,0.0,0.0,349.3,1.99,226.0,1014.29,
2009,1,3,8,12.67,98.72,5.0,0.0,5.0,350.75,2.29,225.0,1014.32,
2009,1,3,9,13.58,98.54,131.7,304.19,67.65,352.2,2.6,224.0,1014.36,
2009,1,3,10,14.48,98.37,29.0,0.0,29.0,353.65,2.91,222.0,1014.39,
2009,1,3,11,14.73,98.13,327.65,415.42,145.5,351.83,2.97,224.0,1013.86,
2009,1,3,12,14.97,97.88,181.0,4.11,179.0,350.02,3.03,225.0,1013.33,
2009,1,3,13,15.22,97.64,340.2,414.34,139.1,348.2,3.09,226.0,1012.8,
2009,1,3,14,15.04,97.37,141.0,2.3,140.0,344.48,2.86,223.0,1012.63,
2009,1,3,15,14.87,97.09,228.95,392.32,96.1,340.77,2.62,221.0,1012.46,
