Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
786410,Guatemala/La_Aurora,GTM,Guatemala,14.58,-90.52,-6.0,1489,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,14.71,87.83,0.0,0.0,0.0,389.4,2.85,13.0,850.55,
2014,1,1,1,14.25,90.77,0.0,0.0,0.0,388.77,2.94,13.0,850.08,
2014,1,1,2,14.82,86.26,0.0,0.0,0.0,391.8,2.41,13.0,849.61,
2014,1,1,3,14.82,86.45,0.0,0.0,0.0,390.48,2.39,13.0,849.61,
2014,1,1,4,14.82,86.65,0.0,0.0,0.0,389.17,2.36,14.0,849.61,
2014,1,1,5,14.83,86.84,0.0,0.0,0.0,387.85,2.33,14.0,849.61,
2014,1,1,6,16.27,83.99,0.0,0.0,0.0,389.52,3.08,16.0,850.05,
2014,1,1,7,17.72,81.15,74.0,331.91,37.0,391.18,3.83,18.0,850.5,
2014,1,1,8,19.17,78.3,156.0,63.95,135.0,392.85,4.58,20.0,850.94,
2014,1,1,9,20.37,74.23,525.0,862.03,80.0,390.02,4.34,24.0,850.58,
2014,1,1,10,21.58,70.17,495.0,249.18,330.0,387.18,4.11,28.0,850.22,
2014,1,1,11,22.79,66.1,552.0,224.78,382.0,384.35,3.88,33.0,849.86,
2014,1,1,12,22.81,64.35,359.0,31.56,334.0,380.57,3.78,33.0,848.97,
2014,1,1,13,22.83,62.61,609.0,285.4,390.0,376.78,3.68,33.0,848.07,
2014,1,1,14,22.86,60.86,734.0,942.19,90.0,373.0,3.59,33.0,847.18,
2014,1,1,15,21.15,65.61,567.0,889.44,81.0,372.75,3.2,32.0,847.3,
2014,1,1,16,19.45,70.35,353.0,785.51,66.0,372.5,2.8,31.0,847.41,
2014,1,1,17,17.75,75.1,126.0,622.07,31.0,372.25,2.41,30.0,847.52,
2014,1,1,18,16.87,77.85,0.0,0.0,0.0,377.48,2.33,26.0,848.21,
2014,1,1,19,16.0,80.61,0.0,0.0,0.0,382.72,2.24,22.0,848.91,
2014,1,1,20,15.13,83.36,0.0,0.0,0.0,387.95,2.15,18.0,849.61,
2014,1,1,21,14.98,83.94,0.0,0.0,0.0,388.63,2.16,17.0,849.61,
2014,1,1,22,14.83,84.51,0.0,0.0,0.0,389.32,2.16,16.0,849.61,
2014,1,1,23,14.67,85.09,0.0,0.0,0.0,390.0,2.17,16.0,849.61,
2014,1,2,0,14.43,84.94,0.0,0.0,0.0,390.8,2.19,14.0,849.27,
2014,1,2,1,14.19,84.8,0.0,0.0,0.0,391.6,2.22,12.0,848.94,
2014,1,2,2,13.95,84.65,0.0,0.0,0.0,392.4,2.25,11.0,848.6,
2014,1,2,3,13.87,84.4,0.0,0.0,0.0,390.9,2.06,11.0,848.55,
2014,1,2,4,13.79,84.14,0.0,0.0,0.0,389.4,1.87,12.0,848.49,
2014,1,2,5,13.72,83.89,0.0,0.0,0.0,387.9,1.68,13.0,848.44,
2014,1,2,6,15.3,79.23,0.0,0.0,0.0,390.48,2.16,14.0,848.99,
2014,1,2,7,16.88,74.56,74.0,335.55,37.0,393.07,2.64,16.0,849.55,
2014,1,2,8,18.46,69.9,304.0,726.75,66.0,395.65,3.12,18.0,850.11,
2014,1,2,9,19.85,64.8,528.0,868.72,80.0,392.47,3.05,21.0,849.63,
2014,1,2,10,21.24,59.7,707.0,933.41,89.0,389.28,2.98,25.0,849.16,
2014,1,2,11,22.63,54.6,824.0,963.42,95.0,386.1,2.91,28.0,848.69,
2014,1,2,12,22.77,53.39,869.0,974.75,96.0,383.73,2.83,28.0,847.94,
2014,1,2,13,22.91,52.18,664.0,394.2,361.0,381.37,2.75,29.0,847.18,
2014,1,2,14,23.05,50.97,733.0,938.43,90.0,379.0,2.68,29.0,846.43,
2014,1,2,15,21.78,56.6,565.0,882.62,81.0,379.05,2.04,31.0,846.88,
2014,1,2,16,20.51,62.22,352.0,778.26,66.0,379.1,1.41,32.0,847.32,
2014,1,2,17,19.24,67.85,126.0,613.35,31.0,379.15,0.77,33.0,847.77,
2014,1,2,18,17.75,72.47,0.0,0.0,0.0,381.6,1.37,28.0,848.38,
2014,1,2,19,16.26,77.1,0.0,0.0,0.0,384.05,1.98,24.0,848.99,
2014,1,2,20,14.77,81.72,0.0,0.0,0.0,386.5,2.58,19.0,849.61,
2014,1,2,21,14.7,82.55,0.0,0.0,0.0,384.42,3.07,20.0,849.75,
2014,1,2,22,14.63,83.37,0.0,0.0,0.0,382.33,3.56,20.0,849.88,
2014,1,2,23,14.55,84.2,0.0,0.0,0.0,380.25,4.06,20.0,850.02,
2014,1,3,0,14.32,84.99,0.0,0.0,0.0,379.78,4.1,20.0,849.75,
2014,1,3,1,14.09,85.77,0.0,0.0,0.0,379.32,4.15,20.0,849.47,
2014,1,3,2,13.86,86.56,0.0,0.0,0.0,378.85,4.19,19.0,849.19,
2014,1,3,3,13.79,86.69,0.0,0.0,0.0,377.08,4.21,19.0,849.24,
2014,1,3,4,13.72,86.81,0.0,0.0,0.0,375.32,4.22,18.0,849.3,
2014,1,3,5,13.66,86.94,0.0,0.0,0.0,373.55,4.23,18.0,849.36,
2014,1,3,6,15.1,85.03,0.0,0.0,0.0,376.65,4.91,18.0,849.72,
2014,1,3,7,16.54,83.11,72.0,320.76,37.0,379.75,5.6,17.0,850.08,
2014,1,3,8,17.99,81.2,300.0,713.32,67.0,382.85,6.28,17.0,850.44,
2014,1,3,9,19.39,76.75,524.0,855.89,83.0,379.85,6.2,19.0,850.16,
2014,1,3,10,20.79,72.29,705.0,925.85,92.0,376.85,6.12,22.0,849.88,
2014,1,3,11,22.2,67.84,824.0,960.17,97.0,373.85,6.04,24.0,849.61,
2014,1,3,12,22.3,66.21,870.0,971.07,99.0,375.17,5.84,26.0,848.97,
2014,1,3,13,22.41,64.57,431.0,71.43,376.0,376.48,5.64,27.0,848.33,
2014,1,3,14,22.52,62.94,736.0,936.06,93.0,377.8,5.43,28.0,847.69,
2014,1,3,15,21.02,67.79,569.0,881.23,84.0,380.0,4.93,27.0,848.1,
2014,1,3,16,19.52,72.63,355.0,773.7,69.0,382.2,4.43,26.0,848.52,
2014,1,3,17,18.03,77.48,128.0,598.39,34.0,384.4,3.93,24.0,848.94,
2014,1,3,18,17.16,80.4,0.0,0.0,0.0,388.4,4.29,22.0,849.58,
2014,1,3,19,16.29,83.33,0.0,0.0,0.0,392.4,4.65,19.0,850.22,
2014,1,3,20,15.43,86.25,0.0,0.0,0.0,396.4,5.01,17.0,850.86,
2014,1,3,21,15.07,86.78,0.0,0.0,0.0,395.73,4.92,16.0,850.75,
2014,1,3,22,14.72,87.31,0.0,0.0,0.0,395.07,4.83,15.0,850.64,
2014,1,3,23,14.36,87.84,0.0,0.0,0.0,394.4,4.74,14.0,850.53,
2014,1,4,0,14.18,87.88,0.0,0.0,0.0,393.65,4.69,14.0,850.16,
2014,1,4,1,14.01,87.92,0.0,0.0,0.0,392.9,4.63,14.0,849.8,
2014,1,4,2,13.83,87.96,0.0,0.0,0.0,392.15,4.58,14.0,849.44,
2014,1,4,3,13.88,87.9,0.0,0.0,0.0,390.83,4.44,14.0,849.49,
2014,1,4,4,13.93,87.83,0.0,0.0,0.0,389.52,4.29,14.0,849.55,
2014,1,4,5,13.99,87.77,0.0,0.0,0.0,388.2,4.15,14.0,849.61,
2014,1,4,6,15.33,84.72,0.0,0.0,0.0,386.88,4.65,15.0,850.11,
2014,1,4,7,16.68,81.68,70.0,314.74,36.0,385.57,5.14,16.0,850.61,
2014,1,4,8,18.03,78.63,296.0,705.8,66.0,384.25,5.64,16.0,851.11,
2014,1,4,9,19.58,75.55,518.0,846.8,82.0,382.63,5.38,20.0,850.55,
2014,1,4,10,21.14,72.46,697.0,913.66,92.0,381.02,5.12,24.0,850.0,
2014,1,4,11,22.7,69.38,816.0,948.91,97.0,379.4,4.86,28.0,849.44,
2014,1,4,12,22.86,69.07,864.0,962.28,99.0,379.5,4.62,29.0,848.74,
2014,1,4,13,23.02,68.76,835.0,956.63,97.0,379.6,4.38,30.0,848.05,
2014,1,4,14,23.19,68.45,733.0,929.26,93.0,379.7,4.14,31.0,847.35,
2014,1,4,15,21.43,73.22,567.0,874.32,84.0,381.17,3.71,31.0,847.66,
2014,1,4,16,19.68,77.98,355.0,771.81,68.0,382.63,3.27,31.0,847.96,
2014,1,4,17,17.93,82.75,129.0,590.03,35.0,384.1,2.84,31.0,848.27,
2014,1,4,18,16.98,84.37,0.0,0.0,0.0,388.08,2.8,30.0,848.72,
2014,1,4,19,16.03,85.99,0.0,0.0,0.0,392.07,2.75,29.0,849.16,
2014,1,4,20,15.08,87.61,0.0,0.0,0.0,396.05,2.7,28.0,849.61,
2014,1,4,21,14.86,88.03,0.0,0.0,0.0,395.33,2.83,24.0,849.49,
2014,1,4,22,14.64,88.45,0.0,0.0,0.0,394.62,2.95,21.0,849.38,
2014,1,4,23,14.41,88.87,0.0,0.0,0.0,393.9,3.08,17.0,849.27,
2014,1,5,0,14.2,88.84,0.0,0.0,0.0,393.25,2.86,16.0,849.05,
2014,1,5,1,13.99,88.82,0.0,0.0,0.0,392.6,2.64,15.0,848.83,
2014,1,5,2,13.78,88.79,0.0,0.0,0.0,391.95,2.43,14.0,848.6,
2014,1,5,3,13.71,88.16,0.0,0.0,0.0,391.87,2.31,14.0,848.8,
2014,1,5,4,13.65,87.53,0.0,0.0,0.0,391.78,2.19,14.0,848.99,
2014,1,5,5,13.59,86.9,0.0,0.0,0.0,391.7,2.07,15.0,849.19,
2014,1,5,6,15.28,81.98,0.0,0.0,0.0,394.6,2.08,15.0,849.52,
2014,1,5,7,16.97,77.07,69.0,308.44,36.0,397.5,2.1,16.0,849.86,
2014,1,5,8,18.67,72.15,296.0,707.33,66.0,400.4,2.11,17.0,850.19,
2014,1,5,9,20.24,64.42,519.0,849.24,82.0,396.05,1.66,22.0,849.52,
2014,1,5,10,21.82,56.68,700.0,917.97,92.0,391.7,1.2,26.0,848.85,
2014,1,5,11,23.4,48.95,820.0,953.39,97.0,387.35,0.74,31.0,848.19,
2014,1,5,12,23.49,46.14,868.0,965.98,99.0,387.6,1.19,36.0,847.35,
2014,1,5,13,23.59,43.34,839.0,958.64,98.0,387.85,1.63,40.0,846.52,
2014,1,5,14,23.69,40.53,737.0,932.55,93.0,388.1,2.07,44.0,845.68,
2014,1,5,15,21.89,45.64,571.0,878.22,84.0,390.02,1.91,62.0,845.96,
2014,1,5,16,20.09,50.76,358.0,772.53,69.0,391.93,1.75,80.0,846.24,
2014,1,5,17,18.3,55.87,131.0,587.99,36.0,393.85,1.59,97.0,846.52,
2014,1,5,18,17.77,61.15,0.0,0.0,0.0,392.98,1.68,72.0,847.1,
2014,1,5,19,17.25,66.42,0.0,0.0,0.0,392.12,1.77,46.0,847.69,
2014,1,5,20,16.73,71.7,0.0,0.0,0.0,391.25,1.86,20.0,848.27,
2014,1,5,21,15.62,74.57,0.0,0.0,0.0,390.72,1.86,16.0,848.41,
2014,1,5,22,14.51,77.45,0.0,0.0,0.0,390.18,1.85,12.0,848.55,
2014,1,5,23,13.39,80.32,0.0,0.0,0.0,389.65,1.85,9.0,848.69,
2014,1,6,0,13.37,82.43,0.0,0.0,0.0,389.37,1.85,10.0,848.6,
2014,1,6,1,13.35,84.54,0.0,0.0,0.0,389.08,1.86,11.0,848.52,
2014,1,6,2,13.33,86.65,0.0,0.0,0.0,388.8,1.86,12.0,848.44,
2014,1,6,3,13.53,87.74,0.0,0.0,0.0,389.45,1.92,12.0,848.66,
2014,1,6,4,13.74,88.83,0.0,0.0,0.0,390.1,1.98,13.0,848.88,
