Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4290,Labe,GIN,Guinea,11.3199924916,-12.3000091974,0,1032.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,16.82,42.96,0.0,0.0,0.0,314.94,2.12,67.0,895.37,
2008,1,1,1,16.43,44.31,0.0,0.0,0.0,313.55,2.08,72.0,895.07,
2008,1,1,2,16.03,45.66,0.0,0.0,0.0,312.17,2.03,76.0,894.78,
2008,1,1,3,15.63,47.01,0.0,0.0,0.0,310.79,1.99,80.0,894.78,
2008,1,1,4,15.24,48.36,0.0,0.0,0.0,309.41,1.94,84.0,894.78,
2008,1,1,5,14.84,49.71,0.0,0.0,0.0,308.02,1.9,88.0,894.78,
2008,1,1,6,14.44,51.06,0.0,0.0,0.0,306.64,1.85,87.0,895.13,
2008,1,1,7,14.05,52.41,0.0,0.0,0.0,305.26,1.81,87.0,895.48,
2008,1,1,8,18.25,53.28,162.0,372.07,83.0,306.25,2.63,86.0,895.84,
2008,1,1,9,20.47,45.92,396.0,604.1,140.0,310.88,2.54,84.0,895.6,
2008,1,1,10,22.7,38.56,562.0,552.32,230.0,315.52,2.45,82.0,895.37,
2008,1,1,11,24.92,31.2,749.0,721.07,221.0,320.15,2.36,80.0,895.13,
2008,1,1,12,25.54,29.64,885.0,890.81,165.0,325.73,1.99,78.0,894.28,
2008,1,1,13,26.16,28.07,904.0,896.89,165.0,331.32,1.61,76.0,893.42,
2008,1,1,14,26.78,26.51,836.0,845.46,178.0,336.9,1.24,74.0,892.57,
2008,1,1,15,26.0,30.75,686.0,725.16,197.0,337.05,1.26,65.0,892.8,
2008,1,1,16,25.22,35.0,484.0,573.96,186.0,337.2,1.27,56.0,893.04,
2008,1,1,17,24.45,39.24,254.0,364.8,136.0,337.35,1.28,47.0,893.27,
2008,1,1,18,22.34,43.3,46.0,89.6,37.0,335.43,1.57,48.0,894.04,
2008,1,1,19,20.23,47.35,0.0,0.0,0.0,333.52,1.86,49.0,894.81,
2008,1,1,20,18.13,51.41,0.0,0.0,0.0,331.6,2.15,49.0,895.57,
2008,1,1,21,17.69,52.24,0.0,0.0,0.0,330.28,2.2,53.0,895.84,
2008,1,1,22,17.26,53.06,0.0,0.0,0.0,328.97,2.24,56.0,896.1,
2008,1,1,23,16.83,53.89,0.0,0.0,0.0,327.65,2.29,59.0,896.37,
2008,1,2,0,16.46,51.09,0.0,0.0,0.0,325.85,2.25,63.0,896.31,
2008,1,2,1,16.09,48.3,0.0,0.0,0.0,324.05,2.22,67.0,896.25,
2008,1,2,2,15.71,45.5,0.0,0.0,0.0,322.25,2.18,71.0,896.19,
2008,1,2,3,15.36,46.55,0.0,0.0,0.0,319.38,2.05,75.0,896.16,
2008,1,2,4,15.0,47.61,0.0,0.0,0.0,316.52,1.91,79.0,896.13,
2008,1,2,5,14.64,48.66,0.0,0.0,0.0,313.65,1.78,82.0,896.1,
2008,1,2,6,15.81,49.76,0.0,0.0,0.0,311.63,2.13,83.0,896.43,
2008,1,2,7,16.99,50.87,0.0,0.0,0.0,309.62,2.48,84.0,896.75,
2008,1,2,8,18.16,51.97,169.0,435.78,77.0,307.6,2.83,85.0,897.07,
2008,1,2,9,20.2,45.13,399.0,626.64,134.0,310.92,2.73,83.0,896.69,
2008,1,2,10,22.24,38.3,623.0,792.49,147.0,314.23,2.63,81.0,896.31,
2008,1,2,11,24.28,31.46,792.0,874.02,152.0,317.55,2.54,79.0,895.93,
2008,1,2,12,25.01,30.4,885.0,890.28,165.0,323.13,2.13,78.0,895.01,
2008,1,2,13,25.75,29.35,906.0,897.07,166.0,328.72,1.73,77.0,894.1,
2008,1,2,14,26.49,28.29,847.0,877.32,163.0,334.3,1.32,77.0,893.19,
2008,1,2,15,25.4,34.46,708.0,798.76,168.0,334.72,1.28,65.0,893.42,
2008,1,2,16,24.31,40.64,501.0,635.11,170.0,335.13,1.24,53.0,893.66,
2008,1,2,17,23.23,46.81,282.0,512.96,115.0,335.55,1.2,41.0,893.89,
2008,1,2,18,21.29,50.73,60.0,214.51,38.0,332.5,1.53,46.0,894.63,
2008,1,2,19,19.35,54.66,0.0,0.0,0.0,329.45,1.85,51.0,895.37,
2008,1,2,20,17.42,58.58,0.0,0.0,0.0,326.4,2.18,56.0,896.1,
2008,1,2,21,17.08,58.29,0.0,0.0,0.0,324.63,2.23,60.0,896.34,
2008,1,2,22,16.75,58.01,0.0,0.0,0.0,322.87,2.29,63.0,896.57,
2008,1,2,23,16.41,57.72,0.0,0.0,0.0,321.1,2.34,67.0,896.81,
2008,1,3,0,15.99,57.3,0.0,0.0,0.0,321.78,2.3,71.0,896.6,
2008,1,3,1,15.56,56.89,0.0,0.0,0.0,322.47,2.26,75.0,896.4,
2008,1,3,2,15.13,56.47,0.0,0.0,0.0,323.15,2.22,80.0,896.19,
2008,1,3,3,14.97,56.2,0.0,0.0,0.0,321.6,2.08,82.0,896.19,
2008,1,3,4,14.8,55.94,0.0,0.0,0.0,320.05,1.94,84.0,896.19,
2008,1,3,5,14.64,55.67,0.0,0.0,0.0,318.5,1.79,87.0,896.19,
2008,1,3,6,15.95,55.47,0.0,0.0,0.0,317.17,2.1,88.0,896.63,
2008,1,3,7,17.26,55.26,0.0,0.0,0.0,315.83,2.4,90.0,897.07,
2008,1,3,8,18.57,55.06,155.0,333.4,85.0,314.5,2.7,91.0,897.52,
2008,1,3,9,20.73,46.65,401.0,637.32,132.0,317.47,2.67,90.0,897.25,
2008,1,3,10,22.9,38.24,616.0,763.02,158.0,320.43,2.63,89.0,896.99,
2008,1,3,11,25.06,29.83,792.0,873.94,152.0,323.4,2.59,88.0,896.72,
2008,1,3,12,25.73,28.53,886.0,890.9,165.0,329.32,2.23,82.0,895.9,
2008,1,3,13,26.4,27.24,907.0,897.17,166.0,335.23,1.87,77.0,895.07,
2008,1,3,14,27.08,25.94,849.0,878.26,163.0,341.15,1.5,72.0,894.25,
2008,1,3,15,25.96,32.53,717.0,830.6,154.0,341.1,1.49,63.0,894.42,
2008,1,3,16,24.84,39.12,529.0,756.91,133.0,341.05,1.49,54.0,894.6,
2008,1,3,17,23.73,45.71,293.0,564.55,108.0,341.0,1.48,45.0,894.78,
2008,1,3,18,21.8,48.88,62.0,219.71,39.0,337.77,1.72,45.0,895.6,
2008,1,3,19,19.87,52.06,0.0,0.0,0.0,334.53,1.96,46.0,896.43,
2008,1,3,20,17.94,55.23,0.0,0.0,0.0,331.3,2.21,47.0,897.25,
2008,1,3,21,17.63,54.74,0.0,0.0,0.0,329.48,2.25,48.0,897.4,
2008,1,3,22,17.33,54.26,0.0,0.0,0.0,327.67,2.29,50.0,897.55,
2008,1,3,23,17.03,53.77,0.0,0.0,0.0,325.85,2.33,52.0,897.69,
2008,1,4,0,16.69,50.19,0.0,0.0,0.0,326.32,2.27,55.0,897.43,
2008,1,4,1,16.34,46.61,0.0,0.0,0.0,326.78,2.21,57.0,897.16,
2008,1,4,2,15.99,43.03,0.0,0.0,0.0,327.25,2.15,60.0,896.9,
2008,1,4,3,15.71,43.59,0.0,0.0,0.0,325.2,2.06,65.0,896.78,
2008,1,4,4,15.43,44.14,0.0,0.0,0.0,323.15,1.98,71.0,896.66,
2008,1,4,5,15.15,44.7,0.0,0.0,0.0,321.1,1.89,76.0,896.54,
2008,1,4,6,16.32,46.15,0.0,0.0,0.0,319.58,2.16,77.0,896.87,
2008,1,4,7,17.49,47.59,0.0,0.0,0.0,318.07,2.42,78.0,897.19,
