Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,295,Pita,GIN,Guinea,11.0799990981,-12.4010005606,0,953.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,17.06,42.96,0.0,0.0,0.0,323.8,2.42,50.0,903.99,
2008,1,1,1,16.49,44.31,0.0,0.0,0.0,322.22,2.43,50.0,903.69,
2008,1,1,2,15.93,45.66,0.0,0.0,0.0,320.64,2.44,50.0,903.39,
2008,1,1,3,15.36,47.01,0.0,0.0,0.0,319.06,2.46,49.0,903.39,
2008,1,1,4,14.79,48.36,0.0,0.0,0.0,317.48,2.47,48.0,903.39,
2008,1,1,5,14.23,49.71,0.0,0.0,0.0,315.9,2.48,47.0,903.39,
2008,1,1,6,13.66,51.06,0.0,0.0,0.0,314.32,2.5,49.0,903.75,
2008,1,1,7,13.09,52.41,0.0,0.0,0.0,312.74,2.51,51.0,904.1,
2008,1,1,8,18.02,53.28,163.0,381.08,82.0,313.9,3.16,53.0,904.46,
2008,1,1,9,20.58,45.92,381.0,527.84,157.0,316.6,2.81,59.0,904.22,
2008,1,1,10,23.14,38.56,568.0,571.29,224.0,319.3,2.47,66.0,903.99,
2008,1,1,11,25.69,31.2,779.0,820.43,177.0,322.0,2.12,72.0,903.75,
2008,1,1,12,26.56,29.64,890.0,900.95,160.0,325.6,1.76,82.0,902.89,
2008,1,1,13,27.42,28.07,905.0,890.59,169.0,329.2,1.39,93.0,902.02,
2008,1,1,14,28.28,26.51,833.0,823.16,190.0,332.8,1.02,103.0,901.16,
2008,1,1,15,27.1,30.75,664.0,637.63,232.0,334.28,0.94,110.0,901.4,
2008,1,1,16,25.91,35.0,477.0,533.89,198.0,335.77,0.86,116.0,901.64,
2008,1,1,17,24.73,39.24,207.0,159.06,155.0,337.25,0.77,122.0,901.87,
2008,1,1,18,23.07,43.3,62.0,231.04,38.0,334.7,0.99,98.0,902.65,
2008,1,1,19,21.4,47.35,0.0,0.0,0.0,332.15,1.2,74.0,903.42,
2008,1,1,20,19.74,51.41,0.0,0.0,0.0,329.6,1.42,50.0,904.19,
2008,1,1,21,18.87,52.24,0.0,0.0,0.0,328.12,1.6,48.0,904.46,
2008,1,1,22,18.0,53.06,0.0,0.0,0.0,326.63,1.77,46.0,904.73,
2008,1,1,23,17.13,53.89,0.0,0.0,0.0,325.15,1.94,44.0,905.0,
2008,1,2,0,16.5,51.09,0.0,0.0,0.0,325.02,2.15,46.0,904.94,
2008,1,2,1,15.88,48.3,0.0,0.0,0.0,324.88,2.36,49.0,904.88,
2008,1,2,2,15.25,45.5,0.0,0.0,0.0,324.75,2.57,51.0,904.82,
2008,1,2,3,14.9,46.55,0.0,0.0,0.0,323.08,2.49,52.0,904.79,
2008,1,2,4,14.55,47.61,0.0,0.0,0.0,321.42,2.41,52.0,904.76,
2008,1,2,5,14.2,48.66,0.0,0.0,0.0,319.75,2.33,52.0,904.73,
2008,1,2,6,15.53,49.76,0.0,0.0,0.0,318.02,2.67,53.0,905.06,
2008,1,2,7,16.87,50.87,0.0,0.0,0.0,316.28,3.0,54.0,905.38,
2008,1,2,8,18.2,51.97,166.0,411.67,79.0,314.55,3.34,55.0,905.71,
2008,1,2,9,20.52,45.13,403.0,642.29,131.0,316.18,3.06,60.0,905.32,
2008,1,2,10,22.83,38.3,622.0,784.48,150.0,317.82,2.78,65.0,904.94,
2008,1,2,11,25.14,31.46,787.0,851.78,162.0,319.45,2.5,70.0,904.55,
2008,1,2,12,26.07,30.4,885.0,884.38,168.0,322.88,2.1,76.0,903.63,
2008,1,2,13,27.0,29.35,906.0,890.78,169.0,326.32,1.71,82.0,902.71,
2008,1,2,14,27.93,28.29,853.0,888.18,158.0,329.75,1.31,88.0,901.78,
2008,1,2,15,26.36,34.46,709.0,793.56,170.0,331.53,1.07,80.0,902.02,
2008,1,2,16,24.78,40.64,503.0,631.02,172.0,333.32,0.82,72.0,902.26,
2008,1,2,17,23.21,46.81,286.0,516.68,116.0,335.1,0.58,65.0,902.5,
2008,1,2,18,21.87,50.73,59.0,179.28,40.0,331.88,0.95,60.0,903.24,
2008,1,2,19,20.54,54.66,0.0,0.0,0.0,328.67,1.32,55.0,903.99,
2008,1,2,20,19.2,58.58,0.0,0.0,0.0,325.45,1.7,51.0,904.73,
2008,1,2,21,18.36,58.29,0.0,0.0,0.0,323.62,1.86,50.0,904.97,
2008,1,2,22,17.52,58.01,0.0,0.0,0.0,321.78,2.03,49.0,905.2,
2008,1,2,23,16.68,57.72,0.0,0.0,0.0,319.95,2.19,49.0,905.44,
2008,1,3,0,15.97,57.3,0.0,0.0,0.0,321.57,2.23,50.0,905.23,
2008,1,3,1,15.26,56.89,0.0,0.0,0.0,323.18,2.27,51.0,905.03,
2008,1,3,2,14.55,56.47,0.0,0.0,0.0,324.8,2.3,53.0,904.82,
2008,1,3,3,14.31,56.2,0.0,0.0,0.0,323.53,2.26,53.0,904.82,
2008,1,3,4,14.07,55.94,0.0,0.0,0.0,322.27,2.22,53.0,904.82,
2008,1,3,5,13.83,55.67,0.0,0.0,0.0,321.0,2.18,53.0,904.82,
2008,1,3,6,15.41,55.47,0.0,0.0,0.0,319.57,2.5,54.0,905.26,
2008,1,3,7,17.0,55.26,0.0,0.0,0.0,318.13,2.82,55.0,905.71,
2008,1,3,8,18.58,55.06,167.0,423.48,78.0,316.7,3.14,56.0,906.16,
2008,1,3,9,21.0,46.65,402.0,641.18,131.0,318.35,2.91,62.0,905.89,
2008,1,3,10,23.41,38.24,618.0,770.04,155.0,320.0,2.68,68.0,905.62,
2008,1,3,11,25.82,29.83,787.0,851.71,162.0,321.65,2.44,74.0,905.35,
2008,1,3,12,26.73,28.53,886.0,885.02,168.0,327.23,2.13,78.0,904.52,
2008,1,3,13,27.63,27.24,908.0,890.9,170.0,332.82,1.83,82.0,903.69,
2008,1,3,14,28.53,25.94,855.0,889.11,158.0,338.4,1.52,86.0,902.86,
2008,1,3,15,26.91,32.53,719.0,823.81,158.0,339.72,1.38,82.0,903.03,
2008,1,3,16,25.29,39.12,525.0,721.68,145.0,341.03,1.25,78.0,903.21,
2008,1,3,17,23.67,45.71,297.0,570.74,108.0,342.35,1.12,74.0,903.39,
2008,1,3,18,22.24,48.88,66.0,240.52,40.0,338.83,1.3,63.0,904.22,
2008,1,3,19,20.82,52.06,0.0,0.0,0.0,335.32,1.48,53.0,905.06,
2008,1,3,20,19.39,55.23,0.0,0.0,0.0,331.8,1.66,42.0,905.89,
2008,1,3,21,18.64,54.74,0.0,0.0,0.0,330.0,1.82,41.0,906.04,
2008,1,3,22,17.88,54.26,0.0,0.0,0.0,328.2,1.98,39.0,906.19,
2008,1,3,23,17.13,53.77,0.0,0.0,0.0,326.4,2.14,38.0,906.33,
2008,1,4,0,16.58,50.19,0.0,0.0,0.0,326.95,2.28,39.0,906.07,
2008,1,4,1,16.03,46.61,0.0,0.0,0.0,327.5,2.41,41.0,905.8,
2008,1,4,2,15.48,43.03,0.0,0.0,0.0,328.05,2.55,42.0,905.53,
2008,1,4,3,15.17,43.59,0.0,0.0,0.0,326.82,2.47,43.0,905.41,
2008,1,4,4,14.85,44.14,0.0,0.0,0.0,325.58,2.39,44.0,905.29,
2008,1,4,5,14.54,44.7,0.0,0.0,0.0,324.35,2.3,45.0,905.17,
2008,1,4,6,15.89,46.15,0.0,0.0,0.0,322.9,2.6,47.0,905.5,
2008,1,4,7,17.24,47.59,0.0,0.0,0.0,321.45,2.89,49.0,905.83,
2008,1,4,8,18.59,49.04,164.0,416.17,77.0,320.0,3.19,51.0,906.16,
2008,1,4,9,21.02,42.68,405.0,666.04,124.0,321.95,2.77,56.0,905.86,
2008,1,4,10,23.45,36.31,594.0,672.29,190.0,323.9,2.35,62.0,905.56,
2008,1,4,11,25.88,29.95,775.0,805.23,184.0,325.85,1.93,67.0,905.26,
2008,1,4,12,26.75,28.3,829.0,700.83,260.0,331.9,1.58,60.0,904.49,
2008,1,4,13,27.61,26.64,794.0,558.2,331.0,337.95,1.22,53.0,903.72,
2008,1,4,14,28.47,24.99,843.0,840.31,183.0,344.0,0.87,47.0,902.94,
2008,1,4,15,27.04,29.21,721.0,824.54,158.0,345.93,0.82,37.0,903.0,
2008,1,4,16,25.6,33.43,533.0,751.05,136.0,347.87,0.78,27.0,903.06,
2008,1,4,17,24.16,37.65,311.0,657.06,92.0,349.8,0.73,18.0,903.12,
2008,1,4,18,22.53,39.61,48.0,72.57,40.0,346.85,1.09,24.0,903.87,
2008,1,4,19,20.9,41.56,0.0,0.0,0.0,343.9,1.44,31.0,904.61,
2008,1,4,20,19.27,43.52,0.0,0.0,0.0,340.95,1.79,38.0,905.35,
2008,1,4,21,18.61,43.57,0.0,0.0,0.0,337.28,1.85,39.0,905.5,
2008,1,4,22,17.95,43.63,0.0,0.0,0.0,333.62,1.9,41.0,905.65,
2008,1,4,23,17.29,43.68,0.0,0.0,0.0,329.95,1.96,42.0,905.8,
2008,1,5,0,16.38,45.64,0.0,0.0,0.0,329.37,1.84,42.0,905.32,
2008,1,5,1,15.47,47.6,0.0,0.0,0.0,328.78,1.73,42.0,904.85,
2008,1,5,2,14.56,49.56,0.0,0.0,0.0,328.2,1.61,42.0,904.37,
2008,1,5,3,14.31,50.09,0.0,0.0,0.0,327.6,1.66,40.0,904.37,
2008,1,5,4,14.05,50.61,0.0,0.0,0.0,327.0,1.71,38.0,904.37,
2008,1,5,5,13.79,51.14,0.0,0.0,0.0,326.4,1.77,36.0,904.37,
2008,1,5,6,15.49,51.37,0.0,0.0,0.0,326.55,2.09,39.0,904.91,
2008,1,5,7,17.19,51.61,0.0,0.0,0.0,326.7,2.41,42.0,905.44,
2008,1,5,8,18.89,51.84,165.0,427.9,76.0,326.85,2.73,44.0,905.98,
2008,1,5,9,21.29,44.07,402.0,652.9,127.0,331.43,2.33,57.0,905.8,
2008,1,5,10,23.69,36.3,624.0,799.11,144.0,336.02,1.93,69.0,905.62,
2008,1,5,11,26.09,28.53,788.0,851.31,163.0,340.6,1.53,82.0,905.44,
2008,1,5,12,26.68,28.53,888.0,884.83,169.0,345.87,1.3,105.0,904.64,
2008,1,5,13,27.27,28.53,910.0,892.13,169.0,351.13,1.07,128.0,903.84,
2008,1,5,14,27.85,28.53,854.0,872.97,167.0,356.4,0.84,151.0,903.03,
2008,1,5,15,26.74,32.52,724.0,825.21,159.0,357.88,0.77,166.0,903.06,
2008,1,5,16,25.62,36.51,530.0,725.49,145.0,359.37,0.69,182.0,903.09,
2008,1,5,17,24.5,40.5,297.0,542.5,115.0,360.85,0.62,197.0,903.12,
2008,1,5,18,22.99,44.99,57.0,124.57,43.0,358.58,0.61,227.0,903.81,
2008,1,5,19,21.47,49.49,0.0,0.0,0.0,356.32,0.59,258.0,904.49,
2008,1,5,20,19.96,53.98,0.0,0.0,0.0,354.05,0.58,288.0,905.17,
2008,1,5,21,19.42,55.02,0.0,0.0,0.0,352.55,0.84,317.0,905.38,
2008,1,5,22,18.88,56.07,0.0,0.0,0.0,351.05,1.1,346.0,905.59,
2008,1,5,23,18.35,57.11,0.0,0.0,0.0,349.55,1.37,15.0,905.8,
2008,1,6,0,17.41,55.19,0.0,0.0,0.0,347.3,1.59,22.0,905.59,
2008,1,6,1,16.48,53.28,0.0,0.0,0.0,345.05,1.82,28.0,905.38,
2008,1,6,2,15.54,51.36,0.0,0.0,0.0,342.8,2.04,35.0,905.17,
2008,1,6,3,15.33,50.46,0.0,0.0,0.0,340.93,2.13,36.0,905.06,
2008,1,6,4,15.11,49.57,0.0,0.0,0.0,339.07,2.23,37.0,904.94,
2008,1,6,5,14.89,48.67,0.0,0.0,0.0,337.2,2.32,38.0,904.82,
2008,1,6,6,16.39,48.27,0.0,0.0,0.0,335.82,2.7,40.0,905.38,
2008,1,6,7,17.89,47.87,0.0,0.0,0.0,334.43,3.09,42.0,905.95,
2008,1,6,8,19.39,47.47,163.0,420.31,76.0,333.05,3.48,43.0,906.51,
2008,1,6,9,21.69,40.93,401.0,651.5,127.0,334.9,3.35,47.0,906.3,
2008,1,6,10,23.98,34.38,620.0,784.39,149.0,336.75,3.22,51.0,906.1,
2008,1,6,11,26.27,27.84,784.0,836.01,170.0,338.6,3.09,56.0,905.89,
2008,1,6,12,26.96,27.18,888.0,885.23,168.0,344.12,2.94,59.0,904.94,
2008,1,6,13,27.65,26.53,912.0,892.03,170.0,349.63,2.79,62.0,903.99,
2008,1,6,14,28.34,25.87,856.0,873.73,167.0,355.15,2.63,66.0,903.03,
2008,1,6,15,27.18,29.61,722.0,811.26,165.0,355.78,2.37,64.0,903.12,
2008,1,6,16,26.01,33.36,518.0,660.66,166.0,356.42,2.1,61.0,903.21,
2008,1,6,17,24.85,37.1,304.0,577.46,109.0,357.05,1.83,59.0,903.3,
2008,1,6,18,22.79,38.09,75.0,296.82,41.0,351.67,2.27,57.0,904.16,
2008,1,6,19,20.72,39.09,0.0,0.0,0.0,346.28,2.7,55.0,905.03,
2008,1,6,20,18.66,40.08,0.0,0.0,0.0,340.9,3.13,53.0,905.89,
2008,1,6,21,18.56,40.61,0.0,0.0,0.0,338.73,3.2,52.0,906.04,
2008,1,6,22,18.46,41.14,0.0,0.0,0.0,336.57,3.26,52.0,906.19,
2008,1,6,23,18.37,41.67,0.0,0.0,0.0,334.4,3.32,51.0,906.33,
2008,1,7,0,17.64,41.88,0.0,0.0,0.0,333.08,3.28,52.0,906.04,
2008,1,7,1,16.92,42.09,0.0,0.0,0.0,331.77,3.24,52.0,905.74,
2008,1,7,2,16.19,42.3,0.0,0.0,0.0,330.45,3.2,53.0,905.44,
2008,1,7,3,15.71,42.74,0.0,0.0,0.0,326.65,3.28,53.0,905.47,
2008,1,7,4,15.22,43.17,0.0,0.0,0.0,322.85,3.36,52.0,905.5,
2008,1,7,5,14.74,43.61,0.0,0.0,0.0,319.05,3.43,52.0,905.53,
2008,1,7,6,15.8,44.26,0.0,0.0,0.0,315.9,3.83,53.0,906.1,
2008,1,7,7,16.87,44.91,0.0,0.0,0.0,312.75,4.23,54.0,906.66,
2008,1,7,8,17.93,45.56,171.0,499.89,68.0,309.6,4.63,54.0,907.23,
2008,1,7,9,19.78,40.85,396.0,628.58,132.0,307.73,4.48,57.0,906.81,
2008,1,7,10,21.62,36.14,614.0,754.57,161.0,305.87,4.32,59.0,906.39,
