Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1457,Bartica,GUY,Guyana,6.41042136528,-58.6300236426,-4,10.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,22.26,94.36,0.0,0.0,0.0,402.68,1.35,33.0,1012.9,
2007,1,1,1,21.9,94.64,0.0,0.0,0.0,402.03,1.29,34.0,1012.7,
2007,1,1,2,21.54,94.93,0.0,0.0,0.0,401.38,1.22,37.0,1012.5,
2007,1,1,3,21.18,95.22,0.0,0.0,0.0,400.72,1.16,41.0,1012.3,
2007,1,1,4,22.08,93.75,0.0,0.0,0.0,405.55,1.02,44.0,1012.1,
2007,1,1,5,22.74,93.18,0.0,0.0,0.0,403.72,0.98,47.0,1012.73,
2007,1,1,6,23.39,92.6,0.0,0.0,0.0,401.88,0.94,50.0,1013.36,
2007,1,1,7,24.04,92.03,143.0,402.87,62.0,400.05,0.9,53.0,1014.0,
2007,1,1,8,25.14,91.62,374.0,655.85,98.0,402.33,1.49,55.0,1013.96,
2007,1,1,9,26.23,91.2,590.0,775.11,118.0,404.62,2.07,57.0,1013.93,
2007,1,1,10,27.32,90.79,348.0,37.2,320.0,406.9,2.66,59.0,1013.9,
2007,1,1,11,27.92,88.46,607.0,200.72,438.0,412.65,2.93,58.0,1013.03,
2007,1,1,12,28.52,86.13,684.0,274.39,445.0,418.4,3.2,57.0,1012.17,
2007,1,1,13,29.12,83.8,175.0,3.58,172.0,424.15,3.46,56.0,1011.3,
2007,1,1,14,28.29,86.21,50.0,0.0,50.0,421.42,3.52,56.0,1010.83,
2007,1,1,15,27.45,88.62,573.0,758.44,120.0,418.68,3.57,55.0,1010.37,
2007,1,1,16,26.62,91.03,357.0,632.16,100.0,415.95,3.63,55.0,1009.9,
2007,1,1,17,25.76,91.28,131.0,367.33,63.0,410.82,3.35,57.0,1010.5,
2007,1,1,18,24.9,91.52,0.0,0.0,0.0,405.68,3.07,58.0,1011.1,
2007,1,1,19,24.04,91.77,0.0,0.0,0.0,400.55,2.79,60.0,1011.7,
2007,1,1,20,23.59,90.87,0.0,0.0,0.0,399.4,2.41,61.0,1012.13,
2007,1,1,21,23.13,89.96,0.0,0.0,0.0,398.25,2.03,62.0,1012.57,
2007,1,1,22,22.67,89.06,0.0,0.0,0.0,397.1,1.66,62.0,1013.0,
2007,1,1,23,22.53,88.37,0.0,0.0,0.0,396.87,1.9,63.0,1012.73,
2007,1,2,0,22.38,87.67,0.0,0.0,0.0,396.63,2.14,64.0,1012.47,
2007,1,2,1,22.23,86.98,0.0,0.0,0.0,396.4,2.39,65.0,1012.2,
2007,1,2,2,22.3,87.2,0.0,0.0,0.0,396.85,2.29,65.0,1011.93,
2007,1,2,3,22.37,87.41,0.0,0.0,0.0,397.3,2.18,65.0,1011.67,
2007,1,2,4,22.44,87.63,0.0,0.0,0.0,397.75,2.08,64.0,1011.4,
2007,1,2,5,23.04,88.13,0.0,0.0,0.0,397.52,2.08,65.0,1012.03,
2007,1,2,6,23.63,88.63,0.0,0.0,0.0,397.28,2.07,66.0,1012.67,
2007,1,2,7,24.22,89.13,143.0,405.71,62.0,397.05,2.07,67.0,1013.3,
2007,1,2,8,25.17,90.9,375.0,659.93,98.0,399.7,2.4,66.0,1013.53,
2007,1,2,9,26.11,92.68,592.0,779.26,118.0,402.35,2.72,64.0,1013.76,
2007,1,2,10,27.05,94.45,763.0,840.01,131.0,405.0,3.05,62.0,1014.0,
2007,1,2,11,26.99,94.03,552.0,137.73,436.0,407.98,3.13,59.0,1013.06,
2007,1,2,12,26.93,93.62,907.0,878.68,141.0,410.97,3.21,57.0,1012.13,
2007,1,2,13,26.87,93.2,639.0,286.09,399.0,413.95,3.3,54.0,1011.2,
2007,1,2,14,26.41,92.55,753.0,831.21,133.0,410.73,3.45,52.0,1010.97,
2007,1,2,15,25.95,91.89,579.0,764.46,121.0,407.52,3.61,51.0,1010.73,
2007,1,2,16,25.49,91.24,361.0,636.43,101.0,404.3,3.77,49.0,1010.5,
2007,1,2,17,24.97,90.67,134.0,374.04,64.0,400.45,3.17,51.0,1010.9,
2007,1,2,18,24.44,90.11,0.0,0.0,0.0,396.6,2.58,53.0,1011.3,
2007,1,2,19,23.92,89.54,0.0,0.0,0.0,392.75,1.99,55.0,1011.7,
2007,1,2,20,23.29,88.63,0.0,0.0,0.0,391.55,1.84,53.0,1012.07,
2007,1,2,21,22.66,87.72,0.0,0.0,0.0,390.35,1.69,50.0,1012.43,
2007,1,2,22,22.03,86.81,0.0,0.0,0.0,389.15,1.54,48.0,1012.8,
2007,1,2,23,21.98,86.44,0.0,0.0,0.0,390.98,1.53,50.0,1012.6,
2007,1,3,0,21.92,86.06,0.0,0.0,0.0,392.82,1.51,52.0,1012.4,
2007,1,3,1,21.86,85.69,0.0,0.0,0.0,394.65,1.49,54.0,1012.2,
2007,1,3,2,21.88,86.34,0.0,0.0,0.0,398.33,1.49,53.0,1012.23,
2007,1,3,3,21.89,87.0,0.0,0.0,0.0,402.02,1.48,52.0,1012.27,
2007,1,3,4,21.9,87.65,0.0,0.0,0.0,405.7,1.48,51.0,1012.3,
2007,1,3,5,22.47,88.69,0.0,0.0,0.0,405.62,1.76,52.0,1013.0,
2007,1,3,6,23.04,89.74,0.0,0.0,0.0,405.53,2.04,54.0,1013.7,
2007,1,3,7,23.6,90.78,141.0,398.42,62.0,405.45,2.32,55.0,1014.4,
2007,1,3,8,24.51,90.37,372.0,654.4,98.0,411.27,2.69,53.0,1014.43,
2007,1,3,9,25.42,89.95,259.0,27.98,242.0,417.08,3.07,52.0,1014.46,
