Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,581,Szekesfehervar,HUN,Hungary,47.1946761262,18.4080647366,1,116.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,-0.54,91.3,0.0,0.0,0.0,271.71,2.29,150.0,1017.49,
2010,1,1,1,0.59,92.61,0.0,0.0,0.0,285.66,2.36,213.0,978.76,
2010,1,1,2,1.73,93.93,0.0,0.0,0.0,299.6,2.42,215.0,978.1,
2010,1,1,3,2.86,95.25,0.0,0.0,0.0,313.55,2.49,218.0,977.45,
2010,1,1,4,3.99,96.57,0.0,0.0,0.0,327.49,2.55,253.0,976.95,
2010,1,1,5,5.13,97.88,0.0,0.0,0.0,341.44,2.62,289.0,976.46,
2010,1,1,6,6.26,99.2,0.0,0.0,0.0,355.38,2.69,324.0,975.97,
2010,1,1,7,7.39,100.0,0.0,0.0,0.0,369.33,2.75,327.0,976.07,
2010,1,1,8,8.53,100.0,24.0,13.51,23.0,383.27,2.82,330.0,976.16,
2010,1,1,9,5.67,96.29,59.0,0.0,59.0,356.25,3.17,333.0,976.26,
2010,1,1,10,5.84,94.44,165.0,113.83,133.0,354.08,3.56,333.0,976.16,
2010,1,1,11,6.01,92.59,76.0,0.0,76.0,351.92,3.94,333.0,976.07,
2010,1,1,12,6.19,90.74,162.0,38.68,149.0,349.75,4.33,333.0,975.97,
2010,1,1,13,5.78,91.94,129.0,23.33,122.0,343.02,4.04,327.0,976.56,
2010,1,1,14,5.38,93.15,113.0,66.92,98.0,336.28,3.74,322.0,977.15,
2010,1,1,15,4.97,94.35,52.0,70.58,44.0,329.55,3.45,316.0,977.74,
2010,1,1,16,4.7,94.41,0.0,0.0,0.0,330.57,3.49,326.0,977.94,
2010,1,1,17,4.43,94.48,0.0,0.0,0.0,331.58,3.53,336.0,978.14,
2010,1,1,18,4.16,94.54,0.0,0.0,0.0,332.6,3.57,346.0,978.33,
2010,1,1,19,4.03,94.26,0.0,0.0,0.0,331.05,3.35,350.0,978.6,
2010,1,1,20,3.91,93.98,0.0,0.0,0.0,329.5,3.13,355.0,978.86,
2010,1,1,21,3.78,93.7,0.0,0.0,0.0,327.95,2.91,359.0,979.12,
2010,1,1,22,3.64,93.52,0.0,0.0,0.0,324.45,3.1,356.0,979.52,
2010,1,1,23,3.49,93.34,0.0,0.0,0.0,320.95,3.29,353.0,979.91,
2010,1,2,0,3.35,93.16,0.0,0.0,0.0,317.45,3.48,350.0,980.31,
2010,1,2,1,3.23,93.25,0.0,0.0,0.0,314.85,3.67,347.0,981.19,
2010,1,2,2,3.1,93.35,0.0,0.0,0.0,312.25,3.87,343.0,982.08,
2010,1,2,3,2.98,93.44,0.0,0.0,0.0,309.65,4.07,340.0,982.97,
2010,1,2,4,2.93,93.43,0.0,0.0,0.0,309.98,4.47,337.0,983.63,
2010,1,2,5,2.88,93.43,0.0,0.0,0.0,310.32,4.87,334.0,984.28,
2010,1,2,6,2.83,93.42,0.0,0.0,0.0,310.65,5.27,331.0,984.94,
2010,1,2,7,3.01,93.21,0.0,0.0,0.0,309.67,6.56,330.0,985.9,
2010,1,2,8,3.2,92.99,52.0,444.41,19.0,308.68,7.84,328.0,986.85,
2010,1,2,9,3.39,92.78,107.0,107.98,86.0,307.7,9.13,326.0,987.8,
2010,1,2,10,2.98,91.48,117.0,17.73,112.0,310.97,9.59,327.0,988.26,
2010,1,2,11,2.56,90.19,269.0,389.96,140.0,314.23,10.04,328.0,988.72,
2010,1,2,12,2.15,88.89,231.0,201.43,163.0,317.5,10.5,329.0,989.18,
2010,1,2,13,1.73,83.8,103.0,3.31,102.0,306.62,10.79,333.0,990.27,
2010,1,2,14,1.32,78.72,109.0,53.06,97.0,295.73,11.08,338.0,991.35,
2010,1,2,15,0.9,73.63,58.0,103.85,46.0,284.85,11.37,342.0,992.44,
2010,1,2,16,0.41,73.93,0.0,0.0,0.0,290.3,11.22,341.0,993.03,
2010,1,2,17,-0.08,74.23,0.0,0.0,0.0,295.75,11.08,340.0,993.62,
2010,1,2,18,-0.57,74.53,0.0,0.0,0.0,301.2,10.94,340.0,994.21,
2010,1,2,19,-0.83,75.35,0.0,0.0,0.0,302.22,10.53,338.0,994.9,
2010,1,2,20,-1.1,76.17,0.0,0.0,0.0,303.23,10.12,336.0,995.59,
2010,1,2,21,-1.36,76.99,0.0,0.0,0.0,304.25,9.71,335.0,996.29,
2010,1,2,22,-1.51,77.2,0.0,0.0,0.0,302.67,9.67,335.0,996.75,
2010,1,2,23,-1.65,77.41,0.0,0.0,0.0,301.08,9.64,335.0,997.21,
2010,1,3,0,-1.8,77.62,0.0,0.0,0.0,299.5,9.6,336.0,997.67,
2010,1,3,1,-1.79,75.31,0.0,0.0,0.0,293.22,9.85,335.0,998.42,
2010,1,3,2,-1.78,73.01,0.0,0.0,0.0,286.93,10.1,334.0,999.18,
2010,1,3,3,-1.77,70.7,0.0,0.0,0.0,280.65,10.34,334.0,999.93,
2010,1,3,4,-1.87,70.2,0.0,0.0,0.0,278.95,10.06,332.0,1000.36,
2010,1,3,5,-1.97,69.7,0.0,0.0,0.0,277.25,9.77,330.0,1000.79,
2010,1,3,6,-2.06,69.2,0.0,0.0,0.0,275.55,9.48,328.0,1001.22,
2010,1,3,7,-1.79,68.23,0.0,0.0,0.0,271.83,9.48,328.0,1001.94,
2010,1,3,8,-1.51,67.27,41.0,187.62,27.0,268.12,9.48,328.0,1002.66,
2010,1,3,9,-1.23,66.3,158.0,466.32,67.0,264.4,9.48,327.0,1003.39,
2010,1,3,10,-0.9,63.22,258.0,614.9,84.0,261.15,9.46,329.0,1003.52,
2010,1,3,11,-0.58,60.15,285.0,472.72,128.0,257.9,9.45,331.0,1003.65,
