Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
PVGIS,21020,-,-,India,28.05,73.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,nan,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,12.4,57.51,0.0,0.0,0.0,302.35,3.09,64.0,992.02,
2015,1,1,1,12.47,58.11,0.0,0.0,0.0,302.21,3.27,69.0,991.82,
2015,1,1,2,12.53,58.71,0.0,0.0,0.0,302.07,3.45,76.0,992.08,
2015,1,1,3,12.6,59.31,0.0,0.0,0.0,301.93,3.64,84.0,992.34,
2015,1,1,4,12.66,59.9,0.0,0.0,0.0,301.79,3.82,92.0,992.6,
2015,1,1,5,12.73,60.5,0.0,0.0,0.0,301.65,4.0,57.0,989.33,
2015,1,1,6,12.8,61.1,0.0,0.0,0.0,301.51,4.18,57.0,989.75,
2015,1,1,7,12.86,61.7,0.0,0.0,0.0,301.37,4.36,57.0,990.17,
2015,1,1,8,12.93,62.3,87.0,141.0,65.0,301.23,4.54,56.0,990.36,
2015,1,1,9,12.99,62.9,165.0,53.66,147.0,301.09,4.72,54.0,990.56,
2015,1,1,10,13.06,63.5,306.0,139.75,239.0,300.95,4.9,53.0,990.75,
2015,1,1,11,13.12,64.09,406.0,191.97,295.0,300.81,5.08,52.0,989.68,
2015,1,1,12,13.19,64.69,410.0,140.78,322.0,300.67,5.27,51.0,988.61,
2015,1,1,13,20.45,38.86,404.0,139.42,318.0,329.2,6.15,50.0,987.54,
2015,1,1,14,20.0,40.32,545.0,678.68,169.0,333.27,5.66,48.0,987.45,
2015,1,1,15,19.54,41.79,433.0,718.95,116.0,337.33,5.16,46.0,987.35,
2015,1,1,16,19.09,43.25,252.0,574.93,88.0,341.4,4.66,45.0,987.25,
2015,1,1,17,17.9,50.58,49.0,133.18,36.0,346.27,4.39,42.0,987.93,
2015,1,1,18,16.71,57.9,0.0,0.0,0.0,351.13,4.11,39.0,988.61,
2015,1,1,19,15.53,65.23,0.0,0.0,0.0,356.0,3.83,37.0,989.29,
2015,1,1,20,14.97,68.16,0.0,0.0,0.0,350.4,3.83,37.0,989.33,
2015,1,1,21,14.41,71.08,0.0,0.0,0.0,344.8,3.82,38.0,989.36,
2015,1,1,22,13.85,74.01,0.0,0.0,0.0,339.2,3.81,39.0,989.39,
2015,1,1,23,13.35,76.9,0.0,0.0,0.0,332.37,3.6,41.0,989.2,
2015,1,2,0,12.86,79.8,0.0,0.0,0.0,325.53,3.4,43.0,989.0,
2015,1,2,1,12.36,82.69,0.0,0.0,0.0,318.7,3.2,46.0,988.81,
2015,1,2,2,11.93,84.35,0.0,0.0,0.0,317.48,3.21,49.0,988.84,
2015,1,2,3,11.5,86.02,0.0,0.0,0.0,316.27,3.22,53.0,988.87,
2015,1,2,4,11.07,87.68,0.0,0.0,0.0,315.05,3.23,57.0,988.91,
2015,1,2,5,11.07,87.69,0.0,0.0,0.0,313.18,3.27,61.0,989.33,
2015,1,2,6,11.07,87.71,0.0,0.0,0.0,311.32,3.31,65.0,989.75,
2015,1,2,7,11.06,87.72,0.0,0.0,0.0,309.45,3.35,70.0,990.17,
2015,1,2,8,13.5,76.06,113.0,353.79,58.0,313.3,3.51,74.0,990.3,
2015,1,2,9,15.93,64.41,288.0,489.3,124.0,317.15,3.66,78.0,990.43,
2015,1,2,10,18.36,52.75,446.0,577.6,169.0,321.0,3.82,83.0,990.56,
2015,1,2,11,19.56,48.24,504.0,435.38,252.0,324.85,3.63,81.0,989.42,
2015,1,2,12,20.76,43.74,600.0,598.94,225.0,328.7,3.44,79.0,988.29,
2015,1,2,13,21.96,39.23,662.0,886.36,114.0,332.55,3.26,78.0,987.16,
2015,1,2,14,21.54,40.27,580.0,833.04,117.0,336.43,3.47,75.0,987.06,
2015,1,2,15,21.12,41.31,435.0,720.13,116.0,340.32,3.68,72.0,986.96,
2015,1,2,16,20.7,42.35,247.0,518.28,98.0,344.2,3.89,69.0,986.86,
2015,1,2,17,18.94,52.04,63.0,290.22,34.0,340.13,3.67,80.0,987.51,
2015,1,2,18,17.18,61.73,0.0,0.0,0.0,336.07,3.45,92.0,988.16,
2015,1,2,19,15.42,71.42,0.0,0.0,0.0,332.0,3.23,103.0,988.81,
2015,1,2,20,14.63,77.23,0.0,0.0,0.0,328.27,3.24,111.0,989.0,
2015,1,2,21,13.84,83.05,0.0,0.0,0.0,324.53,3.26,119.0,989.2,
2015,1,2,22,13.05,88.86,0.0,0.0,0.0,320.8,3.27,127.0,989.39,
2015,1,2,23,12.47,91.3,0.0,0.0,0.0,320.75,3.19,131.0,989.23,
2015,1,3,0,11.89,93.73,0.0,0.0,0.0,320.7,3.11,134.0,989.07,
2015,1,3,1,11.31,96.17,0.0,0.0,0.0,320.65,3.03,137.0,988.91,
2015,1,3,2,11.0,96.86,0.0,0.0,0.0,324.08,2.74,138.0,988.84,
2015,1,3,3,10.69,97.56,0.0,0.0,0.0,327.52,2.44,138.0,988.78,
2015,1,3,4,10.38,98.25,0.0,0.0,0.0,330.95,2.14,139.0,988.71,
2015,1,3,5,10.57,97.73,0.0,0.0,0.0,326.83,2.09,143.0,989.17,
2015,1,3,6,10.77,97.2,0.0,0.0,0.0,322.72,2.05,148.0,989.62,
2015,1,3,7,10.97,96.68,0.0,0.0,0.0,318.6,2.0,153.0,990.07,
2015,1,3,8,13.56,85.49,112.0,354.9,57.0,322.45,1.84,153.0,990.33,
2015,1,3,9,16.15,74.3,305.0,590.99,107.0,326.3,1.68,153.0,990.59,
2015,1,3,10,18.74,63.11,472.0,700.26,136.0,330.15,1.52,153.0,990.85,
2015,1,3,11,19.75,55.81,602.0,805.89,135.0,326.78,1.68,102.0,989.65,
2015,1,3,12,20.75,48.5,665.0,849.79,132.0,323.42,1.85,51.0,988.45,
2015,1,3,13,21.76,41.2,659.0,859.99,126.0,320.05,2.01,1.0,987.25,
2015,1,3,14,21.52,40.67,585.0,844.6,114.0,317.62,2.35,2.0,987.12,
2015,1,3,15,21.28,40.13,440.0,734.65,113.0,315.18,2.69,4.0,986.99,
2015,1,3,16,21.04,39.6,259.0,593.52,87.0,312.75,3.02,6.0,986.86,
2015,1,3,17,19.44,48.0,65.0,293.27,35.0,311.52,3.17,35.0,987.54,
2015,1,3,18,17.85,56.4,0.0,0.0,0.0,310.28,3.31,64.0,988.22,
2015,1,3,19,16.26,64.8,0.0,0.0,0.0,309.05,3.46,94.0,988.91,
2015,1,3,20,15.43,68.02,0.0,0.0,0.0,308.07,3.56,100.0,989.23,
2015,1,3,21,14.59,71.23,0.0,0.0,0.0,307.08,3.66,106.0,989.55,
2015,1,3,22,13.76,74.45,0.0,0.0,0.0,306.1,3.75,112.0,989.88,
2015,1,3,23,13.3,77.15,0.0,0.0,0.0,305.57,3.71,117.0,989.81,
2015,1,4,0,12.85,79.85,0.0,0.0,0.0,305.03,3.68,122.0,989.75,
2015,1,4,1,12.39,82.55,0.0,0.0,0.0,304.5,3.64,127.0,989.68,
2015,1,4,2,12.02,84.98,0.0,0.0,0.0,303.65,3.66,131.0,989.68,
2015,1,4,3,11.65,87.41,0.0,0.0,0.0,302.8,3.69,136.0,989.68,
2015,1,4,4,11.29,89.84,0.0,0.0,0.0,301.95,3.71,140.0,989.68,
2015,1,4,5,11.34,88.51,0.0,0.0,0.0,298.52,3.52,143.0,990.33,
2015,1,4,6,11.39,87.18,0.0,0.0,0.0,295.08,3.33,147.0,990.98,
2015,1,4,7,11.44,85.85,0.0,0.0,0.0,291.65,3.14,150.0,991.63,
2015,1,4,8,14.41,71.66,111.0,342.88,58.0,296.55,2.94,154.0,991.92,
2015,1,4,9,17.38,57.48,296.0,540.33,115.0,301.45,2.73,157.0,992.21,
2015,1,4,10,20.34,43.29,472.0,699.74,136.0,306.35,2.52,161.0,992.5,
