Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2759,Hospet,IND,India,15.2803967478,76.3750174549,5,480.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,19.1,54.61,0.0,0.0,0.0,318.6,2.25,124.0,958.33,
2015,1,1,1,19.5,56.28,0.0,0.0,0.0,325.65,2.24,128.0,958.08,
2015,1,1,2,19.91,57.95,0.0,0.0,0.0,332.7,2.22,132.0,958.17,
2015,1,1,3,20.31,59.62,0.0,0.0,0.0,339.75,2.21,136.0,958.27,
2015,1,1,4,20.72,61.28,0.0,0.0,0.0,346.8,2.2,141.0,958.36,
2015,1,1,5,21.12,62.95,0.0,0.0,0.0,353.85,2.18,174.0,953.11,
2015,1,1,6,21.53,64.62,0.0,0.0,0.0,360.9,2.17,174.0,953.99,
2015,1,1,7,21.93,66.29,46.0,194.0,30.0,367.94,2.16,174.0,954.87,
2015,1,1,8,22.34,67.95,250.0,455.32,113.0,374.99,2.14,182.0,954.81,
2015,1,1,9,22.74,69.62,467.0,628.33,158.0,382.04,2.13,190.0,954.74,
2015,1,1,10,23.15,71.29,639.0,686.77,198.0,389.09,2.11,198.0,954.68,
2015,1,1,11,23.55,72.96,713.0,587.83,277.0,396.14,2.1,206.0,953.61,
2015,1,1,12,23.96,74.62,398.0,34.45,371.0,403.19,2.09,215.0,952.54,
2015,1,1,13,25.82,62.98,671.0,418.14,351.0,402.4,3.02,223.0,951.47,
2015,1,1,14,25.46,62.69,400.0,77.07,347.0,402.67,3.23,233.0,951.66,
2015,1,1,15,25.1,62.41,412.0,244.5,276.0,402.93,3.43,243.0,951.85,
2015,1,1,16,24.74,62.12,333.0,518.67,136.0,403.2,3.64,253.0,952.04,
2015,1,1,17,23.86,65.33,91.0,117.3,71.0,400.9,3.83,269.0,952.89,
2015,1,1,18,22.98,68.53,0.0,0.0,0.0,398.6,4.03,285.0,953.74,
2015,1,1,19,22.1,71.74,0.0,0.0,0.0,396.3,4.22,301.0,954.59,
2015,1,1,20,21.46,75.5,0.0,0.0,0.0,391.15,3.32,312.0,954.84,
2015,1,1,21,20.82,79.27,0.0,0.0,0.0,386.0,2.42,323.0,955.09,
2015,1,1,22,20.17,83.03,0.0,0.0,0.0,380.85,1.52,334.0,955.34,
2015,1,1,23,19.75,86.0,0.0,0.0,0.0,377.68,1.47,331.0,955.06,
2015,1,2,0,19.32,88.97,0.0,0.0,0.0,374.52,1.43,328.0,954.78,
2015,1,2,1,18.9,91.94,0.0,0.0,0.0,371.35,1.38,324.0,954.49,
2015,1,2,2,18.56,93.26,0.0,0.0,0.0,371.48,1.37,319.0,954.71,
2015,1,2,3,18.21,94.57,0.0,0.0,0.0,371.62,1.36,314.0,954.93,
2015,1,2,4,17.87,95.89,0.0,0.0,0.0,371.75,1.35,309.0,955.15,
2015,1,2,5,18.97,89.62,0.0,0.0,0.0,371.98,1.21,345.0,955.94,
2015,1,2,6,20.08,83.34,0.0,0.0,0.0,372.22,1.07,21.0,956.73,
2015,1,2,7,21.18,77.07,35.0,73.84,29.0,372.45,0.92,58.0,957.51,
2015,1,2,8,23.06,68.09,249.0,456.72,112.0,377.48,1.21,98.0,957.32,
2015,1,2,9,24.94,59.12,316.0,142.5,246.0,382.52,1.49,138.0,957.14,
2015,1,2,10,26.82,50.14,347.0,54.51,312.0,387.55,1.78,178.0,956.95,
2015,1,2,11,27.58,46.06,551.0,221.0,387.0,390.5,2.37,183.0,955.81,
2015,1,2,12,28.33,41.99,841.0,847.61,176.0,393.45,2.97,188.0,954.68,
2015,1,2,13,29.09,37.91,777.0,703.13,238.0,396.4,3.56,194.0,953.55,
2015,1,2,14,28.47,37.65,649.0,558.49,264.0,391.02,3.04,186.0,953.67,
2015,1,2,15,27.85,37.39,538.0,644.97,178.0,385.63,2.52,178.0,953.8,
2015,1,2,16,27.23,37.13,329.0,489.6,142.0,380.25,2.0,170.0,953.93,
2015,1,2,17,26.06,40.35,135.0,463.25,55.0,382.92,2.03,144.0,954.59,
2015,1,2,18,24.89,43.58,0.0,0.0,0.0,385.58,2.06,117.0,955.25,
