Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
PVGIS,45439,-,-,India,27.95,80.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,nan,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,12.82,84.71,0.0,0.0,0.0,305.55,1.72,24.0,998.63,
2005,1,1,1,13.39,83.47,0.0,0.0,0.0,310.93,1.82,43.0,998.24,
2005,1,1,2,13.96,82.23,0.0,0.0,0.0,316.32,1.91,50.0,997.98,
2005,1,1,3,14.53,80.99,0.0,0.0,0.0,321.7,2.01,58.0,997.72,
2005,1,1,4,15.1,79.75,0.0,0.0,0.0,327.08,2.11,65.0,997.45,
2005,1,1,5,15.67,78.51,0.0,0.0,0.0,332.46,2.21,110.0,999.03,
2005,1,1,6,16.24,77.27,0.0,0.0,0.0,337.85,2.31,110.0,999.03,
2005,1,1,7,16.81,76.03,21.0,142.72,13.0,343.23,2.41,110.0,999.03,
2005,1,1,8,17.38,74.79,83.0,8.03,81.0,348.61,2.51,115.0,999.29,
2005,1,1,9,17.95,73.55,313.0,319.97,181.0,353.99,2.61,119.0,999.55,
2005,1,1,10,18.52,72.3,244.0,26.15,230.0,359.37,2.71,124.0,999.81,
2005,1,1,11,19.09,71.06,327.0,59.07,291.0,364.76,2.81,123.0,998.83,
2005,1,1,12,19.66,69.82,309.0,34.96,287.0,370.14,2.91,121.0,997.85,
2005,1,1,13,22.56,53.86,483.0,355.29,272.0,373.65,1.56,120.0,996.87,
2005,1,1,14,21.26,56.35,363.0,231.46,246.0,372.9,1.1,73.0,996.83,
2005,1,1,15,19.95,58.83,279.0,316.09,162.0,372.15,0.64,27.0,996.8,
