Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
PVGIS,59936,-,-,India,25.65,85.15,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,nan,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,11.97,92.0,0.0,0.0,0.0,305.11,2.25,249.0,1009.6,
2012,1,1,1,12.71,88.79,0.0,0.0,0.0,313.12,2.17,259.0,1009.23,
2012,1,1,2,13.45,85.58,0.0,0.0,0.0,321.12,2.09,250.0,1008.97,
2012,1,1,3,14.19,82.37,0.0,0.0,0.0,329.12,2.01,241.0,1008.7,
2012,1,1,4,14.93,79.16,0.0,0.0,0.0,337.12,1.93,233.0,1008.44,
2012,1,1,5,15.67,75.95,0.0,0.0,0.0,345.12,1.85,107.0,1009.7,
2012,1,1,6,16.41,72.74,0.0,0.0,0.0,353.13,1.77,103.0,1010.26,
2012,1,1,7,17.14,69.53,44.0,15.0,42.0,361.13,1.69,100.0,1010.82,
2012,1,1,8,17.88,66.32,129.0,18.57,123.0,369.13,1.61,98.0,1010.53,
2012,1,1,9,18.62,63.11,119.0,0.0,119.0,377.13,1.53,97.0,1010.23,
2012,1,1,10,19.36,59.9,71.0,0.0,71.0,385.14,1.45,95.0,1009.93,
2012,1,1,11,20.1,56.69,99.0,0.0,99.0,393.14,1.37,100.0,1008.97,
2012,1,1,12,20.84,53.48,133.0,0.0,133.0,401.14,1.29,105.0,1008.01,
2012,1,1,13,21.15,52.84,82.0,0.0,82.0,392.75,2.95,109.0,1007.05,
2012,1,1,14,19.97,59.78,94.0,0.0,94.0,392.6,3.25,114.0,1007.28,
2012,1,1,15,18.8,66.73,100.0,0.0,100.0,392.45,3.55,119.0,1007.51,
2012,1,1,16,17.62,73.67,65.0,36.77,59.0,392.3,3.85,124.0,1007.74,
2012,1,1,17,17.46,76.2,0.0,0.0,0.0,389.15,3.77,125.0,1008.21,
2012,1,1,18,17.3,78.72,0.0,0.0,0.0,386.0,3.69,127.0,1008.67,
2012,1,1,19,17.15,81.25,0.0,0.0,0.0,382.85,3.61,128.0,1009.14,
2012,1,1,20,17.01,83.4,0.0,0.0,0.0,379.15,3.52,121.0,1008.97,
2012,1,1,21,16.87,85.55,0.0,0.0,0.0,375.45,3.43,114.0,1008.8,
2012,1,1,22,16.73,87.7,0.0,0.0,0.0,371.75,3.34,107.0,1008.64,
2012,1,1,23,16.6,89.46,0.0,0.0,0.0,369.88,3.85,105.0,1008.27,
2012,1,2,0,16.47,91.22,0.0,0.0,0.0,368.02,4.37,104.0,1007.91,
2012,1,2,1,16.33,92.98,0.0,0.0,0.0,366.15,4.88,102.0,1007.55,
2012,1,2,2,16.1,94.05,0.0,0.0,0.0,370.83,4.49,100.0,1007.55,
2012,1,2,3,15.86,95.12,0.0,0.0,0.0,375.52,4.1,98.0,1007.55,
2012,1,2,4,15.63,96.19,0.0,0.0,0.0,380.2,3.71,97.0,1007.55,
2012,1,2,5,15.69,96.07,0.0,0.0,0.0,380.72,3.26,99.0,1008.51,
2012,1,2,6,15.75,95.96,0.0,0.0,0.0,381.23,2.8,100.0,1009.47,
2012,1,2,7,15.82,95.84,16.0,0.0,16.0,381.75,2.34,102.0,1010.43,
2012,1,2,8,16.2,94.63,185.0,108.48,150.0,384.5,2.2,107.0,1010.26,
2012,1,2,9,16.59,93.43,319.0,169.05,238.0,387.25,2.05,112.0,1010.1,
2012,1,2,10,16.97,92.22,308.0,49.03,279.0,390.0,1.9,117.0,1009.93,
2012,1,2,11,17.66,90.16,484.0,230.04,334.0,390.8,1.6,118.0,1008.9,
2012,1,2,12,18.35,88.09,316.0,30.46,296.0,391.6,1.29,119.0,1007.88,
2012,1,2,13,19.04,86.03,431.0,201.63,309.0,392.4,0.98,120.0,1006.85,
2012,1,2,14,18.37,88.08,246.0,41.94,225.0,387.62,1.18,103.0,1007.02,
2012,1,2,15,17.7,90.13,165.0,45.61,149.0,382.83,1.38,86.0,1007.18,
2012,1,2,16,17.03,92.18,67.0,42.31,60.0,378.05,1.59,69.0,1007.35,
2012,1,2,17,16.7,94.24,0.0,0.0,0.0,377.28,1.49,73.0,1007.78,
2012,1,2,18,16.37,96.31,0.0,0.0,0.0,376.52,1.4,78.0,1008.21,
2012,1,2,19,16.05,98.37,0.0,0.0,0.0,375.75,1.31,83.0,1008.64,
