Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2397,Kuta,IDN,Indonesia,-8.71511250947,115.184120769,8,4.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,26.98,78.82,0.0,0.0,0.0,434.93,9.8,263.0,1007.39,
2015,1,1,1,27.05,79.02,0.0,0.0,0.0,435.11,9.48,268.0,1006.92,
2015,1,1,2,27.11,79.22,0.0,0.0,0.0,435.29,9.16,270.0,1006.66,
2015,1,1,3,27.18,79.42,0.0,0.0,0.0,435.46,8.84,272.0,1006.39,
2015,1,1,4,27.25,79.62,0.0,0.0,0.0,435.64,8.51,274.0,1006.12,
2015,1,1,5,27.31,79.82,0.0,0.0,0.0,435.82,8.19,274.0,1006.52,
2015,1,1,6,27.38,80.02,0.0,0.0,0.0,436.0,7.87,274.0,1006.92,
2015,1,1,7,27.44,80.22,7.0,0.0,7.0,436.18,7.55,274.0,1007.32,
2015,1,1,8,27.51,80.42,261.9,517.03,74.5,436.36,7.22,259.0,1008.49,
2015,1,1,9,27.58,80.62,140.0,0.0,140.0,436.54,6.9,259.0,1008.36,
2015,1,1,10,27.64,80.83,247.0,1.33,246.0,436.72,6.58,259.0,1008.22,
2015,1,1,11,27.71,81.03,561.0,122.7,453.0,436.89,6.26,259.0,1007.49,
2015,1,1,12,27.77,81.23,627.0,136.31,497.0,437.07,5.93,260.0,1006.76,
2015,1,1,13,27.84,81.43,551.0,68.3,485.0,437.25,5.61,260.0,1006.02,
2015,1,1,14,27.91,81.63,434.0,23.99,412.0,437.43,5.29,260.0,1005.86,
2015,1,1,15,27.97,81.83,398.0,33.36,371.0,437.61,4.97,259.0,1005.69,
2015,1,1,16,28.0,80.76,211.0,1.54,210.0,439.8,5.94,258.0,1005.52,
2015,1,1,17,28.05,80.74,83.0,0.0,83.0,440.03,5.89,259.0,1006.26,
2015,1,1,18,28.11,80.72,51.0,0.0,51.0,440.27,5.83,259.0,1006.99,
2015,1,1,19,28.16,80.7,0.0,0.0,0.0,440.5,5.78,260.0,1007.72,
2015,1,1,20,27.81,81.96,0.0,0.0,0.0,439.03,5.9,266.0,1008.19,
2015,1,1,21,27.46,83.22,0.0,0.0,0.0,437.57,6.02,272.0,1008.65,
2015,1,1,22,27.11,84.48,0.0,0.0,0.0,436.1,6.14,277.0,1009.12,
2015,1,1,23,26.79,85.84,0.0,0.0,0.0,435.37,6.03,278.0,1008.49,
2015,1,2,0,26.47,87.19,0.0,0.0,0.0,434.63,5.92,279.0,1007.86,
2015,1,2,1,26.14,88.55,0.0,0.0,0.0,433.9,5.81,279.0,1007.22,
2015,1,2,2,25.94,89.76,0.0,0.0,0.0,434.28,6.0,279.0,1007.26,
2015,1,2,3,25.73,90.97,0.0,0.0,0.0,434.67,6.2,279.0,1007.29,
