Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4932,Palembang,IDN,Indonesia,-2.98003904329,104.750029662,7,4.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,23.61,99.0,0.0,0.0,0.0,419.62,1.48,312.0,1008.12,
2012,1,1,1,24.15,98.02,0.0,0.0,0.0,420.92,1.52,304.0,1007.59,
2012,1,1,2,24.7,95.83,0.0,0.0,0.0,422.22,1.56,297.0,1007.06,
2012,1,1,3,25.24,93.64,0.0,0.0,0.0,423.52,1.6,289.0,1006.52,
2012,1,1,4,25.78,91.45,0.0,0.0,0.0,424.82,1.64,277.0,1007.19,
2012,1,1,5,26.33,89.25,0.0,0.0,0.0,426.12,1.68,266.0,1007.86,
2012,1,1,6,26.87,87.06,0.0,0.0,0.0,427.42,1.72,254.0,1008.52,
2012,1,1,7,27.42,84.87,74.6,142.04,50.5,428.71,1.76,268.0,1010.22,
2012,1,1,8,27.96,82.68,245.0,150.25,185.0,430.01,1.8,298.0,1010.62,
2012,1,1,9,28.51,80.49,445.0,268.59,283.0,431.31,1.84,328.0,1011.02,
2012,1,1,10,29.05,78.29,637.0,389.7,338.0,432.61,1.88,327.0,1010.19,
2012,1,1,11,29.59,76.1,685.0,291.89,428.0,433.91,1.92,325.0,1009.35,
2012,1,1,12,30.14,73.91,805.0,421.37,411.0,435.21,1.96,324.0,1008.52,
2012,1,1,13,30.68,71.72,712.0,271.75,460.0,436.51,2.0,327.0,1008.06,
2012,1,1,14,31.23,69.52,716.0,387.06,384.0,437.8,2.04,330.0,1007.59,
2012,1,1,15,29.81,76.22,757.0,878.11,115.0,438.45,1.81,333.0,1007.12,
2012,1,1,16,29.11,79.84,434.0,350.69,239.0,436.85,1.81,347.0,1007.69,
2012,1,1,17,28.4,83.46,162.0,52.25,144.0,435.25,1.82,1.0,1008.26,
2012,1,1,18,27.69,87.08,55.0,126.35,41.0,433.65,1.82,14.0,1008.82,
2012,1,1,19,27.41,87.74,0.0,0.0,0.0,432.5,1.66,14.0,1009.39,
2012,1,1,20,27.13,88.41,0.0,0.0,0.0,431.35,1.51,14.0,1009.95,
2012,1,1,21,26.85,89.07,0.0,0.0,0.0,430.2,1.35,14.0,1010.52,
2012,1,1,22,26.52,90.21,0.0,0.0,0.0,429.6,1.27,4.0,1010.25,
2012,1,1,23,26.19,91.35,0.0,0.0,0.0,429.0,1.19,353.0,1009.99,
2012,1,2,0,25.86,92.49,0.0,0.0,0.0,428.4,1.1,343.0,1009.72,
2012,1,2,1,25.51,93.04,0.0,0.0,0.0,427.6,0.97,334.0,1009.42,
2012,1,2,2,25.16,93.59,0.0,0.0,0.0,426.8,0.85,324.0,1009.12,
2012,1,2,3,24.82,94.14,0.0,0.0,0.0,426.0,0.72,315.0,1008.82,
2012,1,2,4,25.0,94.26,0.0,0.0,0.0,424.42,1.0,317.0,1009.22,
2012,1,2,5,25.19,94.39,0.0,0.0,0.0,422.83,1.28,319.0,1009.62,
2012,1,2,6,25.37,94.51,0.0,0.0,0.0,421.25,1.56,321.0,1010.02,
2012,1,2,7,26.2,92.27,23.0,0.0,23.0,422.52,1.86,328.0,1010.32,
2012,1,2,8,27.03,90.02,70.0,0.0,70.0,423.78,2.17,335.0,1010.62,
2012,1,2,9,27.85,87.78,350.0,98.0,291.0,425.05,2.47,342.0,1010.92,
2012,1,2,10,27.8,89.88,493.0,138.27,387.0,427.87,2.22,341.0,1010.19,
2012,1,2,11,27.76,91.99,457.0,45.44,417.0,430.68,1.97,340.0,1009.45,
2012,1,2,12,27.71,94.09,645.0,173.19,483.0,433.5,1.72,340.0,1008.72,
2012,1,2,13,27.44,94.71,491.0,48.49,446.0,434.33,2.1,342.0,1008.29,
2012,1,2,14,27.18,95.34,631.0,234.01,430.0,435.17,2.47,345.0,1007.86,
2012,1,2,15,26.91,95.96,250.0,1.36,249.0,436.0,2.84,347.0,1007.42,
2012,1,2,16,26.63,96.07,54.0,0.0,54.0,431.62,2.32,352.0,1008.06,
2012,1,2,17,26.35,96.19,53.0,0.0,53.0,427.23,1.8,356.0,1008.69,
2012,1,2,18,26.06,96.3,27.0,8.88,26.0,422.85,1.28,1.0,1009.32,
2012,1,2,19,25.81,95.77,0.0,0.0,0.0,420.88,1.41,0.0,1009.72,
2012,1,2,20,25.56,95.24,0.0,0.0,0.0,418.92,1.54,360.0,1010.12,
2012,1,2,21,25.31,94.71,0.0,0.0,0.0,416.95,1.67,360.0,1010.52,
