Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4275,Abadan,IRN,Iran,30.3307442413,48.2796780994,3,0.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,13.01,83.73,0.0,0.0,0.0,310.91,2.08,290.0,1018.13,
2006,1,1,1,12.58,83.73,0.0,0.0,0.0,308.02,2.22,318.0,1018.07,
2006,1,1,2,12.15,83.72,0.0,0.0,0.0,305.12,2.37,345.0,1018.0,
2006,1,1,3,11.71,83.72,0.0,0.0,0.0,302.22,2.52,336.0,1021.73,
2006,1,1,4,11.28,83.72,0.0,0.0,0.0,299.32,2.67,340.0,1021.87,
2006,1,1,5,10.85,83.72,0.0,0.0,0.0,296.43,2.82,344.0,1022.0,
2006,1,1,6,10.42,83.72,0.0,0.0,0.0,293.53,2.97,349.0,1022.6,
2006,1,1,7,9.98,83.71,0.0,0.0,0.0,290.63,3.12,354.0,1023.2,
2006,1,1,8,9.55,83.71,132.0,283.95,76.0,287.73,3.26,360.0,1023.8,
2006,1,1,9,9.12,83.71,318.0,532.81,125.0,284.84,3.41,7.0,1023.67,
2006,1,1,10,8.69,83.71,438.0,517.26,185.0,281.94,3.56,13.0,1023.53,
2006,1,1,11,17.06,59.24,507.0,479.61,234.0,286.8,2.34,20.0,1023.4,
2006,1,1,12,17.3,53.51,536.0,482.36,248.0,287.2,2.44,24.0,1022.97,
2006,1,1,13,17.53,47.77,543.0,597.43,202.0,287.6,2.54,28.0,1022.53,
2006,1,1,14,17.77,42.04,456.0,568.94,176.0,288.0,2.63,32.0,1022.1,
2006,1,1,15,16.02,42.87,311.0,458.37,143.0,287.67,2.8,24.0,1022.53,
2006,1,1,16,14.27,43.69,147.0,335.87,79.0,287.33,2.97,16.0,1022.97,
2006,1,1,17,12.52,44.52,0.0,0.0,0.0,287.0,3.13,8.0,1023.4,
2006,1,1,18,11.85,50.88,0.0,0.0,0.0,287.72,3.08,6.0,1023.5,
2006,1,1,19,11.17,57.23,0.0,0.0,0.0,288.43,3.02,5.0,1023.6,
2006,1,1,20,10.5,63.59,0.0,0.0,0.0,289.15,2.97,3.0,1023.7,
2006,1,1,21,10.44,70.02,0.0,0.0,0.0,289.12,2.92,6.0,1023.47,
2006,1,1,22,10.37,76.44,0.0,0.0,0.0,289.08,2.88,8.0,1023.23,
2006,1,1,23,10.31,82.87,0.0,0.0,0.0,289.05,2.84,11.0,1023.0,
2006,1,2,0,10.39,85.97,0.0,0.0,0.0,289.48,2.73,11.0,1022.97,
2006,1,2,1,10.47,89.06,0.0,0.0,0.0,289.92,2.61,11.0,1022.93,
2006,1,2,2,10.55,92.16,0.0,0.0,0.0,290.35,2.5,11.0,1022.9,
2006,1,2,3,10.1,91.08,0.0,0.0,0.0,291.6,2.37,12.0,1022.97,
2006,1,2,4,9.65,89.99,0.0,0.0,0.0,292.85,2.24,13.0,1023.03,
2006,1,2,5,9.19,88.91,0.0,0.0,0.0,294.1,2.11,15.0,1023.1,
2006,1,2,6,9.62,88.28,0.0,0.0,0.0,298.4,1.98,5.0,1023.53,
2006,1,2,7,10.06,87.65,0.0,0.0,0.0,302.7,1.84,356.0,1023.97,
2006,1,2,8,10.49,87.02,132.0,284.53,76.0,307.0,1.71,347.0,1024.4,
2006,1,2,9,12.49,77.08,251.0,231.93,167.0,308.42,1.49,352.0,1023.97,
2006,1,2,10,14.49,67.15,352.0,232.91,238.0,309.83,1.28,357.0,1023.53,
2006,1,2,11,16.49,57.21,398.0,191.23,289.0,311.25,1.06,2.0,1023.1,
2006,1,2,12,16.74,54.85,627.0,825.73,133.0,311.45,1.16,31.0,1022.4,
2006,1,2,13,16.98,52.49,288.0,41.93,264.0,311.65,1.26,60.0,1021.7,
2006,1,2,14,17.23,50.13,147.0,0.0,147.0,311.85,1.35,88.0,1021.0,
2006,1,2,15,16.04,54.05,248.0,198.01,175.0,313.18,1.91,93.0,1021.17,
2006,1,2,16,14.86,57.96,19.0,0.0,19.0,314.52,2.47,98.0,1021.33,
2006,1,2,17,13.67,61.88,0.0,0.0,0.0,315.85,3.03,103.0,1021.5,
2006,1,2,18,13.03,65.49,0.0,0.0,0.0,316.98,2.97,102.0,1021.5,
2006,1,2,19,12.4,69.09,0.0,0.0,0.0,318.12,2.9,101.0,1021.5,
2006,1,2,20,11.76,72.7,0.0,0.0,0.0,319.25,2.83,101.0,1021.5,
2006,1,2,21,11.52,75.3,0.0,0.0,0.0,320.5,2.68,99.0,1021.33,
2006,1,2,22,11.27,77.89,0.0,0.0,0.0,321.75,2.52,98.0,1021.17,
2006,1,2,23,11.03,80.49,0.0,0.0,0.0,323.0,2.37,96.0,1021.0,
2006,1,3,0,10.9,82.39,0.0,0.0,0.0,325.38,2.39,94.0,1020.93,
2006,1,3,1,10.77,84.3,0.0,0.0,0.0,327.77,2.41,92.0,1020.87,
2006,1,3,2,10.63,86.2,0.0,0.0,0.0,330.15,2.43,89.0,1020.8,
2006,1,3,3,10.07,86.53,0.0,0.0,0.0,331.28,2.53,81.0,1021.0,
2006,1,3,4,9.51,86.86,0.0,0.0,0.0,332.42,2.63,73.0,1021.2,
2006,1,3,5,8.94,87.19,0.0,0.0,0.0,333.55,2.73,66.0,1021.4,
2006,1,3,6,10.92,86.06,0.0,0.0,0.0,338.57,2.88,67.0,1021.73,
2006,1,3,7,12.89,84.92,0.0,0.0,0.0,343.58,3.03,69.0,1022.07,
2006,1,3,8,14.87,83.79,143.0,381.65,68.0,348.6,3.19,70.0,1022.4,
2006,1,3,9,16.63,77.19,317.0,532.8,124.0,342.77,3.25,82.0,1021.97,
2006,1,3,10,18.39,70.59,439.0,516.41,186.0,336.93,3.31,93.0,1021.53,
2006,1,3,11,20.15,63.99,509.0,481.73,234.0,331.1,3.37,105.0,1021.1,
2006,1,3,12,20.21,63.52,548.0,515.38,239.0,332.38,3.33,106.0,1020.77,
2006,1,3,13,20.26,63.06,556.0,635.86,191.0,333.67,3.3,108.0,1020.43,
2006,1,3,14,20.32,62.59,461.0,570.52,178.0,334.95,3.27,109.0,1020.1,
2006,1,3,15,18.7,66.65,325.0,512.29,135.0,330.68,3.08,97.0,1020.6,
2006,1,3,16,17.09,70.7,148.0,318.68,82.0,326.42,2.89,84.0,1021.1,
2006,1,3,17,15.47,74.76,0.0,0.0,0.0,322.15,2.7,72.0,1021.6,
2006,1,3,18,14.45,78.72,0.0,0.0,0.0,322.85,2.56,66.0,1021.8,
2006,1,3,19,13.43,82.67,0.0,0.0,0.0,323.55,2.41,60.0,1022.0,
2006,1,3,20,12.41,86.63,0.0,0.0,0.0,324.25,2.26,54.0,1022.2,
2006,1,3,21,11.96,88.25,0.0,0.0,0.0,324.5,2.25,48.0,1022.2,
2006,1,3,22,11.52,89.88,0.0,0.0,0.0,324.75,2.23,43.0,1022.2,
2006,1,3,23,11.07,91.5,0.0,0.0,0.0,325.0,2.22,37.0,1022.2,
2006,1,4,0,10.57,92.92,0.0,0.0,0.0,325.57,2.36,30.0,1022.33,
2006,1,4,1,10.07,94.33,0.0,0.0,0.0,326.13,2.5,23.0,1022.47,
2006,1,4,2,9.56,95.75,0.0,0.0,0.0,326.7,2.63,16.0,1022.6,
2006,1,4,3,9.51,93.81,0.0,0.0,0.0,326.72,2.75,20.0,1022.77,
2006,1,4,4,9.45,91.87,0.0,0.0,0.0,326.73,2.86,24.0,1022.93,
2006,1,4,5,9.39,89.93,0.0,0.0,0.0,326.75,2.98,28.0,1023.1,
2006,1,4,6,11.01,87.62,0.0,0.0,0.0,325.33,2.67,27.0,1023.47,
2006,1,4,7,12.62,85.3,0.0,0.0,0.0,323.92,2.36,26.0,1023.83,
2006,1,4,8,14.24,82.99,137.0,326.03,73.0,322.5,2.06,24.0,1024.2,
2006,1,4,9,16.15,74.81,310.0,493.95,131.0,320.87,1.85,25.0,1023.9,
2006,1,4,10,18.06,66.63,448.0,550.48,178.0,319.23,1.64,25.0,1023.6,
2006,1,4,11,19.97,58.45,513.0,491.39,232.0,317.6,1.43,25.0,1023.3,
2006,1,4,12,20.03,58.5,543.0,494.22,246.0,317.3,1.49,25.0,1022.83,
2006,1,4,13,20.09,58.56,558.0,635.64,192.0,317.0,1.54,24.0,1022.37,
2006,1,4,14,20.15,58.61,474.0,618.33,166.0,316.7,1.6,23.0,1021.9,
2006,1,4,15,18.63,60.28,330.0,522.52,135.0,314.22,1.82,12.0,1022.2,
2006,1,4,16,17.11,61.95,151.0,324.53,83.0,311.73,2.04,2.0,1022.5,
2006,1,4,17,15.59,63.62,0.0,0.0,0.0,309.25,2.26,351.0,1022.8,
2006,1,4,18,15.31,68.34,0.0,0.0,0.0,309.2,2.24,347.0,1023.03,
2006,1,4,19,15.04,73.05,0.0,0.0,0.0,309.15,2.22,344.0,1023.27,
2006,1,4,20,14.76,77.77,0.0,0.0,0.0,309.1,2.19,341.0,1023.5,
2006,1,4,21,14.47,78.58,0.0,0.0,0.0,308.68,2.2,339.0,1023.37,
2006,1,4,22,14.19,79.39,0.0,0.0,0.0,308.27,2.2,337.0,1023.23,
2006,1,4,23,13.9,80.2,0.0,0.0,0.0,307.85,2.21,335.0,1023.1,
2006,1,5,0,12.85,82.3,0.0,0.0,0.0,307.68,2.32,333.0,1023.17,
2006,1,5,1,11.79,84.39,0.0,0.0,0.0,307.52,2.43,332.0,1023.23,
