Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4721,Yazd,IRN,Iran,31.9200529165,54.3700040271,3,1204.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,3.44,78.68,0.0,0.0,0.0,227.59,2.37,5.0,891.05,
2016,1,1,1,4.51,77.07,0.0,0.0,0.0,236.15,2.65,2.0,891.48,
2016,1,1,2,5.58,75.47,0.0,0.0,0.0,244.71,2.92,0.0,891.91,
2016,1,1,3,6.65,73.86,0.0,0.0,0.0,253.27,3.2,188.0,880.26,
2016,1,1,4,7.72,72.26,0.0,0.0,0.0,261.83,3.47,188.0,880.55,
2016,1,1,5,8.78,70.65,0.0,0.0,0.0,270.39,3.75,188.0,880.84,
2016,1,1,6,9.85,69.04,0.0,0.0,0.0,278.95,4.02,187.0,881.16,
2016,1,1,7,10.92,67.44,36.0,247.61,18.0,287.51,4.3,187.0,881.47,
2016,1,1,8,11.99,65.83,214.0,519.81,83.0,296.07,4.57,186.0,881.79,
2016,1,1,9,13.06,64.22,400.0,742.37,103.0,304.63,4.85,195.0,880.49,
2016,1,1,10,14.13,62.62,538.0,838.63,113.0,313.19,5.12,205.0,879.19,
2016,1,1,11,17.43,40.9,625.0,927.65,101.0,285.1,6.04,215.0,877.9,
2016,1,1,12,17.78,38.23,646.0,988.81,82.0,288.73,5.88,215.0,877.2,
2016,1,1,13,18.12,35.55,409.0,261.98,272.0,292.37,5.72,215.0,876.51,
2016,1,1,14,18.47,32.88,63.0,0.0,63.0,296.0,5.56,215.0,875.82,
2016,1,1,15,17.36,42.44,194.0,178.63,143.0,290.35,4.79,206.0,876.37,
2016,1,1,16,16.26,52.0,76.0,241.72,49.0,284.7,4.01,196.0,876.92,
2016,1,1,17,15.15,61.56,0.0,0.0,0.0,279.05,3.24,186.0,877.46,
2016,1,1,18,14.92,64.29,0.0,0.0,0.0,279.23,3.59,189.0,877.29,
2016,1,1,19,14.68,67.02,0.0,0.0,0.0,279.42,3.93,191.0,877.12,
2016,1,1,20,14.45,69.75,0.0,0.0,0.0,279.6,4.28,193.0,876.94,
2016,1,1,21,14.26,70.92,0.0,0.0,0.0,278.1,4.54,195.0,876.77,
2016,1,1,22,14.07,72.1,0.0,0.0,0.0,276.6,4.8,197.0,876.6,
2016,1,1,23,13.88,73.27,0.0,0.0,0.0,275.1,5.06,198.0,876.43,
2016,1,2,0,13.81,74.69,0.0,0.0,0.0,272.68,4.91,198.0,876.22,
2016,1,2,1,13.74,76.1,0.0,0.0,0.0,270.27,4.76,198.0,876.02,
2016,1,2,2,13.68,77.52,0.0,0.0,0.0,267.85,4.61,198.0,875.82,
2016,1,2,3,13.59,77.19,0.0,0.0,0.0,267.07,4.77,198.0,875.85,
2016,1,2,4,13.51,76.87,0.0,0.0,0.0,266.28,4.94,199.0,875.88,
2016,1,2,5,13.43,76.54,0.0,0.0,0.0,265.5,5.1,199.0,875.91,
2016,1,2,6,14.39,69.62,0.0,0.0,0.0,273.12,5.12,197.0,876.37,
2016,1,2,7,15.34,62.7,30.0,138.54,20.0,280.73,5.14,196.0,876.83,
2016,1,2,8,16.3,55.78,98.0,15.89,94.0,288.35,5.16,194.0,877.29,
2016,1,2,9,15.76,54.13,68.0,0.0,68.0,298.7,6.04,197.0,876.66,
2016,1,2,10,15.23,52.49,113.0,0.0,113.0,309.05,6.91,200.0,876.02,
2016,1,2,11,14.7,50.84,638.0,991.43,77.0,319.4,7.79,203.0,875.39,
2016,1,2,12,14.44,50.93,650.0,1000.42,78.0,321.72,7.64,207.0,875.39,
2016,1,2,13,14.17,51.03,543.0,729.98,160.0,324.03,7.48,210.0,875.39,
2016,1,2,14,13.91,51.12,451.0,799.45,109.0,326.35,7.32,213.0,875.39,
2016,1,2,15,13.42,53.52,286.0,705.53,83.0,321.17,6.43,209.0,876.19,
2016,1,2,16,12.94,55.92,92.0,429.75,43.0,315.98,5.54,205.0,877.0,
2016,1,2,17,12.45,58.32,0.0,0.0,0.0,310.8,4.65,201.0,877.81,
2016,1,2,18,11.77,62.03,0.0,0.0,0.0,308.8,4.23,199.0,878.07,
2016,1,2,19,11.09,65.74,0.0,0.0,0.0,306.8,3.82,198.0,878.33,
2016,1,2,20,10.42,69.45,0.0,0.0,0.0,304.8,3.41,196.0,878.59,
2016,1,2,21,9.64,73.19,0.0,0.0,0.0,296.62,3.12,198.0,878.53,
2016,1,2,22,8.85,76.92,0.0,0.0,0.0,288.43,2.84,200.0,878.47,
2016,1,2,23,8.07,80.66,0.0,0.0,0.0,280.25,2.55,202.0,878.42,
2016,1,3,0,7.47,83.17,0.0,0.0,0.0,277.58,2.4,206.0,878.91,
2016,1,3,1,6.86,85.68,0.0,0.0,0.0,274.92,2.25,211.0,879.4,
2016,1,3,2,6.26,88.19,0.0,0.0,0.0,272.25,2.1,215.0,879.89,
2016,1,3,3,5.38,87.7,0.0,0.0,0.0,261.48,2.1,217.0,880.17,
2016,1,3,4,4.5,87.2,0.0,0.0,0.0,250.72,2.1,219.0,880.46,
2016,1,3,5,3.62,86.71,0.0,0.0,0.0,239.95,2.1,221.0,880.75,
2016,1,3,6,4.96,80.46,0.0,0.0,0.0,240.63,2.0,226.0,881.53,
2016,1,3,7,6.3,74.22,24.0,55.74,20.0,241.32,1.91,232.0,882.31,
2016,1,3,8,7.65,67.97,171.0,234.42,112.0,242.0,1.82,238.0,883.09,
2016,1,3,9,9.55,59.87,333.0,392.03,176.0,245.42,1.8,246.0,881.5,
2016,1,3,10,11.45,51.76,531.0,791.33,129.0,248.83,1.77,253.0,879.92,
2016,1,3,11,13.35,43.66,627.0,927.8,101.0,252.25,1.75,260.0,878.33,
2016,1,3,12,13.62,38.63,639.0,938.53,101.0,243.95,2.11,264.0,877.78,
2016,1,3,13,13.89,33.61,577.0,885.09,111.0,235.65,2.48,268.0,877.23,
2016,1,3,14,14.16,28.58,453.0,800.18,109.0,227.35,2.84,271.0,876.68,
2016,1,3,15,12.47,34.16,281.0,644.76,94.0,222.2,2.56,284.0,877.64,
2016,1,3,16,10.78,39.73,95.0,446.7,43.0,217.05,2.27,297.0,878.59,
2016,1,3,17,9.09,45.31,0.0,0.0,0.0,211.9,1.99,310.0,879.54,
2016,1,3,18,8.37,44.73,0.0,0.0,0.0,209.9,1.54,294.0,880.15,
2016,1,3,19,7.64,44.14,0.0,0.0,0.0,207.9,1.09,277.0,880.75,
2016,1,3,20,6.92,43.56,0.0,0.0,0.0,205.9,0.63,261.0,881.36,
2016,1,3,21,5.76,48.18,0.0,0.0,0.0,203.65,0.89,256.0,881.82,
2016,1,3,22,4.6,52.8,0.0,0.0,0.0,201.4,1.15,251.0,882.28,
2016,1,3,23,3.44,57.42,0.0,0.0,0.0,199.15,1.41,246.0,882.74,
2016,1,4,0,2.91,59.94,0.0,0.0,0.0,197.43,1.67,252.0,883.49,
2016,1,4,1,2.37,62.45,0.0,0.0,0.0,195.72,1.94,258.0,884.24,
2016,1,4,2,1.84,64.97,0.0,0.0,0.0,194.0,2.21,264.0,884.99,
2016,1,4,3,1.58,66.18,0.0,0.0,0.0,193.85,2.15,258.0,885.68,
2016,1,4,4,1.32,67.4,0.0,0.0,0.0,193.7,2.1,251.0,886.38,
2016,1,4,5,1.06,68.61,0.0,0.0,0.0,193.55,2.04,245.0,887.07,
2016,1,4,6,3.06,60.77,0.0,0.0,0.0,195.37,1.79,247.0,887.59,
2016,1,4,7,5.05,52.94,34.0,238.01,17.0,197.18,1.54,248.0,888.11,
2016,1,4,8,7.05,45.1,222.0,592.04,73.0,199.0,1.28,250.0,888.63,
2016,1,4,9,8.27,39.78,392.0,688.55,116.0,202.5,1.08,192.0,887.18,
2016,1,4,10,9.49,34.47,540.0,837.3,114.0,206.0,0.88,134.0,885.74,
2016,1,4,11,10.71,29.15,619.0,878.33,120.0,209.5,0.68,76.0,884.3,
2016,1,4,12,11.18,27.38,621.0,838.52,139.0,211.73,1.12,84.0,883.66,
2016,1,4,13,11.64,25.6,596.0,980.26,78.0,213.97,1.56,92.0,883.03,
2016,1,4,14,12.11,23.83,309.0,192.08,226.0,216.2,2.0,100.0,882.4,
2016,1,4,15,10.64,30.64,275.0,584.8,104.0,215.18,2.14,94.0,882.89,
2016,1,4,16,9.17,37.44,103.0,555.25,37.0,214.17,2.28,87.0,883.38,
2016,1,4,17,7.7,44.25,0.0,0.0,0.0,213.15,2.41,81.0,883.87,
2016,1,4,18,6.94,47.51,0.0,0.0,0.0,214.2,2.46,98.0,884.01,
2016,1,4,19,6.18,50.78,0.0,0.0,0.0,215.25,2.51,115.0,884.16,
2016,1,4,20,5.42,54.04,0.0,0.0,0.0,216.3,2.55,131.0,884.3,
2016,1,4,21,4.88,54.46,0.0,0.0,0.0,214.47,2.55,146.0,884.13,
2016,1,4,22,4.33,54.88,0.0,0.0,0.0,212.63,2.54,160.0,883.95,
2016,1,4,23,3.79,55.3,0.0,0.0,0.0,210.8,2.54,175.0,883.78,
2016,1,5,0,3.27,57.79,0.0,0.0,0.0,209.4,2.57,184.0,883.64,
2016,1,5,1,2.75,60.29,0.0,0.0,0.0,208.0,2.6,193.0,883.49,
2016,1,5,2,2.23,62.78,0.0,0.0,0.0,206.6,2.63,202.0,883.35,
2016,1,5,3,1.94,63.61,0.0,0.0,0.0,206.12,2.62,208.0,883.92,
2016,1,5,4,1.65,64.44,0.0,0.0,0.0,205.63,2.6,214.0,884.5,
2016,1,5,5,1.36,65.27,0.0,0.0,0.0,205.15,2.58,220.0,885.08,
2016,1,5,6,3.69,55.65,0.0,0.0,0.0,207.55,2.36,219.0,885.19,
2016,1,5,7,6.02,46.02,29.0,126.43,20.0,209.95,2.14,218.0,885.31,
2016,1,5,8,8.36,36.4,213.0,516.37,83.0,212.35,1.92,217.0,885.42,
2016,1,5,9,9.91,31.93,401.0,742.56,103.0,216.05,1.74,222.0,883.92,
2016,1,5,10,11.47,27.46,560.0,945.73,78.0,219.75,1.56,227.0,882.42,
2016,1,5,11,13.03,22.99,528.0,502.27,242.0,223.45,1.38,232.0,880.92,
2016,1,5,12,13.5,22.0,623.0,839.54,139.0,224.15,1.25,243.0,880.29,
2016,1,5,13,13.96,21.02,572.0,838.91,127.0,224.85,1.12,254.0,879.66,
2016,1,5,14,14.43,20.03,461.0,817.24,106.0,225.55,0.99,265.0,879.02,
2016,1,5,15,13.79,21.41,296.0,725.76,82.0,222.87,0.99,300.0,879.66,
2016,1,5,16,13.14,22.78,101.0,477.81,43.0,220.18,0.98,336.0,880.29,
2016,1,5,17,12.5,24.16,0.0,0.0,0.0,217.5,0.98,11.0,880.92,
2016,1,5,18,11.22,30.48,0.0,0.0,0.0,217.58,1.33,59.0,880.9,
2016,1,5,19,9.94,36.8,0.0,0.0,0.0,217.67,1.69,107.0,880.87,
2016,1,5,20,8.67,43.12,0.0,0.0,0.0,217.75,2.04,155.0,880.84,
2016,1,5,21,7.1,46.47,0.0,0.0,0.0,216.02,2.34,168.0,880.52,
2016,1,5,22,5.54,49.83,0.0,0.0,0.0,214.28,2.64,181.0,880.2,
2016,1,5,23,3.97,53.18,0.0,0.0,0.0,212.55,2.94,194.0,879.89,
2016,1,6,0,3.68,55.58,0.0,0.0,0.0,214.35,2.93,199.0,879.68,
2016,1,6,1,3.38,57.97,0.0,0.0,0.0,216.15,2.93,204.0,879.48,
2016,1,6,2,3.09,60.37,0.0,0.0,0.0,217.95,2.92,209.0,879.28,
2016,1,6,3,2.75,58.96,0.0,0.0,0.0,217.27,3.05,207.0,879.42,
2016,1,6,4,2.42,57.56,0.0,0.0,0.0,216.58,3.18,206.0,879.57,
2016,1,6,5,2.09,56.15,0.0,0.0,0.0,215.9,3.31,205.0,879.71,
