Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5114,Baghdad,IRQ,Iraq,33.3386484975,44.3938687732,3,52.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,9.37,89.61,0.0,0.0,0.0,292.05,2.56,336.0,1013.36,
2015,1,1,1,9.53,88.98,0.0,0.0,0.0,289.97,2.43,337.0,1013.3,
2015,1,1,2,9.68,88.34,0.0,0.0,0.0,287.9,2.31,338.0,1013.23,
2015,1,1,3,9.84,87.71,0.0,0.0,0.0,285.82,2.19,16.0,1013.79,
2015,1,1,4,10.0,87.08,0.0,0.0,0.0,283.74,2.06,16.0,1013.96,
2015,1,1,5,10.16,86.45,0.0,0.0,0.0,281.66,1.94,16.0,1014.12,
2015,1,1,6,10.31,85.82,0.0,0.0,0.0,279.58,1.81,9.0,1014.42,
2015,1,1,7,10.47,85.18,0.0,0.0,0.0,277.5,1.69,3.0,1014.72,
2015,1,1,8,10.63,84.55,85.0,334.13,44.0,275.42,1.57,356.0,1015.02,
2015,1,1,9,10.79,83.92,225.0,344.79,125.0,273.35,1.44,339.0,1014.95,
2015,1,1,10,10.94,83.29,171.0,11.82,166.0,271.27,1.32,321.0,1014.89,
2015,1,1,11,17.36,62.64,190.0,5.85,187.0,296.1,2.21,304.0,1014.82,
2015,1,1,12,17.74,60.46,50.0,0.0,50.0,297.73,2.35,320.0,1014.32,
2015,1,1,13,18.12,58.29,224.0,11.11,218.0,299.37,2.49,336.0,1013.83,
2015,1,1,14,18.5,56.11,476.0,720.41,133.0,301.0,2.63,352.0,1013.33,
2015,1,1,15,16.81,62.98,314.0,460.0,146.0,298.95,2.3,2.0,1013.59,
2015,1,1,16,15.12,69.85,89.0,27.93,83.0,296.9,1.97,13.0,1013.86,
2015,1,1,17,13.43,76.72,0.0,0.0,0.0,294.85,1.64,24.0,1014.12,
2015,1,1,18,12.8,78.77,0.0,0.0,0.0,291.95,1.93,36.0,1014.03,
2015,1,1,19,12.17,80.83,0.0,0.0,0.0,289.05,2.22,49.0,1013.93,
2015,1,1,20,11.54,82.88,0.0,0.0,0.0,286.15,2.51,62.0,1013.83,
2015,1,1,21,11.15,84.83,0.0,0.0,0.0,284.4,2.32,69.0,1013.76,
2015,1,1,22,10.76,86.79,0.0,0.0,0.0,282.65,2.12,76.0,1013.69,
2015,1,1,23,10.37,88.74,0.0,0.0,0.0,280.9,1.93,84.0,1013.63,
2015,1,2,0,9.6,88.7,0.0,0.0,0.0,280.07,1.77,87.0,1013.33,
2015,1,2,1,8.83,88.67,0.0,0.0,0.0,279.23,1.61,90.0,1013.03,
2015,1,2,2,8.07,88.63,0.0,0.0,0.0,278.4,1.45,92.0,1012.73,
2015,1,2,3,8.06,84.3,0.0,0.0,0.0,277.78,1.71,96.0,1012.67,
2015,1,2,4,8.06,79.96,0.0,0.0,0.0,277.17,1.97,100.0,1012.6,
2015,1,2,5,8.06,75.63,0.0,0.0,0.0,276.55,2.23,104.0,1012.53,
2015,1,2,6,9.26,69.41,0.0,0.0,0.0,278.07,2.23,111.0,1012.73,
2015,1,2,7,10.47,63.2,0.0,0.0,0.0,279.58,2.23,118.0,1012.93,
2015,1,2,8,11.68,56.98,59.0,89.92,48.0,281.1,2.22,125.0,1013.13,
2015,1,2,9,13.57,50.71,252.0,510.38,104.0,284.93,1.77,140.0,1012.8,
2015,1,2,10,15.46,44.44,426.0,756.0,106.0,288.77,1.33,155.0,1012.47,
2015,1,2,11,17.36,38.17,517.0,719.09,148.0,292.6,0.88,170.0,1012.14,
2015,1,2,12,17.75,38.05,475.0,402.92,252.0,296.98,0.89,192.0,1011.71,
2015,1,2,13,18.14,37.93,545.0,709.2,161.0,301.37,0.89,215.0,1011.28,
2015,1,2,14,18.53,37.81,442.0,548.15,180.0,305.75,0.9,237.0,1010.85,
2015,1,2,15,16.69,48.36,318.0,470.97,145.0,303.2,1.49,261.0,1011.47,
2015,1,2,16,14.84,58.9,171.0,405.42,83.0,300.65,2.08,286.0,1012.1,
2015,1,2,17,12.99,69.45,0.0,0.0,0.0,298.1,2.68,310.0,1012.73,
2015,1,2,18,12.3,72.99,0.0,0.0,0.0,296.32,2.6,317.0,1013.06,
2015,1,2,19,11.6,76.53,0.0,0.0,0.0,294.53,2.53,323.0,1013.4,
2015,1,2,20,10.9,80.07,0.0,0.0,0.0,292.75,2.46,330.0,1013.73,
2015,1,2,21,10.52,82.36,0.0,0.0,0.0,291.73,2.41,331.0,1013.73,
2015,1,2,22,10.13,84.64,0.0,0.0,0.0,290.72,2.36,332.0,1013.73,
2015,1,2,23,9.75,86.93,0.0,0.0,0.0,289.7,2.32,334.0,1013.73,
2015,1,3,0,9.44,88.04,0.0,0.0,0.0,287.63,2.29,333.0,1013.66,
2015,1,3,1,9.13,89.14,0.0,0.0,0.0,285.57,2.26,333.0,1013.59,
2015,1,3,2,8.82,90.25,0.0,0.0,0.0,283.5,2.23,333.0,1013.53,
