Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,994,Mandali,IRQ,Iraq,33.7436108592,45.5463565662,3,118.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,7.85,80.7,0.0,0.0,0.0,286.31,2.49,26.0,1005.45,
2007,1,1,1,7.42,76.44,0.0,0.0,0.0,279.35,2.48,26.0,1005.38,
2007,1,1,2,6.99,72.18,0.0,0.0,0.0,272.38,2.47,25.0,1005.32,
2007,1,1,3,6.56,67.93,0.0,0.0,0.0,265.42,2.46,360.0,1010.45,
2007,1,1,4,6.14,63.67,0.0,0.0,0.0,258.46,2.46,4.0,1010.45,
2007,1,1,5,5.71,59.41,0.0,0.0,0.0,251.5,2.45,9.0,1010.45,
2007,1,1,6,5.28,55.16,0.0,0.0,0.0,244.54,2.44,5.0,1010.74,
2007,1,1,7,4.86,50.9,0.0,0.0,0.0,237.58,2.43,1.0,1011.04,
2007,1,1,8,4.43,46.64,82.0,218.33,53.0,230.61,2.42,357.0,1011.33,
2007,1,1,9,4.0,42.38,220.0,286.12,135.0,223.65,2.41,342.0,1010.91,
2007,1,1,10,3.58,38.13,319.0,262.73,207.0,216.69,2.4,326.0,1010.48,
2007,1,1,11,10.69,20.92,374.0,226.72,258.0,237.7,3.21,311.0,1010.05,
2007,1,1,12,11.13,19.07,421.0,268.57,274.0,238.73,3.71,309.0,1009.56,
2007,1,1,13,11.57,17.22,424.0,314.53,257.0,239.77,4.21,308.0,1009.06,
2007,1,1,14,12.01,15.37,373.0,336.52,217.0,240.8,4.7,307.0,1008.57,
2007,1,1,15,10.37,20.19,282.0,374.5,151.0,239.85,4.46,307.0,1009.16,
2007,1,1,16,8.72,25.0,142.0,309.02,81.0,238.9,4.23,306.0,1009.76,
2007,1,1,17,7.08,29.82,0.0,0.0,0.0,237.95,3.99,306.0,1010.35,
2007,1,1,18,6.19,33.79,0.0,0.0,0.0,237.1,3.78,315.0,1010.54,
2007,1,1,19,5.3,37.75,0.0,0.0,0.0,236.25,3.58,324.0,1010.74,
2007,1,1,20,4.41,41.72,0.0,0.0,0.0,235.4,3.38,333.0,1010.94,
2007,1,1,21,3.86,45.61,0.0,0.0,0.0,233.97,3.26,340.0,1011.07,
