Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5042,Jerusalem,IS1,Israel,31.7784078156,35.2066259346,2,788.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,9.61,88.62,0.0,0.0,0.0,297.56,2.33,84.0,927.67,
2010,1,1,1,10.02,89.35,0.0,0.0,0.0,305.82,2.29,91.0,927.6,
2010,1,1,2,10.44,90.07,0.0,0.0,0.0,314.09,2.24,268.0,928.03,
2010,1,1,3,10.85,90.8,0.0,0.0,0.0,322.36,2.2,269.0,928.0,
2010,1,1,4,11.26,91.52,0.0,0.0,0.0,330.62,2.15,270.0,927.97,
2010,1,1,5,11.68,92.24,0.0,0.0,0.0,338.89,2.11,263.0,928.36,
2010,1,1,6,12.09,92.97,0.0,0.0,0.0,347.16,2.06,256.0,928.76,
2010,1,1,7,12.51,93.69,27.0,23.96,25.0,355.42,2.02,249.0,929.15,
2010,1,1,8,12.92,94.42,131.0,61.12,115.0,363.69,1.98,256.0,929.21,
2010,1,1,9,13.34,95.14,242.0,107.79,198.0,371.96,1.93,263.0,929.27,
2010,1,1,10,14.01,76.24,387.0,265.21,251.0,334.85,1.79,270.0,929.33,
2010,1,1,11,14.35,72.9,443.0,292.04,277.0,323.95,1.35,274.0,928.76,
2010,1,1,12,14.69,69.57,452.0,309.84,275.0,313.05,0.9,279.0,928.18,
2010,1,1,13,15.03,66.23,499.0,635.13,168.0,302.15,0.46,283.0,927.6,
2010,1,1,14,14.94,68.02,409.0,707.0,111.0,295.8,0.7,282.0,927.42,
2010,1,1,15,14.84,69.81,245.0,569.71,86.0,289.45,0.95,282.0,927.24,
2010,1,1,16,14.74,71.6,65.0,279.83,36.0,283.1,1.2,281.0,927.06,
2010,1,1,17,13.91,74.85,0.0,0.0,0.0,280.15,1.69,257.0,927.27,
2010,1,1,18,13.08,78.1,0.0,0.0,0.0,277.2,2.17,234.0,927.48,
2010,1,1,19,12.26,81.35,0.0,0.0,0.0,274.25,2.66,211.0,927.7,
2010,1,1,20,11.1,85.46,0.0,0.0,0.0,272.03,2.8,199.0,927.57,
2010,1,1,21,9.94,89.57,0.0,0.0,0.0,269.82,2.93,187.0,927.45,
2010,1,1,22,8.78,93.68,0.0,0.0,0.0,267.6,3.06,175.0,927.33,
2010,1,1,23,9.01,94.51,0.0,0.0,0.0,266.83,3.13,171.0,927.18,
2010,1,2,0,9.24,95.33,0.0,0.0,0.0,266.07,3.19,167.0,927.03,
2010,1,2,1,9.47,96.16,0.0,0.0,0.0,265.3,3.26,162.0,926.88,
2010,1,2,2,9.43,95.77,0.0,0.0,0.0,265.27,3.36,160.0,926.76,
2010,1,2,3,9.39,95.38,0.0,0.0,0.0,265.23,3.46,158.0,926.63,
2010,1,2,4,9.36,94.99,0.0,0.0,0.0,265.2,3.56,156.0,926.51,
2010,1,2,5,10.02,93.4,0.0,0.0,0.0,264.72,3.36,155.0,926.76,
2010,1,2,6,10.69,91.81,0.0,0.0,0.0,264.23,3.16,154.0,927.0,
2010,1,2,7,11.36,90.22,53.0,301.31,28.0,263.75,2.97,154.0,927.24,
2010,1,2,8,13.13,79.71,233.0,592.55,78.0,269.5,2.82,166.0,927.06,
2010,1,2,9,14.91,69.21,398.0,715.0,106.0,275.25,2.67,177.0,926.88,
2010,1,2,10,16.68,58.7,523.0,784.99,120.0,281.0,2.52,189.0,926.69,
2010,1,2,11,17.4,53.18,585.0,786.77,137.0,284.35,2.46,204.0,925.94,
