Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2970,Bondoukou,CIV,Ivory Coast,8.03042584119,-2.80002059062,0,331.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,24.32,92.16,0.0,0.0,0.0,406.64,1.85,223.0,973.39,
2005,1,1,1,24.23,92.32,0.0,0.0,0.0,405.57,1.81,223.0,973.39,
2005,1,1,2,24.14,92.49,0.0,0.0,0.0,404.51,1.77,223.0,973.39,
2005,1,1,3,24.05,92.66,0.0,0.0,0.0,403.45,1.74,229.0,973.52,
2005,1,1,4,23.97,92.82,0.0,0.0,0.0,402.38,1.7,234.0,973.65,
2005,1,1,5,23.88,92.99,0.0,0.0,0.0,401.32,1.66,240.0,973.78,
2005,1,1,6,23.79,93.15,0.0,0.0,0.0,400.25,1.62,262.0,974.55,
2005,1,1,7,23.7,93.32,28.0,39.54,22.0,399.19,1.58,284.0,975.31,
2005,1,1,8,26.14,89.62,231.0,299.09,119.0,424.05,1.01,306.0,976.08,
2005,1,1,9,26.74,86.06,301.0,96.84,246.0,422.93,1.22,330.0,975.7,
2005,1,1,10,27.35,82.49,686.0,706.5,178.0,421.82,1.43,354.0,975.31,
2005,1,1,11,27.95,78.93,840.0,805.01,182.0,420.7,1.64,18.0,974.93,
2005,1,1,12,28.92,72.17,919.0,857.17,185.0,417.55,1.57,18.0,974.13,
2005,1,1,13,29.89,65.41,909.0,848.59,202.0,414.4,1.5,18.0,973.33,
2005,1,1,14,30.86,58.65,835.0,861.91,189.0,411.25,1.43,18.0,972.53,
2005,1,1,15,29.76,64.31,692.0,860.82,166.0,408.95,1.19,16.0,972.82,
2005,1,1,16,28.66,69.96,485.0,791.14,147.0,406.65,0.94,13.0,973.1,
2005,1,1,17,27.56,75.62,242.0,626.83,110.0,404.35,0.69,10.0,973.39,
2005,1,1,18,26.37,80.9,0.0,0.0,0.0,399.77,0.5,29.0,974.1,
2005,1,1,19,25.18,86.17,0.0,0.0,0.0,395.18,0.31,48.0,974.8,
2005,1,1,20,23.99,91.45,0.0,0.0,0.0,390.6,0.12,67.0,975.51,
2005,1,1,21,23.78,94.01,0.0,0.0,0.0,385.73,0.37,33.0,975.35,
2005,1,1,22,23.56,96.56,0.0,0.0,0.0,380.87,0.61,359.0,975.19,
2005,1,1,23,23.35,99.12,0.0,0.0,0.0,376.0,0.86,324.0,975.03,
2005,1,2,0,22.71,99.41,0.0,0.0,0.0,382.85,0.87,330.0,974.61,
2005,1,2,1,22.07,99.71,0.0,0.0,0.0,389.7,0.88,336.0,974.19,
2005,1,2,2,21.42,100.0,0.0,0.0,0.0,396.55,0.9,342.0,973.78,
2005,1,2,3,20.92,98.79,0.0,0.0,0.0,404.43,1.42,354.0,973.94,
2005,1,2,4,20.43,97.57,0.0,0.0,0.0,412.32,1.94,6.0,974.1,
2005,1,2,5,19.93,96.36,0.0,0.0,0.0,420.2,2.46,18.0,974.26,
2005,1,2,6,21.23,88.79,0.0,0.0,0.0,417.75,2.57,21.0,974.93,
2005,1,2,7,22.54,81.21,27.0,39.91,21.0,415.3,2.69,25.0,975.6,
