Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,307,Bouafle,CIV,Ivory Coast,6.97799710395,-5.74800242826,0,195.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,24.78,88.34,0.0,0.0,0.0,396.91,1.71,164.0,988.2,
2010,1,1,1,24.52,87.98,0.0,0.0,0.0,395.64,1.76,171.0,987.78,
2010,1,1,2,24.25,87.62,0.0,0.0,0.0,394.38,1.81,178.0,987.36,
2010,1,1,3,23.98,87.25,0.0,0.0,0.0,393.11,1.86,180.0,987.39,
2010,1,1,4,23.72,86.89,0.0,0.0,0.0,391.85,1.9,183.0,987.42,
2010,1,1,5,23.45,86.53,0.0,0.0,0.0,390.58,1.95,185.0,987.45,
2010,1,1,6,23.19,86.17,0.0,0.0,0.0,389.31,2.0,181.0,988.17,
2010,1,1,7,22.92,85.81,54.0,88.63,44.0,388.05,2.05,177.0,988.89,
2010,1,1,8,26.35,82.8,192.0,108.77,155.0,403.45,1.77,174.0,989.6,
2010,1,1,9,27.61,73.7,340.0,136.77,266.0,404.15,1.81,157.0,989.21,
2010,1,1,10,28.88,64.59,342.0,34.19,318.0,404.85,1.86,141.0,988.82,
2010,1,1,11,30.14,55.49,604.0,231.64,416.0,405.55,1.9,124.0,988.43,
2010,1,1,12,30.72,52.78,867.0,694.24,268.0,405.7,1.87,123.0,987.78,
2010,1,1,13,31.29,50.06,838.0,650.26,284.0,405.85,1.84,122.0,987.13,
2010,1,1,14,31.87,47.35,757.0,634.76,262.0,406.0,1.81,122.0,986.48,
2010,1,1,15,31.33,50.33,617.0,614.15,217.0,404.32,1.86,127.0,986.48,
2010,1,1,16,30.8,53.3,402.0,454.58,186.0,402.63,1.92,132.0,986.48,
2010,1,1,17,30.26,56.28,179.0,254.36,112.0,400.95,1.97,138.0,986.48,
2010,1,1,18,28.94,61.33,0.0,0.0,0.0,396.4,2.2,144.0,987.29,
2010,1,1,19,27.61,66.37,0.0,0.0,0.0,391.85,2.43,150.0,988.1,
2010,1,1,20,26.29,71.42,0.0,0.0,0.0,387.3,2.66,156.0,988.92,
2010,1,1,21,25.91,74.19,0.0,0.0,0.0,384.97,2.26,163.0,988.95,
2010,1,1,22,25.53,76.97,0.0,0.0,0.0,382.63,1.86,170.0,988.98,
2010,1,1,23,25.15,79.74,0.0,0.0,0.0,380.3,1.46,178.0,989.02,
2010,1,2,0,24.53,80.86,0.0,0.0,0.0,380.63,1.68,180.0,988.72,
2010,1,2,1,23.92,81.99,0.0,0.0,0.0,380.97,1.89,182.0,988.43,
2010,1,2,2,23.3,83.11,0.0,0.0,0.0,381.3,2.11,184.0,988.14,
2010,1,2,3,23.05,85.58,0.0,0.0,0.0,380.08,1.98,185.0,988.17,
2010,1,2,4,22.8,88.04,0.0,0.0,0.0,378.87,1.85,186.0,988.2,
2010,1,2,5,22.55,90.51,0.0,0.0,0.0,377.65,1.72,188.0,988.23,
2010,1,2,6,23.78,87.61,0.0,0.0,0.0,381.62,1.48,182.0,988.76,
2010,1,2,7,25.02,84.72,59.0,134.72,44.0,385.58,1.24,177.0,989.28,
2010,1,2,8,26.25,81.82,216.0,177.01,156.0,389.55,0.99,171.0,989.8,
2010,1,2,9,27.12,73.67,350.0,155.48,266.0,395.22,1.09,141.0,989.44,
2010,1,2,10,27.99,65.52,391.0,69.85,342.0,400.88,1.18,110.0,989.08,
2010,1,2,11,28.86,57.37,494.0,98.56,414.0,406.55,1.27,80.0,988.72,
2010,1,2,12,29.68,54.32,897.0,780.63,223.0,409.55,1.14,80.0,987.91,
2010,1,2,13,30.49,51.27,903.0,834.69,191.0,412.55,1.01,81.0,987.1,
2010,1,2,14,31.31,48.22,789.0,728.3,220.0,415.55,0.88,82.0,986.28,
2010,1,2,15,30.7,51.25,619.0,615.56,217.0,412.32,1.15,103.0,986.38,
2010,1,2,16,30.1,54.27,423.0,534.45,168.0,409.08,1.42,125.0,986.48,
2010,1,2,17,29.49,57.3,197.0,350.35,104.0,405.85,1.68,147.0,986.57,
2010,1,2,18,28.38,62.11,0.0,0.0,0.0,401.93,1.71,157.0,987.42,
2010,1,2,19,27.27,66.92,0.0,0.0,0.0,398.02,1.75,166.0,988.27,
2010,1,2,20,26.16,71.73,0.0,0.0,0.0,394.1,1.78,176.0,989.11,
2010,1,2,21,25.84,75.49,0.0,0.0,0.0,391.0,1.71,181.0,989.11,
2010,1,2,22,25.51,79.26,0.0,0.0,0.0,387.9,1.64,187.0,989.11,
2010,1,2,23,25.18,83.02,0.0,0.0,0.0,384.8,1.57,192.0,989.11,
2010,1,3,0,24.48,84.36,0.0,0.0,0.0,382.48,1.87,193.0,988.59,
2010,1,3,1,23.77,85.7,0.0,0.0,0.0,380.17,2.16,194.0,988.07,
2010,1,3,2,23.07,87.04,0.0,0.0,0.0,377.85,2.46,196.0,987.55,
2010,1,3,3,22.77,89.38,0.0,0.0,0.0,376.58,2.16,200.0,987.65,
2010,1,3,4,22.47,91.71,0.0,0.0,0.0,375.32,1.86,204.0,987.75,
2010,1,3,5,22.18,94.05,0.0,0.0,0.0,374.05,1.56,208.0,987.84,
2010,1,3,6,23.65,89.38,0.0,0.0,0.0,378.32,1.24,205.0,988.5,
2010,1,3,7,25.12,84.71,53.0,100.1,42.0,382.58,0.92,202.0,989.15,
2010,1,3,8,26.59,80.04,166.0,59.21,146.0,386.85,0.61,198.0,989.8,
2010,1,3,9,27.95,70.03,339.0,135.31,266.0,393.77,0.83,150.0,989.41,
2010,1,3,10,29.31,60.01,402.0,79.86,346.0,400.68,1.06,101.0,989.02,
2010,1,3,11,30.67,50.0,664.0,335.02,392.0,407.6,1.28,52.0,988.63,
2010,1,3,12,31.23,48.05,898.0,780.04,224.0,407.83,1.42,53.0,987.88,
2010,1,3,13,31.8,46.09,880.0,761.02,230.0,408.07,1.55,53.0,987.13,
2010,1,3,14,32.36,44.14,808.0,786.95,192.0,408.3,1.68,54.0,986.38,
2010,1,3,15,31.87,46.98,642.0,691.75,189.0,407.58,2.02,62.0,986.44,
2010,1,3,16,31.39,49.82,430.0,555.19,164.0,406.87,2.35,71.0,986.51,
2010,1,3,17,30.9,52.66,199.0,351.4,105.0,406.15,2.69,79.0,986.57,
2010,1,3,18,29.31,57.66,0.0,0.0,0.0,401.58,2.96,102.0,987.36,
2010,1,3,19,27.73,62.65,0.0,0.0,0.0,397.02,3.22,124.0,988.14,
2010,1,3,20,26.14,67.65,0.0,0.0,0.0,392.45,3.49,147.0,988.92,
2010,1,3,21,25.67,69.4,0.0,0.0,0.0,389.93,3.34,161.0,988.92,
2010,1,3,22,25.19,71.16,0.0,0.0,0.0,387.42,3.2,176.0,988.92,
2010,1,3,23,24.72,72.91,0.0,0.0,0.0,384.9,3.05,190.0,988.92,
2010,1,4,0,23.97,73.42,0.0,0.0,0.0,381.97,2.96,194.0,988.4,
2010,1,4,1,23.23,73.93,0.0,0.0,0.0,379.03,2.86,198.0,987.88,
2010,1,4,2,22.48,74.44,0.0,0.0,0.0,376.1,2.77,201.0,987.36,
2010,1,4,3,22.25,78.45,0.0,0.0,0.0,378.63,2.29,205.0,987.42,
2010,1,4,4,22.01,82.46,0.0,0.0,0.0,381.17,1.82,209.0,987.49,
2010,1,4,5,21.78,86.47,0.0,0.0,0.0,383.7,1.34,213.0,987.55,
2010,1,4,6,22.61,82.16,0.0,0.0,0.0,391.43,1.17,215.0,988.17,
2010,1,4,7,23.44,77.86,53.0,101.39,42.0,399.17,1.01,217.0,988.79,
2010,1,4,8,24.27,73.55,249.0,308.88,145.0,406.9,0.84,219.0,989.41,
2010,1,4,9,26.32,63.75,288.0,66.82,252.0,406.6,1.0,180.0,989.05,
2010,1,4,10,28.36,53.94,456.0,141.24,357.0,406.3,1.16,142.0,988.69,
2010,1,4,11,30.41,44.14,710.0,428.51,362.0,406.0,1.32,104.0,988.33,
2010,1,4,12,31.15,42.36,760.0,431.33,387.0,403.33,1.24,114.0,987.45,
2010,1,4,13,31.89,40.59,813.0,575.25,321.0,400.67,1.15,123.0,986.57,
2010,1,4,14,32.63,38.81,687.0,441.15,341.0,398.0,1.06,132.0,985.69,
2010,1,4,15,32.04,43.49,641.0,679.16,195.0,397.52,1.43,130.0,985.79,
