Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,217,Mandeville,JAM,Jamaica,18.0330030526,-77.4999985126,-5,635.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,20.14,84.01,0.0,0.0,0.0,404.67,4.7,82.0,941.9,
2007,1,1,1,19.6,85.63,0.0,0.0,0.0,405.27,4.74,82.0,941.68,
2007,1,1,2,19.06,87.25,0.0,0.0,0.0,405.88,4.77,82.0,941.47,
2007,1,1,3,19.5,86.04,0.0,0.0,0.0,405.5,4.8,82.0,941.25,
2007,1,1,4,19.63,86.09,0.0,0.0,0.0,405.45,4.77,82.0,941.43,
2007,1,1,5,19.76,86.15,0.0,0.0,0.0,405.4,4.74,83.0,941.62,
2007,1,1,6,19.89,86.2,0.0,0.0,0.0,405.35,4.7,84.0,941.81,
2007,1,1,7,22.19,81.26,28.0,179.57,18.0,405.88,5.18,84.0,942.18,
2007,1,1,8,24.49,76.32,229.0,615.03,62.0,406.42,5.66,85.0,942.55,
2007,1,1,9,26.79,71.38,441.0,781.55,81.0,406.95,6.14,86.0,942.92,
2007,1,1,10,27.43,69.79,618.0,862.19,92.0,407.02,6.45,87.0,942.48,
2007,1,1,11,28.07,68.19,738.0,901.78,98.0,407.08,6.75,88.0,942.05,
2007,1,1,12,28.72,66.6,789.0,915.33,100.0,407.15,7.06,90.0,941.62,
2007,1,1,13,28.17,68.09,769.0,910.07,99.0,406.92,7.03,89.0,941.25,
2007,1,1,14,27.62,69.59,677.0,880.13,95.0,406.68,7.0,89.0,940.88,
2007,1,1,15,27.07,71.08,525.0,823.61,86.0,406.45,6.97,88.0,940.51,
2007,1,1,16,25.91,74.61,327.0,710.72,71.0,405.95,6.46,87.0,940.85,
2007,1,1,17,24.76,78.15,117.0,517.51,37.0,405.45,5.95,85.0,941.19,
2007,1,1,18,23.6,81.68,0.0,0.0,0.0,404.95,5.45,83.0,941.53,
2007,1,1,19,22.86,82.91,0.0,0.0,0.0,406.87,5.24,82.0,941.99,
2007,1,1,20,22.12,84.14,0.0,0.0,0.0,408.78,5.03,81.0,942.45,
2007,1,1,21,21.38,85.37,0.0,0.0,0.0,410.7,4.83,79.0,942.92,
2007,1,1,22,20.96,86.93,0.0,0.0,0.0,410.75,4.61,80.0,942.76,
2007,1,1,23,20.55,88.48,0.0,0.0,0.0,410.8,4.39,80.0,942.61,
2007,1,2,0,20.13,90.04,0.0,0.0,0.0,410.85,4.17,80.0,942.45,
2007,1,2,1,19.83,91.14,0.0,0.0,0.0,411.2,4.27,80.0,942.21,
2007,1,2,2,19.53,92.24,0.0,0.0,0.0,411.55,4.38,81.0,941.96,
2007,1,2,3,19.23,93.34,0.0,0.0,0.0,411.9,4.48,81.0,941.71,
2007,1,2,4,19.31,93.78,0.0,0.0,0.0,411.48,4.53,82.0,941.99,
2007,1,2,5,19.39,94.21,0.0,0.0,0.0,411.07,4.57,84.0,942.27,
2007,1,2,6,19.48,94.65,0.0,0.0,0.0,410.65,4.62,85.0,942.55,
2007,1,2,7,21.66,90.84,27.0,183.29,17.0,405.85,4.95,85.0,942.95,
2007,1,2,8,23.84,87.03,226.0,605.88,62.0,401.05,5.27,85.0,943.35,
2007,1,2,9,26.02,83.22,438.0,775.85,81.0,396.25,5.6,84.0,943.75,
2007,1,2,10,26.68,80.36,615.0,857.34,92.0,395.62,5.78,84.0,943.35,
2007,1,2,11,27.34,77.51,736.0,898.43,98.0,394.98,5.96,83.0,942.95,
2007,1,2,12,28.0,74.65,789.0,912.94,101.0,394.35,6.14,82.0,942.55,
2007,1,2,13,27.59,74.6,770.0,908.45,100.0,394.98,6.2,80.0,942.14,
2007,1,2,14,27.19,74.56,467.0,223.24,319.0,395.62,6.27,79.0,941.74,
2007,1,2,15,26.78,74.51,528.0,824.31,87.0,396.25,6.33,78.0,941.34,
2007,1,2,16,25.76,76.53,331.0,717.53,71.0,396.03,6.15,79.0,941.56,
2007,1,2,17,24.74,78.54,120.0,516.56,39.0,395.82,5.96,80.0,941.77,
2007,1,2,18,23.72,80.56,0.0,0.0,0.0,395.6,5.78,81.0,941.99,
2007,1,2,19,22.97,82.73,0.0,0.0,0.0,397.28,5.56,80.0,942.27,
2007,1,2,20,22.23,84.91,0.0,0.0,0.0,398.97,5.34,80.0,942.55,
2007,1,2,21,21.48,87.08,0.0,0.0,0.0,400.65,5.12,79.0,942.82,
2007,1,2,22,21.06,87.52,0.0,0.0,0.0,400.82,5.15,79.0,942.86,
2007,1,2,23,20.64,87.96,0.0,0.0,0.0,400.98,5.18,78.0,942.89,
2007,1,3,0,20.22,88.4,0.0,0.0,0.0,401.15,5.21,78.0,942.92,
2007,1,3,1,19.85,90.54,0.0,0.0,0.0,401.07,5.21,77.0,942.89,
2007,1,3,2,19.47,92.68,0.0,0.0,0.0,400.98,5.21,76.0,942.86,
2007,1,3,3,19.09,94.82,0.0,0.0,0.0,400.9,5.21,76.0,942.82,
2007,1,3,4,19.18,95.12,0.0,0.0,0.0,401.78,5.32,78.0,943.01,
2007,1,3,5,19.27,95.41,0.0,0.0,0.0,402.67,5.43,80.0,943.2,
2007,1,3,6,19.37,95.71,0.0,0.0,0.0,403.55,5.54,82.0,943.38,
2007,1,3,7,21.48,93.03,26.0,168.26,17.0,402.32,5.7,83.0,943.78,
2007,1,3,8,23.6,90.35,226.0,603.92,63.0,401.08,5.86,83.0,944.18,
2007,1,3,9,25.72,87.67,440.0,778.7,82.0,399.85,6.01,84.0,944.59,
2007,1,3,10,26.17,86.1,255.0,26.23,239.0,398.87,6.08,83.0,944.18,
2007,1,3,11,26.61,84.54,289.0,22.52,273.0,397.88,6.14,82.0,943.78,
2007,1,3,12,27.06,82.97,795.0,918.4,102.0,396.9,6.21,80.0,943.38,
2007,1,3,13,26.82,80.32,376.0,55.49,335.0,397.78,6.37,79.0,942.86,
2007,1,3,14,26.59,77.66,396.0,114.33,320.0,398.67,6.53,77.0,942.33,
2007,1,3,15,26.35,75.01,544.0,849.12,88.0,399.55,6.69,76.0,941.81,
2007,1,3,16,25.4,76.21,345.0,746.1,73.0,400.9,6.51,75.0,942.05,
2007,1,3,17,24.44,77.41,30.0,0.0,30.0,402.25,6.34,75.0,942.3,
2007,1,3,18,23.49,78.61,0.0,0.0,0.0,403.6,6.17,75.0,942.55,
2007,1,3,19,22.8,78.91,0.0,0.0,0.0,402.03,6.08,76.0,942.82,
2007,1,3,20,22.12,79.2,0.0,0.0,0.0,400.47,6.0,78.0,943.1,
2007,1,3,21,21.43,79.5,0.0,0.0,0.0,398.9,5.92,79.0,943.38,
2007,1,3,22,21.04,79.65,0.0,0.0,0.0,398.17,5.8,81.0,943.16,
2007,1,3,23,20.66,79.81,0.0,0.0,0.0,397.43,5.68,83.0,942.95,
2007,1,4,0,20.27,79.96,0.0,0.0,0.0,396.7,5.56,85.0,942.73,
2007,1,4,1,20.07,80.61,0.0,0.0,0.0,396.82,5.43,85.0,942.48,
2007,1,4,2,19.86,81.26,0.0,0.0,0.0,396.93,5.29,86.0,942.24,
2007,1,4,3,19.66,81.91,0.0,0.0,0.0,397.05,5.16,87.0,941.99,
2007,1,4,4,19.82,82.35,0.0,0.0,0.0,398.32,5.15,88.0,942.27,
2007,1,4,5,19.98,82.78,0.0,0.0,0.0,399.58,5.15,90.0,942.55,
2007,1,4,6,20.14,83.22,0.0,0.0,0.0,400.85,5.14,92.0,942.82,
2007,1,4,7,22.1,81.59,26.0,171.49,17.0,402.92,5.41,92.0,943.2,
2007,1,4,8,24.07,79.95,226.0,605.5,63.0,404.98,5.68,92.0,943.57,
2007,1,4,9,26.04,78.32,439.0,777.07,82.0,407.05,5.94,92.0,943.94,
2007,1,4,10,26.51,77.4,618.0,860.4,93.0,404.72,6.21,92.0,943.35,
2007,1,4,11,26.99,76.48,741.0,901.28,100.0,402.38,6.47,91.0,942.76,
2007,1,4,12,27.47,75.56,795.0,917.13,102.0,400.05,6.73,91.0,942.18,
2007,1,4,13,27.08,75.18,583.0,310.65,353.0,399.02,6.81,90.0,941.68,
