Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,203,Al Mafraq,JOR,Jordan,32.2832970669,36.2332985195,2,682.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,5.68,87.7,0.0,0.0,0.0,257.09,2.31,105.0,941.99,
2012,1,1,1,5.56,86.81,0.0,0.0,0.0,254.49,2.34,108.0,942.02,
2012,1,1,2,5.43,85.92,0.0,0.0,0.0,251.9,2.37,190.0,937.57,
2012,1,1,3,5.31,85.03,0.0,0.0,0.0,249.3,2.41,186.0,937.45,
2012,1,1,4,5.19,84.15,0.0,0.0,0.0,246.71,2.44,181.0,937.32,
2012,1,1,5,5.07,83.26,0.0,0.0,0.0,244.11,2.48,180.0,937.66,
2012,1,1,6,4.95,82.37,0.0,0.0,0.0,241.52,2.51,178.0,938.0,
2012,1,1,7,4.83,81.48,50.0,163.03,35.0,238.92,2.55,176.0,938.34,
2012,1,1,8,4.71,80.59,224.0,474.75,97.0,236.33,2.58,194.0,938.03,
2012,1,1,9,4.59,79.7,392.0,652.78,124.0,233.74,2.61,212.0,937.72,
2012,1,1,10,10.97,47.22,503.0,684.41,153.0,252.95,6.26,230.0,937.41,
2012,1,1,11,11.17,45.93,570.0,735.15,156.0,255.03,6.78,237.0,936.8,
2012,1,1,12,11.38,44.65,568.0,734.48,155.0,257.12,7.29,244.0,936.19,
2012,1,1,13,11.59,43.36,499.0,681.85,152.0,259.2,7.81,251.0,935.57,
2012,1,1,14,10.58,49.05,382.0,622.22,129.0,257.38,6.77,255.0,936.03,
2012,1,1,15,9.58,54.75,135.0,68.6,117.0,255.57,5.74,259.0,936.49,
2012,1,1,16,8.57,60.44,44.0,151.12,31.0,253.75,4.7,263.0,936.95,
2012,1,1,17,7.96,66.64,0.0,0.0,0.0,253.57,4.62,260.0,937.45,
2012,1,1,18,7.34,72.84,0.0,0.0,0.0,253.38,4.53,256.0,937.94,
2012,1,1,19,6.72,79.04,0.0,0.0,0.0,253.2,4.44,253.0,938.43,
2012,1,1,20,6.46,81.83,0.0,0.0,0.0,254.67,4.39,247.0,938.49,
2012,1,1,21,6.2,84.61,0.0,0.0,0.0,256.13,4.34,240.0,938.55,
2012,1,1,22,5.93,87.4,0.0,0.0,0.0,257.6,4.29,234.0,938.61,
2012,1,1,23,6.15,88.92,0.0,0.0,0.0,257.55,4.38,234.0,938.64,
2012,1,2,0,6.37,90.43,0.0,0.0,0.0,257.5,4.47,233.0,938.67,
2012,1,2,1,6.59,91.95,0.0,0.0,0.0,257.45,4.57,232.0,938.71,
2012,1,2,2,6.82,92.83,0.0,0.0,0.0,260.68,3.83,232.0,938.55,
2012,1,2,3,7.05,93.71,0.0,0.0,0.0,263.92,3.1,232.0,938.4,
2012,1,2,4,7.28,94.59,0.0,0.0,0.0,267.15,2.37,232.0,938.24,
