Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,806,Aqadyr,KAZ,Kazakhstan,48.2748685904,72.85988317759998,6,681.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,-27.3,99.0,0.0,0.0,0.0,141.47,4.35,21.0,968.26,
2011,1,1,1,-27.44,99.0,0.0,0.0,0.0,141.43,4.35,24.0,968.29,
2011,1,1,2,-27.57,0.5,0.0,0.0,0.0,141.39,4.36,27.0,968.32,
2011,1,1,3,-27.71,0.5,0.0,0.0,0.0,141.35,4.37,29.0,968.62,
2011,1,1,4,-27.84,0.5,0.0,0.0,0.0,141.31,4.38,31.0,968.93,
2011,1,1,5,-27.98,0.5,0.0,0.0,0.0,141.27,4.38,33.0,969.24,
2011,1,1,6,-28.12,0.5,0.0,0.0,0.0,141.23,4.39,40.0,967.46,
2011,1,1,7,-28.25,0.5,0.0,0.0,0.0,141.19,4.4,45.0,967.7,
2011,1,1,8,-28.39,0.5,0.0,0.0,0.0,141.16,4.4,50.0,967.95,
2011,1,1,9,-28.53,0.5,0.0,0.0,0.0,141.12,4.41,58.0,968.04,
2011,1,1,10,-28.66,0.5,59.0,165.35,42.0,141.08,4.42,65.0,968.13,
2011,1,1,11,-28.8,0.5,184.0,526.91,73.0,141.04,4.43,72.0,968.23,
2011,1,1,12,-28.94,0.5,218.0,302.52,132.0,141.0,4.43,78.0,968.32,
2011,1,1,13,-29.07,0.5,152.0,34.52,141.0,140.96,4.44,83.0,968.41,
2011,1,1,14,-25.45,68.03,41.0,0.0,41.0,140.65,6.87,89.0,968.5,
2011,1,1,15,-25.91,66.33,24.0,0.0,24.0,138.23,7.01,91.0,968.56,
2011,1,1,16,-26.37,64.62,21.0,0.0,21.0,135.82,7.15,93.0,968.62,
2011,1,1,17,-26.82,62.92,3.0,0.0,3.0,133.4,7.3,95.0,968.69,
2011,1,1,18,-26.6,61.42,0.0,0.0,0.0,132.75,7.83,98.0,969.15,
2011,1,1,19,-26.39,59.91,0.0,0.0,0.0,132.1,8.36,101.0,969.61,
2011,1,1,20,-26.17,58.41,0.0,0.0,0.0,131.45,8.9,104.0,970.07,
2011,1,1,21,-26.01,58.15,0.0,0.0,0.0,130.83,8.98,105.0,969.92,
2011,1,1,22,-25.86,57.9,0.0,0.0,0.0,130.22,9.07,106.0,969.76,
2011,1,1,23,-25.7,57.64,0.0,0.0,0.0,129.6,9.16,107.0,969.61,
2011,1,2,0,-25.48,58.5,0.0,0.0,0.0,130.55,9.23,106.0,969.27,
2011,1,2,1,-25.25,59.37,0.0,0.0,0.0,131.5,9.3,106.0,968.93,
2011,1,2,2,-25.03,60.23,0.0,0.0,0.0,132.45,9.37,105.0,968.59,
2011,1,2,3,-24.85,60.87,0.0,0.0,0.0,133.68,8.82,104.0,968.16,
2011,1,2,4,-24.67,61.52,0.0,0.0,0.0,134.92,8.28,102.0,967.73,
2011,1,2,5,-24.49,62.16,0.0,0.0,0.0,136.15,7.74,101.0,967.3,
2011,1,2,6,-24.42,63.41,0.0,0.0,0.0,136.68,7.8,99.0,967.36,
2011,1,2,7,-24.35,64.66,0.0,0.0,0.0,137.22,7.87,96.0,967.43,
2011,1,2,8,-24.28,65.91,0.0,0.0,0.0,137.75,7.93,94.0,967.49,
2011,1,2,9,-23.6,64.83,0.0,0.0,0.0,138.3,7.85,93.0,967.06,
2011,1,2,10,-22.92,63.75,45.0,48.46,40.0,138.85,7.77,92.0,966.63,
2011,1,2,11,-22.24,62.67,155.0,283.92,95.0,139.4,7.68,92.0,966.2,
2011,1,2,12,-21.81,61.53,174.0,119.19,140.0,139.43,7.87,91.0,965.71,
2011,1,2,13,-21.39,60.4,162.0,46.88,147.0,139.47,8.05,90.0,965.21,
2011,1,2,14,-20.96,59.26,44.0,0.0,44.0,139.5,8.23,89.0,964.72,
2011,1,2,15,-21.42,59.03,34.0,0.0,34.0,139.9,8.01,88.0,964.45,
2011,1,2,16,-21.88,58.81,23.0,0.0,23.0,140.3,7.79,86.0,964.17,
2011,1,2,17,-22.33,58.58,35.0,262.01,19.0,140.7,7.57,85.0,963.89,
2011,1,2,18,-22.17,59.51,0.0,0.0,0.0,142.48,7.54,89.0,963.83,
2011,1,2,19,-22.0,60.45,0.0,0.0,0.0,144.27,7.52,92.0,963.77,
2011,1,2,20,-21.84,61.38,0.0,0.0,0.0,146.05,7.49,96.0,963.71,
2011,1,2,21,-21.9,62.89,0.0,0.0,0.0,146.07,7.53,96.0,963.46,
2011,1,2,22,-21.97,64.39,0.0,0.0,0.0,146.08,7.56,96.0,963.22,
2011,1,2,23,-22.03,65.9,0.0,0.0,0.0,146.1,7.6,96.0,962.97,
2011,1,3,0,-22.07,66.9,0.0,0.0,0.0,146.93,7.55,92.0,962.57,
2011,1,3,1,-22.11,67.9,0.0,0.0,0.0,147.77,7.51,89.0,962.17,
2011,1,3,2,-22.16,68.9,0.0,0.0,0.0,148.6,7.46,85.0,961.77,
2011,1,3,3,-22.27,69.47,0.0,0.0,0.0,149.72,7.18,83.0,961.37,
2011,1,3,4,-22.39,70.03,0.0,0.0,0.0,150.83,6.89,81.0,960.97,
2011,1,3,5,-22.51,70.6,0.0,0.0,0.0,151.95,6.61,79.0,960.57,
2011,1,3,6,-22.74,71.44,0.0,0.0,0.0,152.02,6.62,78.0,960.76,
2011,1,3,7,-22.96,72.28,0.0,0.0,0.0,152.08,6.63,78.0,960.94,
2011,1,3,8,-23.19,73.12,0.0,0.0,0.0,152.15,6.63,77.0,961.13,
2011,1,3,9,-22.25,73.13,0.0,0.0,0.0,154.25,6.6,78.0,961.22,
2011,1,3,10,-21.32,73.15,61.0,173.64,43.0,156.35,6.56,80.0,961.31,
2011,1,3,11,-20.38,73.16,191.0,584.6,67.0,158.45,6.52,81.0,961.4,
2011,1,3,12,-19.94,72.35,234.0,380.62,125.0,158.37,6.4,81.0,961.19,
2011,1,3,13,-19.51,71.54,226.0,205.36,160.0,158.28,6.28,81.0,960.97,
2011,1,3,14,-19.07,70.73,60.0,0.0,60.0,158.2,6.15,80.0,960.76,
2011,1,3,15,-19.94,70.71,223.0,427.04,109.0,158.8,6.18,79.0,960.85,
2011,1,3,16,-20.82,70.68,34.0,0.0,34.0,159.4,6.22,78.0,960.94,
2011,1,3,17,-21.69,70.66,24.0,47.32,21.0,160.0,6.25,77.0,961.03,
2011,1,3,18,-21.83,70.98,0.0,0.0,0.0,161.12,6.33,78.0,961.28,
2011,1,3,19,-21.96,71.3,0.0,0.0,0.0,162.23,6.4,80.0,961.53,
2011,1,3,20,-22.1,71.62,0.0,0.0,0.0,163.35,6.48,81.0,961.77,
2011,1,3,21,-22.37,71.3,0.0,0.0,0.0,161.0,6.26,81.0,961.71,
2011,1,3,22,-22.64,70.97,0.0,0.0,0.0,158.65,6.03,82.0,961.65,
2011,1,3,23,-22.91,70.65,0.0,0.0,0.0,156.3,5.81,82.0,961.59,
2011,1,4,0,-23.32,70.2,0.0,0.0,0.0,153.97,5.66,81.0,961.56,
2011,1,4,1,-23.72,69.74,0.0,0.0,0.0,151.63,5.5,79.0,961.53,
2011,1,4,2,-24.13,69.29,0.0,0.0,0.0,149.3,5.35,77.0,961.5,
2011,1,4,3,-24.66,69.16,0.0,0.0,0.0,148.82,5.22,74.0,961.34,
2011,1,4,4,-25.19,69.03,0.0,0.0,0.0,148.33,5.09,72.0,961.19,
2011,1,4,5,-25.73,68.9,0.0,0.0,0.0,147.85,4.97,69.0,961.03,
2011,1,4,6,-26.21,69.19,0.0,0.0,0.0,148.32,4.74,66.0,961.25,
2011,1,4,7,-26.7,69.49,0.0,0.0,0.0,148.78,4.52,62.0,961.46,
2011,1,4,8,-27.18,69.78,0.0,0.0,0.0,149.25,4.3,58.0,961.68,
2011,1,4,9,-25.89,68.91,0.0,0.0,0.0,150.32,4.15,61.0,961.77,
2011,1,4,10,-24.59,68.04,62.0,182.22,43.0,151.38,4.0,63.0,961.86,
2011,1,4,11,-23.3,67.17,162.0,323.91,93.0,152.45,3.85,66.0,961.96,
2011,1,4,12,-22.44,65.93,243.0,431.14,119.0,151.95,3.97,68.0,962.14,
2011,1,4,13,-21.59,64.69,236.0,241.53,158.0,151.45,4.09,70.0,962.33,
2011,1,4,14,-20.73,63.45,66.0,0.0,66.0,150.95,4.21,72.0,962.51,
2011,1,4,15,-21.75,63.16,276.0,869.67,42.0,149.93,4.46,74.0,962.94,
2011,1,4,16,-22.78,62.87,166.0,637.51,49.0,148.92,4.71,75.0,963.37,
2011,1,4,17,-23.8,62.58,13.0,0.0,13.0,147.9,4.97,77.0,963.8,
2011,1,4,18,-24.26,62.73,0.0,0.0,0.0,147.47,5.27,78.0,964.41,
2011,1,4,19,-24.73,62.88,0.0,0.0,0.0,147.03,5.58,80.0,965.03,
2011,1,4,20,-25.19,63.03,0.0,0.0,0.0,146.6,5.89,82.0,965.64,
2011,1,4,21,-25.5,62.6,0.0,0.0,0.0,145.55,6.11,82.0,965.74,
2011,1,4,22,-25.81,62.16,0.0,0.0,0.0,144.5,6.34,81.0,965.83,
2011,1,4,23,-26.12,61.73,0.0,0.0,0.0,143.45,6.57,81.0,965.92,
2011,1,5,0,-26.34,61.08,0.0,0.0,0.0,142.72,6.49,80.0,965.95,
2011,1,5,1,-26.56,60.42,0.0,0.0,0.0,141.98,6.41,79.0,965.98,
2011,1,5,2,-26.78,59.77,0.0,0.0,0.0,141.25,6.33,78.0,966.01,
2011,1,5,3,-26.81,59.11,0.0,0.0,0.0,141.17,6.07,78.0,965.83,
2011,1,5,4,-26.84,58.46,0.0,0.0,0.0,141.08,5.81,79.0,965.64,
2011,1,5,5,-26.88,57.8,0.0,0.0,0.0,141.0,5.54,80.0,965.46,
2011,1,5,6,-26.91,58.35,0.0,0.0,0.0,141.08,5.33,80.0,965.52,
2011,1,5,7,-26.93,58.91,0.0,0.0,0.0,141.17,5.12,79.0,965.58,
2011,1,5,8,-26.96,59.46,0.0,0.0,0.0,141.25,4.91,79.0,965.64,
2011,1,5,9,-25.75,59.74,0.0,0.0,0.0,142.28,5.0,80.0,965.49,
2011,1,5,10,-24.55,60.01,49.0,76.2,41.0,143.32,5.09,81.0,965.34,
2011,1,5,11,-23.34,60.29,169.0,369.06,90.0,144.35,5.19,83.0,965.18,
2011,1,5,12,-22.51,59.81,203.0,211.1,142.0,144.27,5.53,83.0,964.78,
2011,1,5,13,-21.69,59.32,147.0,24.64,139.0,144.18,5.87,84.0,964.38,
2011,1,5,14,-20.86,58.84,55.0,0.0,55.0,144.1,6.21,85.0,963.98,
2011,1,5,15,-22.03,59.34,194.0,239.59,129.0,143.65,6.0,84.0,963.98,
2011,1,5,16,-23.21,59.85,25.0,0.0,25.0,143.2,5.8,83.0,963.98,
2011,1,5,17,-24.38,60.35,6.0,0.0,6.0,142.75,5.6,82.0,963.98,
2011,1,5,18,-24.37,60.55,0.0,0.0,0.0,143.63,5.76,84.0,964.02,
2011,1,5,19,-24.37,60.75,0.0,0.0,0.0,144.52,5.91,85.0,964.05,
2011,1,5,20,-24.36,60.95,0.0,0.0,0.0,145.4,6.07,87.0,964.08,
2011,1,5,21,-24.75,61.43,0.0,0.0,0.0,145.4,6.15,85.0,963.74,
2011,1,5,22,-25.14,61.9,0.0,0.0,0.0,145.4,6.23,84.0,963.4,
2011,1,5,23,-25.53,62.38,0.0,0.0,0.0,145.4,6.3,82.0,963.06,
2011,1,6,0,-26.1,62.7,0.0,0.0,0.0,145.73,6.12,78.0,962.82,
2011,1,6,1,-26.66,63.03,0.0,0.0,0.0,146.07,5.94,74.0,962.57,
2011,1,6,2,-27.23,63.35,0.0,0.0,0.0,146.4,5.75,70.0,962.33,
2011,1,6,3,-27.64,63.37,0.0,0.0,0.0,147.18,5.49,69.0,962.08,
2011,1,6,4,-28.06,63.4,0.0,0.0,0.0,147.97,5.23,68.0,961.83,
2011,1,6,5,-28.48,63.42,0.0,0.0,0.0,148.75,4.97,68.0,961.59,
2011,1,6,6,-28.96,63.46,0.0,0.0,0.0,148.8,4.87,66.0,961.56,
2011,1,6,7,-29.45,63.51,0.0,0.0,0.0,148.85,4.77,65.0,961.53,
2011,1,6,8,-29.93,63.55,0.0,0.0,0.0,148.9,4.68,63.0,961.5,
2011,1,6,9,-28.14,63.97,0.0,0.0,0.0,150.82,4.35,65.0,961.28,
2011,1,6,10,-26.36,64.4,51.0,75.59,43.0,152.73,4.03,66.0,961.07,
2011,1,6,11,-24.57,64.82,173.0,394.96,88.0,154.65,3.71,67.0,960.85,
2011,1,6,12,-23.28,63.65,264.0,554.31,103.0,154.97,3.82,70.0,960.67,
2011,1,6,13,-22.0,62.48,213.0,153.17,163.0,155.28,3.93,72.0,960.48,
2011,1,6,14,-20.71,61.31,83.0,0.0,83.0,155.6,4.04,75.0,960.3,
2011,1,6,15,-21.94,61.55,138.0,51.16,124.0,155.08,4.02,73.0,960.45,
2011,1,6,16,-23.17,61.8,28.0,0.0,28.0,154.57,4.0,71.0,960.6,
2011,1,6,17,-24.4,62.04,10.0,0.0,10.0,154.05,3.97,70.0,960.76,
2011,1,6,18,-25.28,63.13,0.0,0.0,0.0,155.4,4.06,69.0,961.16,
2011,1,6,19,-26.17,64.22,0.0,0.0,0.0,156.75,4.14,69.0,961.56,
2011,1,6,20,-27.05,65.31,0.0,0.0,0.0,158.1,4.22,69.0,961.96,
2011,1,6,21,-27.38,65.31,0.0,0.0,0.0,158.88,4.37,71.0,961.96,
2011,1,6,22,-27.7,65.3,0.0,0.0,0.0,159.67,4.52,73.0,961.96,
