Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2863,Makinsk,KAZ,Kazakhstan,52.6403643993,70.4099551991,6,376.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,-17.69,79.16,0.0,0.0,0.0,174.6,8.24,233.0,984.36,
2015,1,1,1,-16.6,80.18,0.0,0.0,0.0,184.99,7.93,234.0,984.2,
2015,1,1,2,-15.52,81.2,0.0,0.0,0.0,195.37,7.62,236.0,984.04,
2015,1,1,3,-14.44,82.22,0.0,0.0,0.0,205.75,7.31,237.0,983.82,
2015,1,1,4,-13.36,83.24,0.0,0.0,0.0,216.14,7.0,239.0,983.6,
2015,1,1,5,-12.28,84.26,0.0,0.0,0.0,226.52,6.69,241.0,983.38,
2015,1,1,6,-11.2,85.28,0.0,0.0,0.0,236.9,6.38,231.0,961.29,
2015,1,1,7,-10.11,86.3,0.0,0.0,0.0,247.28,6.07,231.0,960.52,
2015,1,1,8,-9.03,87.32,0.0,0.0,0.0,257.67,5.76,231.0,959.76,
2015,1,1,9,-7.95,88.34,0.0,0.0,0.0,268.05,5.45,235.0,959.5,
2015,1,1,10,-6.87,89.36,0.0,0.0,0.0,278.43,5.14,240.0,959.25,
2015,1,1,11,-5.79,90.38,45.0,7.46,44.0,288.81,4.83,245.0,958.99,
2015,1,1,12,-4.71,91.4,99.0,48.45,89.0,299.2,4.52,250.0,958.51,
2015,1,1,13,-3.62,92.42,140.0,106.81,114.0,309.58,4.21,256.0,958.04,
2015,1,1,14,-7.0,89.81,20.0,0.0,20.0,287.5,5.17,261.0,957.56,
2015,1,1,15,-7.52,89.71,195.0,793.0,33.0,284.23,5.25,268.0,957.91,
2015,1,1,16,-8.04,89.6,9.0,0.0,9.0,280.97,5.32,275.0,958.26,
2015,1,1,17,-8.55,89.5,0.0,0.0,0.0,277.7,5.39,282.0,958.61,
2015,1,1,18,-10.29,86.59,0.0,0.0,0.0,270.95,5.04,285.0,959.82,
2015,1,1,19,-12.03,83.69,0.0,0.0,0.0,264.2,4.69,288.0,961.03,
2015,1,1,20,-13.77,80.78,0.0,0.0,0.0,257.45,4.34,291.0,962.24,
2015,1,1,21,-14.9,79.97,0.0,0.0,0.0,250.5,4.4,289.0,963.42,
2015,1,1,22,-16.04,79.16,0.0,0.0,0.0,243.55,4.46,286.0,964.6,
2015,1,1,23,-17.17,78.35,0.0,0.0,0.0,236.6,4.51,284.0,965.78,
2015,1,2,0,-17.97,78.11,0.0,0.0,0.0,229.67,4.33,281.0,966.64,
2015,1,2,1,-18.77,77.88,0.0,0.0,0.0,222.73,4.15,279.0,967.5,
2015,1,2,2,-19.57,77.64,0.0,0.0,0.0,215.8,3.97,276.0,968.36,
2015,1,2,3,-20.18,77.63,0.0,0.0,0.0,210.37,3.94,275.0,968.87,
2015,1,2,4,-20.79,77.61,0.0,0.0,0.0,204.93,3.9,274.0,969.38,
2015,1,2,5,-21.4,77.6,0.0,0.0,0.0,199.5,3.86,273.0,969.89,
2015,1,2,6,-22.31,77.42,0.0,0.0,0.0,196.17,3.62,270.0,970.66,
2015,1,2,7,-23.23,77.24,0.0,0.0,0.0,192.83,3.38,267.0,971.42,
2015,1,2,8,-24.14,77.06,0.0,0.0,0.0,189.5,3.14,264.0,972.19,
2015,1,2,9,-23.53,76.68,0.0,0.0,0.0,190.72,3.47,261.0,972.38,
2015,1,2,10,-22.92,76.31,0.0,0.0,0.0,191.93,3.79,259.0,972.57,
2015,1,2,11,-22.31,75.93,35.0,0.0,35.0,193.15,4.11,256.0,972.76,
2015,1,2,12,-21.54,75.48,191.0,684.69,49.0,196.33,3.93,256.0,972.67,
2015,1,2,13,-20.77,75.03,20.0,0.0,20.0,199.52,3.75,255.0,972.57,
2015,1,2,14,-20.0,74.58,196.0,401.13,98.0,202.7,3.57,254.0,972.47,
2015,1,2,15,-19.82,75.75,16.0,0.0,16.0,207.18,3.48,248.0,972.54,
2015,1,2,16,-19.64,76.91,26.0,0.0,26.0,211.67,3.39,241.0,972.6,
2015,1,2,17,-19.46,78.08,0.0,0.0,0.0,216.15,3.3,234.0,972.67,
2015,1,2,18,-19.64,78.55,0.0,0.0,0.0,217.37,3.32,234.0,972.95,
2015,1,2,19,-19.82,79.02,0.0,0.0,0.0,218.58,3.34,234.0,973.24,
2015,1,2,20,-20.0,79.49,0.0,0.0,0.0,219.8,3.37,234.0,973.53,
2015,1,2,21,-19.61,79.64,0.0,0.0,0.0,221.72,3.31,236.0,973.56,
2015,1,2,22,-19.21,79.79,0.0,0.0,0.0,223.63,3.26,238.0,973.59,
2015,1,2,23,-18.82,79.94,0.0,0.0,0.0,225.55,3.21,239.0,973.62,
2015,1,3,0,-18.66,79.86,0.0,0.0,0.0,228.27,3.18,241.0,973.72,
2015,1,3,1,-18.5,79.77,0.0,0.0,0.0,230.98,3.14,242.0,973.81,
2015,1,3,2,-18.35,79.69,0.0,0.0,0.0,233.7,3.1,243.0,973.91,
2015,1,3,3,-18.3,79.85,0.0,0.0,0.0,234.12,3.01,243.0,974.23,
2015,1,3,4,-18.24,80.01,0.0,0.0,0.0,234.53,2.92,243.0,974.55,
2015,1,3,5,-18.19,80.17,0.0,0.0,0.0,234.95,2.83,243.0,974.86,
2015,1,3,6,-19.03,80.14,0.0,0.0,0.0,231.82,2.78,239.0,975.41,
2015,1,3,7,-19.87,80.11,0.0,0.0,0.0,228.68,2.73,235.0,975.95,
2015,1,3,8,-20.71,80.08,0.0,0.0,0.0,225.55,2.68,230.0,976.49,
2015,1,3,9,-20.15,79.95,0.0,0.0,0.0,223.5,2.77,227.0,976.65,
2015,1,3,10,-19.6,79.82,0.0,0.0,0.0,221.45,2.86,223.0,976.81,
2015,1,3,11,-19.05,79.69,47.0,14.74,45.0,219.4,2.95,220.0,976.97,
2015,1,3,12,-18.17,79.15,74.0,9.59,72.0,219.08,2.95,221.0,976.81,
2015,1,3,13,-17.29,78.6,37.0,0.0,37.0,218.77,2.94,221.0,976.65,
2015,1,3,14,-16.4,78.06,20.0,0.0,20.0,218.45,2.94,222.0,976.49,
2015,1,3,15,-16.82,79.48,51.0,0.0,51.0,216.63,3.25,219.0,976.62,
2015,1,3,16,-17.23,80.9,10.0,0.0,10.0,214.82,3.55,215.0,976.75,
2015,1,3,17,-17.64,82.32,0.0,0.0,0.0,213.0,3.86,211.0,976.87,
