Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4719,Pavlodar,KAZ,Kazakhstan,52.299997578,76.95002111709998,6,138.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,-29.99,77.19,0.0,0.0,0.0,158.21,4.27,301.0,1032.02,
2009,1,1,1,-28.67,77.51,0.0,0.0,0.0,160.51,4.46,299.0,1032.28,
2009,1,1,2,-27.36,77.83,0.0,0.0,0.0,162.82,4.65,297.0,1032.54,
2009,1,1,3,-26.04,78.15,0.0,0.0,0.0,165.13,4.84,298.0,1033.07,
2009,1,1,4,-24.72,78.48,0.0,0.0,0.0,167.43,5.03,300.0,1033.59,
2009,1,1,5,-23.4,78.8,0.0,0.0,0.0,169.74,5.21,302.0,1034.11,
2009,1,1,6,-22.08,79.12,0.0,0.0,0.0,172.04,5.4,237.0,1013.32,
2009,1,1,7,-20.77,79.44,0.0,0.0,0.0,174.35,5.59,235.0,1013.59,
2009,1,1,8,-19.45,79.76,0.0,0.0,0.0,176.66,5.78,233.0,1013.85,
2009,1,1,9,-18.13,80.08,0.0,0.0,0.0,178.96,5.97,234.0,1013.82,
2009,1,1,10,-16.81,80.4,52.0,262.32,30.0,181.27,6.16,235.0,1013.78,
2009,1,1,11,-15.5,80.72,61.0,5.72,60.0,183.58,6.35,236.0,1013.75,
2009,1,1,12,-14.18,81.04,162.0,240.74,106.0,185.88,6.53,236.0,1013.52,
2009,1,1,13,-12.86,81.36,88.0,3.94,87.0,188.19,6.72,237.0,1013.29,
2009,1,1,14,-13.86,80.54,102.0,25.41,96.0,185.6,5.67,237.0,1013.06,
2009,1,1,15,-14.56,81.22,168.0,737.93,34.0,185.32,5.39,236.0,1013.36,
2009,1,1,16,-15.27,81.89,58.0,256.51,34.0,185.03,5.12,234.0,1013.65,
2009,1,1,17,-15.97,82.57,0.0,0.0,0.0,184.75,4.84,232.0,1013.95,
2009,1,1,18,-15.87,82.78,0.0,0.0,0.0,186.77,4.66,231.0,1014.28,
2009,1,1,19,-15.76,82.98,0.0,0.0,0.0,188.78,4.47,231.0,1014.6,
2009,1,1,20,-15.65,83.19,0.0,0.0,0.0,190.8,4.29,230.0,1014.93,
2009,1,1,21,-16.36,83.42,0.0,0.0,0.0,189.57,4.11,225.0,1014.87,
2009,1,1,22,-17.06,83.64,0.0,0.0,0.0,188.33,3.93,220.0,1014.8,
2009,1,1,23,-17.77,83.87,0.0,0.0,0.0,187.1,3.75,215.0,1014.73,
2009,1,2,0,-18.47,83.78,0.0,0.0,0.0,187.05,3.67,206.0,1014.47,
2009,1,2,1,-19.18,83.69,0.0,0.0,0.0,187.0,3.6,198.0,1014.21,
2009,1,2,2,-19.88,83.6,0.0,0.0,0.0,186.95,3.52,189.0,1013.95,
2009,1,2,3,-20.55,83.38,0.0,0.0,0.0,186.47,3.48,181.0,1013.78,
2009,1,2,4,-21.23,83.17,0.0,0.0,0.0,185.98,3.44,172.0,1013.62,
2009,1,2,5,-21.9,82.95,0.0,0.0,0.0,185.5,3.41,164.0,1013.46,
2009,1,2,6,-21.56,82.91,0.0,0.0,0.0,186.23,3.63,156.0,1013.55,
2009,1,2,7,-21.22,82.86,0.0,0.0,0.0,186.97,3.85,149.0,1013.65,
2009,1,2,8,-20.88,82.82,0.0,0.0,0.0,187.7,4.07,141.0,1013.75,
2009,1,2,9,-19.46,82.89,0.0,0.0,0.0,187.73,4.6,139.0,1012.93,
2009,1,2,10,-18.05,82.97,52.0,260.6,30.0,187.77,5.14,137.0,1012.11,
2009,1,2,11,-16.63,83.04,92.0,85.44,77.0,187.8,5.67,136.0,1011.29,
2009,1,2,12,-15.74,82.25,167.0,260.96,106.0,188.15,6.08,136.0,1010.31,
2009,1,2,13,-14.85,81.45,106.0,19.61,101.0,188.5,6.49,136.0,1009.32,
2009,1,2,14,-13.96,80.66,132.0,96.69,109.0,188.85,6.9,136.0,1008.34,
2009,1,2,15,-14.29,78.94,94.0,76.28,80.0,187.25,7.23,136.0,1007.75,
2009,1,2,16,-14.63,77.22,22.0,0.0,22.0,185.65,7.57,136.0,1007.16,
2009,1,2,17,-14.96,75.5,0.0,0.0,0.0,184.05,7.9,135.0,1006.57,
2009,1,2,18,-14.96,74.57,0.0,0.0,0.0,183.67,8.08,136.0,1006.24,
2009,1,2,19,-14.95,73.63,0.0,0.0,0.0,183.28,8.25,137.0,1005.91,
2009,1,2,20,-14.94,72.7,0.0,0.0,0.0,182.9,8.43,138.0,1005.59,
2009,1,2,21,-14.93,71.74,0.0,0.0,0.0,182.58,8.55,139.0,1004.96,
2009,1,2,22,-14.92,70.77,0.0,0.0,0.0,182.27,8.68,140.0,1004.34,
2009,1,2,23,-14.91,69.81,0.0,0.0,0.0,181.95,8.8,140.0,1003.72,
2009,1,3,0,-14.89,69.42,0.0,0.0,0.0,181.42,9.08,140.0,1002.93,
2009,1,3,1,-14.88,69.02,0.0,0.0,0.0,180.88,9.36,141.0,1002.14,
2009,1,3,2,-14.86,68.63,0.0,0.0,0.0,180.35,9.64,141.0,1001.36,
2009,1,3,3,-14.74,68.3,0.0,0.0,0.0,180.8,9.88,142.0,1000.47,
2009,1,3,4,-14.63,67.98,0.0,0.0,0.0,181.25,10.12,143.0,999.58,
2009,1,3,5,-14.51,67.65,0.0,0.0,0.0,181.7,10.36,145.0,998.7,
2009,1,3,6,-14.78,68.32,0.0,0.0,0.0,181.52,10.24,145.0,998.73,
2009,1,3,7,-15.06,68.98,0.0,0.0,0.0,181.33,10.12,145.0,998.77,
2009,1,3,8,-15.33,69.65,0.0,0.0,0.0,181.15,10.0,146.0,998.8,
2009,1,3,9,-14.61,69.6,0.0,0.0,0.0,183.75,9.61,149.0,998.31,
2009,1,3,10,-13.88,69.54,19.0,0.0,19.0,186.35,9.23,153.0,997.81,
2009,1,3,11,-13.16,69.49,54.0,0.0,54.0,188.95,8.84,156.0,997.32,
2009,1,3,12,-11.88,69.25,192.0,434.02,90.0,195.18,8.03,164.0,996.76,
2009,1,3,13,-10.6,69.0,94.0,7.8,92.0,201.42,7.21,172.0,996.21,
2009,1,3,14,-9.33,68.76,115.0,45.89,104.0,207.65,6.4,180.0,995.65,
2009,1,3,15,-8.87,70.06,172.0,743.6,34.0,214.93,6.46,190.0,995.58,
2009,1,3,16,-8.42,71.35,6.0,0.0,6.0,222.22,6.51,201.0,995.52,
2009,1,3,17,-7.96,72.65,0.0,0.0,0.0,229.5,6.57,211.0,995.45,
2009,1,3,18,-8.25,76.62,0.0,0.0,0.0,235.85,7.0,218.0,996.21,
2009,1,3,19,-8.54,80.58,0.0,0.0,0.0,242.2,7.44,225.0,996.96,
2009,1,3,20,-8.83,84.55,0.0,0.0,0.0,248.55,7.88,233.0,997.72,
2009,1,3,21,-9.32,82.64,0.0,0.0,0.0,240.73,8.34,236.0,998.24,
