Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
637200,Embu,KEN,Kenya,-0.5,37.45,3.0,1493,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,16.09,86.21,0.0,0.0,0.0,349.84,2.11,15.0,849.91,
2007,1,1,1,16.09,85.03,0.0,0.0,0.0,349.34,2.22,360.0,849.8,
2007,1,1,2,16.1,83.85,0.0,0.0,0.0,348.84,2.32,345.0,849.69,
2007,1,1,3,16.1,82.67,0.0,0.0,0.0,348.35,2.43,333.0,849.72,
2007,1,1,4,16.11,81.48,0.0,0.0,0.0,347.85,2.54,337.0,849.66,
2007,1,1,5,16.12,80.3,0.0,0.0,0.0,347.36,2.65,341.0,849.61,
2007,1,1,6,16.12,79.12,0.0,0.0,0.0,346.86,2.76,348.0,849.88,
2007,1,1,7,16.13,77.94,96.0,399.05,43.0,346.36,2.87,356.0,850.16,
2007,1,1,8,16.13,76.76,289.0,378.85,151.0,345.87,2.98,4.0,850.44,
2007,1,1,9,16.14,75.58,592.0,859.73,101.0,345.37,3.08,14.0,849.86,
2007,1,1,10,16.14,74.39,799.0,933.34,109.0,344.88,3.19,23.0,849.27,
2007,1,1,11,22.04,43.59,890.0,782.7,219.0,356.95,5.23,33.0,848.69,
2007,1,1,12,22.23,42.38,903.0,641.14,315.0,359.12,5.32,36.0,847.85,
2007,1,1,13,22.41,41.16,947.0,766.39,246.0,361.28,5.41,40.0,847.01,
2007,1,1,14,22.59,39.95,903.0,855.16,176.0,363.45,5.5,43.0,846.18,
2007,1,1,15,21.62,44.33,714.0,674.55,223.0,369.9,5.18,47.0,846.43,
2007,1,1,16,20.64,48.72,544.0,719.07,144.0,376.35,4.86,50.0,846.68,
2007,1,1,17,19.67,53.1,266.0,348.73,145.0,382.8,4.54,54.0,846.93,
2007,1,1,18,18.53,60.29,75.0,341.3,36.0,376.12,4.02,55.0,847.88,
2007,1,1,19,17.39,67.49,0.0,0.0,0.0,369.43,3.5,57.0,848.83,
2007,1,1,20,16.25,74.68,0.0,0.0,0.0,362.75,2.98,58.0,849.77,
2007,1,1,21,15.71,77.49,0.0,0.0,0.0,358.8,2.46,44.0,850.05,
