Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1702,Namanga,KEN,Kenya,-2.53960081087,36.8000170479,3,1301.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,20.68,84.05,0.0,0.0,0.0,360.23,2.39,88.0,868.57,
2005,1,1,1,20.76,83.33,0.0,0.0,0.0,361.34,2.42,77.0,868.62,
2005,1,1,2,20.84,82.61,0.0,0.0,0.0,362.46,2.44,67.0,868.68,
2005,1,1,3,20.93,81.89,0.0,0.0,0.0,363.57,2.47,46.0,870.3,
2005,1,1,4,21.01,81.17,0.0,0.0,0.0,364.68,2.49,46.0,870.3,
2005,1,1,5,21.09,80.45,0.0,0.0,0.0,365.8,2.51,46.0,870.3,
2005,1,1,6,21.18,79.74,0.0,0.0,0.0,366.91,2.54,43.0,870.59,
2005,1,1,7,21.26,79.02,2.0,0.0,2.0,368.03,2.56,40.0,870.87,
2005,1,1,8,21.34,78.3,205.0,239.56,117.0,369.14,2.59,37.0,871.16,
2005,1,1,9,21.42,77.58,430.0,404.87,197.0,370.26,2.61,39.0,870.36,
2005,1,1,10,21.51,76.86,708.0,748.38,150.0,371.37,2.63,40.0,869.56,
2005,1,1,11,28.2,43.47,890.0,856.73,148.0,377.5,3.97,42.0,868.76,
2005,1,1,12,28.94,40.03,1008.0,942.15,133.0,376.22,4.07,46.0,867.51,
2005,1,1,13,29.68,36.59,1050.0,1012.64,109.0,374.93,4.17,50.0,866.26,
2005,1,1,14,30.42,33.15,997.0,1009.64,121.0,373.65,4.28,54.0,865.0,
2005,1,1,15,29.79,32.63,882.0,1045.36,100.0,369.4,4.22,57.0,864.75,
2005,1,1,16,29.16,32.11,703.0,1081.73,77.0,365.15,4.17,60.0,864.49,
2005,1,1,17,28.53,31.59,450.0,945.89,99.0,360.9,4.11,63.0,864.23,
2005,1,1,18,26.56,37.03,194.0,897.04,69.0,353.8,3.63,65.0,865.29,
2005,1,1,19,24.59,42.46,0.0,0.0,0.0,346.7,3.14,66.0,866.34,
2005,1,1,20,22.62,47.9,0.0,0.0,0.0,339.6,2.66,68.0,867.4,
2005,1,1,21,21.53,52.65,0.0,0.0,0.0,336.25,2.51,65.0,868.02,
2005,1,1,22,20.44,57.4,0.0,0.0,0.0,332.9,2.35,62.0,868.65,
2005,1,1,23,19.36,62.15,0.0,0.0,0.0,329.55,2.19,59.0,869.28,
2005,1,2,0,18.58,66.01,0.0,0.0,0.0,325.8,2.23,53.0,869.22,
2005,1,2,1,17.81,69.88,0.0,0.0,0.0,322.05,2.28,48.0,869.16,
2005,1,2,2,17.04,73.74,0.0,0.0,0.0,318.3,2.32,42.0,869.11,
2005,1,2,3,16.44,75.62,0.0,0.0,0.0,317.25,2.38,40.0,869.22,
2005,1,2,4,15.84,77.51,0.0,0.0,0.0,316.2,2.44,39.0,869.34,
2005,1,2,5,15.24,79.39,0.0,0.0,0.0,315.15,2.5,37.0,869.45,
2005,1,2,6,17.8,69.86,0.0,0.0,0.0,314.65,2.77,35.0,869.68,
2005,1,2,7,20.36,60.34,2.0,0.0,2.0,314.15,3.05,34.0,869.91,
2005,1,2,8,22.93,50.81,244.0,451.01,79.0,313.65,3.32,32.0,870.13,
2005,1,2,9,25.14,42.33,497.0,679.01,107.0,319.6,3.73,33.0,869.16,
2005,1,2,10,27.35,33.86,723.0,806.8,122.0,325.55,4.14,34.0,868.19,
2005,1,2,11,29.55,25.38,899.0,889.27,129.0,331.5,4.55,35.0,867.23,
2005,1,2,12,30.29,23.78,1008.0,942.94,132.0,336.53,4.58,38.0,865.83,
2005,1,2,13,31.03,22.17,1040.0,975.27,133.0,341.57,4.62,42.0,864.43,
2005,1,2,14,31.77,20.57,998.0,1009.45,121.0,346.6,4.65,46.0,863.04,
2005,1,2,15,30.87,21.7,884.0,1045.95,100.0,346.92,4.51,51.0,862.98,
2005,1,2,16,29.98,22.83,705.0,1081.98,77.0,347.23,4.37,57.0,862.92,
2005,1,2,17,29.08,23.96,459.0,1000.28,86.0,347.55,4.23,62.0,862.86,
2005,1,2,18,27.0,29.48,197.0,913.99,68.0,342.02,3.67,64.0,863.81,
2005,1,2,19,24.91,35.0,0.0,0.0,0.0,336.48,3.11,66.0,864.75,
2005,1,2,20,22.83,40.52,0.0,0.0,0.0,330.95,2.55,69.0,865.69,
