Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,630,Gjovik,NOR,Kingdom of Norway,60.8000213818,10.700008096,1,123.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,-8.41,85.48,0.0,0.0,0.0,234.78,2.53,282.0,1014.28,
2010,1,1,1,-8.48,85.08,0.0,0.0,0.0,239.28,2.63,34.0,993.68,
2010,1,1,2,-8.54,84.69,0.0,0.0,0.0,243.78,2.73,37.0,993.88,
2010,1,1,3,-8.6,84.29,0.0,0.0,0.0,248.28,2.83,40.0,994.08,
2010,1,1,4,-8.67,83.9,0.0,0.0,0.0,252.78,2.92,37.0,994.47,
2010,1,1,5,-8.73,83.51,0.0,0.0,0.0,257.27,3.02,35.0,994.87,
2010,1,1,6,-8.8,83.11,0.0,0.0,0.0,261.77,3.12,32.0,995.26,
2010,1,1,7,-8.86,82.72,0.0,0.0,0.0,266.27,3.22,31.0,995.75,
2010,1,1,8,-8.92,82.32,0.0,0.0,0.0,270.77,3.32,29.0,996.24,
2010,1,1,9,-9.66,79.51,0.0,0.0,0.0,263.4,2.87,28.0,996.74,
2010,1,1,10,-9.48,78.34,0.0,0.0,0.0,263.18,2.76,28.0,997.2,
2010,1,1,11,-9.29,77.17,40.0,79.96,33.0,262.97,2.65,28.0,997.66,
2010,1,1,12,-9.1,76.0,34.0,9.3,33.0,262.75,2.54,29.0,998.12,
2010,1,1,13,-9.4,75.82,16.0,0.0,16.0,261.38,2.82,30.0,998.68,
2010,1,1,14,-9.7,75.63,3.0,0.0,3.0,260.02,3.11,31.0,999.23,
2010,1,1,15,-10.0,75.45,0.0,0.0,0.0,258.65,3.39,32.0,999.79,
2010,1,1,16,-10.13,75.2,0.0,0.0,0.0,258.8,3.32,33.0,1000.45,
2010,1,1,17,-10.27,74.96,0.0,0.0,0.0,258.95,3.25,33.0,1001.11,
2010,1,1,18,-10.4,74.71,0.0,0.0,0.0,259.1,3.17,33.0,1001.76,
2010,1,1,19,-10.59,74.54,0.0,0.0,0.0,258.15,3.22,33.0,1002.55,
2010,1,1,20,-10.77,74.38,0.0,0.0,0.0,257.2,3.26,33.0,1003.34,
2010,1,1,21,-10.96,74.21,0.0,0.0,0.0,256.25,3.31,33.0,1004.13,
2010,1,1,22,-10.98,74.39,0.0,0.0,0.0,254.18,3.25,32.0,1004.59,
2010,1,1,23,-11.0,74.56,0.0,0.0,0.0,252.12,3.18,31.0,1005.05,
2010,1,2,0,-11.03,74.74,0.0,0.0,0.0,250.05,3.12,29.0,1005.51,
2010,1,2,1,-11.46,75.39,0.0,0.0,0.0,243.67,3.0,27.0,1006.3,
2010,1,2,2,-11.89,76.05,0.0,0.0,0.0,237.28,2.89,24.0,1007.09,
2010,1,2,3,-12.32,76.7,0.0,0.0,0.0,230.9,2.77,22.0,1007.87,
2010,1,2,4,-12.6,78.0,0.0,0.0,0.0,227.5,2.77,19.0,1008.14,
2010,1,2,5,-12.88,79.29,0.0,0.0,0.0,224.1,2.76,17.0,1008.4,
2010,1,2,6,-13.16,80.59,0.0,0.0,0.0,220.7,2.76,15.0,1008.66,
2010,1,2,7,-13.5,81.06,0.0,0.0,0.0,214.37,2.54,13.0,1009.15,
2010,1,2,8,-13.84,81.52,0.0,0.0,0.0,208.03,2.33,11.0,1009.65,
2010,1,2,9,-14.17,81.99,0.0,0.0,0.0,201.7,2.11,10.0,1010.14,
2010,1,2,10,-13.82,81.31,0.0,0.0,0.0,198.2,2.24,8.0,1010.4,
2010,1,2,11,-13.47,80.63,46.0,135.2,34.0,194.7,2.37,6.0,1010.67,
2010,1,2,12,-13.12,79.95,53.0,91.8,43.0,191.2,2.5,4.0,1010.93,
2010,1,2,13,-14.08,80.52,42.0,60.9,36.0,186.43,2.49,358.0,1011.16,
2010,1,2,14,-15.03,81.1,16.0,0.0,16.0,181.67,2.49,351.0,1011.39,
2010,1,2,15,-15.99,81.67,0.0,0.0,0.0,176.9,2.48,345.0,1011.62,
2010,1,2,16,-16.27,81.31,0.0,0.0,0.0,175.05,2.44,341.0,1011.29,
2010,1,2,17,-16.56,80.95,0.0,0.0,0.0,173.2,2.39,337.0,1010.96,
2010,1,2,18,-16.84,80.59,0.0,0.0,0.0,171.35,2.34,332.0,1010.63,
2010,1,2,19,-16.83,80.46,0.0,0.0,0.0,168.75,2.24,329.0,1010.37,
2010,1,2,20,-16.82,80.32,0.0,0.0,0.0,166.15,2.14,325.0,1010.11,
2010,1,2,21,-16.81,80.19,0.0,0.0,0.0,163.55,2.04,321.0,1009.84,
2010,1,2,22,-15.99,79.22,0.0,0.0,0.0,166.57,2.27,319.0,1009.45,
2010,1,2,23,-15.17,78.26,0.0,0.0,0.0,169.58,2.5,316.0,1009.06,
2010,1,3,0,-14.36,77.29,0.0,0.0,0.0,172.6,2.73,313.0,1008.66,
2010,1,3,1,-14.15,75.92,0.0,0.0,0.0,175.37,2.67,314.0,1008.17,
2010,1,3,2,-13.95,74.54,0.0,0.0,0.0,178.13,2.6,315.0,1007.68,
2010,1,3,3,-13.74,73.17,0.0,0.0,0.0,180.9,2.54,316.0,1007.18,
2010,1,3,4,-13.26,73.95,0.0,0.0,0.0,183.83,2.56,315.0,1006.4,
2010,1,3,5,-12.77,74.74,0.0,0.0,0.0,186.77,2.58,313.0,1005.61,
2010,1,3,6,-12.28,75.52,0.0,0.0,0.0,189.7,2.61,311.0,1004.82,
2010,1,3,7,-11.79,76.43,0.0,0.0,0.0,192.08,2.63,308.0,1004.26,
2010,1,3,8,-11.29,77.34,0.0,0.0,0.0,194.47,2.64,305.0,1003.7,
2010,1,3,9,-10.79,78.25,0.0,0.0,0.0,196.85,2.66,302.0,1003.14,
2010,1,3,10,-9.74,76.9,1.0,24.71,0.0,196.93,2.72,303.0,1002.52,
2010,1,3,11,-8.68,75.56,12.0,0.0,12.0,197.02,2.78,305.0,1001.9,
2010,1,3,12,-7.62,74.21,85.0,524.8,27.0,197.1,2.84,306.0,1001.27,
2010,1,3,13,-7.68,76.81,21.0,0.0,21.0,197.65,3.33,306.0,1000.68,
2010,1,3,14,-7.74,79.4,5.0,0.0,5.0,198.2,3.82,305.0,1000.09,
