Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3543,Skien,NOR,Kingdom of Norway,59.1999898469,9.60002355819,1,0.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,-0.22,88.01,0.0,0.0,0.0,288.74,4.09,238.0,1017.1,
2009,1,1,1,-0.66,86.9,0.0,0.0,0.0,286.31,4.44,29.0,1025.17,
2009,1,1,2,-1.11,85.79,0.0,0.0,0.0,283.87,4.8,35.0,1025.83,
2009,1,1,3,-1.55,84.68,0.0,0.0,0.0,281.43,5.16,41.0,1026.5,
2009,1,1,4,-2.0,83.56,0.0,0.0,0.0,279.0,5.51,42.0,1026.83,
2009,1,1,5,-2.45,82.45,0.0,0.0,0.0,276.56,5.87,43.0,1027.17,
2009,1,1,6,-2.89,81.34,0.0,0.0,0.0,274.12,6.22,44.0,1027.5,
2009,1,1,7,-3.34,80.23,0.0,0.0,0.0,271.69,6.58,44.0,1027.97,
2009,1,1,8,-3.78,79.11,0.0,0.0,0.0,269.25,6.94,44.0,1028.43,
2009,1,1,9,-3.01,79.21,0.0,0.0,0.0,277.6,5.43,44.0,1028.9,
2009,1,1,10,-2.41,76.19,7.0,0.0,7.0,271.9,5.03,42.0,1029.03,
2009,1,1,11,-1.82,73.16,44.0,35.89,40.0,266.2,4.62,39.0,1029.17,
2009,1,1,12,-1.22,70.14,52.0,22.27,49.0,260.5,4.21,37.0,1029.3,
2009,1,1,13,-1.58,71.69,39.0,7.94,38.0,261.52,4.02,33.0,1029.53,
2009,1,1,14,-1.94,73.23,27.0,11.67,26.0,262.53,3.83,29.0,1029.77,
2009,1,1,15,-2.3,74.78,0.0,0.0,0.0,263.55,3.64,25.0,1030.0,
2009,1,1,16,-2.72,76.07,0.0,0.0,0.0,261.33,3.22,21.0,1029.83,
2009,1,1,17,-3.13,77.36,0.0,0.0,0.0,259.12,2.8,16.0,1029.67,
2009,1,1,18,-3.55,78.65,0.0,0.0,0.0,256.9,2.37,11.0,1029.5,
2009,1,1,19,-3.7,79.55,0.0,0.0,0.0,255.92,2.26,1.0,1029.37,
2009,1,1,20,-3.85,80.45,0.0,0.0,0.0,254.93,2.14,350.0,1029.23,
2009,1,1,21,-4.0,81.35,0.0,0.0,0.0,253.95,2.03,339.0,1029.1,
2009,1,1,22,-3.89,79.74,0.0,0.0,0.0,253.92,2.47,336.0,1029.13,
2009,1,1,23,-3.79,78.13,0.0,0.0,0.0,253.88,2.92,333.0,1029.17,
2009,1,2,0,-3.69,76.52,0.0,0.0,0.0,253.85,3.37,330.0,1029.2,
2009,1,2,1,-3.9,73.94,0.0,0.0,0.0,248.33,4.01,333.0,1029.43,
2009,1,2,2,-4.11,71.37,0.0,0.0,0.0,242.82,4.65,335.0,1029.67,
2009,1,2,3,-4.32,68.79,0.0,0.0,0.0,237.3,5.3,338.0,1029.9,
2009,1,2,4,-4.42,67.75,0.0,0.0,0.0,238.9,5.38,340.0,1029.73,
2009,1,2,5,-4.53,66.7,0.0,0.0,0.0,240.5,5.47,343.0,1029.57,
2009,1,2,6,-4.64,65.66,0.0,0.0,0.0,242.1,5.56,345.0,1029.4,
2009,1,2,7,-4.59,65.36,0.0,0.0,0.0,241.87,5.43,344.0,1029.57,
2009,1,2,8,-4.55,65.05,0.0,0.0,0.0,241.63,5.29,343.0,1029.73,
2009,1,2,9,-4.5,64.75,0.0,0.0,0.0,241.4,5.16,342.0,1029.9,
2009,1,2,10,-3.69,63.56,10.85,0.0,10.85,240.28,4.98,337.0,1029.7,
2009,1,2,11,-2.88,62.38,82.0,426.24,34.0,239.17,4.8,333.0,1029.5,
2009,1,2,12,-2.07,61.19,55.3,125.59,38.2,238.05,4.62,328.0,1029.3,
2009,1,2,13,-2.54,62.82,85.0,289.93,48.0,238.07,4.91,316.0,1028.77,
2009,1,2,14,-3.01,64.46,32.3,136.45,20.35,238.08,5.2,303.0,1028.23,
