Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1460,Cartagena,ESP,Kingdom of Spain,37.6004297069,-0.98002832173,1,18.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,12.73,56.76,0.0,0.0,0.0,295.28,2.58,92.0,1024.31,
2012,1,1,1,12.5,56.71,0.0,0.0,0.0,296.73,2.53,258.0,1024.81,
2012,1,1,2,12.27,56.65,0.0,0.0,0.0,298.18,2.48,259.0,1024.61,
2012,1,1,3,12.05,56.59,0.0,0.0,0.0,299.63,2.43,259.0,1024.41,
2012,1,1,4,11.82,56.53,0.0,0.0,0.0,301.08,2.39,261.0,1024.41,
2012,1,1,5,11.59,56.47,0.0,0.0,0.0,302.53,2.34,264.0,1024.41,
2012,1,1,6,11.36,56.41,0.0,0.0,0.0,303.97,2.29,266.0,1024.41,
2012,1,1,7,11.14,56.35,0.0,0.0,0.0,305.42,2.24,264.0,1024.74,
2012,1,1,8,10.91,56.29,0.0,0.0,0.0,306.87,2.19,261.0,1025.08,
2012,1,1,9,11.96,58.2,104.0,494.44,38.0,303.7,1.5,259.0,1025.41,
2012,1,1,10,13.7,58.76,264.0,685.14,70.0,303.58,1.64,246.0,1025.21,
2012,1,1,11,15.43,59.31,399.0,800.45,81.0,303.47,1.77,232.0,1025.01,
2012,1,1,12,17.17,59.87,473.0,786.21,105.0,303.35,1.9,219.0,1024.81,
2012,1,1,13,17.19,60.08,507.0,841.63,94.0,303.57,2.7,216.0,1024.24,
2012,1,1,14,17.21,60.28,479.0,856.23,82.0,303.78,3.49,213.0,1023.68,
2012,1,1,15,17.23,60.49,387.0,792.26,79.0,304.0,4.29,209.0,1023.11,
2012,1,1,16,16.55,62.18,248.0,667.62,67.0,303.68,4.45,211.0,1023.08,
2012,1,1,17,15.87,63.88,38.0,0.0,38.0,303.37,4.61,213.0,1023.05,
2012,1,1,18,15.19,65.57,0.0,0.0,0.0,303.05,4.77,215.0,1023.01,
2012,1,1,19,14.85,64.02,0.0,0.0,0.0,302.27,5.16,220.0,1023.05,
2012,1,1,20,14.51,62.47,0.0,0.0,0.0,301.48,5.55,224.0,1023.08,
2012,1,1,21,14.17,60.92,0.0,0.0,0.0,300.7,5.94,228.0,1023.11,
2012,1,1,22,14.0,59.8,0.0,0.0,0.0,300.27,5.58,232.0,1022.71,
2012,1,1,23,13.84,58.69,0.0,0.0,0.0,299.83,5.22,236.0,1022.32,
2012,1,2,0,13.67,57.57,0.0,0.0,0.0,299.4,4.86,239.0,1021.92,
2012,1,2,1,13.52,57.5,0.0,0.0,0.0,299.53,4.4,242.0,1021.85,
2012,1,2,2,13.36,57.43,0.0,0.0,0.0,299.67,3.94,244.0,1021.78,
2012,1,2,3,13.21,57.36,0.0,0.0,0.0,299.8,3.48,246.0,1021.72,
2012,1,2,4,13.08,57.25,0.0,0.0,0.0,300.27,3.31,255.0,1021.72,
2012,1,2,5,12.95,57.14,0.0,0.0,0.0,300.73,3.15,264.0,1021.72,
2012,1,2,6,12.82,57.03,0.0,0.0,0.0,301.2,2.99,273.0,1021.72,
2012,1,2,7,12.86,57.7,0.0,0.0,0.0,301.18,2.8,279.0,1022.45,
2012,1,2,8,12.89,58.38,0.0,0.0,0.0,301.17,2.61,286.0,1023.18,
2012,1,2,9,12.92,59.05,104.0,494.99,38.0,301.15,2.41,293.0,1023.91,
2012,1,2,10,13.81,58.34,264.0,684.71,70.0,302.63,1.83,295.0,1024.44,
2012,1,2,11,14.7,57.62,397.0,786.79,84.0,304.12,1.24,297.0,1024.98,
2012,1,2,12,15.59,56.91,472.0,771.85,110.0,305.6,0.65,299.0,1025.51,
2012,1,2,13,15.82,55.14,512.0,857.67,90.0,303.13,1.33,297.0,1025.51,
2012,1,2,14,16.05,53.36,484.0,870.35,79.0,300.67,2.01,295.0,1025.51,
2012,1,2,15,16.28,51.59,395.0,834.35,69.0,298.2,2.69,293.0,1025.51,
2012,1,2,16,16.2,51.63,240.0,578.13,82.0,298.03,2.04,292.0,1026.37,
2012,1,2,17,16.11,51.67,40.0,0.0,40.0,297.87,1.38,292.0,1027.24,
2012,1,2,18,16.03,51.71,0.0,0.0,0.0,297.7,0.73,291.0,1028.1,
2012,1,2,19,14.96,51.29,0.0,0.0,0.0,297.98,2.83,303.0,1028.93,
2012,1,2,20,13.88,50.88,0.0,0.0,0.0,298.27,4.92,315.0,1029.77,
2012,1,2,21,12.81,50.46,0.0,0.0,0.0,298.55,7.02,326.0,1030.6,
2012,1,2,22,12.46,51.09,0.0,0.0,0.0,298.13,6.36,329.0,1030.73,
2012,1,2,23,12.1,51.72,0.0,0.0,0.0,297.72,5.7,332.0,1030.86,
2012,1,3,0,11.75,52.35,0.0,0.0,0.0,297.3,5.03,334.0,1031.0,
2012,1,3,1,11.82,53.71,0.0,0.0,0.0,300.12,5.28,338.0,1030.53,
2012,1,3,2,11.89,55.06,0.0,0.0,0.0,302.93,5.52,341.0,1030.07,
2012,1,3,3,11.96,56.42,0.0,0.0,0.0,305.75,5.77,344.0,1029.6,
2012,1,3,4,11.57,56.35,0.0,0.0,0.0,305.9,5.66,348.0,1029.73,
2012,1,3,5,11.19,56.28,0.0,0.0,0.0,306.05,5.56,351.0,1029.87,
2012,1,3,6,10.8,56.21,0.0,0.0,0.0,306.2,5.46,355.0,1030.0,
2012,1,3,7,11.04,57.88,0.0,0.0,0.0,304.35,4.93,352.0,1030.43,
2012,1,3,8,11.28,59.56,0.0,0.0,0.0,302.5,4.4,349.0,1030.86,
2012,1,3,9,11.51,61.23,103.0,487.64,38.0,300.65,3.86,346.0,1031.3,
2012,1,3,10,12.81,59.91,265.0,698.12,67.0,300.27,3.45,324.0,1031.1,
2012,1,3,11,14.1,58.6,398.0,787.99,84.0,299.88,3.04,303.0,1030.9,
2012,1,3,12,15.39,57.28,475.0,787.14,105.0,299.5,2.63,282.0,1030.7,
2012,1,3,13,15.59,55.22,513.0,857.21,90.0,298.98,3.29,264.0,1029.9,
2012,1,3,14,15.78,53.17,488.0,886.31,74.0,298.47,3.94,245.0,1029.1,
2012,1,3,15,15.98,51.11,395.0,822.33,72.0,297.95,4.59,227.0,1028.3,
