Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,149,Arnhem,NLD,Kingdom of the Netherlands,51.9879960345,5.92299956246,1,22.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,0.9,90.78,0.0,0.0,0.0,270.65,2.45,152.0,1026.12,
2015,1,1,1,0.83,89.81,0.0,0.0,0.0,268.07,2.76,216.0,1031.04,
2015,1,1,2,0.75,88.84,0.0,0.0,0.0,265.48,3.07,216.0,1030.77,
2015,1,1,3,0.67,87.87,0.0,0.0,0.0,262.9,3.39,216.0,1030.51,
2015,1,1,4,0.59,86.9,0.0,0.0,0.0,260.32,3.7,218.0,1030.28,
2015,1,1,5,0.51,85.93,0.0,0.0,0.0,257.73,4.01,220.0,1030.04,
2015,1,1,6,0.43,84.96,0.0,0.0,0.0,255.15,4.32,221.0,1029.81,
2015,1,1,7,0.35,83.99,0.0,0.0,0.0,252.56,4.63,221.0,1029.81,
2015,1,1,8,0.27,83.01,0.0,0.0,0.0,249.98,4.94,220.0,1029.81,
2015,1,1,9,1.33,79.78,5.0,0.0,5.0,257.85,5.39,220.0,1029.81,
2015,1,1,10,2.24,77.7,117.0,556.8,37.0,258.47,5.32,219.0,1029.31,
2015,1,1,11,3.14,75.63,130.0,147.51,98.0,259.08,5.26,219.0,1028.81,
2015,1,1,12,4.05,73.55,141.0,98.26,116.0,259.7,5.19,219.0,1028.31,
2015,1,1,13,4.14,74.4,223.0,579.66,76.0,258.0,5.26,218.0,1027.62,
2015,1,1,14,4.23,75.24,106.0,65.27,92.0,256.3,5.34,217.0,1026.92,
2015,1,1,15,4.32,76.09,79.0,157.39,57.0,254.6,5.42,216.0,1026.22,
2015,1,1,16,4.3,73.57,0.0,0.0,0.0,257.75,5.71,216.0,1025.35,
2015,1,1,17,4.27,71.06,0.0,0.0,0.0,260.9,5.99,214.0,1024.49,
2015,1,1,18,4.25,68.54,0.0,0.0,0.0,264.05,6.28,214.0,1023.63,
2015,1,1,19,4.4,66.46,0.0,0.0,0.0,265.2,6.67,216.0,1022.96,
2015,1,1,20,4.55,64.38,0.0,0.0,0.0,266.35,7.07,218.0,1022.3,
2015,1,1,21,4.69,62.3,0.0,0.0,0.0,267.5,7.46,221.0,1021.63,
2015,1,1,22,4.74,70.52,0.0,0.0,0.0,270.07,7.71,221.0,1020.57,
2015,1,1,23,4.78,78.75,0.0,0.0,0.0,272.63,7.96,221.0,1019.5,
2015,1,2,0,4.83,86.97,0.0,0.0,0.0,275.2,8.21,222.0,1018.44,
2015,1,2,1,5.49,88.24,0.0,0.0,0.0,279.67,8.35,224.0,1017.41,
2015,1,2,2,6.15,89.52,0.0,0.0,0.0,284.13,8.49,225.0,1016.38,
2015,1,2,3,6.81,90.79,0.0,0.0,0.0,288.6,8.63,227.0,1015.35,
2015,1,2,4,7.41,92.75,0.0,0.0,0.0,298.48,8.55,231.0,1014.98,
2015,1,2,5,8.01,94.71,0.0,0.0,0.0,308.37,8.47,234.0,1014.62,
2015,1,2,6,8.6,96.67,0.0,0.0,0.0,318.25,8.39,238.0,1014.25,
2015,1,2,7,8.78,93.74,0.0,0.0,0.0,327.1,7.77,252.0,1015.45,
2015,1,2,8,8.95,90.81,0.0,0.0,0.0,335.95,7.16,265.0,1016.64,
2015,1,2,9,9.12,87.88,9.0,0.0,9.0,344.8,6.55,279.0,1017.84,
2015,1,2,10,8.51,81.6,58.0,34.63,53.0,342.53,6.54,281.0,1018.87,
2015,1,2,11,7.9,75.31,115.0,87.18,96.0,340.27,6.53,282.0,1019.9,
2015,1,2,12,7.29,69.03,241.0,735.14,53.0,338.0,6.52,284.0,1020.93,
2015,1,2,13,7.2,67.74,227.0,603.48,73.0,318.87,6.4,281.0,1021.63,
2015,1,2,14,7.11,66.46,178.0,489.98,72.0,299.73,6.28,277.0,1022.33,
2015,1,2,15,7.03,65.17,98.0,324.33,52.0,280.6,6.15,274.0,1023.03,
2015,1,2,16,6.54,66.11,0.0,0.0,0.0,273.67,6.1,272.0,1023.66,
2015,1,2,17,6.04,67.05,0.0,0.0,0.0,266.73,6.05,271.0,1024.29,
2015,1,2,18,5.55,67.99,0.0,0.0,0.0,259.8,6.0,270.0,1024.92,
2015,1,2,19,5.25,68.15,0.0,0.0,0.0,254.3,5.9,269.0,1025.49,
2015,1,2,20,4.95,68.31,0.0,0.0,0.0,248.8,5.8,268.0,1026.05,
2015,1,2,21,4.64,68.47,0.0,0.0,0.0,243.3,5.7,268.0,1026.62,
2015,1,2,22,4.47,69.41,0.0,0.0,0.0,242.37,5.24,265.0,1026.78,
2015,1,2,23,4.29,70.34,0.0,0.0,0.0,241.43,4.79,263.0,1026.95,
2015,1,3,0,4.12,71.28,0.0,0.0,0.0,240.5,4.33,261.0,1027.12,
2015,1,3,1,4.18,72.86,0.0,0.0,0.0,249.8,4.33,255.0,1026.45,
2015,1,3,2,4.24,74.45,0.0,0.0,0.0,259.1,4.33,248.0,1025.79,
2015,1,3,3,4.29,76.03,0.0,0.0,0.0,268.4,4.33,241.0,1025.12,
2015,1,3,4,4.28,76.1,0.0,0.0,0.0,277.47,4.67,239.0,1024.16,
2015,1,3,5,4.27,76.16,0.0,0.0,0.0,286.53,5.01,236.0,1023.19,
2015,1,3,6,4.26,76.23,0.0,0.0,0.0,295.6,5.35,233.0,1022.23,
2015,1,3,7,4.18,77.46,0.0,0.0,0.0,299.37,5.24,234.0,1021.53,
2015,1,3,8,4.09,78.69,0.0,0.0,0.0,303.13,5.13,235.0,1020.83,
2015,1,3,9,4.0,79.92,5.0,0.0,5.0,306.9,5.02,236.0,1020.14,
2015,1,3,10,3.68,84.7,42.0,6.89,41.0,308.53,4.74,232.0,1019.07,
2015,1,3,11,3.35,89.48,49.0,0.0,49.0,310.17,4.47,227.0,1018.01,
2015,1,3,12,3.03,94.26,85.0,3.89,84.0,311.8,4.19,223.0,1016.94,
2015,1,3,13,2.93,92.5,132.0,70.07,114.0,313.03,3.8,225.0,1015.98,
2015,1,3,14,2.82,90.74,31.0,0.0,31.0,314.27,3.41,226.0,1015.02,
2015,1,3,15,2.72,88.98,18.0,0.0,18.0,315.5,3.02,228.0,1014.05,
2015,1,3,16,2.59,90.13,0.0,0.0,0.0,318.85,2.86,259.0,1014.18,
2015,1,3,17,2.45,91.29,0.0,0.0,0.0,322.2,2.71,291.0,1014.32,
2015,1,3,18,2.32,92.44,0.0,0.0,0.0,325.55,2.55,323.0,1014.45,
2015,1,3,19,2.65,90.98,0.0,0.0,0.0,324.7,3.04,319.0,1015.48,
2015,1,3,20,2.97,89.53,0.0,0.0,0.0,323.85,3.53,314.0,1016.51,
2015,1,3,21,3.29,88.07,0.0,0.0,0.0,323.0,4.01,310.0,1017.54,
2015,1,3,22,3.35,86.72,0.0,0.0,0.0,315.42,3.97,306.0,1018.54,
2015,1,3,23,3.4,85.36,0.0,0.0,0.0,307.83,3.92,302.0,1019.54,
2015,1,4,0,3.46,84.01,0.0,0.0,0.0,300.25,3.88,298.0,1020.53,
2015,1,4,1,3.29,81.73,0.0,0.0,0.0,285.95,3.93,296.0,1021.73,
2015,1,4,2,3.13,79.44,0.0,0.0,0.0,271.65,3.99,295.0,1022.93,
2015,1,4,3,2.96,77.16,0.0,0.0,0.0,257.35,4.04,293.0,1024.12,
2015,1,4,4,2.82,77.19,0.0,0.0,0.0,252.48,3.91,294.0,1024.49,
2015,1,4,5,2.68,77.22,0.0,0.0,0.0,247.62,3.78,294.0,1024.86,
2015,1,4,6,2.53,77.25,0.0,0.0,0.0,242.75,3.66,295.0,1025.22,
2015,1,4,7,2.68,77.02,0.0,0.0,0.0,241.12,3.49,295.0,1026.05,
2015,1,4,8,2.83,76.8,0.0,0.0,0.0,239.48,3.32,295.0,1026.88,
2015,1,4,9,2.97,76.57,12.0,24.21,11.0,237.85,3.16,296.0,1027.72,
2015,1,4,10,4.0,74.65,111.0,437.85,47.0,240.6,3.3,296.0,1028.31,
2015,1,4,11,5.03,72.74,157.0,285.94,94.0,243.35,3.44,296.0,1028.91,
2015,1,4,12,6.06,70.82,224.0,544.99,83.0,246.1,3.59,296.0,1029.51,
2015,1,4,13,5.6,72.88,231.0,606.78,74.0,249.6,3.35,294.0,1029.98,
2015,1,4,14,5.14,74.93,194.0,612.57,59.0,253.1,3.11,292.0,1030.44,
2015,1,4,15,4.69,76.99,111.0,437.57,47.0,256.6,2.87,289.0,1030.91,
2015,1,4,16,3.81,81.28,10.0,24.14,9.0,258.58,2.79,282.0,1031.24,
2015,1,4,17,2.93,85.57,0.0,0.0,0.0,260.57,2.71,275.0,1031.57,
2015,1,4,18,2.05,89.86,0.0,0.0,0.0,262.55,2.63,268.0,1031.9,
2015,1,4,19,1.68,90.64,0.0,0.0,0.0,261.22,2.71,264.0,1032.1,
2015,1,4,20,1.3,91.43,0.0,0.0,0.0,259.88,2.78,259.0,1032.3,
2015,1,4,21,0.92,92.21,0.0,0.0,0.0,258.55,2.86,255.0,1032.5,
2015,1,4,22,0.79,92.26,0.0,0.0,0.0,258.45,3.17,251.0,1032.14,
2015,1,4,23,0.65,92.3,0.0,0.0,0.0,258.35,3.49,246.0,1031.77,
2015,1,5,0,0.51,92.35,0.0,0.0,0.0,258.25,3.81,242.0,1031.41,
2015,1,5,1,0.4,92.65,0.0,0.0,0.0,251.1,3.61,240.0,1031.17,
2015,1,5,2,0.3,92.95,0.0,0.0,0.0,243.95,3.41,238.0,1030.94,
2015,1,5,3,0.19,93.25,0.0,0.0,0.0,236.8,3.21,236.0,1030.71,
2015,1,5,4,0.08,93.72,0.0,0.0,0.0,234.65,3.48,235.0,1030.28,
2015,1,5,5,-0.03,94.18,0.0,0.0,0.0,232.5,3.75,235.0,1029.84,
2015,1,5,6,-0.15,94.65,0.0,0.0,0.0,230.35,4.01,234.0,1029.41,
2015,1,5,7,0.04,93.83,0.0,0.0,0.0,230.23,4.02,233.0,1029.31,
2015,1,5,8,0.23,93.0,0.0,0.0,0.0,230.12,4.03,232.0,1029.21,
2015,1,5,9,0.41,92.18,6.0,0.0,6.0,230.0,4.04,232.0,1029.11,
2015,1,5,10,1.42,89.63,111.0,421.05,49.0,230.52,3.98,232.0,1028.68,
2015,1,5,11,2.43,87.08,179.0,451.05,79.0,231.03,3.92,232.0,1028.25,
2015,1,5,12,3.44,84.53,56.0,0.0,56.0,231.55,3.86,232.0,1027.81,
2015,1,5,13,3.62,86.31,46.0,0.0,46.0,241.25,3.56,232.0,1027.38,
2015,1,5,14,3.8,88.08,45.0,0.0,45.0,250.95,3.26,232.0,1026.95,
2015,1,5,15,3.98,89.86,21.0,0.0,21.0,260.65,2.97,232.0,1026.52,
2015,1,5,16,3.88,91.26,2.0,0.0,2.0,267.47,2.93,227.0,1026.25,
