Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,288,Attapu,LAO,Laos,14.8079971004,106.839000549,7,89.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,21.66,85.78,0.0,0.0,0.0,372.68,3.24,53.0,1004.63,
2007,1,1,1,22.43,83.45,0.0,0.0,0.0,374.8,3.21,53.0,1004.37,
2007,1,1,2,23.2,81.11,0.0,0.0,0.0,376.93,3.19,52.0,1004.1,
2007,1,1,3,23.97,78.77,0.0,0.0,0.0,379.05,3.17,52.0,1003.84,
2007,1,1,4,24.75,76.43,0.0,0.0,0.0,381.18,3.14,51.0,1004.1,
2007,1,1,5,25.52,74.09,0.0,0.0,0.0,383.31,3.12,51.0,1004.37,
2007,1,1,6,26.29,71.76,0.0,0.0,0.0,385.43,3.09,50.0,1004.63,
2007,1,1,7,27.07,69.42,58.6,109.9,48.5,387.56,3.07,52.0,1005.09,
2007,1,1,8,27.84,67.08,273.0,583.36,92.0,389.68,3.04,56.0,1005.16,
2007,1,1,9,28.61,64.74,493.0,748.98,118.0,391.81,3.02,61.0,1005.23,
2007,1,1,10,29.38,62.4,670.0,816.71,139.0,393.94,2.99,65.0,1004.1,
2007,1,1,11,30.16,60.06,791.0,860.34,147.0,396.06,2.97,69.0,1002.98,
2007,1,1,12,30.93,57.73,841.0,875.69,150.0,398.19,2.94,73.0,1001.86,
2007,1,1,13,31.7,55.39,807.0,834.79,165.0,400.32,2.92,74.0,1001.37,
2007,1,1,14,32.48,53.05,709.0,801.67,156.0,402.44,2.89,75.0,1000.87,
2007,1,1,15,32.42,51.55,534.0,668.18,162.0,420.25,2.26,76.0,1000.38,
2007,1,1,16,31.1,57.65,332.0,548.93,124.0,419.02,2.19,77.0,1001.07,
2007,1,1,17,29.79,63.76,112.0,284.91,64.0,417.78,2.11,77.0,1001.76,
2007,1,1,18,28.47,69.86,0.0,0.0,0.0,416.55,2.04,78.0,1002.46,
2007,1,1,19,27.05,74.87,0.0,0.0,0.0,409.4,1.93,76.0,1002.85,
2007,1,1,20,25.63,79.87,0.0,0.0,0.0,402.25,1.81,73.0,1003.25,
2007,1,1,21,24.21,84.88,0.0,0.0,0.0,395.1,1.7,71.0,1003.64,
2007,1,1,22,23.45,86.69,0.0,0.0,0.0,392.87,1.76,67.0,1003.58,
2007,1,1,23,22.68,88.5,0.0,0.0,0.0,390.63,1.82,63.0,1003.51,
2007,1,2,0,21.92,90.31,0.0,0.0,0.0,388.4,1.88,59.0,1003.44,
2007,1,2,1,21.6,90.29,0.0,0.0,0.0,387.12,1.89,55.0,1003.12,
2007,1,2,2,21.28,90.26,0.0,0.0,0.0,385.83,1.9,51.0,1002.79,
2007,1,2,3,20.96,90.24,0.0,0.0,0.0,384.55,1.92,47.0,1002.46,
2007,1,2,4,21.39,89.84,0.0,0.0,0.0,385.32,2.11,47.0,1002.92,
2007,1,2,5,21.82,89.45,0.0,0.0,0.0,386.08,2.3,47.0,1003.38,
2007,1,2,6,22.25,89.05,0.0,0.0,0.0,386.85,2.5,47.0,1003.84,
2007,1,2,7,24.55,81.43,115.0,341.86,84.0,388.25,2.21,47.0,1003.94,
2007,1,2,8,26.85,73.82,278.0,627.14,84.0,389.65,1.92,48.0,1004.04,
2007,1,2,9,29.16,66.2,493.0,747.8,119.0,391.05,1.63,49.0,1004.14,
2007,1,2,10,30.77,60.04,670.0,816.84,139.0,393.18,1.55,54.0,1003.21,
2007,1,2,11,32.38,53.89,791.0,859.92,147.0,395.32,1.47,58.0,1002.29,
2007,1,2,12,33.99,47.73,842.0,876.03,150.0,397.45,1.39,63.0,1001.37,
2007,1,2,13,33.72,49.31,817.0,868.45,148.0,403.6,1.31,65.0,1000.71,
2007,1,2,14,33.46,50.89,711.0,802.65,156.0,409.75,1.22,68.0,1000.05,
2007,1,2,15,33.19,52.47,554.0,751.78,134.0,415.9,1.13,70.0,999.39,
2007,1,2,16,31.65,58.94,344.0,606.24,113.0,414.82,1.37,73.0,999.92,
2007,1,2,17,30.11,65.4,130.0,451.22,53.0,413.73,1.62,75.0,1000.44,
2007,1,2,18,28.57,71.87,0.0,0.0,0.0,412.65,1.86,78.0,1000.97,
2007,1,2,19,27.34,74.69,0.0,0.0,0.0,410.5,1.8,77.0,1001.24,
2007,1,2,20,26.1,77.51,0.0,0.0,0.0,408.35,1.74,75.0,1001.5,
2007,1,2,21,24.87,80.33,0.0,0.0,0.0,406.2,1.68,74.0,1001.76,
2007,1,2,22,24.24,82.13,0.0,0.0,0.0,404.7,1.74,71.0,1001.93,
2007,1,2,23,23.61,83.94,0.0,0.0,0.0,403.2,1.8,69.0,1002.09,
2007,1,3,0,22.98,85.74,0.0,0.0,0.0,401.7,1.86,66.0,1002.26,
2007,1,3,1,22.77,86.75,0.0,0.0,0.0,400.92,1.89,65.0,1002.06,
2007,1,3,2,22.56,87.76,0.0,0.0,0.0,400.13,1.91,65.0,1001.86,
2007,1,3,3,22.35,88.77,0.0,0.0,0.0,399.35,1.93,64.0,1001.66,
2007,1,3,4,22.8,89.11,0.0,0.0,0.0,398.02,2.02,61.0,1002.13,
2007,1,3,5,23.25,89.44,0.0,0.0,0.0,396.68,2.11,58.0,1002.59,
2007,1,3,6,23.7,89.78,0.0,0.0,0.0,395.35,2.19,55.0,1003.05,
2007,1,3,7,25.86,82.07,80.0,67.03,74.0,394.38,2.06,54.0,1003.05,
2007,1,3,8,28.02,74.35,207.0,220.44,139.0,393.42,1.93,53.0,1003.05,
2007,1,3,9,30.18,66.64,441.0,510.34,186.0,392.45,1.79,52.0,1003.05,
2007,1,3,10,31.72,60.26,611.0,593.81,225.0,396.62,1.81,55.0,1002.09,
2007,1,3,11,33.27,53.87,684.0,512.44,300.0,400.78,1.83,58.0,1001.14,
2007,1,3,12,34.81,47.49,709.0,475.44,333.0,404.95,1.85,60.0,1000.18,
2007,1,3,13,34.46,49.05,778.0,729.58,215.0,413.8,1.69,65.0,999.78,
2007,1,3,14,34.11,50.61,630.0,519.35,270.0,422.65,1.53,69.0,999.39,
2007,1,3,15,33.75,52.17,508.0,545.78,202.0,431.5,1.37,73.0,998.99,
2007,1,3,16,32.34,57.07,339.0,561.07,124.0,429.1,1.62,75.0,999.55,
2007,1,3,17,30.92,61.98,103.0,190.91,70.0,426.7,1.88,76.0,1000.11,
2007,1,3,18,29.51,66.88,0.0,0.0,0.0,424.3,2.14,78.0,1000.67,
2007,1,3,19,28.58,69.69,0.0,0.0,0.0,424.4,2.05,80.0,1000.97,
2007,1,3,20,27.65,72.49,0.0,0.0,0.0,424.5,1.96,83.0,1001.27,
2007,1,3,21,26.72,75.3,0.0,0.0,0.0,424.6,1.88,85.0,1001.56,
2007,1,3,22,26.14,77.05,0.0,0.0,0.0,419.48,1.95,81.0,1001.63,
2007,1,3,23,25.56,78.79,0.0,0.0,0.0,414.37,2.03,78.0,1001.7,
2007,1,4,0,24.98,80.54,0.0,0.0,0.0,409.25,2.11,74.0,1001.76,
2007,1,4,1,24.65,81.51,0.0,0.0,0.0,405.97,2.19,70.0,1001.66,
2007,1,4,2,24.32,82.47,0.0,0.0,0.0,402.68,2.28,67.0,1001.56,
2007,1,4,3,23.98,83.44,0.0,0.0,0.0,399.4,2.36,63.0,1001.47,
2007,1,4,4,24.14,84.28,0.0,0.0,0.0,397.0,2.45,60.0,1001.99,
2007,1,4,5,24.3,85.12,0.0,0.0,0.0,394.6,2.53,58.0,1002.52,
2007,1,4,6,24.46,85.96,0.0,0.0,0.0,392.2,2.62,55.0,1003.05,
2007,1,4,7,26.33,78.79,77.0,56.55,72.0,389.97,2.55,56.0,1003.21,
2007,1,4,8,28.2,71.63,269.0,568.76,94.0,387.73,2.47,57.0,1003.38,
2007,1,4,9,30.08,64.46,492.0,747.1,119.0,385.5,2.4,58.0,1003.54,
2007,1,4,10,31.47,59.93,663.0,786.05,152.0,390.9,2.6,58.0,1002.82,
2007,1,4,11,32.87,55.41,792.0,860.14,147.0,396.3,2.8,58.0,1002.09,
2007,1,4,12,34.26,50.88,831.0,828.46,175.0,401.7,2.99,58.0,1001.37,
2007,1,4,13,33.91,52.43,771.0,701.07,229.0,409.33,2.9,60.0,1000.97,
2007,1,4,14,33.56,53.97,640.0,543.92,262.0,416.97,2.81,62.0,1000.58,
2007,1,4,15,33.2,55.52,222.0,8.89,217.0,424.6,2.72,64.0,1000.18,
2007,1,4,16,32.05,59.65,188.0,49.3,169.0,424.02,2.8,66.0,1000.77,
2007,1,4,17,30.89,63.77,114.0,257.01,69.0,423.43,2.89,67.0,1001.37,
2007,1,4,18,29.74,67.9,0.0,0.0,0.0,422.85,2.98,69.0,1001.96,
2007,1,4,19,28.95,69.83,0.0,0.0,0.0,418.85,3.0,68.0,1002.26,
2007,1,4,20,28.15,71.76,0.0,0.0,0.0,414.85,3.02,67.0,1002.55,
2007,1,4,21,27.36,73.69,0.0,0.0,0.0,410.85,3.03,66.0,1002.85,
2007,1,4,22,26.64,75.92,0.0,0.0,0.0,405.88,3.0,64.0,1002.98,
2007,1,4,23,25.91,78.14,0.0,0.0,0.0,400.92,2.96,61.0,1003.12,
2007,1,5,0,25.19,80.37,0.0,0.0,0.0,395.95,2.92,59.0,1003.25,
2007,1,5,1,24.77,81.67,0.0,0.0,0.0,393.82,2.95,58.0,1003.15,
