Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2244,Zahle,LBN,Lebanon,33.8501159862,35.9041544177,2,1025.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,7.23,85.98,0.0,0.0,0.0,296.42,2.03,213.0,900.55,
2015,1,1,1,7.33,83.42,0.0,0.0,0.0,299.35,1.85,212.0,900.4,
2015,1,1,2,7.44,80.87,0.0,0.0,0.0,302.29,1.66,153.0,900.55,
2015,1,1,3,7.54,78.31,0.0,0.0,0.0,305.22,1.48,153.0,900.17,
2015,1,1,4,7.64,75.76,0.0,0.0,0.0,308.16,1.3,153.0,899.78,
2015,1,1,5,7.74,73.2,0.0,0.0,0.0,311.09,1.12,150.0,899.96,
2015,1,1,6,7.84,70.65,0.0,0.0,0.0,314.02,0.94,147.0,900.14,
2015,1,1,7,7.95,68.1,23.0,0.0,23.0,316.96,0.76,144.0,900.31,
2015,1,1,8,8.05,65.54,228.0,667.9,63.0,319.89,0.58,162.0,900.25,
2015,1,1,9,8.15,62.99,400.0,844.74,72.0,322.83,0.4,179.0,900.19,
2015,1,1,10,12.89,60.83,517.0,874.59,90.0,325.55,2.41,197.0,900.14,
2015,1,1,11,12.68,57.78,577.0,875.82,104.0,317.12,2.71,209.0,899.78,
2015,1,1,12,12.47,54.72,587.0,934.74,82.0,308.68,3.01,221.0,899.43,
2015,1,1,13,12.26,51.67,493.0,744.69,129.0,300.25,3.31,234.0,899.07,
2015,1,1,14,10.79,63.04,389.0,768.28,90.0,298.65,2.74,236.0,899.69,
2015,1,1,15,9.32,74.41,193.0,374.68,100.0,297.05,2.16,238.0,900.31,
2015,1,1,16,7.85,85.78,26.0,0.0,26.0,295.45,1.59,241.0,900.93,
2015,1,1,17,7.21,89.99,0.0,0.0,0.0,300.03,1.9,243.0,901.64,
2015,1,1,18,6.56,94.2,0.0,0.0,0.0,304.62,2.22,245.0,902.35,
2015,1,1,19,5.92,98.41,0.0,0.0,0.0,309.2,2.54,247.0,903.05,
2015,1,1,20,5.53,98.12,0.0,0.0,0.0,313.15,2.51,248.0,903.35,
2015,1,1,21,5.14,97.84,0.0,0.0,0.0,317.1,2.47,249.0,903.64,
2015,1,1,22,4.76,97.55,0.0,0.0,0.0,321.05,2.44,250.0,903.94,
2015,1,1,23,4.8,97.42,0.0,0.0,0.0,315.8,2.36,249.0,903.88,
2015,1,2,0,4.85,97.28,0.0,0.0,0.0,310.55,2.29,248.0,903.82,
2015,1,2,1,4.9,97.15,0.0,0.0,0.0,305.3,2.21,246.0,903.76,
2015,1,2,2,4.66,96.77,0.0,0.0,0.0,302.1,1.99,245.0,903.53,
2015,1,2,3,4.41,96.39,0.0,0.0,0.0,298.9,1.77,244.0,903.29,
2015,1,2,4,4.17,96.01,0.0,0.0,0.0,295.7,1.54,242.0,903.05,
2015,1,2,5,4.53,96.57,0.0,0.0,0.0,298.93,1.51,243.0,903.41,
2015,1,2,6,4.89,97.12,0.0,0.0,0.0,302.17,1.48,243.0,903.76,
2015,1,2,7,5.26,97.68,8.0,0.0,8.0,305.4,1.45,243.0,904.11,
2015,1,2,8,6.74,97.01,167.0,218.69,113.0,307.88,1.99,245.0,904.17,
2015,1,2,9,8.22,96.33,219.0,82.36,187.0,310.37,2.53,247.0,904.23,
