Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,200,Sanniquellie,LBR,Liberia,7.37100010911,-8.68499946155,0,436.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,23.33,91.02,0.0,0.0,0.0,400.84,1.36,185.0,960.83,
2010,1,1,1,23.07,91.02,0.0,0.0,0.0,398.34,1.39,190.0,960.42,
2010,1,1,2,22.81,91.02,0.0,0.0,0.0,395.83,1.42,195.0,960.01,
2010,1,1,3,22.54,91.01,0.0,0.0,0.0,393.33,1.45,207.0,959.98,
2010,1,1,4,22.28,91.01,0.0,0.0,0.0,390.83,1.48,219.0,959.95,
2010,1,1,5,22.02,91.01,0.0,0.0,0.0,388.32,1.51,231.0,959.92,
2010,1,1,6,21.75,91.01,0.0,0.0,0.0,385.82,1.54,227.0,960.61,
2010,1,1,7,21.49,91.01,15.0,0.0,15.0,383.31,1.57,222.0,961.31,
2010,1,1,8,24.77,86.31,239.0,427.89,113.0,393.05,0.87,218.0,962.0,
2010,1,1,9,25.81,77.18,466.0,592.22,169.0,398.0,1.17,184.0,961.66,
2010,1,1,10,26.84,68.05,566.0,389.01,305.0,402.95,1.48,149.0,961.31,
2010,1,1,11,27.87,58.92,592.0,233.81,407.0,407.9,1.78,115.0,960.96,
2010,1,1,12,28.64,54.25,841.0,636.85,297.0,409.93,1.75,116.0,960.2,
2010,1,1,13,29.4,49.58,768.0,458.19,376.0,411.97,1.72,116.0,959.44,
2010,1,1,14,30.17,44.91,689.0,411.25,362.0,414.0,1.7,116.0,958.68,
2010,1,1,15,29.37,48.63,656.0,640.92,222.0,411.73,2.08,127.0,958.75,
2010,1,1,16,28.58,52.35,461.0,549.46,181.0,409.47,2.46,137.0,958.81,
2010,1,1,17,27.78,56.07,240.0,398.18,119.0,407.2,2.84,147.0,958.87,
2010,1,1,18,26.87,62.34,31.0,81.02,25.0,404.35,2.48,157.0,959.73,
2010,1,1,19,25.96,68.6,0.0,0.0,0.0,401.5,2.12,167.0,960.58,
2010,1,1,20,25.05,74.87,0.0,0.0,0.0,398.65,1.77,176.0,961.44,
2010,1,1,21,24.64,80.19,0.0,0.0,0.0,394.97,1.66,182.0,961.53,
2010,1,1,22,24.22,85.52,0.0,0.0,0.0,391.28,1.54,188.0,961.62,
2010,1,1,23,23.81,90.84,0.0,0.0,0.0,387.6,1.43,194.0,961.72,
2010,1,2,0,23.35,93.89,0.0,0.0,0.0,387.57,1.39,207.0,961.44,
2010,1,2,1,22.89,96.95,0.0,0.0,0.0,387.53,1.35,220.0,961.15,
2010,1,2,2,22.43,100.0,0.0,0.0,0.0,387.5,1.31,233.0,960.87,
2010,1,2,3,22.1,100.0,0.0,0.0,0.0,386.35,1.3,241.0,960.83,
2010,1,2,4,21.76,100.0,0.0,0.0,0.0,385.2,1.28,249.0,960.8,
2010,1,2,5,21.42,100.0,0.0,0.0,0.0,384.05,1.27,257.0,960.77,
2010,1,2,6,22.22,95.62,0.0,0.0,0.0,389.05,0.98,241.0,961.31,
2010,1,2,7,23.02,91.23,29.0,112.12,22.0,394.05,0.7,224.0,961.85,
2010,1,2,8,23.81,86.85,228.0,371.74,119.0,399.05,0.41,207.0,962.38,
2010,1,2,9,24.65,79.32,472.0,627.24,158.0,401.47,0.56,175.0,961.97,
2010,1,2,10,25.48,71.8,665.0,692.04,201.0,403.88,0.7,143.0,961.56,
2010,1,2,11,26.31,64.27,821.0,778.5,205.0,406.3,0.84,110.0,961.15,
2010,1,2,12,26.91,61.71,832.0,610.73,310.0,411.07,1.02,108.0,960.39,
2010,1,2,13,27.51,59.14,843.0,636.31,298.0,415.83,1.2,105.0,959.63,
2010,1,2,14,28.11,56.58,786.0,654.09,265.0,420.6,1.38,102.0,958.87,
2010,1,2,15,27.54,60.11,654.0,629.0,227.0,420.18,1.36,119.0,959.0,
2010,1,2,16,26.98,63.65,385.0,281.51,241.0,419.77,1.33,135.0,959.12,
2010,1,2,17,26.41,67.18,234.0,356.3,125.0,419.35,1.31,152.0,959.25,
2010,1,2,18,25.7,73.81,12.0,0.0,12.0,414.75,1.52,165.0,960.07,
2010,1,2,19,24.99,80.44,0.0,0.0,0.0,410.15,1.72,178.0,960.9,
2010,1,2,20,24.27,87.07,0.0,0.0,0.0,405.55,1.93,191.0,961.72,
2010,1,2,21,24.0,89.27,0.0,0.0,0.0,402.48,1.86,196.0,961.78,
