Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4251,Ghadamis,LBY,Libya,30.1332885936,9.50002966171,2,338.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,10.54,65.12,0.0,0.0,0.0,283.63,4.25,79.0,996.69,
2014,1,1,1,9.82,68.7,0.0,0.0,0.0,281.11,3.98,83.0,996.78,
2014,1,1,2,9.1,72.29,0.0,0.0,0.0,278.58,3.72,55.0,983.66,
2014,1,1,3,8.38,75.88,0.0,0.0,0.0,276.06,3.45,58.0,983.3,
2014,1,1,4,7.65,79.46,0.0,0.0,0.0,273.54,3.19,60.0,982.95,
2014,1,1,5,6.93,83.05,0.0,0.0,0.0,271.02,2.92,64.0,983.18,
2014,1,1,6,6.21,86.64,0.0,0.0,0.0,268.49,2.66,68.0,983.4,
2014,1,1,7,5.49,90.22,0.0,0.0,0.0,265.97,2.39,71.0,983.63,
2014,1,1,8,4.77,93.81,0.0,0.0,0.0,263.45,2.13,75.0,984.01,
2014,1,1,9,4.05,97.4,120.0,439.36,53.0,260.93,1.86,79.0,984.39,
2014,1,1,10,8.62,72.89,318.0,708.97,87.0,266.15,2.23,83.0,984.78,
2014,1,1,11,10.58,64.58,479.0,789.51,113.0,272.02,2.31,80.0,983.95,
2014,1,1,12,12.55,56.27,592.0,837.57,126.0,277.88,2.39,77.0,983.11,
2014,1,1,13,14.52,47.96,629.0,796.16,153.0,283.75,2.47,74.0,982.28,
2014,1,1,14,14.98,46.64,623.0,833.82,135.0,285.18,2.43,66.0,981.96,
2014,1,1,15,15.44,45.33,539.0,787.47,130.0,286.62,2.39,58.0,981.64,
2014,1,1,16,15.91,44.01,400.0,709.08,113.0,288.05,2.34,49.0,981.32,
2014,1,1,17,14.48,49.66,220.0,561.9,80.0,285.13,2.53,43.0,981.64,
2014,1,1,18,13.05,55.3,30.0,126.57,22.0,282.22,2.72,37.0,981.96,
2014,1,1,19,11.62,60.95,0.0,0.0,0.0,279.3,2.91,31.0,982.28,
2014,1,1,20,10.7,64.78,0.0,0.0,0.0,278.38,2.94,40.0,982.6,
2014,1,1,21,9.77,68.62,0.0,0.0,0.0,277.47,2.97,48.0,982.92,
2014,1,1,22,8.85,72.45,0.0,0.0,0.0,276.55,2.99,56.0,983.24,
2014,1,1,23,8.25,75.57,0.0,0.0,0.0,274.63,2.93,62.0,983.02,
2014,1,2,0,7.66,78.7,0.0,0.0,0.0,272.72,2.86,69.0,982.79,
2014,1,2,1,7.06,81.82,0.0,0.0,0.0,270.8,2.8,76.0,982.57,
2014,1,2,2,6.4,82.87,0.0,0.0,0.0,269.23,2.76,84.0,982.34,
2014,1,2,3,5.73,83.92,0.0,0.0,0.0,267.67,2.72,92.0,982.12,
2014,1,2,4,5.07,84.97,0.0,0.0,0.0,266.1,2.68,101.0,981.9,
2014,1,2,5,4.56,86.65,0.0,0.0,0.0,265.08,2.62,105.0,982.02,
