Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4709,Zuwarah,LBY,Libya,32.9344096059,12.079148721,2,6.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,11.04,79.93,0.0,0.0,0.0,299.89,4.89,243.0,1018.71,
2008,1,1,1,10.74,81.55,0.0,0.0,0.0,302.38,5.19,245.0,1018.68,
2008,1,1,2,10.43,83.17,0.0,0.0,0.0,304.87,5.49,300.0,1015.44,
2008,1,1,3,10.13,84.8,0.0,0.0,0.0,307.36,5.8,299.0,1015.21,
2008,1,1,4,9.82,86.42,0.0,0.0,0.0,309.85,6.1,299.0,1014.98,
2008,1,1,5,9.52,88.04,0.0,0.0,0.0,312.34,6.4,300.0,1015.21,
2008,1,1,6,9.22,89.66,0.0,0.0,0.0,314.83,6.71,302.0,1015.44,
2008,1,1,7,8.91,91.28,0.0,0.0,0.0,317.32,7.01,303.0,1015.68,
2008,1,1,8,8.61,92.9,0.0,0.0,0.0,319.81,7.31,305.0,1016.28,
2008,1,1,9,8.3,94.53,11.0,0.0,11.0,322.3,7.62,308.0,1016.88,
2008,1,1,10,9.83,91.63,27.0,0.0,27.0,332.95,6.14,310.0,1017.48,
2008,1,1,11,10.4,90.83,263.0,91.71,222.0,335.58,6.22,314.0,1017.58,
2008,1,1,12,10.97,90.04,336.0,119.17,273.0,338.22,6.29,318.0,1017.68,
2008,1,1,13,11.55,89.24,57.0,0.0,57.0,340.85,6.37,322.0,1017.78,
2008,1,1,14,11.8,87.86,590.0,958.61,74.0,334.58,6.12,328.0,1017.64,
2008,1,1,15,12.04,86.47,485.0,835.48,96.0,328.32,5.88,334.0,1017.51,
2008,1,1,16,12.29,85.09,278.0,363.41,152.0,322.05,5.63,340.0,1017.38,
2008,1,1,17,11.94,86.44,14.0,0.0,14.0,323.55,5.38,342.0,1018.11,
2008,1,1,18,11.58,87.8,0.0,0.0,0.0,325.05,5.14,344.0,1018.84,
2008,1,1,19,11.23,89.15,0.0,0.0,0.0,326.55,4.9,346.0,1019.57,
2008,1,1,20,11.11,89.41,0.0,0.0,0.0,330.58,4.69,346.0,1020.01,
2008,1,1,21,10.99,89.68,0.0,0.0,0.0,334.62,4.47,345.0,1020.44,
2008,1,1,22,10.87,89.94,0.0,0.0,0.0,338.65,4.26,345.0,1020.87,
