Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1833,Mangochi,MWI,Malawi,-14.4595967419,35.2699812406,2,475.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,25.41,89.06,0.0,0.0,0.0,383.89,1.51,328.0,955.1,
2010,1,1,1,25.43,87.59,0.0,0.0,0.0,380.56,1.56,327.0,954.69,
2010,1,1,2,25.45,86.11,0.0,0.0,0.0,377.23,1.61,178.0,956.92,
2010,1,1,3,25.47,84.64,0.0,0.0,0.0,373.9,1.67,180.0,956.89,
2010,1,1,4,25.49,83.17,0.0,0.0,0.0,370.57,1.72,182.0,956.86,
2010,1,1,5,25.51,81.7,0.0,0.0,0.0,367.24,1.77,182.0,957.36,
2010,1,1,6,25.53,80.23,134.0,382.2,64.0,363.91,1.82,182.0,957.87,
2010,1,1,7,25.55,78.76,382.0,680.74,103.0,360.58,1.87,182.0,958.37,
2010,1,1,8,25.56,77.29,622.0,811.02,123.0,357.26,1.92,183.0,957.93,
2010,1,1,9,25.58,75.81,833.0,902.7,124.0,353.93,1.97,184.0,957.49,
2010,1,1,10,29.79,58.5,971.0,895.8,157.0,382.3,2.98,184.0,957.05,
2010,1,1,11,30.17,56.58,1060.0,933.77,148.0,386.42,3.04,181.0,956.2,
2010,1,1,12,30.55,54.65,1058.0,900.71,171.0,390.53,3.11,178.0,955.35,
2010,1,1,13,30.93,52.73,1015.0,953.45,126.0,394.65,3.17,176.0,954.5,
2010,1,1,14,30.68,53.37,887.0,948.81,106.0,392.88,2.81,174.0,954.02,
2010,1,1,15,30.44,54.0,689.0,877.44,106.0,391.12,2.46,172.0,953.55,
2010,1,1,16,30.19,54.64,315.0,199.1,222.0,389.35,2.1,171.0,953.08,
2010,1,1,17,28.9,60.23,180.0,359.79,92.0,385.57,2.14,172.0,953.65,
2010,1,1,18,27.61,65.82,0.0,0.0,0.0,381.78,2.19,174.0,954.21,
2010,1,1,19,26.33,71.41,0.0,0.0,0.0,378.0,2.23,176.0,954.78,
2010,1,1,20,25.72,74.62,0.0,0.0,0.0,375.57,2.07,177.0,955.16,
2010,1,1,21,25.11,77.82,0.0,0.0,0.0,373.13,1.91,178.0,955.54,
2010,1,1,22,24.5,81.03,0.0,0.0,0.0,370.7,1.75,178.0,955.91,
2010,1,1,23,24.16,82.89,0.0,0.0,0.0,368.15,1.7,178.0,955.66,
2010,1,2,0,23.83,84.75,0.0,0.0,0.0,365.6,1.64,178.0,955.41,
2010,1,2,1,23.5,86.61,0.0,0.0,0.0,363.05,1.59,178.0,955.16,
2010,1,2,2,23.66,86.2,0.0,0.0,0.0,363.58,1.46,176.0,955.6,
2010,1,2,3,23.81,85.78,0.0,0.0,0.0,364.12,1.34,174.0,956.04,
2010,1,2,4,23.97,85.37,0.0,0.0,0.0,364.65,1.21,172.0,956.48,
2010,1,2,5,24.97,82.34,0.0,0.0,0.0,367.02,1.37,171.0,956.86,
2010,1,2,6,25.97,79.3,105.0,154.59,77.0,369.38,1.54,170.0,957.24,
2010,1,2,7,26.97,76.27,339.0,453.35,154.0,371.75,1.7,168.0,957.62,
2010,1,2,8,28.08,70.5,604.0,736.35,152.0,380.72,1.83,184.0,957.05,
2010,1,2,9,29.19,64.74,792.0,759.81,196.0,389.68,1.97,200.0,956.48,
2010,1,2,10,30.3,58.97,965.0,878.72,167.0,398.65,2.11,216.0,955.91,
2010,1,2,11,30.76,56.49,1037.0,865.24,192.0,404.95,1.88,210.0,954.94,
