Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4688,Mzuzu,MWI,Malawi,-11.4599865531,34.0199800199,2,1270.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,19.14,88.88,0.0,0.0,0.0,398.36,1.17,101.0,869.97,
2007,1,1,1,19.32,89.47,0.0,0.0,0.0,400.91,1.32,91.0,869.66,
2007,1,1,2,19.49,90.06,0.0,0.0,0.0,403.46,1.48,354.0,869.54,
2007,1,1,3,19.66,90.65,0.0,0.0,0.0,406.02,1.63,358.0,869.6,
2007,1,1,4,19.83,91.24,0.0,0.0,0.0,408.57,1.78,2.0,869.66,
2007,1,1,5,20.0,91.83,0.0,0.0,0.0,411.12,1.94,4.0,870.09,
2007,1,1,6,20.17,92.42,11.0,0.0,11.0,413.68,2.09,5.0,870.51,
2007,1,1,7,20.34,93.01,31.0,0.0,31.0,416.23,2.24,7.0,870.94,
2007,1,1,8,20.51,93.6,52.0,0.0,52.0,418.79,2.4,359.0,870.43,
2007,1,1,9,20.68,94.19,103.0,0.0,103.0,421.34,2.55,351.0,869.91,
2007,1,1,10,25.67,74.38,165.0,0.0,165.0,392.45,1.99,343.0,869.4,
2007,1,1,11,25.56,72.84,343.0,1.04,342.0,387.2,1.91,359.0,868.54,
2007,1,1,12,25.44,71.3,542.0,57.31,486.0,381.95,1.84,15.0,867.68,
2007,1,1,13,25.32,69.76,683.0,221.78,477.0,376.7,1.77,31.0,866.82,
2007,1,1,14,24.5,70.56,766.0,572.63,295.0,379.5,1.94,35.0,867.14,
2007,1,1,15,23.68,71.36,593.0,516.96,249.0,382.3,2.11,40.0,867.45,
2007,1,1,16,22.87,72.16,154.0,2.14,153.0,385.1,2.28,45.0,867.77,
2007,1,1,17,21.9,77.14,68.0,0.0,68.0,390.47,2.46,43.0,868.6,
2007,1,1,18,20.92,82.13,0.0,0.0,0.0,395.83,2.65,42.0,869.43,
2007,1,1,19,19.95,87.11,0.0,0.0,0.0,401.2,2.84,40.0,870.26,
2007,1,1,20,19.53,89.53,0.0,0.0,0.0,404.98,2.9,26.0,870.54,
2007,1,1,21,19.1,91.96,0.0,0.0,0.0,408.77,2.95,13.0,870.83,
2007,1,1,22,18.67,94.38,0.0,0.0,0.0,412.55,3.01,359.0,871.12,
2007,1,1,23,18.65,95.14,0.0,0.0,0.0,413.4,2.93,349.0,870.83,
2007,1,2,0,18.62,95.9,0.0,0.0,0.0,414.25,2.85,339.0,870.54,
2007,1,2,1,18.59,96.66,0.0,0.0,0.0,415.1,2.77,328.0,870.26,
2007,1,2,2,18.55,94.26,0.0,0.0,0.0,416.4,2.56,331.0,870.2,
2007,1,2,3,18.52,91.85,0.0,0.0,0.0,417.7,2.34,334.0,870.14,
