Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1827,Nkhata Bay,MWI,Malawi,-11.5996162731,34.3000146065,2,493.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,23.12,97.8,0.0,0.0,0.0,408.33,1.68,1.0,954.51,
2009,1,1,1,23.19,97.26,0.0,0.0,0.0,408.46,1.68,8.0,954.04,
2009,1,1,2,23.25,96.72,0.0,0.0,0.0,408.6,1.69,334.0,955.65,
2009,1,1,3,23.32,96.18,0.0,0.0,0.0,408.73,1.69,328.0,955.65,
2009,1,1,4,23.38,95.64,0.0,0.0,0.0,408.86,1.7,321.0,955.65,
2009,1,1,5,23.45,95.11,0.0,0.0,0.0,409.0,1.71,321.0,956.12,
2009,1,1,6,23.51,94.57,29.0,0.0,29.0,409.13,1.71,321.0,956.59,
2009,1,1,7,23.58,94.03,146.0,13.11,141.0,409.27,1.72,320.0,957.06,
2009,1,1,8,23.64,93.49,181.0,0.0,181.0,409.4,1.72,334.0,956.37,
2009,1,1,9,23.71,92.95,366.0,30.05,343.0,409.53,1.73,347.0,955.68,
2009,1,1,10,27.19,81.32,285.0,0.0,285.0,394.1,1.6,0.0,954.99,
2009,1,1,11,27.22,79.63,442.0,18.64,424.0,388.77,1.75,18.0,953.95,
2009,1,1,12,27.24,77.93,897.0,533.09,376.0,383.43,1.89,36.0,952.91,
2009,1,1,13,27.26,76.24,859.0,559.32,340.0,378.1,2.04,54.0,951.87,
2009,1,1,14,26.36,80.95,200.0,0.0,200.0,380.1,2.0,57.0,952.47,
2009,1,1,15,25.45,85.67,81.0,0.0,81.0,382.1,1.95,60.0,953.07,
2009,1,1,16,24.55,90.38,198.0,23.65,187.0,384.1,1.9,63.0,953.67,
2009,1,1,17,24.23,92.34,74.0,4.15,73.0,392.53,1.77,44.0,954.42,
2009,1,1,18,23.92,94.3,0.0,0.0,0.0,400.97,1.63,26.0,955.17,
2009,1,1,19,23.61,96.26,0.0,0.0,0.0,409.4,1.49,7.0,955.93,
2009,1,1,20,23.56,96.91,0.0,0.0,0.0,410.42,1.37,2.0,956.15,
2009,1,1,21,23.52,97.57,0.0,0.0,0.0,411.43,1.24,357.0,956.37,
2009,1,1,22,23.48,98.22,0.0,0.0,0.0,412.45,1.12,352.0,956.59,
2009,1,1,23,23.36,98.35,0.0,0.0,0.0,413.87,1.37,346.0,956.34,
2009,1,2,0,23.25,98.47,0.0,0.0,0.0,415.28,1.62,339.0,956.09,
2009,1,2,1,23.13,98.6,0.0,0.0,0.0,416.7,1.88,333.0,955.83,
2009,1,2,2,22.53,98.54,0.0,0.0,0.0,409.7,1.93,335.0,955.77,
2009,1,2,3,21.94,98.48,0.0,0.0,0.0,402.7,1.98,338.0,955.71,
2009,1,2,4,21.34,98.42,0.0,0.0,0.0,395.7,2.03,340.0,955.65,
