Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1738,Sungai Petani,MYS,Malaysia,5.64971844372,100.479334268,8,8.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,27.57,99.0,0.0,0.0,0.0,450.19,0.75,103.0,1007.71,
2005,1,1,1,27.83,99.0,0.0,0.0,0.0,447.75,0.97,109.0,1007.54,
2005,1,1,2,28.08,99.0,0.0,0.0,0.0,445.31,1.2,112.0,1007.21,
2005,1,1,3,28.34,96.15,0.0,0.0,0.0,442.86,1.42,114.0,1006.88,
2005,1,1,4,28.59,92.16,0.0,0.0,0.0,440.42,1.65,116.0,1006.54,
2005,1,1,5,28.85,88.17,0.0,0.0,0.0,437.98,1.87,112.0,1006.88,
2005,1,1,6,29.11,84.18,0.0,0.0,0.0,435.54,2.1,108.0,1007.21,
2005,1,1,7,29.36,80.19,0.0,0.0,0.0,433.09,2.32,104.0,1007.54,
2005,1,1,8,29.62,76.19,96.6,650.67,63.7,430.65,2.55,83.0,1012.04,
2005,1,1,9,29.88,72.2,194.0,282.21,114.0,428.21,2.77,83.0,1012.04,
2005,1,1,10,30.13,68.21,340.0,220.45,231.0,425.76,2.99,83.0,1012.04,
2005,1,1,11,30.39,64.22,484.0,237.63,325.0,423.32,3.22,83.0,1011.51,
2005,1,1,12,30.65,60.23,775.0,685.07,230.0,420.88,3.44,83.0,1010.97,
2005,1,1,13,30.9,56.23,633.0,225.4,438.0,418.43,3.67,84.0,1010.44,
2005,1,1,14,31.16,52.24,455.0,44.67,416.0,415.99,3.89,82.0,1009.74,
2005,1,1,15,31.42,48.25,669.0,352.85,380.0,413.55,4.12,80.0,1009.04,
2005,1,1,16,31.7,53.07,569.0,352.44,320.0,417.9,3.26,78.0,1008.34,
2005,1,1,17,31.71,57.58,515.0,688.54,141.0,422.05,2.8,78.0,1008.94,
2005,1,1,18,31.72,62.08,253.0,340.95,137.0,426.2,2.35,79.0,1009.54,
2005,1,1,19,31.73,66.59,67.0,269.16,37.0,430.35,1.9,79.0,1010.14,
2005,1,1,20,31.01,69.81,0.0,0.0,0.0,429.17,1.78,68.0,1010.74,
2005,1,1,21,30.29,73.04,0.0,0.0,0.0,427.98,1.66,58.0,1011.34,
2005,1,1,22,29.57,76.26,0.0,0.0,0.0,426.8,1.54,47.0,1011.94,
2005,1,1,23,29.41,77.28,0.0,0.0,0.0,426.58,1.59,50.0,1011.97,
2005,1,2,0,29.24,78.29,0.0,0.0,0.0,426.37,1.64,52.0,1012.01,
2005,1,2,1,29.08,79.31,0.0,0.0,0.0,426.15,1.68,55.0,1012.04,
2005,1,2,2,28.85,79.87,0.0,0.0,0.0,426.32,1.71,57.0,1011.51,
