Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4230,Araouane,MLI,Mali,18.9000207713,-3.52995019674,0,268.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,13.97,20.72,0.0,0.0,0.0,299.7,4.59,44.0,982.87,
2011,1,1,1,13.75,21.14,0.0,0.0,0.0,302.8,4.43,47.0,982.39,
2011,1,1,2,13.54,21.57,0.0,0.0,0.0,305.9,4.26,49.0,981.9,
2011,1,1,3,13.32,22.0,0.0,0.0,0.0,309.0,4.1,50.0,981.97,
2011,1,1,4,13.1,22.43,0.0,0.0,0.0,312.1,3.93,52.0,982.03,
2011,1,1,5,12.89,22.85,0.0,0.0,0.0,315.2,3.77,54.0,982.1,
2011,1,1,6,12.67,23.28,0.0,0.0,0.0,318.3,3.6,58.0,982.74,
2011,1,1,7,12.46,23.71,28.0,93.31,22.0,321.4,3.44,62.0,983.39,
2011,1,1,8,15.17,20.94,112.0,14.4,108.0,314.65,3.28,66.0,984.03,
2011,1,1,9,17.53,18.42,151.0,0.0,151.0,320.07,3.68,69.0,983.71,
2011,1,1,10,19.89,15.89,515.0,351.3,301.0,325.48,4.08,73.0,983.39,
2011,1,1,11,22.25,13.37,814.0,1035.98,84.0,330.9,4.48,76.0,983.06,
2011,1,1,12,22.89,13.03,866.0,1054.5,82.0,338.98,4.62,72.0,982.1,
2011,1,1,13,23.53,12.7,838.0,1044.23,83.0,347.07,4.76,69.0,981.13,
2011,1,1,14,24.17,12.36,704.0,871.78,142.0,355.15,4.9,65.0,980.16,
2011,1,1,15,23.36,13.25,351.0,161.56,268.0,354.58,4.56,61.0,980.29,
2011,1,1,16,22.54,14.13,304.0,521.85,127.0,354.02,4.22,56.0,980.42,
2011,1,1,17,21.73,15.02,73.0,135.47,55.0,353.45,3.88,52.0,980.55,
2011,1,1,18,20.26,16.52,0.0,0.0,0.0,344.45,4.18,49.0,981.03,
2011,1,1,19,18.8,18.02,0.0,0.0,0.0,335.45,4.48,46.0,981.51,
