Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2167,Banamba,MLI,Mali,13.5503989857,-7.44999515932,0,377.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,19.28,31.13,0.0,0.0,0.0,319.54,2.69,29.0,969.39,
2006,1,1,1,18.53,32.5,0.0,0.0,0.0,314.49,2.77,32.0,969.01,
2006,1,1,2,17.77,33.87,0.0,0.0,0.0,309.45,2.85,34.0,968.63,
2006,1,1,3,17.02,35.24,0.0,0.0,0.0,304.4,2.93,35.0,968.6,
2006,1,1,4,16.26,36.61,0.0,0.0,0.0,299.36,3.01,36.0,968.57,
2006,1,1,5,15.51,37.98,0.0,0.0,0.0,294.31,3.09,37.0,968.53,
2006,1,1,6,14.75,39.35,0.0,0.0,0.0,289.26,3.17,39.0,969.04,
2006,1,1,7,14.0,40.73,20.0,166.16,13.0,284.22,3.25,41.0,969.55,
2006,1,1,8,18.55,34.67,211.15,434.97,95.2,296.85,3.97,43.0,970.06,
2006,1,1,9,20.72,30.53,379.0,357.91,212.0,304.88,3.85,48.0,969.71,
2006,1,1,10,22.89,26.4,660.0,822.47,143.0,312.92,3.72,53.0,969.36,
2006,1,1,11,25.06,22.26,753.0,708.01,228.0,320.95,3.6,58.0,969.01,
2006,1,1,12,26.06,21.19,824.0,740.92,233.0,327.08,3.33,58.0,968.09,
2006,1,1,13,27.06,20.12,846.0,830.82,187.0,333.22,3.06,59.0,967.16,
2006,1,1,14,28.06,19.05,761.0,789.36,186.0,339.35,2.79,60.0,966.24,
2006,1,1,15,26.72,21.21,617.0,748.6,162.0,338.18,2.8,53.0,966.43,
2006,1,1,16,25.38,23.37,420.0,659.84,130.0,337.02,2.8,46.0,966.62,
2006,1,1,17,24.04,25.53,193.0,476.57,81.0,335.85,2.81,39.0,966.81,
2006,1,1,18,22.76,27.31,0.0,0.0,0.0,333.37,2.77,35.0,967.64,
2006,1,1,19,21.48,29.08,0.0,0.0,0.0,330.88,2.72,30.0,968.47,
2006,1,1,20,20.2,30.86,0.0,0.0,0.0,328.4,2.68,25.0,969.3,
2006,1,1,21,19.71,31.9,0.0,0.0,0.0,326.7,2.62,24.0,969.27,
2006,1,1,22,19.21,32.93,0.0,0.0,0.0,325.0,2.56,22.0,969.23,
2006,1,1,23,18.72,33.97,0.0,0.0,0.0,323.3,2.5,20.0,969.2,
2006,1,2,0,18.08,35.04,0.0,0.0,0.0,320.67,2.45,22.0,968.69,
2006,1,2,1,17.44,36.11,0.0,0.0,0.0,318.03,2.4,23.0,968.18,
