Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2070,Goundam,MLI,Mali,16.4169940378,-3.66658268372,0,266.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,16.64,33.47,0.0,0.0,0.0,280.56,4.66,22.0,983.2,
2006,1,1,1,16.22,35.43,0.0,0.0,0.0,279.24,4.66,26.0,982.91,
2006,1,1,2,15.8,37.38,0.0,0.0,0.0,277.92,4.66,30.0,982.62,
2006,1,1,3,15.38,39.33,0.0,0.0,0.0,276.59,4.67,32.0,982.59,
2006,1,1,4,14.96,41.28,0.0,0.0,0.0,275.27,4.67,35.0,982.56,
2006,1,1,5,14.54,43.23,0.0,0.0,0.0,273.95,4.67,38.0,982.52,
2006,1,1,6,14.12,45.18,0.0,0.0,0.0,272.63,4.68,40.0,982.98,
2006,1,1,7,13.7,47.13,41.0,149.99,29.0,271.31,4.68,43.0,983.43,
2006,1,1,8,17.52,35.74,232.1,425.25,105.95,275.95,4.87,45.0,983.88,
2006,1,1,9,19.9,30.83,432.0,500.46,189.0,284.1,4.88,47.0,983.49,
2006,1,1,10,22.28,25.91,626.0,672.1,200.0,292.25,4.89,49.0,983.11,
2006,1,1,11,24.66,21.0,736.0,693.2,229.0,300.4,4.9,51.0,982.72,
2006,1,1,12,25.59,19.42,787.0,720.6,231.0,303.83,4.62,47.0,981.88,
2006,1,1,13,26.53,17.84,741.0,642.58,258.0,307.27,4.34,43.0,981.04,
2006,1,1,14,27.47,16.26,666.0,671.64,214.0,310.7,4.06,39.0,980.2,
2006,1,1,15,26.45,18.09,495.0,543.52,201.0,308.93,3.97,30.0,980.49,
2006,1,1,16,25.44,19.93,309.0,466.45,139.0,307.17,3.89,22.0,980.78,
2006,1,1,17,24.43,21.76,103.0,276.29,60.0,305.4,3.81,13.0,981.07,
2006,1,1,18,23.14,23.44,0.0,0.0,0.0,304.37,3.92,10.0,981.85,
2006,1,1,19,21.86,25.11,0.0,0.0,0.0,303.33,4.03,8.0,982.62,
2006,1,1,20,20.57,26.79,0.0,0.0,0.0,302.3,4.14,5.0,983.4,
2006,1,1,21,19.76,28.05,0.0,0.0,0.0,300.52,4.06,5.0,983.23,
2006,1,1,22,18.95,29.32,0.0,0.0,0.0,298.73,3.99,5.0,983.07,
2006,1,1,23,18.14,30.58,0.0,0.0,0.0,296.95,3.92,5.0,982.91,
2006,1,2,0,17.46,31.22,0.0,0.0,0.0,296.02,3.75,8.0,982.43,
2006,1,2,1,16.79,31.85,0.0,0.0,0.0,295.08,3.58,11.0,981.94,
2006,1,2,2,16.11,32.49,0.0,0.0,0.0,294.15,3.41,14.0,981.46,
2006,1,2,3,15.53,33.4,0.0,0.0,0.0,292.65,3.45,14.0,981.3,
2006,1,2,4,14.95,34.31,0.0,0.0,0.0,291.15,3.5,15.0,981.14,
2006,1,2,5,14.37,35.22,0.0,0.0,0.0,289.65,3.54,15.0,980.97,
2006,1,2,6,15.85,32.84,0.0,0.0,0.0,291.6,3.45,18.0,981.43,
2006,1,2,7,17.32,30.45,45.0,215.64,28.0,293.55,3.35,21.0,981.88,
2006,1,2,8,18.8,28.07,234.15,431.08,106.65,295.5,3.26,24.0,982.33,
2006,1,2,9,21.42,23.83,464.0,643.24,152.0,304.55,3.27,28.0,982.01,
2006,1,2,10,24.04,19.59,633.0,700.57,189.0,313.6,3.29,31.0,981.68,
2006,1,2,11,26.67,15.35,805.0,945.62,113.0,322.65,3.31,35.0,981.36,
2006,1,2,12,27.67,14.07,802.0,766.39,210.0,327.35,3.31,38.0,980.68,
2006,1,2,13,28.67,12.78,729.0,602.95,275.0,332.05,3.32,41.0,980.0,
2006,1,2,14,29.68,11.5,644.0,591.41,245.0,336.75,3.32,45.0,979.33,
2006,1,2,15,28.67,13.04,485.0,497.35,215.0,333.5,3.45,35.0,979.49,
2006,1,2,16,27.66,14.57,305.0,436.45,145.0,330.25,3.57,24.0,979.65,
2006,1,2,17,26.65,16.11,121.0,456.18,49.0,327.0,3.7,14.0,979.81,
2006,1,2,18,25.24,16.89,0.0,0.0,0.0,325.75,3.72,12.0,980.36,
2006,1,2,19,23.83,17.68,0.0,0.0,0.0,324.5,3.75,11.0,980.91,
2006,1,2,20,22.42,18.46,0.0,0.0,0.0,323.25,3.78,9.0,981.46,
2006,1,2,21,21.42,18.7,0.0,0.0,0.0,319.28,3.66,8.0,981.17,
2006,1,2,22,20.42,18.94,0.0,0.0,0.0,315.32,3.53,7.0,980.88,
2006,1,2,23,19.43,19.18,0.0,0.0,0.0,311.35,3.41,6.0,980.59,
2006,1,3,0,18.72,19.26,0.0,0.0,0.0,309.38,3.37,6.0,980.2,
2006,1,3,1,18.02,19.35,0.0,0.0,0.0,307.42,3.32,7.0,979.81,
2006,1,3,2,17.31,19.43,0.0,0.0,0.0,305.45,3.28,8.0,979.42,
2006,1,3,3,16.7,19.74,0.0,0.0,0.0,303.05,3.3,7.0,979.49,
2006,1,3,4,16.1,20.05,0.0,0.0,0.0,300.65,3.31,7.0,979.55,
2006,1,3,5,15.49,20.36,0.0,0.0,0.0,298.25,3.32,6.0,979.62,
2006,1,3,6,16.96,19.41,0.0,0.0,0.0,298.98,3.26,9.0,980.23,
2006,1,3,7,18.43,18.47,42.0,180.12,28.0,299.72,3.2,12.0,980.84,
2006,1,3,8,19.9,17.52,232.15,418.87,108.6,300.45,3.14,14.0,981.46,
