Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2172,Yelimane,MLI,Mali,15.1337131947,-10.5666266291,0,104.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,20.4,30.2,0.0,0.0,0.0,295.52,4.88,56.0,1001.95,
2006,1,1,1,19.72,31.65,0.0,0.0,0.0,294.13,4.81,60.0,1001.56,
2006,1,1,2,19.03,33.1,0.0,0.0,0.0,292.74,4.75,64.0,1001.16,
2006,1,1,3,18.34,34.55,0.0,0.0,0.0,291.35,4.69,65.0,1001.13,
2006,1,1,4,17.66,36.01,0.0,0.0,0.0,289.96,4.62,65.0,1001.1,
2006,1,1,5,16.97,37.46,0.0,0.0,0.0,288.57,4.56,66.0,1001.07,
2006,1,1,6,16.29,38.91,0.0,0.0,0.0,287.18,4.5,66.0,1001.53,
2006,1,1,7,15.6,40.36,0.0,0.0,0.0,285.79,4.44,67.0,1001.99,
2006,1,1,8,19.14,36.86,142.55,323.73,74.75,289.25,5.9,67.0,1002.45,
2006,1,1,9,21.34,33.39,378.0,564.96,144.0,295.55,5.83,69.0,1002.28,
2006,1,1,10,23.55,29.91,563.0,630.38,195.0,301.85,5.75,71.0,1002.12,
2006,1,1,11,25.76,26.44,718.0,723.17,207.0,308.15,5.67,73.0,1001.95,
2006,1,1,12,26.66,24.92,809.0,777.43,207.0,312.97,5.48,70.0,1001.0,
2006,1,1,13,27.55,23.4,823.0,795.04,201.0,317.78,5.28,68.0,1000.04,
2006,1,1,14,28.45,21.88,758.0,775.25,192.0,322.6,5.09,66.0,999.09,
2006,1,1,15,27.72,22.76,626.0,726.11,175.0,323.03,4.38,61.0,999.29,
2006,1,1,16,26.98,23.65,424.0,566.04,162.0,323.47,3.66,56.0,999.49,
2006,1,1,17,26.24,24.53,221.0,477.24,94.0,323.9,2.95,51.0,999.68,
2006,1,1,18,24.94,26.31,8.0,0.0,8.0,322.25,3.14,50.0,1000.44,
2006,1,1,19,23.63,28.09,0.0,0.0,0.0,320.6,3.34,48.0,1001.2,
2006,1,1,20,22.33,29.87,0.0,0.0,0.0,318.95,3.53,46.0,1001.95,
2006,1,1,21,21.72,30.78,0.0,0.0,0.0,316.82,3.46,49.0,1001.92,
2006,1,1,22,21.11,31.69,0.0,0.0,0.0,314.68,3.39,52.0,1001.89,
2006,1,1,23,20.5,32.6,0.0,0.0,0.0,312.55,3.32,54.0,1001.86,
2006,1,2,0,20.1,32.89,0.0,0.0,0.0,313.67,3.3,55.0,1001.33,
2006,1,2,1,19.71,33.19,0.0,0.0,0.0,314.78,3.27,56.0,1000.8,
2006,1,2,2,19.32,33.48,0.0,0.0,0.0,315.9,3.24,58.0,1000.28,
2006,1,2,3,18.94,33.95,0.0,0.0,0.0,316.47,3.21,55.0,1000.24,
2006,1,2,4,18.56,34.42,0.0,0.0,0.0,317.03,3.18,53.0,1000.21,
2006,1,2,5,18.18,34.89,0.0,0.0,0.0,317.6,3.14,51.0,1000.18,
2006,1,2,6,18.86,34.58,0.0,0.0,0.0,319.18,3.56,52.0,1000.64,
2006,1,2,7,19.55,34.26,0.0,0.0,0.0,320.77,3.97,53.0,1001.1,
2006,1,2,8,20.23,33.95,149.15,360.42,74.05,322.35,4.39,54.0,1001.56,
2006,1,2,9,22.69,30.61,324.0,331.34,187.0,324.15,4.28,56.0,1001.26,
2006,1,2,10,25.16,27.27,523.0,486.75,239.0,325.95,4.17,58.0,1000.97,
2006,1,2,11,27.63,23.93,673.0,574.45,267.0,327.75,4.07,60.0,1000.67,
2006,1,2,12,28.7,22.73,832.0,856.8,168.0,330.3,3.88,60.0,999.75,
2006,1,2,13,29.77,21.52,810.0,750.54,222.0,332.85,3.68,59.0,998.83,
2006,1,2,14,30.84,20.32,756.0,759.99,200.0,335.4,3.49,59.0,997.9,
2006,1,2,15,29.89,21.75,639.0,770.54,159.0,334.77,3.03,53.0,998.1,
2006,1,2,16,28.94,23.19,449.0,677.54,134.0,334.13,2.58,46.0,998.3,
2006,1,2,17,27.99,24.62,225.0,488.29,94.0,333.5,2.12,39.0,998.5,
2006,1,2,18,26.28,26.62,15.0,43.07,13.0,331.02,2.35,39.0,999.22,
2006,1,2,19,24.57,28.61,0.0,0.0,0.0,328.53,2.58,40.0,999.95,
2006,1,2,20,22.86,30.61,0.0,0.0,0.0,326.05,2.81,40.0,1000.67,
2006,1,2,21,21.98,31.7,0.0,0.0,0.0,322.98,2.75,41.0,1000.6,
2006,1,2,22,21.1,32.79,0.0,0.0,0.0,319.92,2.69,43.0,1000.54,
2006,1,2,23,20.22,33.88,0.0,0.0,0.0,316.85,2.63,44.0,1000.47,
2006,1,3,0,19.61,34.48,0.0,0.0,0.0,314.8,2.6,43.0,1000.08,
2006,1,3,1,19.01,35.08,0.0,0.0,0.0,312.75,2.57,42.0,999.68,
2006,1,3,2,18.41,35.68,0.0,0.0,0.0,310.7,2.54,41.0,999.29,
2006,1,3,3,17.83,36.45,0.0,0.0,0.0,308.82,2.58,41.0,999.29,
2006,1,3,4,17.26,37.22,0.0,0.0,0.0,306.93,2.63,40.0,999.29,
2006,1,3,5,16.68,37.99,0.0,0.0,0.0,305.05,2.68,39.0,999.29,
2006,1,3,6,17.66,36.84,0.0,0.0,0.0,304.82,3.18,41.0,999.75,
2006,1,3,7,18.65,35.69,0.0,0.0,0.0,304.58,3.68,42.0,1000.21,
2006,1,3,8,19.63,34.54,151.3,357.58,77.15,304.35,4.18,44.0,1000.67,
2006,1,3,9,22.58,30.55,396.0,671.0,119.0,309.87,4.05,44.0,1000.34,
2006,1,3,10,25.53,26.55,583.0,711.55,168.0,315.38,3.91,45.0,1000.01,
2006,1,3,11,28.48,22.56,744.0,811.88,170.0,320.9,3.78,45.0,999.68,
2006,1,3,12,29.53,21.18,833.0,856.02,169.0,326.2,3.74,43.0,998.86,
2006,1,3,13,30.58,19.81,844.0,859.04,170.0,331.5,3.7,40.0,998.04,
2006,1,3,14,31.63,18.43,775.0,821.12,173.0,336.8,3.66,38.0,997.21,
2006,1,3,15,30.6,19.86,641.0,771.41,159.0,335.87,3.14,38.0,997.21,
2006,1,3,16,29.56,21.29,442.0,629.52,148.0,334.93,2.63,38.0,997.21,
2006,1,3,17,28.52,22.72,218.0,428.85,102.0,334.0,2.12,38.0,997.21,
2006,1,3,18,26.68,24.67,13.0,20.57,12.0,331.23,2.31,39.0,997.84,
2006,1,3,19,24.84,26.63,0.0,0.0,0.0,328.47,2.49,40.0,998.46,
2006,1,3,20,23.0,28.58,0.0,0.0,0.0,325.7,2.68,41.0,999.09,
2006,1,3,21,22.19,29.04,0.0,0.0,0.0,322.98,2.77,40.0,999.02,
2006,1,3,22,21.39,29.5,0.0,0.0,0.0,320.27,2.86,39.0,998.96,
2006,1,3,23,20.59,29.96,0.0,0.0,0.0,317.55,2.95,38.0,998.89,
2006,1,4,0,19.95,29.99,0.0,0.0,0.0,315.5,2.94,40.0,998.3,
2006,1,4,1,19.32,30.01,0.0,0.0,0.0,313.45,2.93,43.0,997.71,
2006,1,4,2,18.69,30.04,0.0,0.0,0.0,311.4,2.92,45.0,997.11,
2006,1,4,3,18.11,30.41,0.0,0.0,0.0,308.97,2.85,47.0,997.08,
2006,1,4,4,17.53,30.79,0.0,0.0,0.0,306.53,2.78,49.0,997.05,
2006,1,4,5,16.95,31.16,0.0,0.0,0.0,304.1,2.7,51.0,997.02,
2006,1,4,6,17.91,30.42,0.0,0.0,0.0,303.88,3.15,53.0,997.41,
2006,1,4,7,18.87,29.67,0.0,0.0,0.0,303.67,3.6,56.0,997.81,
2006,1,4,8,19.83,28.93,150.25,353.88,77.2,303.45,4.04,58.0,998.2,
2006,1,4,9,22.78,25.67,356.0,465.75,164.0,309.0,3.85,58.0,997.81,
2006,1,4,10,25.73,22.41,549.0,579.68,211.0,314.55,3.66,58.0,997.41,
2006,1,4,11,28.68,19.15,707.0,680.04,226.0,320.1,3.46,58.0,997.02,
2006,1,4,12,29.83,17.98,820.0,808.79,192.0,325.7,3.52,56.0,996.16,
2006,1,4,13,30.98,16.82,817.0,766.06,215.0,331.3,3.57,55.0,995.3,
2006,1,4,14,32.13,15.65,755.0,745.81,207.0,336.9,3.63,54.0,994.45,
2006,1,4,15,31.04,17.18,632.0,729.14,175.0,336.38,3.14,49.0,994.55,
