Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4900,Acapulco,MEX,Mexico,16.849990864,-99.9159790464,-6,129.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,22.29,84.63,0.0,0.0,0.0,377.77,0.88,356.0,997.08,
2006,1,1,1,21.8,85.8,0.0,0.0,0.0,376.5,0.67,2.0,996.75,
2006,1,1,2,21.57,88.26,0.0,0.0,0.0,385.1,0.68,9.0,996.42,
2006,1,1,3,21.49,89.19,0.0,0.0,0.0,387.07,0.85,5.0,996.36,
2006,1,1,4,21.42,90.11,0.0,0.0,0.0,389.03,1.02,2.0,996.29,
2006,1,1,5,21.34,91.04,0.0,0.0,0.0,391.0,1.19,359.0,996.22,
2006,1,1,6,22.04,88.85,0.0,0.0,0.0,388.27,1.07,359.0,996.85,
2006,1,1,7,22.74,86.67,0.0,0.0,0.0,385.53,0.96,358.0,997.47,
2006,1,1,8,23.45,84.48,128.0,407.12,56.0,382.8,0.84,358.0,998.09,
2006,1,1,9,24.14,82.46,273.0,324.4,149.0,383.12,1.17,314.0,998.13,
2006,1,1,10,24.83,80.43,472.0,485.68,203.0,383.43,1.5,269.0,998.16,
2006,1,1,11,25.52,78.41,700.0,852.92,120.0,383.75,1.83,225.0,998.19,
2006,1,1,12,25.53,78.39,789.0,882.85,125.0,382.9,2.34,226.0,997.44,
2006,1,1,13,25.54,78.38,805.0,886.01,127.0,382.05,2.86,226.0,996.68,
2006,1,1,14,25.55,78.36,747.0,867.12,124.0,381.2,3.37,226.0,995.93,
2006,1,1,15,25.29,78.76,621.0,821.1,116.0,380.67,3.22,231.0,996.09,
2006,1,1,16,25.03,79.17,325.0,283.58,194.0,380.13,3.08,236.0,996.26,
2006,1,1,17,24.77,79.57,139.0,103.83,111.0,379.6,2.94,240.0,996.42,
2006,1,1,18,24.46,80.56,0.0,0.0,0.0,380.68,2.25,235.0,996.88,
2006,1,1,19,24.14,81.55,0.0,0.0,0.0,381.77,1.57,230.0,997.34,
2006,1,1,20,23.83,82.54,0.0,0.0,0.0,382.85,0.88,224.0,997.8,
2006,1,1,21,23.55,83.62,0.0,0.0,0.0,383.33,0.87,278.0,998.03,
2006,1,1,22,23.27,84.69,0.0,0.0,0.0,383.82,0.86,332.0,998.26,
2006,1,1,23,22.99,85.77,0.0,0.0,0.0,384.3,0.84,26.0,998.49,
2006,1,2,0,22.61,87.13,0.0,0.0,0.0,384.97,1.14,25.0,998.29,
2006,1,2,1,22.24,88.49,0.0,0.0,0.0,385.63,1.44,23.0,998.09,
2006,1,2,2,21.86,89.85,0.0,0.0,0.0,386.3,1.74,22.0,997.9,
2006,1,2,3,21.79,90.69,0.0,0.0,0.0,387.45,1.74,20.0,997.9,
2006,1,2,4,21.71,91.54,0.0,0.0,0.0,388.6,1.74,17.0,997.9,
2006,1,2,5,21.64,92.38,0.0,0.0,0.0,389.75,1.74,15.0,997.9,
2006,1,2,6,22.08,92.15,0.0,0.0,0.0,390.15,1.7,23.0,998.52,
2006,1,2,7,22.52,91.91,0.0,0.0,0.0,390.55,1.66,30.0,999.15,
2006,1,2,8,22.97,91.68,86.0,119.44,65.0,390.95,1.63,37.0,999.77,
2006,1,2,9,23.83,89.12,344.0,668.35,89.0,390.25,1.1,344.0,999.74,
2006,1,2,10,24.69,86.56,544.0,787.62,108.0,389.55,0.58,291.0,999.7,
2006,1,2,11,25.55,84.0,696.0,848.31,119.0,388.85,0.06,238.0,999.67,
2006,1,2,12,25.71,82.16,785.0,876.8,125.0,389.67,1.08,231.0,998.92,
2006,1,2,13,25.87,80.32,802.0,880.85,127.0,390.48,2.11,224.0,998.16,
2006,1,2,14,26.03,78.48,677.0,609.76,238.0,391.3,3.13,217.0,997.41,
2006,1,2,15,25.72,79.11,530.0,476.61,236.0,392.38,3.17,218.0,997.47,
2006,1,2,16,25.4,79.74,440.0,728.42,102.0,393.47,3.21,219.0,997.54,
2006,1,2,17,25.09,80.37,193.0,375.18,91.0,394.55,3.26,220.0,997.6,
2006,1,2,18,24.7,81.3,0.0,0.0,0.0,393.82,2.64,205.0,998.0,
2006,1,2,19,24.31,82.24,0.0,0.0,0.0,393.08,2.03,190.0,998.39,
2006,1,2,20,23.92,83.17,0.0,0.0,0.0,392.35,1.42,174.0,998.78,
2006,1,2,21,23.72,83.68,0.0,0.0,0.0,394.47,1.42,142.0,999.15,
2006,1,2,22,23.52,84.19,0.0,0.0,0.0,396.58,1.41,109.0,999.51,
2006,1,2,23,23.33,84.7,0.0,0.0,0.0,398.7,1.41,76.0,999.87,
2006,1,3,0,23.0,85.98,0.0,0.0,0.0,399.47,1.43,62.0,999.74,
2006,1,3,1,22.67,87.25,0.0,0.0,0.0,400.23,1.46,47.0,999.6,
2006,1,3,2,22.34,88.53,0.0,0.0,0.0,401.0,1.49,32.0,999.47,
2006,1,3,3,22.28,89.25,0.0,0.0,0.0,400.92,1.71,30.0,999.38,
2006,1,3,4,22.21,89.96,0.0,0.0,0.0,400.83,1.93,29.0,999.28,
2006,1,3,5,22.15,90.68,0.0,0.0,0.0,400.75,2.15,27.0,999.18,
2006,1,3,6,22.82,89.29,0.0,0.0,0.0,397.52,2.24,38.0,999.74,
2006,1,3,7,23.49,87.89,0.0,0.0,0.0,394.28,2.33,49.0,1000.29,
2006,1,3,8,24.17,86.5,123.0,388.92,55.0,391.05,2.41,60.0,1000.85,
2006,1,3,9,24.94,84.22,338.0,653.71,89.0,391.32,2.48,81.0,1000.62,
2006,1,3,10,25.71,81.95,537.0,775.28,108.0,391.58,2.55,101.0,1000.39,
2006,1,3,11,26.49,79.67,690.0,839.2,119.0,391.85,2.62,122.0,1000.16,
2006,1,3,12,26.56,78.15,780.0,869.34,125.0,391.62,2.85,144.0,999.11,
2006,1,3,13,26.63,76.62,799.0,875.61,127.0,391.38,3.08,166.0,998.06,
2006,1,3,14,26.69,75.1,744.0,859.29,124.0,391.15,3.31,188.0,997.01,
2006,1,3,15,26.34,76.33,621.0,816.17,116.0,390.73,3.2,190.0,996.95,
2006,1,3,16,25.99,77.55,442.0,729.4,102.0,390.32,3.09,192.0,996.88,
2006,1,3,17,25.64,78.78,230.0,561.85,76.0,389.9,2.98,194.0,996.81,
2006,1,3,18,25.43,79.25,0.0,0.0,0.0,389.82,2.67,182.0,997.34,
2006,1,3,19,25.21,79.72,0.0,0.0,0.0,389.73,2.36,170.0,997.87,
2006,1,3,20,25.0,80.19,0.0,0.0,0.0,389.65,2.06,158.0,998.39,
2006,1,3,21,24.74,80.88,0.0,0.0,0.0,391.6,1.46,212.0,998.78,
2006,1,3,22,24.48,81.57,0.0,0.0,0.0,393.55,0.87,267.0,999.18,
2006,1,3,23,24.23,82.26,0.0,0.0,0.0,395.5,0.28,321.0,999.57,
2006,1,4,0,23.88,83.43,0.0,0.0,0.0,396.7,0.94,323.0,999.44,
2006,1,4,1,23.54,84.61,0.0,0.0,0.0,397.9,1.61,326.0,999.31,
2006,1,4,2,23.19,85.78,0.0,0.0,0.0,399.1,2.28,328.0,999.18,
2006,1,4,3,23.21,85.73,0.0,0.0,0.0,399.82,2.73,333.0,998.98,
2006,1,4,4,23.24,85.68,0.0,0.0,0.0,400.53,3.18,339.0,998.78,
2006,1,4,5,23.26,85.63,0.0,0.0,0.0,401.25,3.63,344.0,998.59,
2006,1,4,6,23.84,84.2,0.0,0.0,0.0,401.68,3.74,350.0,999.41,
2006,1,4,7,24.42,82.78,0.0,0.0,0.0,402.12,3.86,356.0,1000.23,
2006,1,4,8,25.01,81.35,123.0,390.95,55.0,402.55,3.97,2.0,1001.05,
2006,1,4,9,25.83,77.63,341.0,662.55,89.0,401.82,3.35,0.0,1000.72,
2006,1,4,10,26.65,73.92,542.0,784.52,108.0,401.08,2.73,358.0,1000.39,
2006,1,4,11,27.47,70.2,696.0,846.15,120.0,400.35,2.11,356.0,1000.06,
2006,1,4,12,27.63,68.01,787.0,876.38,126.0,399.2,2.09,309.0,998.98,
2006,1,4,13,27.79,65.82,805.0,882.0,127.0,398.05,2.06,261.0,997.9,
2006,1,4,14,27.94,63.63,748.0,862.88,124.0,396.9,2.04,213.0,996.81,
2006,1,4,15,27.59,65.34,623.0,816.82,116.0,395.65,2.46,214.0,996.65,
2006,1,4,16,27.24,67.04,443.0,728.16,102.0,394.4,2.88,215.0,996.49,
2006,1,4,17,26.89,68.75,230.0,553.62,77.0,393.15,3.3,216.0,996.32,
2006,1,4,18,26.48,72.64,0.0,0.0,0.0,393.37,3.09,219.0,996.91,
2006,1,4,19,26.06,76.52,0.0,0.0,0.0,393.58,2.88,221.0,997.5,
2006,1,4,20,25.65,80.41,0.0,0.0,0.0,393.8,2.68,223.0,998.09,
2006,1,4,21,25.32,81.77,0.0,0.0,0.0,394.27,2.21,215.0,998.32,
2006,1,4,22,24.99,83.14,0.0,0.0,0.0,394.73,1.75,207.0,998.55,
2006,1,4,23,24.66,84.5,0.0,0.0,0.0,395.2,1.28,198.0,998.78,
2006,1,5,0,24.27,86.16,0.0,0.0,0.0,396.35,1.05,142.0,998.69,
2006,1,5,1,23.88,87.83,0.0,0.0,0.0,397.5,0.81,85.0,998.59,
2006,1,5,2,23.49,89.49,0.0,0.0,0.0,398.65,0.58,28.0,998.49,
2006,1,5,3,23.44,89.63,0.0,0.0,0.0,399.37,0.81,22.0,998.29,
2006,1,5,4,23.38,89.77,0.0,0.0,0.0,400.08,1.05,16.0,998.09,
2006,1,5,5,23.33,89.91,0.0,0.0,0.0,400.8,1.28,9.0,997.9,
2006,1,5,6,23.79,89.83,0.0,0.0,0.0,400.87,1.23,14.0,998.49,
2006,1,5,7,24.25,89.74,0.0,0.0,0.0,400.93,1.18,18.0,999.08,
2006,1,5,8,24.72,89.66,70.0,46.22,62.0,401.0,1.13,23.0,999.67,
2006,1,5,9,25.51,85.49,339.0,658.13,89.0,400.38,0.85,346.0,999.51,
2006,1,5,10,26.3,81.31,540.0,780.99,108.0,399.77,0.56,310.0,999.34,
2006,1,5,11,27.09,77.14,567.0,393.46,299.0,399.15,0.28,273.0,999.18,
2006,1,5,12,27.15,75.66,784.0,871.4,126.0,398.72,1.29,257.0,998.19,
2006,1,5,13,27.22,74.18,802.0,876.6,127.0,398.28,2.3,240.0,997.21,
2006,1,5,14,27.28,72.7,745.0,856.71,124.0,397.85,3.31,223.0,996.22,
2006,1,5,15,26.96,73.21,621.0,810.97,116.0,397.6,3.61,224.0,996.09,
2006,1,5,16,26.63,73.72,442.0,722.6,102.0,397.35,3.92,226.0,995.96,
2006,1,5,17,26.31,74.23,231.0,552.63,77.0,397.1,4.22,228.0,995.83,
2006,1,5,18,25.98,75.33,0.0,0.0,0.0,397.12,3.78,233.0,996.52,
2006,1,5,19,25.65,76.44,0.0,0.0,0.0,397.13,3.35,238.0,997.21,
2006,1,5,20,25.32,77.54,0.0,0.0,0.0,397.15,2.91,244.0,997.9,
2006,1,5,21,24.99,78.83,0.0,0.0,0.0,398.72,2.29,297.0,998.26,
2006,1,5,22,24.66,80.13,0.0,0.0,0.0,400.28,1.68,350.0,998.62,
2006,1,5,23,24.34,81.42,0.0,0.0,0.0,401.85,1.06,44.0,998.98,
2006,1,6,0,24.07,82.4,0.0,0.0,0.0,403.63,1.31,39.0,998.85,
2006,1,6,1,23.8,83.39,0.0,0.0,0.0,405.42,1.55,35.0,998.72,
2006,1,6,2,23.53,84.37,0.0,0.0,0.0,407.2,1.79,30.0,998.59,
2006,1,6,3,23.47,85.76,0.0,0.0,0.0,407.22,1.83,22.0,998.36,
2006,1,6,4,23.42,87.16,0.0,0.0,0.0,407.23,1.87,13.0,998.13,
2006,1,6,5,23.36,88.55,0.0,0.0,0.0,407.25,1.9,4.0,997.9,
2006,1,6,6,23.81,91.69,0.0,0.0,0.0,406.22,2.41,13.0,998.39,
2006,1,6,7,24.26,94.84,0.0,0.0,0.0,405.18,2.92,21.0,998.88,
2006,1,6,8,24.72,97.98,121.0,388.8,54.0,404.15,3.43,29.0,999.38,
2006,1,6,9,25.71,92.06,338.0,656.21,89.0,403.12,3.17,36.0,999.28,
2006,1,6,10,26.71,86.15,540.0,780.96,108.0,402.08,2.91,43.0,999.18,
2006,1,6,11,27.71,80.23,694.0,842.12,120.0,401.05,2.65,49.0,999.08,
2006,1,6,12,27.71,74.92,786.0,872.95,126.0,400.12,2.51,94.0,998.09,
2006,1,6,13,27.71,69.6,805.0,877.61,128.0,399.18,2.38,139.0,997.11,
2006,1,6,14,27.71,64.29,750.0,860.13,125.0,398.25,2.25,184.0,996.13,
2006,1,6,15,27.32,66.83,627.0,816.29,117.0,396.88,2.85,192.0,996.06,
2006,1,6,16,26.93,69.38,448.0,729.72,103.0,395.52,3.44,200.0,995.99,
2006,1,6,17,26.54,71.92,236.0,562.26,78.0,394.15,4.04,208.0,995.93,
2006,1,6,18,26.29,77.48,0.0,0.0,0.0,395.78,4.08,199.0,996.49,
2006,1,6,19,26.04,83.05,0.0,0.0,0.0,397.42,4.11,190.0,997.04,
2006,1,6,20,25.79,88.61,0.0,0.0,0.0,399.05,4.15,181.0,997.6,
2006,1,6,21,25.49,89.25,0.0,0.0,0.0,399.2,3.26,134.0,997.8,
2006,1,6,22,25.19,89.9,0.0,0.0,0.0,399.35,2.38,88.0,998.0,
2006,1,6,23,24.89,90.54,0.0,0.0,0.0,399.5,1.49,42.0,998.19,
2006,1,7,0,24.21,93.31,0.0,0.0,0.0,400.73,2.04,37.0,998.06,
2006,1,7,1,23.53,96.08,0.0,0.0,0.0,401.97,2.59,32.0,997.93,
2006,1,7,2,22.85,98.85,0.0,0.0,0.0,403.2,3.14,27.0,997.8,
2006,1,7,3,22.56,95.38,0.0,0.0,0.0,402.3,3.52,28.0,997.8,
2006,1,7,4,22.26,91.91,0.0,0.0,0.0,401.4,3.89,29.0,997.8,
2006,1,7,5,21.97,88.44,0.0,0.0,0.0,400.5,4.26,29.0,997.8,
2006,1,7,6,22.69,83.33,0.0,0.0,0.0,396.03,4.84,30.0,998.46,
2006,1,7,7,23.41,78.22,0.0,0.0,0.0,391.57,5.42,31.0,999.11,
2006,1,7,8,24.14,73.11,125.0,402.05,56.0,387.1,6.0,31.0,999.77,
2006,1,7,9,25.01,67.53,348.0,677.89,91.0,384.73,5.31,36.0,999.83,
2006,1,7,10,25.88,61.96,554.0,802.51,110.0,382.37,4.61,40.0,999.9,
2006,1,7,11,26.75,56.38,713.0,866.34,122.0,380.0,3.92,45.0,999.97,
2006,1,7,12,26.97,53.27,807.0,896.86,128.0,380.17,3.58,89.0,999.05,
2006,1,7,13,27.2,50.16,828.0,903.12,130.0,380.33,3.24,133.0,998.13,
2006,1,7,14,27.42,47.05,774.0,888.16,127.0,380.5,2.9,177.0,997.21,
2006,1,7,15,26.98,50.39,649.0,845.42,119.0,380.23,3.2,183.0,997.18,
2006,1,7,16,26.53,53.74,466.0,759.84,105.0,379.97,3.51,190.0,997.14,
2006,1,7,17,26.09,57.08,248.0,592.83,80.0,379.7,3.82,197.0,997.11,
2006,1,7,18,25.7,60.66,0.0,0.0,0.0,378.23,3.71,197.0,997.7,
2006,1,7,19,25.31,64.24,0.0,0.0,0.0,376.77,3.59,196.0,998.29,
2006,1,7,20,24.92,67.82,0.0,0.0,0.0,375.3,3.48,196.0,998.88,
2006,1,7,21,24.63,69.96,0.0,0.0,0.0,375.83,3.0,195.0,999.11,
2006,1,7,22,24.34,72.1,0.0,0.0,0.0,376.37,2.53,194.0,999.34,
2006,1,7,23,24.05,74.24,0.0,0.0,0.0,376.9,2.06,193.0,999.57,
2006,1,8,0,23.68,76.22,0.0,0.0,0.0,377.78,1.4,249.0,999.34,
2006,1,8,1,23.31,78.2,0.0,0.0,0.0,378.67,0.74,305.0,999.11,
2006,1,8,2,22.94,80.18,0.0,0.0,0.0,379.55,0.08,1.0,998.88,
2006,1,8,3,22.84,81.42,0.0,0.0,0.0,380.3,0.69,3.0,998.78,
2006,1,8,4,22.74,82.67,0.0,0.0,0.0,381.05,1.3,5.0,998.69,
2006,1,8,5,22.64,83.91,0.0,0.0,0.0,381.8,1.9,8.0,998.59,
2006,1,8,6,23.11,83.77,0.0,0.0,0.0,383.4,2.28,11.0,999.15,
2006,1,8,7,23.58,83.62,0.0,0.0,0.0,385.0,2.66,14.0,999.7,
2006,1,8,8,24.06,83.48,124.0,403.54,55.0,386.6,3.03,17.0,1000.26,
2006,1,8,9,24.83,78.71,346.0,675.71,90.0,383.95,2.49,17.0,1000.2,
2006,1,8,10,25.6,73.95,551.0,796.83,110.0,381.3,1.94,17.0,1000.13,
2006,1,8,11,26.37,69.18,709.0,859.66,122.0,378.65,1.39,16.0,1000.06,
2006,1,8,12,26.45,67.59,802.0,888.95,128.0,377.63,1.66,324.0,999.18,
2006,1,8,13,26.53,66.01,822.0,893.58,130.0,376.62,1.94,273.0,998.29,
2006,1,8,14,26.6,64.42,766.0,874.89,127.0,375.6,2.21,221.0,997.41,
2006,1,8,15,26.33,65.59,640.0,828.18,119.0,375.02,2.51,223.0,997.31,
2006,1,8,16,26.05,66.77,459.0,743.53,104.0,374.43,2.81,225.0,997.21,
2006,1,8,17,25.78,67.94,244.0,577.34,79.0,373.85,3.12,228.0,997.11,
2006,1,8,18,25.3,71.3,0.0,0.0,0.0,374.95,2.73,211.0,997.83,
2006,1,8,19,24.82,74.66,0.0,0.0,0.0,376.05,2.34,194.0,998.55,
2006,1,8,20,24.34,78.02,0.0,0.0,0.0,377.15,1.94,178.0,999.28,
