Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2147,Coatzacoalcos,MEX,Mexico,18.1204042755,-94.42000960470001,-6,2.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,20.45,86.7,0.0,0.0,0.0,354.3,2.03,334.0,1017.93,
2005,1,1,1,20.28,87.14,0.0,0.0,0.0,352.59,1.93,330.0,1017.59,
2005,1,1,2,20.29,87.38,0.0,0.0,0.0,348.85,2.12,326.0,1017.26,
2005,1,1,3,20.39,86.8,0.0,0.0,0.0,349.28,2.11,326.0,1017.26,
2005,1,1,4,20.49,86.21,0.0,0.0,0.0,349.72,2.11,326.0,1017.26,
2005,1,1,5,20.59,85.63,0.0,0.0,0.0,350.15,2.1,327.0,1017.26,
2005,1,1,6,21.3,83.24,0.0,0.0,0.0,351.27,2.07,332.0,1017.76,
2005,1,1,7,22.01,80.86,8.0,0.0,8.0,352.38,2.04,337.0,1018.26,
2005,1,1,8,22.73,78.47,45.0,0.0,45.0,353.5,2.01,343.0,1018.76,
2005,1,1,9,23.54,75.57,129.0,0.0,129.0,359.53,2.41,352.0,1018.56,
2005,1,1,10,24.36,72.66,194.0,6.75,190.0,365.57,2.81,1.0,1018.36,
2005,1,1,11,25.17,69.76,702.0,825.42,125.0,371.6,3.21,10.0,1018.16,
2005,1,1,12,25.34,69.19,460.0,116.07,373.0,376.98,3.26,12.0,1017.19,
2005,1,1,13,25.5,68.63,753.0,842.5,129.0,382.37,3.3,14.0,1016.23,
2005,1,1,14,25.66,68.06,672.0,814.24,124.0,387.75,3.34,16.0,1015.26,
2005,1,1,15,24.89,71.9,530.0,754.67,114.0,388.12,2.98,10.0,1015.29,
2005,1,1,16,24.11,75.73,340.0,638.68,95.0,388.48,2.63,4.0,1015.33,
2005,1,1,17,23.33,79.57,133.0,402.1,60.0,388.85,2.28,358.0,1015.36,
2005,1,1,18,22.77,82.09,0.0,0.0,0.0,383.38,2.24,354.0,1015.99,
2005,1,1,19,22.22,84.61,0.0,0.0,0.0,377.92,2.2,351.0,1016.63,
2005,1,1,20,21.66,87.13,0.0,0.0,0.0,372.45,2.17,347.0,1017.26,
2005,1,1,21,21.6,88.0,0.0,0.0,0.0,369.08,2.15,343.0,1017.33,
2005,1,1,22,21.55,88.88,0.0,0.0,0.0,365.72,2.13,338.0,1017.39,
2005,1,1,23,21.49,89.75,0.0,0.0,0.0,362.35,2.11,334.0,1017.46,
2005,1,2,0,21.44,90.23,0.0,0.0,0.0,361.58,2.11,333.0,1017.26,
2005,1,2,1,21.4,90.72,0.0,0.0,0.0,360.82,2.1,333.0,1017.06,
2005,1,2,2,21.36,91.2,0.0,0.0,0.0,360.05,2.1,332.0,1016.86,
2005,1,2,3,21.4,91.76,0.0,0.0,0.0,359.37,2.15,334.0,1016.99,
2005,1,2,4,21.43,92.32,0.0,0.0,0.0,358.68,2.2,336.0,1017.13,
2005,1,2,5,21.47,92.88,0.0,0.0,0.0,358.0,2.25,337.0,1017.26,
2005,1,2,6,22.09,90.76,0.0,0.0,0.0,360.82,3.1,344.0,1017.96,
2005,1,2,7,22.71,88.64,7.0,0.0,7.0,363.63,3.95,350.0,1018.66,
2005,1,2,8,23.33,86.52,187.0,484.67,69.0,366.45,4.8,357.0,1019.36,
2005,1,2,9,24.01,85.15,396.0,681.91,98.0,372.95,4.9,1.0,1019.16,
2005,1,2,10,24.7,83.77,576.0,778.04,115.0,379.45,4.99,6.0,1018.96,
2005,1,2,11,25.38,82.4,704.0,827.86,125.0,385.95,5.09,10.0,1018.76,
2005,1,2,12,25.46,81.62,548.0,231.89,374.0,390.15,4.96,10.0,1017.86,
2005,1,2,13,25.54,80.84,758.0,847.81,129.0,394.35,4.83,11.0,1016.96,
2005,1,2,14,25.62,80.06,679.0,822.63,124.0,398.55,4.7,12.0,1016.06,
2005,1,2,15,24.96,82.6,536.0,762.86,114.0,396.75,4.2,5.0,1016.26,
2005,1,2,16,24.3,85.14,346.0,648.1,96.0,394.95,3.69,359.0,1016.46,
2005,1,2,17,23.64,87.68,138.0,419.01,61.0,393.15,3.19,352.0,1016.66,
2005,1,2,18,23.42,88.88,0.0,0.0,0.0,389.27,3.13,351.0,1017.39,
2005,1,2,19,23.2,90.07,0.0,0.0,0.0,385.38,3.07,350.0,1018.13,
2005,1,2,20,22.97,91.27,0.0,0.0,0.0,381.5,3.01,349.0,1018.86,
2005,1,2,21,22.88,91.78,0.0,0.0,0.0,378.03,2.8,348.0,1018.96,
2005,1,2,22,22.79,92.28,0.0,0.0,0.0,374.57,2.58,347.0,1019.06,
2005,1,2,23,22.7,92.79,0.0,0.0,0.0,371.1,2.37,346.0,1019.16,
2005,1,3,0,22.5,92.89,0.0,0.0,0.0,368.05,2.26,345.0,1018.89,
2005,1,3,1,22.31,93.0,0.0,0.0,0.0,365.0,2.15,344.0,1018.63,
2005,1,3,2,22.12,93.1,0.0,0.0,0.0,361.95,2.04,344.0,1018.36,
2005,1,3,3,22.14,93.03,0.0,0.0,0.0,360.12,2.14,344.0,1018.29,
2005,1,3,4,22.15,92.95,0.0,0.0,0.0,358.28,2.23,345.0,1018.23,
2005,1,3,5,22.17,92.88,0.0,0.0,0.0,356.45,2.33,346.0,1018.16,
2005,1,3,6,22.53,91.49,0.0,0.0,0.0,357.28,2.91,349.0,1018.73,
2005,1,3,7,22.89,90.11,7.0,0.0,7.0,358.12,3.5,353.0,1019.29,
2005,1,3,8,23.25,88.72,88.0,12.36,85.0,358.95,4.08,357.0,1019.86,
2005,1,3,9,23.6,87.08,69.0,0.0,69.0,364.22,4.31,359.0,1019.69,
2005,1,3,10,23.96,85.43,340.0,106.33,277.0,369.48,4.54,2.0,1019.52,
2005,1,3,11,24.32,83.79,281.0,21.43,266.0,374.75,4.77,4.0,1019.36,
2005,1,3,12,24.54,82.15,564.0,256.9,371.0,377.87,4.75,7.0,1018.43,
2005,1,3,13,24.75,80.51,564.0,270.43,363.0,380.98,4.73,9.0,1017.49,
2005,1,3,14,24.96,78.87,681.0,823.5,124.0,384.1,4.7,11.0,1016.56,
