Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2149,Cordoba,MEX,Mexico,18.9203812856,-96.9199862079,-6,888.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,16.67,62.61,0.0,0.0,0.0,326.98,1.41,234.0,915.08,
2013,1,1,1,16.59,63.61,0.0,0.0,0.0,326.17,1.41,242.0,914.78,
2013,1,1,2,14.84,71.68,0.0,0.0,0.0,319.75,1.01,250.0,914.48,
2013,1,1,3,14.6,73.99,0.0,0.0,0.0,317.38,0.9,254.0,914.24,
2013,1,1,4,14.36,76.3,0.0,0.0,0.0,315.02,0.79,258.0,914.0,
2013,1,1,5,14.12,78.61,0.0,0.0,0.0,312.65,0.68,261.0,913.76,
2013,1,1,6,15.93,70.95,0.0,0.0,0.0,313.6,0.53,257.0,914.24,
2013,1,1,7,17.74,63.28,0.0,0.0,0.0,314.55,0.39,252.0,914.72,
2013,1,1,8,19.55,55.62,156.0,454.04,64.0,315.5,0.25,247.0,915.2,
2013,1,1,9,21.04,48.36,374.0,694.98,96.0,318.07,0.7,207.0,914.54,
2013,1,1,10,22.53,41.11,566.0,804.98,114.0,320.63,1.16,168.0,913.88,
2013,1,1,11,24.02,33.85,707.0,860.83,125.0,323.2,1.61,129.0,913.23,
2013,1,1,12,24.2,30.9,780.0,883.19,130.0,322.17,1.65,120.0,912.09,
2013,1,1,13,24.39,27.96,780.0,881.89,130.0,321.13,1.69,111.0,910.95,
2013,1,1,14,24.57,25.01,707.0,855.33,126.0,320.1,1.72,102.0,909.81,
2013,1,1,15,23.21,27.9,568.0,797.8,116.0,325.27,1.56,93.0,909.99,
2013,1,1,16,21.86,30.8,380.0,691.1,99.0,330.43,1.4,85.0,910.17,
2013,1,1,17,20.5,33.69,168.0,475.52,68.0,335.6,1.24,77.0,910.35,
2013,1,1,18,19.88,38.71,0.0,0.0,0.0,337.57,1.27,63.0,911.43,
2013,1,1,19,19.25,43.73,0.0,0.0,0.0,339.53,1.3,48.0,912.51,
2013,1,1,20,18.63,48.75,0.0,0.0,0.0,341.5,1.32,34.0,913.59,
2013,1,1,21,18.57,51.78,0.0,0.0,0.0,345.38,1.12,34.0,913.82,
2013,1,1,22,18.51,54.81,0.0,0.0,0.0,349.27,0.91,35.0,914.06,
2013,1,1,23,18.44,57.84,0.0,0.0,0.0,353.15,0.7,35.0,914.3,
2013,1,2,0,18.39,59.91,0.0,0.0,0.0,357.55,0.68,34.0,914.15,
2013,1,2,1,18.34,61.98,0.0,0.0,0.0,361.95,0.65,33.0,914.0,
2013,1,2,2,18.29,64.05,0.0,0.0,0.0,366.35,0.62,32.0,913.85,
